"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","OD1","REM"
"99733899999","2021-01-01T00:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","180,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0016,1","-0055,1","99999,9","5,99,0026,1,999","SYN046CHII2 46/// /1805 11016 21055 92350 333 91205="
"99733899999","2021-01-01T01:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","190,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0018,1","-0051,1","99999,9","5,99,0026,1,999","SYN046CHII2 46/// /1904 11018 21051 90040 333 91205="
"99733899999","2021-01-01T02:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","170,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0021,1","-0049,1","99999,9","5,99,0015,1,999","SYN046CHII2 46/// /1702 11021 21049 90150 333 91203="
"99733899999","2021-01-01T03:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0021,1","-0047,1","99999,9","5,99,0005,1,999","SYN046CHII2 46/// /0000 11021 21047 90250 333 91201="
"99733899999","2021-01-01T04:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","160,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0017,1","-0043,1","99999,9","5,99,0021,1,999","SYN046CHII2 46/// /1602 11017 21043 90350 333 91204="
"99733899999","2021-01-01T05:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","130,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0012,1","-0036,1","99999,9","5,99,0077,1,999","SYN046CHII2 46/// /1313 11012 21036 90450 333 91215="
"99733899999","2021-01-01T06:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","150,1,N,0057,1","99999,9,9,N","999999,9,9,9","-0012,1","-0035,1","99999,9","5,99,0072,1,999","SYN046CHII2 46/// /1511 11012 21035 90550 333 91214="
"99733899999","2021-01-01T07:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","120,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0012,1","-0037,1","99999,9","5,99,0077,1,999","SYN046CHII2 46/// /1213 11012 21037 90650 333 91215="
"99733899999","2021-01-01T08:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","090,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0011,1","-0032,1","99999,9","5,99,0077,1,999","SYN046CHII2 46/// /0912 11011 21032 90750 333 91215="
"99733899999","2021-01-01T09:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","080,1,N,0072,1","99999,9,9,N","999999,9,9,9","-0009,1","-0026,1","99999,9","5,99,0077,1,999","SYN046CHII2 46/// /0814 11009 21026 90850 333 91215="
"99733899999","2021-01-01T10:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","130,1,N,0093,1","99999,9,9,N","999999,9,9,9","-0008,1","-0022,1","99999,9","5,99,0103,1,999","SYN046CHII2 46/// /1318 11008 21022 90950 333 91220="
"99733899999","2021-01-01T11:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","120,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0017,1","-0032,1","99999,9","5,99,0067,1,999","SYN046CHII2 46/// /1213 11017 21032 91050 333 91213="
"99733899999","2021-01-01T12:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","080,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0016,1","-0029,1","99999,9","5,99,0077,1,999","SYN046CHII2 46/// /0813 11016 21029 91150 333 91215="
"99733899999","2021-01-01T13:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","060,1,N,0077,1","99999,9,9,N","999999,9,9,9","-0010,1","-0021,1","99999,9","5,99,0088,1,999","SYN046CHII2 46/// /0615 11010 21021 91250 333 91217="
"99733899999","2021-01-01T14:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","060,1,N,0082,1","99999,9,9,N","999999,9,9,9","-0006,1","-0016,1","99999,9","5,99,0093,1,999","SYN046CHII2 46/// /0616 11006 21016 91350 333 91218="
"99733899999","2021-01-01T15:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","080,1,N,0098,1","99999,9,9,N","999999,9,9,9","-0003,1","-0012,1","99999,9","5,99,0113,1,999","SYN046CHII2 46/// /0819 11003 21012 91450 333 91222="
"99733899999","2021-01-01T16:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","070,1,N,0082,1","99999,9,9,N","999999,9,9,9","-0002,1","-0011,1","99999,9","5,99,0093,1,999","SYN046CHII2 46/// /0716 11002 21011 91550 333 91218="
"99733899999","2021-01-01T17:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","050,1,N,0072,1","99999,9,9,N","999999,9,9,9","-0001,1","-0010,1","99999,9","5,99,0077,1,999","SYN046CHII2 46/// /0514 11001 21010 91650 333 91215="
