,Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 14
0,2014,1,1/6/14,7:01 AM,1/7/14,9:00 AM,"25 Hours, 59 Minutes",ERCOT,TRE,Texas,Public Appeal due to Severe Weather - Cold,,,
1,2014,1,1/6/14,7:50 PM,1/6/14,8:44 PM,"0 Hours, 54 Minutes",PPL Electric Utilities Corp,RFC,Pennsylvania,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown,
2,2014,1,1/6/14,7:50 PM,1/6/14,8:44 PM,"0 Hours, 54 Minutes",PJM Interconnection,RFC,Unknown,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown,
3,2014,1,1/6/14,7:50 PM,1/6/14,8:44 PM,"0 Hours, 54 Minutes",Potomac Electric Power Co,RFC,District of Columbia,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown,
4,2014,1,1/6/14,7:50 PM,1/6/14,8:49 PM,"0 Hours, 59 Minutes","UGI Utilities, Inc",RFC,Pennsylvania,Voltage Reduction due to Severe Weather - Cold,200,62000,
5,2014,1,1/6/14,7:52 PM,1/6/14,8:45 PM,"0 Hours, 53 Minutes",Delmarva Power & Light Company,RFC,Delaware,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown,
6,2014,1,1/6/14,8:45 PM,1/7/14,9:00 PM,"24 Hours, 15 Minutes",PJM Interconnection,RFC,Unknown,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,
7,2014,1,1/6/14 22:00,,1/6/14 22:01,,"0 Hours,1 Minutes",Louisville Gas & Electric Co,RFC,Kentucky,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,
8,2014,1,1/7/14,6:00 AM,1/7/14,8:30 AM,"2 Hours, 30 Minutes",Memphis Light Gas and Water Division,SERC,Tennessee,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,
9,2014,1,1/7/14,6:00 AM,1/7/14,8:30 AM,"2 Hours, 30 Minutes",Tennessee Valley Authority,SERC,Northeast Tennessee,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,
