Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Unnamed: 7,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,
2014,2,2/5/14,1:00 AM,2/9/14,8:40 PM,"115 Hours, 40 Minutes",,FirstEnergy Corp: Met-Ed,RFC,Pennsylvania,Severe Weather - Snow/Ice,Unknown,144000,
2014,2,2/5/14,5:00 AM,2/5/14,5:01 AM,"0 Hours,",1 Minutes,Exelon Corporation/PECO,RFC,Pennsylvania,Severe Weather - Snow/Ice,Unknown,715000,
2014,2,2/5/14,7:00 AM,2/23/14,7:00 AM,"432 Hours,",0 Minutes,Upstate New York Power Producers,NPCC,New York,Fuel Supply Emergency - Coal,300,Unknown,
,,,,,,,,,,"Lancaster Region,",,,,
2014,2,2/5/14,7:35 AM,2/7/14,4:03 AM,"44 Hours, 28 Minutes",,PPL Electric Utilities Corp,RFC,Pennsylvania,Severe Weather - Snow/Ice,Unknown,62159,
2014,2,2/5/14,8:05 AM,2/5/14,8:06 AM,"0 Hours,",1 Minutes,Baltimore Gas & Electric Company,RFC,"Baltimore, Maryland",Severe Weather - Ice,800,181000,
,,,,,,,,,,,Fuel Supply Emergency -,,,
2014,2,2/6/14,1:00 PM,2/6/14 22:00,,"9 Hours,",0 Minutes,California ISO,WECC,California,Natural Gas,4000,Unknown,
,,,,,,,,,,,Fuel Supply Emergency -,,,
2014,2,2/6/14,1:05 PM,2/6/14,7:15 PM,"6 Hours, 10 Minutes",,Pacific Gas & Electric Co,WECC,Northern California,Natural Gas,160,Unknown,
,,,,,,,,,,,Public Appeal to Reduce,,,
2014,2,2/6/14,1:58 PM,2/6/14,8:40 PM,"6 Hours, 42 Minutes",,American Electric Power,TRE,Rio Grande Valley Texas,Electricity Usage,Unknown,Unknown,
,,,,,,,,,,,Fuel Supply Emergency -,,,
2014,2,2/6/14,2:15 PM,2/6/14,7:39 PM,"5 Hours, 24 Minutes",,Southern California Edison,WECC,California,Natural Gas,611,Unknown,
,,,,,,,,,,,Public Appeal to Reduce,,,
2014,2,2/6/14,3:35 PM,2/7/14 11:30,,"19 Hours, 55 Minutes",,ERCOT,TRE,ERCOT Region Texas,Electricity Usage,Unknown,Unknown,
2014,2,2/7/14,7:00 AM,3/21/14,8:00 AM,"1,009 Hours,",0 Minutes,"Somerset Operating Company, LLC",NPCC,Niagara County New York,Fuel Supply Emergency - Coal,675,Unknown,
,,,,,,,,,,,Public Appeal to Reduce,,,
2014,2,2/7/14,4:30 PM,2/8/14,9:00 AM,"16 Hours, 30 Minutes",,ERCOT,TRE,ERCOT Region Texas,Electricity Usage,Unknown,Unknown,
,,,,,,,,,,,Public Appeal to Reduce,,,
2014,2,2/7/14,4:50 PM,2/7/14,8:30 PM,"3 Hours, 40 Minutes",,American Electric Power,TRE,Texas,Electricity Usage,Unknown,Unknown,
2014,2,2/12/14,7:48 AM,2/15/14,4:30 AM,"68 Hours, 42 Minutes",,Southern Company,SERC,Northern/Northeastern Georgia,Severe Weather - Snow/Ice,1246,373835,
2014,2,2/12/14 11:03,,2/15/14,8:40 AM,"69 Hours, 37 Minutes",,South Carolina Electric and Gas,SERC,South Carolina,Severe Weather - Snow/Ice,700,120124,
2014,2,2/12/14 12:10,,2/15/14,3:20 PM,"75 Hours, 10 Minutes",,Duke Energy Progress,SERC,North Carolina,Severe Weather - Snow/Ice,Unknown,200000,
2014,2,2/20/14,4:40 PM,2/21/14 23:59,,"31 Hours, 19 Minutes",,Ameren Missouri,SERC,"Missouri, Illinois",Severe Weather - Snow/Ice,Unknown,66000,
,,,,,,,,,,,Severe Weather -,,,
2014,2,2/21/14,2:53 AM,2/21/14,9:00 PM,"18 Hours,",7 Minutes,Southern Company,SERC,Northern/Northeastern Georgia,Thunderstorms/High Winds,221,66445,
,,,,,,,,,,,Public Appeal due to Severe,,,
2014,3,3/2/14,7:00 PM,3/4/14,9:00 AM,"38 Hours,",0 Minutes,ERCOT,TRE,ERCOT Region Texas,Weather - Cold,N/A,N/A,
,,,,,,,,,,"Mid-Columbia River Generation,",,,,
