Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected
May,2014-05-15,10:43:00,Unknown,Unknown,"San Diego & Orange Counties, California",WECC,Public Appeal to Reduce Electricity Usage - Wild Fires,3300,1400000
May,2014-05-15,12:10:00,2014-05-15,12:13:00,"Whiting, Indiana",RFC,Suspected Physical Attack,,
May,2014-05-16,10:43:00,2014-05-16,21:00:00,"San Diego & Orange Counties, California",WECC,Public Appeal to Reduce Electricity Usage - Wild Fires,3900,1400000
May,2014-05-20,07:01:00,2014-05-20,07:02:00,"Duchesne County, Utah",WECC,Physical Attack - Vandalism,,
May,2014-05-23,15:00:00,2014-05-25,19:00:00,North Carolina,SERC,Physical Attack - Vandalism,Unknown,Unknown
May,2014-05-26,12:31:00,2014-05-26,13:18:00,"British Columbia & Alberta, Canada",WECC,Electrical System Separation (Islanding),Unknown,Unknown
May,2014-05-27,11:00:00,2014-05-27,16:53:00,"Phoenix, Arizona",WECC,Physical Attack - Vandalism,,
June,2014-06-03,01:38:00,2014-06-03,01:43:00,Texas,ERCOT,Physical Attack - Vandalism,Unknown,Unknown
June,2014-06-03,15:32:00,2014-06-03,15:59:00,"Alberta, Canada",WECC,Electrical System Islanding,338,
June,2014-06-05,03:00:00,2014-06-07,23:45:00,"Shelby County, Tennessee",SERC,Severe Weather - Thunderstorms,494,38500
June,2014-06-06,13:00:00,Unknown,Unknown,Texas,ERCOT,Fuel Supply Emergency - Coal,Unknown,Unknown
June,2014-06-05,13:06:00,2014-06-05,13:07:00,West Tennessee,SERC,Severe Weather - Thunderstorms,Unknown,56475
June,2014-06-07,23:00:00,2014-06-08,05:30:00,"North and Central , Alabama",SERC,Severe Weather - Thunderstorms,217,65000
June,2014-06-09,11:07:00,2014-06-09,11:30:00,"Alberta, Canada",WECC,Electrical System Islanding,Unknown,Unknown
June,2014-06-11,09:30:00,2014-06-11,09:31:00,"Nogales, Arizona",WECC,Suspected Physical Attack,,
June,2014-06-10,21:50:00,2014-06-11,14:30:00,West Virginia,RFC,Severe Weather - Thunderstorms,Unknown,66383
June,2014-06-11,16:00:00,2014-06-11,16:30:00,Southern Mississippi,SERC,Physical Attack - Vandalism,,
