Data Year,Utility Number,Utility Name,Short Form,State,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2014,298,City of Alexandria - (LA),,LA,.,.,.,.,.,590,.,.,.,590,.,.,.,.,.,24518,.,.,.,24518,25108,.,.,.,25108,6611,.,.,.,6611,.,.,.,.,.,.,.,.,.,.
2014,305,Alger-Delta Coop Electric Assn,,MI,9398,549,1,0,9948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9398,549,1,0,9948,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
2014,307,Algoma Utility Comm,,WI,1650,350,3,0,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650,350,3,0,2003,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
2014,309,City of Algona - (IA),,IA,.,.,.,.,0,3033,671,14,.,3718,.,.,.,.,.,.,.,.,.,.,3033,671,14,.,3718,30213,26012,54381,.,110606,.,.,.,.,.,.,.,.,.,.
2014,329,"Allamakee-Clayton El Coop, Inc",,IA,9422,502,.,.,9924,.,.,.,.,.,.,.,.,.,.,11,10,.,.,21,9433,512,.,.,9945,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,392,Alpena Power Co,,MI,10160,912,.,.,11072,.,.,.,.,0,.,.,.,.,0,3555,1744,.,.,5299,13715,2656,0,0,16371,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0
2014,406,City of Altamont - (IL),Y,IL,1350,162,.,.,1512,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,407,Altamaha Electric Member Corp,,GA,16001,1737,.,0,17738,2050,69,14,0,2133,0,0,0,0,0,0,12,170,0,182,18051,1818,184,0,20053,27777,6130,540,.,34447,2050,69,14,.,2133,.,.,180,.,180
2014,471,Amana Society Service Co,,IA,516,61,0,0,577,.,.,.,.,.,.,.,.,.,.,189,122,1,0,312,705,183,1,0,889,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,554,City of Ames - (IA),,IA,0,0,0,0,0,0,0,0,0,0,.,.,.,.,0,22684,3118,4,0,25806,22684,3118,4,0,25806,.,.,.,.,.,.,.,.,.,.,9310,190,.,.,9500
2014,562,Amicalola Electric Member Corp,,GA,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,42247,4467,16,0,46730,42247,4467,16,0,46730,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0
2014,571,City of Amory,,MS,2930,1059,3,0,3992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,1059,3,0,3992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,577,City of Alcoa Utilities,,TN,0,0,0,0,0,23828,3816,0,0,27644,0,0,0,0,0,0,314,1,0,315,23828,4130,1,0,27959,383170,50939,0,0,434109,0,0,0,0,0,0,0,0,0,0
