|Utility Characteristics.Data Year|,|Utility Characteristics.Utility Number|,|Utility Characteristics.Utility Name|,|Utility Characteristics.State|,|Utility Characteristics.Ownership Type|,|Utility Characteristics.NERC Region|,|Also operating in other NERC Regions.TRE|,|Also operating in other NERC Regions.FRCC|,|Also operating in other NERC Regions.MRO|,|Also operating in other NERC Regions.NPCC|,|Also operating in other NERC Regions.RFC|,|Also operating in other NERC Regions.SERC|,|Also operating in other NERC Regions.SPP|,|Also operating in other NERC Regions.WECC|,|Operating in these RTOs.CAISO|,|Operating in these RTOs.ERCOT|,|Operating in these RTOs.PJM|,|Operating in these RTOs.NYISO|,|Operating in these RTOs.SPP|,|Operating in these RTOs.MISO|,|Operating in these RTOs.ISONE|,|Operating in these RTOs.Other|,|Other Activities.Generation|,|Other Activities.Transmission|,|Other Activities.Buying Transmission|,|Other Activities.Distribution|,|Other Activities.Buying Distribution|,|Other Activities.Wholesale Marketing|,|Other Activities.Retail Marketing|,|Other Activities.Bundled|,|Other Activities.Alt Fuel Vehicle|,|Other Activities.Alt Fuel Vehicle 2|
2014,55,City of Aberdeen - (MS),MS,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2014,59,City of Abbeville - (LA),LA,Municipal,SPP,,,,,,,Y,,,,,,,Y,,,,,,Y,,,,Y,,
2014,84,A & N Electric Coop,VA,Cooperative,RFC,,,,,Y,,,,,,Y,,,,,,Y,Y,,Y,,,,,,
2014,97,Adams Electric Coop,IL,Cooperative,SERC,,,,,,Y,,,,,,,,Y,,,Y,,,Y,,,,,,
2014,108,Adams-Columbia Electric Coop,WI,Cooperative,MRO,,,Y,,N,,,,,,,,,Y,,,,,Y,Y,Y,,,,,
2014,113,"Agway Energy Services, LLC",NY,Retail Power Marketer,NPCC,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,
2014,118,"Adams Rural Electric Coop, Inc",OH,Cooperative,RFC,,,,,Y,,,,,,Y,,,,,,,,,Y,,Y,,,,
2014,122,Village of Arcade - (NY),NY,Municipal,NPCC,,,,Y,,,,,,,,Y,,,,,,Y,Y,Y,,,Y,Y,,
2014,123,City of Adel- (GA),GA,Municipal,SERC,Y,,,,,Y,,,,,,,,,,,,,Y,Y,,,Y,Y,,
2014,150,Adrian Public Utilities Comm,MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,,
2014,155,Agralite Electric Coop,MN,Cooperative,MRO,,,Y,,,,,,,,,,,,,,,,Y,Y,N,,,,Y,Y
2014,162,Aiken Electric Coop Inc,SC,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2014,176,Ajo Improvement Co,AZ,Investor Owned,WECC,,,,,,,,Y,,,,,,,,,,,,,,,,Y,N,
2014,189,PowerSouth Energy Cooperative,AL,Cooperative,SERC,,,,,,Y,,,,,,,,,,,Y,Y,Y,,,Y,,N,,
2014,195,Alabama Power Co,AL,Investor Owned,SERC,,,,,,Y,,,,,,,,,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y
2014,201,City of Alachua - (FL),FL,Municipal,FRCC,,,,,,,,,,,,,,,,,,,N,N,,,,Y,,
2014,207,City of Alameda,CA,Municipal,WECC,,,,,,,,Y,Y,,,,,,,,,,,Y,,,N,,Y,Y
2014,213,Alaska Electric Light&Power Co,AK,Investor Owned,AK,,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,Y,Y
2014,219,Alaska Power and Telephone Co,WA,Investor Owned,AK,,,,,,,,,,,,,,,,,Y,Y,,Y,,Y,Y,,,
2014,221,"Alaska Village Elec Coop, Inc",AK,Cooperative,AK,,,,,,,,,,,,,,,,Y,Y,,,Y,,,,,,
2014,230,Albany Water Gas & Light Comm,GA,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2014,232,City of Albemarle - (NC),NC,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,N,,Y,,,,,,
2014,240,Albemarle Electric Member Corp,NC,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2014,241,Albertville Municipal Utilities Board,AL,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,N,
2014,261,AGC Division of APG Inc,PA,Investor Owned,RFC,,,,,Y,,,,,,,,,Y,,,Y,,Y,Y,,Y,,,N,
2014,276,Alcorn County Elec Power Assn,MS,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,N,
2014,289,City of Alexander City,AL,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,Y,Y
2014,295,City of Alexandria - (MN),MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,,Y,Y,,,Y,Y,,
2014,296,"Alfalfa Electric Coop, Inc",OK,Cooperative,SPP,,,,,,,Y,,,,,,Y,,,,,,,Y,,,,,,
2014,298,City of Alexandria - (LA),LA,Municipal,SPP,,,,,,,Y,,,,,,Y,,,,Y,,,Y,,,,Y,,
2014,305,Alger-Delta Coop Electric Assn,MI,Cooperative,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2014,307,Algoma Utility Comm,WI,Municipal,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2014,308,City of Acworth - (GA),GA,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2014,309,City of Algona - (IA),IA,Municipal,MRO,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,,Y,,Y,,
2014,329,"Allamakee-Clayton El Coop, Inc",IA,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,,
2014,332,Allegheny Electric Coop Inc,PA,Cooperative,RFC,,,,,Y,,,,,,Y,,,,,,Y,Y,Y,,,,,,,
2014,343,AEP Generating Company,OH,Investor Owned,RFC,,,,,Y,,,,,,,,,,,,Y,,,,,Y,,,Y,Y
2014,367,City of Alliance- (NE),NE,Municipal,MRO,,,Y,,,,,,,,,,Y,,,,Y,,Y,Y,,,,,N,
2014,392,Alpena Power Co,MI,Investor Owned,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,
2014,407,Altamaha Electric Member Corp,GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2014,416,City of Altus - (OK),OK,Municipal,SPP,,,,,,,Y,,,,,,Y,,,,,N,,Y,,,Y,Y,,
2014,471,Amana Society Service Co,IA,Investor Owned,MRO,,,Y,,,,,,,,,,,Y,,,Y,,,Y,,,,Y,,
2014,540,BP Energy Company,TX,Retail Power Marketer,TRE,Y,,,,,,,,,,,,,,,,,,,,,Y,Y,,,
2014,554,City of Ames - (IA),IA,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,Y,Y,Y,,N,,,Y,Y
2014,560,City of Amherst- (OH),OH,Municipal,RFC,,,,,Y,,,,,,,,,Y,,,,Y,Y,Y,,,,,,
2014,562,Amicalola Electric Member Corp,GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2014,571,City of Amory,MS,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2014,577,City of Alcoa Utilities,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
