,Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 14
0,2016,1,01/10/2016,8:46 PM,01/11/2016,5:25 AM,"8 Hours, 39 Minutes",ISO New England,NPCC,Maine: Connecticut: Massachusetts: Vermont: New Hampshire: Rhode Island:,"Loss of electric service to more than 50,000 customers for 1 nan",hour or more-Weather,Unknown,59859
1,2016,1,01/22/2016,3:52 PM,01/24/2016 12:30 PM,,"44 Hours, 38 Minutes",Duke Energy Progress,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 nan",hour or more-Weather,Unknown,150000
2,2016,1,01/23/2016,7:49 AM,01/23/2016,9:05 AM,"1 Hours, 16 Minutes",FirstEnergy Corp. Jersey Central Power & Light,RFC,New Jersey:,"Loss of electric service to more than 50,000 customers for 1 nan",hour or more-Weather,Unknown,50900
3,2016,2,02/05/2016 11:21 AM,02/06/2016,3:48 PM,,"28 Hours, 27 Minutes",ISO New England,NPCC,Connecticut: Massachusetts: Rhode Island:,"Loss of electric service to more than 50,000 customers for 1 nan",hour or more-Weather,Unknown,115057
4,2016,2,02/13/2016 12:44 PM,02/13/2016,4:27 PM,,"3 Hours, 43 Minutes",Pacific Gas & Electric Co,SERC,California,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Islanding,,7,4300
5,,,,,,,,American Electric Power - (RFC Reliability Region),,"Virginia: Roanoke County, Montgomery County; West Virginia: Kanawha County, Cabell County; Tennessee:","Loss of electric service to more than 50,000 customers for 1",,,
6,2016,2,02/16/2016,8:35 AM,02/16/2016,5:28 PM,"8 Hours, 53 Minutes","(8400 Smiths Mill Road, New Albany Ohio 43054)",RFC,Sullivan County;,,hour or more-Weather,Unknown,52640
7,2016,2,02/19/2016 10:00 PM,02/20/2016 11:13 PM,,,"25 Hours, 13 Minutes",Detroit Edison Co,RFC,Michigan,"Loss of electric service to more than 50,000 customers for 1 nan",hour or more-Weather,Unknown,145314
8,2016,2,02/24/2016,2:45 PM,02/25/2016,5:00 AM,"14 Hours, 15 Minutes",Duke Energy Carolinas,SERC,North Carolina: South Carolina,"Loss of electric service to more than 50,000 customers for 1 nan",hour or more-Weather,400,284610
9,2016,2,02/25/2016,1:44 AM,02/25/2016,2:45 PM,"13 Hours,1 Minutes",ISO New England,NPCC,Connecticut: Maine: Massachusetts: Rhode Island: Vermont:,"Loss of electric service to more than 50,000 customers for 1 nan",hour or more-Weather,Unknown,114190
10,2016,2,02/26/2016 12:01 AM,.,.,,". Hours,. Minutes",California Department of Water Resources,WECC,California: San Bernardino County,Fuel supply emergencies that could impact electric power system adequacy or reliability- nan,Fuel Supply Deficiency,0,0
11,2016,3,03/01/2016,3:00 PM,.,.,". Hours,. Minutes",Puget Sound Energy,WECC,"Washington: King County, Whatcom County, Kitsap County, Skagit County;","Loss of electric service to more than 50,000 customers for 1 nan",hour or more-Weather,Unknown,56000
12,2016,3,03/03/2016 11:00 AM,04/16/2016,7:47 PM,,"1,064 Hours, 47 Minutes",California Department of Water Resources,WECC,California: San Bernardino County;,Fuel supply emergencies that could impact electric power system adequacy or reliability- nan,Fuel Supply Deficiency,0,0
13,2016,3,03/23/2016,5:00 AM,03/25/2016 11:59 PM,,"66 Hours, 59 Minutes",Xcel Energy/Public Service Company of Colorado,WECC,"Colorado: Denver, City and County of[12];","Loss of electric service to more than 50,000 customers for 1 nan",hour or more-Weather,0,0
14,2016,4,04/02/2016 11:08 AM,04/02/2016 11:33 AM,,,"0 Hours, 25 Minutes",California Department of Water Resources,WECC,California,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident- nan,System Operations,360,0
15,2016,4,04/18/2016,5:05 AM,04/20/2016,7:55 AM,"50 Hours, 50 Minutes",CenterPoint Energy,TRE,Texas: Harris County,"Loss of electric service to more than 50,000 customers for 1 nan",hour or more-Weather,Unknown,415103
16,2016,4,04/27/2016,5:50 AM,04/28/2016,1:35 AM,"19 Hours, 45 Minutes",CenterPoint Energy,TRE,Texas: Harris County,"Loss of electric service to more than 50,000 customers for 1 nan",hour or more-Weather,Unknown,214864
17,2016,5,05/08/2016,9:12 AM,.,.,". Hours,. Minutes",Peak Reliability,WECC,Washington: Clark County;,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Islanding,,Unknown,Unknown
18,2016,5,05/10/2016,8:45 PM,05/13/2016,3:00 AM,"54 Hours, 15 Minutes",Oncor Electric Delivery Company LLC,TRE,"Texas: Dallas County, Tarrant County, Parker County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Distribution nan",Interruption,Unknown,85000
19,2016,5,05/19/2016,9:36 PM,05/20/2016,1:00 AM,"3 Hours, 24 Minutes",Pacificorp,WECC,Utah:,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident- nan,System Operations,461,85179
20,2016,5,05/20/2016 12:00 AM,05/22/2016,5:00 AM,,"53 Hours,0 Minutes","Entergy Services, Inc.",SERC,Louisiana:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Distribution nan",Interruption,Unknown,85000
21,2016,5,05/20/2016,1:15 AM,.,.,". Hours,. Minutes",Entergy Transmission - SOC,SERC,Louisiana:,"Loss of electric service to more than 50,000 customers for 1 nan",hour or more-Weather,Unknown,57184
22,2016,5,05/31/2016,7:30 AM,06/13/2016,7:27 AM,"311 Hours, 57 Minutes",Upstate New York Power Producers,NPCC,New York: Tompkins County;,Fuel supply emergencies that could impact electric power system adequacy or reliability- nan,Fuel Supply Deficiency,150,Unknown
23,2016,6,06/17/2016,3:40 PM,06/18/2016,8:34 AM,"16 Hours, 54 Minutes",Southern Company,SERC,"Georgia, Alabama, Mississippi, Florida","Loss of electric service to more than 50,000 customers for 1 nan",hour or more-Weather,304,91260
24,2016,7,07/05/2016,2:45 AM,07/06/2016,3:00 AM,"24 Hours, 15 Minutes",Oncor Electric Delivery Company LLC,TRE,"Texas: Dallas County, Tarrant County","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,52000
25,2016,7,07/05/2016,5:30 PM,07/06/2016,4:00 PM,"22 Hours, 30 Minutes",Northern States Power Co,MRO,"Minnesota, Wisconsin","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,250000
26,2016,7,07/07/2016,4:20 AM,07/07/2016,8:00 AM,"3 Hours, 40 Minutes",Kansas City Power & Light Co,SERC,"Kansas: Johnson County; Missouri: Jackson County, Platte County, Cass County, Buchanan County, Atchison County, Andrew County, Clay County, Nodaway County","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,58500
27,2016,7,07/08/2016,6:00 PM,.,.,". Hours,. Minutes","(8400 Smiths Mill Road, New Albany Ohio 43054)",RFC,West Virginia: Virginia,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,62961
28,2016,7,07/08/2016,7:00 PM,07/09/2016 12:00 AM,,"5 Hours,0 Minutes",Detroit Edison Co,RFC,"Michigan: Wayne County, Oakland County, Macomb County, St. Clair County, Lapeer County, Tuscola County, Sanilac County, Huron County","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,160895
29,2016,7,07/08/2016,8:50 PM,07/09/2016,7:25 PM,"22 Hours, 35 Minutes",Duke Energy Carolinas,SERC,North Carolina,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,600,203345
30,2016,7,07/09/2016,5:45 PM,07/11/2016,2:00 PM,"44 Hours, 15 Minutes",Oncor Electric Delivery Company LLC,TRE,Texas: Dallas County,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,62000
31,2016,7,07/12/2016,2:10 PM,07/12/2016,8:33 PM,"6 Hours, 23 Minutes",Puerto Rico Electric Power Authority,PR,Puerto Rico,Voltage Reduction-System nan,Operations,450,218000
32,2016,7,07/13/2016,3:00 PM,.,.,". Hours,. Minutes",Memphis Light Gas and Water Division,SERC,Tennessee: Shelby County,Public Appeal-System nan,Operations,Unknown,Unknown
33,2016,7,07/14/2016,2:44 PM,07/15/2016,4:00 AM,"13 Hours, 16 Minutes",American Electric Power - (SPP Reliability Region),SPP,Oklahoma,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,96966
34,,,,,,,,,"SPP,",Arkansas: Louisiana:,"Loss of electric service to more than 50,000 customers for 1",,,
35,2016,7,07/14/2016,4:30 PM,07/16/2016 12:00 AM,,"31 Hours, 30 Minutes","Entergy Services, Inc.","SERC,",Mississippi: Texas,hour or more-Severe Weather,,Unknown,170244
36,2016,7,07/14/2016,5:30 PM,07/16/2016,8:00 PM,"50 Hours, 30 Minutes",Oklahoma Gas & Electric Co,SPP,Oklahoma: Arkansas,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,7300
37,2016,7,07/19/2016,3:45 PM,07/19/2016,7:25 PM,"3 Hours, 40 Minutes",Pacificorp,WECC,Idaho,"Islanding, Uncontrolled Loss 300+ MW-System Operations",,485,Unknown
38,2016,7,07/19/2016,3:45 PM,07/19/2016,7:29 PM,"3 Hours, 44 Minutes",Bonneville Power Administration,WECC,Idaho,"Islanding, Uncontrolled Loss 300+ MW-System Operations",,290,Unknown
39,2016,7,07/21/2016,7:21 PM,07/22/2016 12:09 AM,,"4 Hours, 48 Minutes",Puerto Rico Electric Power Authority,PR,Puerto Rico,"Load Shed 100+ MW, Voltage Reduction-System Operations",,200,266000
40,2016,7,07/22/2016 11:50 PM,07/23/2016,9:10 AM,,"9 Hours, 20 Minutes",ISO New England,NPCC,Massachusetts: Connecticut: Rhode Island: New Hampshire: Vermont: Maine,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,57058
41,2016,7,07/23/2016,3:15 PM,07/23/2016,7:53 PM,"4 Hours, 38 Minutes",CAmbria Cogen Company,RFC,Pennsylvania: Cambria County,Voltage Reduction-System nan,Operations,87,Unknown
42,2016,7,07/23/2016,7:30 PM,07/24/2016,7:30 AM,"12 Hours,0 Minutes",ISO New England,NPCC,Connecticut: Massachusetts: New Hampshire: Vermont: Rhode Island,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,101073
43,2016,7,07/25/2016,6:51 PM,07/26/2016,2:19 AM,"7 Hours, 28 Minutes",Puerto Rico Electric Power Authority,PR,Puerto Rico,Voltage Reduction-System nan,Operations,0,0
44,2016,7,07/26/2016,6:51 PM,07/27/2016,1:45 AM,"6 Hours, 54 Minutes",Puerto Rico Electric Power Authority,PR,Puerto Rico,Voltage Reduction-System nan,Operations,25,37100
45,2016,7,07/27/2016,6:50 PM,07/28/2016,1:38 AM,"6 Hours, 48 Minutes",Puerto Rico Electric Power Authority,PR,Puerto Rico,Voltage Reduction-System nan,Operations,80,106300
46,2016,7,07/28/2016,6:51 PM,07/29/2016,2:02 AM,"7 Hours, 11 Minutes",Puerto Rico Electric Power Authority,PR,Puerto Rico,Voltage Reduction-System nan,Operations,22,21600
47,2016,7,07/29/2016,7:09 PM,07/29/2016,7:57 PM,"0 Hours, 48 Minutes",Puerto Rico Electric Power Authority,PR,Puerto Rico,Voltage Reduction-System nan,Operations,0,0
48,2016,8,08/07/2016,6:39 PM,08/07/2016,8:27 PM,"1 Hours, 48 Minutes",Peak Reliability,WECC,New Mexico: Bernalillo County;,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident- nan,System Operations,Unknown,Unknown
49,2016,8,08/10/2016,6:00 AM,.,.,". Hours,. Minutes",California Department of Water Resources,WECC,California: Butte County;,Fuel supply emergencies that could impact electric power system adequacy or reliability- Fuel Supply Deficiency,,0,0
50,2016,8,08/11/2016,4:30 PM,08/11/2016,7:15 PM,"2 Hours, 45 Minutes",FirstEnergy Corp,RFC,Ohio:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,62140
51,2016,8,08/13/2016 11:42 AM,08/13/2016,2:07 PM,,"2 Hours, 25 Minutes","Broad River Energy, LLC",SERC,South Carolina:,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident- nan,System Operations,506,0
52,2016,8,08/23/2016,5:00 PM,08/24/2016 12:05 AM,,"7 Hours,5 Minutes",CenterPoint Energy,TRE,Texas: Harris County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,72200
53,2016,8,08/24/2016,6:13 PM,08/24/2016,7:14 PM,"1 Hours,1 Minutes",Puerto Rico Electric Power Authority,PR,Puerto Rico:,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident- nan,System Operations,600,400000
54,2016,8,08/24/2016,7:18 PM,08/24/2016,7:47 PM,"0 Hours, 29 Minutes",Peak Reliability,WECC,Washington: King County;,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Islanding,,9232,Unknown
55,2016,8,08/31/2016,9:45 AM,08/31/2016,9:55 AM,"0 Hours, 10 Minutes",Peak Reliability,WECC,Colorado:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Transmission nan,Interruption,0,0
56,2016,8,08/31/2016,2:52 PM,.,.,". Hours,. Minutes",Peak Reliability,WECC,Washington: Clark County;,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Islanding,,0,0
57,2016,9,09/01/2016 10:00 PM,.,.,,". Hours,. Minutes",Seminole Electric Cooperative Inc,FRCC,Florida:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,100,Unknown
58,2016,9,09/02/2016 12:40 AM,09/04/2016,8:00 PM,,"67 Hours, 20 Minutes",City of Tallahassee - (FL),FRCC,"Florida: Leon County, Wakulla County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,450,75000
59,2016,9,09/02/2016,4:00 AM,09/02/2016,4:00 PM,"12 Hours,0 Minutes",Duke Energy Florida,FRCC,"Florida: Alachua County, Bay County, Citrus County, Columbia County, Dixie County, Franklin County, Gilchrist County, Gulf County, Hamilton County, Hardee County, Hernando County, Highlands County, Jefferson County, Lafayette County, Lake County, Levy County, Madison County, Marion County, Orange County, Osceola County, Pasco County, Pinellas County, Polk County, Seminole County, Sumter County, Su","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,225,90000
60,2016,9,09/02/2016,5:45 AM,09/03/2016 12:30 AM,,"18 Hours, 45 Minutes",Southern Company,SERC,Georgia:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,57000
61,2016,9,09/06/2016,6:12 PM,09/06/2016,9:24 PM,"3 Hours, 12 Minutes",Peak Reliability,WECC,Washington: Clark County;,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Islanding,300,Unknown,
62,2016,9,09/08/2016,8:30 AM,09/25/2016 12:00 AM,,"399 Hours, 30 Minutes",Upstate New York Power Producers,NPCC,New York: Tompkins County;,Fuel supply emergencies that could impact electric power system adequacy or reliability- Fuel Supply Deficiency,210,Unknown,
63,2016,9,09/08/2016,2:49 PM,09/08/2016,3:03 PM,"0 Hours, 14 Minutes",Peak Reliability,WECC,Washington:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Islanding,0,0,
64,2016,9,09/10/2016,9:42 AM,09/10/2016,9:57 AM,"0 Hours, 15 Minutes",Peak Reliability,WECC,Washington: Clark County;,Load shedding of 100 Megawatts or more implemented under emergency operational policy-Generation Inadequacy,135,Unknown,
65,2016,9,09/11/2016 12:05 PM,09/11/2016,3:10 PM,,"3 Hours,5 Minutes",ISO New England,NPCC,Connecticut: Massachusetts: New Hampshire: Rhode Island: Vermont: Maine:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,57960,
66,2016,9,09/12/2016 12:30 PM,09/12/2016,5:56 PM,,"5 Hours, 26 Minutes",Public Service Company of New Mexico,WECC,"New Mexico: Bernalillo County, Sandoval County, Santa Fe County, Valencia County;",Load shedding of 100 Megawatts or more implemented under emergency operational policy-Generation Inadequacy,110,53753,
67,2016,9,09/21/2016,2:30 PM,09/24/2016,2:30 AM,"60 Hours,0 Minutes",Puerto Rico Electric Power Authority,,Puerto Rico:,Complete operational failure or shut-down of the transmission and/or distribution electrical system-System Operations,2750,1475000,
68,2016,9,09/22/2016 10:56 AM,09/22/2016 11:41 AM,,,"0 Hours, 45 Minutes",Cedar Falls Utilities,MRO,Iowa: Black Hawk County;,Complete operational failure or shut-down of the transmission and/or distribution electrical system-System Operations,69,19124,
69,2016,10,10/02/2016 11:30 PM,10/05/2016,8:00 AM,,"56 Hours, 30 Minutes",Pacificorp,WECC,Utah:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system- Transmission Interruption,50,4000,
70,2016,10,10/03/2016,3:09 PM,10/04/2016,7:00 PM,"27 Hours, 51 Minutes",ERCOT,TRE,Texas:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Public Appeal,Unknown,Unknown,
71,2016,10,10/05/2016 11:32 AM,10/05/2016,7:00 PM,,"7 Hours, 28 Minutes",ERCOT,TRE,Texas:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Public Appeal,Unknown,Unknown,
