Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Unnamed: 7,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,
,,,,,,,,,,Maine: Connecticut:,Loss of electric service to more,,,
,,,,,,,,,,Massachusetts: Vermont: New,"than 50,000 customers for 1",,,
2016,1,01/10/2016,8:46 PM,01/11/2016,5:25 AM,"8 Hours, 39 Minutes",,ISO New England,NPCC,Hampshire: Rhode Island:,,hour or more-Weather,Unknown,59859
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2016,1,01/22/2016,3:52 PM,01/24/2016 12:30 PM,,"44 Hours, 38 Minutes",,Duke Energy Progress,SERC,North Carolina: South Carolina:,,hour or more-Weather,Unknown,150000
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2016,1,01/23/2016,7:49 AM,01/23/2016,9:05 AM,"1 Hours, 16 Minutes",,FirstEnergy Corp. Jersey Central Power & Light,RFC,New Jersey:,,hour or more-Weather,Unknown,50900
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,Connecticut: Massachusetts:,"than 50,000 customers for 1",,,
2016,2,02/05/2016 11:21 AM,02/06/2016,3:48 PM,,"28 Hours, 27 Minutes",,ISO New England,NPCC,Rhode Island:,,hour or more-Weather,Unknown,115057
,,,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,,,of a power grid remain(s),,,
,,,,,,,,,,,operational in an otherwise,,,
,,,,,,,,,,,blacked out area or within the,,,
,,,,,,,,,,,partial failure of an integrated,,,
2016,2,02/13/2016 12:44 PM,02/13/2016,4:27 PM,,"3 Hours, 43 Minutes",,Pacific Gas & Electric Co,SERC,California,electrical system-Islanding,,7,4300
,,,,,,,,,,"Virginia: Roanoke County,",,,,
,,,,,,,,,,Montgomery County; West,,,,
,,,,,,,,,,"Virginia: Kanawha County,",Loss of electric service to more,,,
,,,,,,,,American Electric Power - (RFC Reliability Region),,Cabell County; Tennessee:,"than 50,000 customers for 1",,,
2016,2,02/16/2016,8:35 AM,02/16/2016,5:28 PM,"8 Hours, 53 Minutes",,"(8400 Smiths Mill Road, New Albany Ohio 43054)",RFC,Sullivan County;,,hour or more-Weather,Unknown,52640
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2016,2,02/19/2016 10:00 PM,02/20/2016 11:13 PM,,,"25 Hours, 13 Minutes",,Detroit Edison Co,RFC,Michigan,,hour or more-Weather,Unknown,145314
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2016,2,02/24/2016,2:45 PM,02/25/2016,5:00 AM,"14 Hours, 15 Minutes",,Duke Energy Carolinas,SERC,North Carolina: South Carolina,,hour or more-Weather,400,284610
,,,,,,,,,,Connecticut: Maine:,Loss of electric service to more,,,
,,,,,,,,,,Massachusetts: Rhode Island:,"than 50,000 customers for 1",,,
2016,2,02/25/2016,1:44 AM,02/25/2016,2:45 PM,"13 Hours,",1 Minutes,ISO New England,NPCC,Vermont:,,hour or more-Weather,Unknown,114190
,,,,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,,,,could impact electric power,,,
,,,,,,,,,,California: San Bernardino,system adequacy or reliability-,,,
2016,2,02/26/2016 12:01 AM,.,.,,". Hours,",. Minutes,California Department of Water Resources,WECC,County,,Fuel Supply Deficiency,0,0
