"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","REM"
"99849799999","2020-11-13T20:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","240,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0045,1","+9999,9","99999,9","SYN046FSTI2 46/// /2410 10045 92000 555 11010 22011="
"99849799999","2020-11-13T21:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","240,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0040,1","+9999,9","99999,9","SYN046FSTI2 46/// /2410 10040 92100 555 11010 22011="
"99849799999","2020-11-13T22:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","290,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0037,1","+9999,9","99999,9","SYN046FSTI2 46/// /2903 10037 92200 555 11003 22004="
"99849799999","2020-11-13T23:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","260,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0032,1","+9999,9","99999,9","SYN046FSTI2 46/// /2606 10032 92300 555 11006 22006="
"99849799999","2020-11-14T00:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","270,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0028,1","+9999,9","99999,9","SYN046FSTI2 46/// /2703 10028 90000 555 11003 22003="
"99849799999","2020-11-14T01:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","260,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0024,1","+9999,9","99999,9","SYN046FSTI2 46/// /2606 10024 90100 555 11006 22006="
"99849799999","2020-11-14T02:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","230,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0019,1","+9999,9","99999,9","SYN046FSTI2 46/// /2308 10019 90200 555 11008 22009="
"99849799999","2020-11-14T03:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","250,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0015,1","+9999,9","99999,9","SYN046FSTI2 46/// /2504 10015 90300 555 11004 22004="
"99849799999","2020-11-14T04:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","240,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0012,1","+9999,9","99999,9","SYN046FSTI2 46/// /2406 10012 90400 555 11006 22006="
"99849799999","2020-11-14T05:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","180,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0008,1","+9999,9","99999,9","SYN046FSTI2 46/// /1808 10008 90500 555 11008 22009="
"99849799999","2020-11-14T06:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","180,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0005,1","+9999,9","99999,9","SYN046FSTI2 46/// /1809 10005 90600 555 11009 22009="
"99849799999","2020-11-14T07:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","190,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0009,1","+9999,9","99999,9","SYN046FSTI2 46/// /1909 10009 90700 555 11009 22010="
"99849799999","2020-11-14T08:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","180,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0011,1","+9999,9","99999,9","SYN046FSTI2 46/// /1811 10011 90800 555 11011 22012="
"99849799999","2020-11-14T09:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","170,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0010,1","+9999,9","99999,9","SYN046FSTI2 46/// /1706 10010 90900 555 11006 22007="
"99849799999","2020-11-14T10:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","160,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0014,1","+9999,9","99999,9","SYN046FSTI2 46/// /1613 10014 91000 555 11013 22015="
"99849799999","2020-11-14T11:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","160,1,N,0113,1","99999,9,9,N","999999,9,9,9","+0013,1","+9999,9","99999,9","SYN046FSTI2 46/// /1622 10013 91100 555 11022 22024="
"99849799999","2020-11-14T12:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","150,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0008,1","+9999,9","99999,9","SYN046FSTI2 46/// /1507 10008 91200 555 11007 22008="
"99849799999","2020-11-14T13:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","140,1,N,0139,1","99999,9,9,N","999999,9,9,9","+0017,1","+9999,9","99999,9","SYN046FSTI2 46/// /1427 10017 91300 555 11028 22030="
"99849799999","2020-11-14T14:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","150,1,N,0170,1","99999,9,9,N","999999,9,9,9","+0024,1","+9999,9","99999,9","SYN046FSTI2 46/// /1533 10024 91400 555 11033 22036="
"99849799999","2020-11-14T15:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","150,1,N,0088,1","99999,9,9,N","999999,9,9,9","+0034,1","+9999,9","99999,9","SYN046FSTI2 46/// /1517 10034 91500 555 11017 22018="
