"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","REM"
"99725599999","2020-11-02T05:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","280,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0000,1","-0076,1","10285,1","2,1,004,1,+999,9","5,99,0036,1,999","SYN074CMTI2 46/// /2804 10000 21076 40285 52004 90500 333 91207 555 11004 22004="
"99725599999","2020-11-02T06:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","270,1,N,0015,1","99999,9,9,N","999999,9,9,9","-0007,1","-0076,1","10284,1","4,1,000,1,+999,9","5,99,0026,1,999","SYN074CMTI2 46/// /2703 11007 21076 40284 54000 90600 333 91205 555 11003 22003="
"99725599999","2020-11-02T07:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","260,1,N,0015,1","99999,9,9,N","999999,9,9,9","-0013,1","-0075,1","10283,1","4,1,000,1,+999,9","5,99,0031,1,999","SYN074CMTI2 46/// /2603 11013 21075 40283 54000 90700 333 91206 555 11003 22003="
"99725599999","2020-11-02T08:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","260,1,N,0015,1","99999,9,9,N","999999,9,9,9","-0017,1","-0075,1","10282,1","7,1,003,1,+999,9","5,99,0026,1,999","SYN074CMTI2 46/// /2603 11017 21075 40282 57003 90800 333 91205 555 11003 22003="
"99725599999","2020-11-02T09:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","260,1,N,0015,1","99999,9,9,N","999999,9,9,9","-0016,1","-0075,1","10277,1","8,1,007,1,+999,9","5,99,0026,1,999","SYN074CMTI2 46/// /2603 11016 21075 40277 58007 90900 333 91205 555 11003 22003="
"99725599999","2020-11-02T10:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","250,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0014,1","-0080,1","10277,1","7,1,006,1,+999,9","5,99,0031,1,999","SYN074CMTI2 46/// /2504 11014 21080 40277 57006 91000 333 91206 555 11004 22004="
"99725599999","2020-11-02T11:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","240,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0013,1","-0079,1","10278,1","6,1,004,1,+999,9","5,99,0041,1,999","SYN074CMTI2 46/// /2404 11013 21079 40278 56004 91100 333 91208 555 11004 22004="
"99725599999","2020-11-02T12:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","230,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0014,1","-0076,1","10276,1","4,1,000,1,+999,9","5,99,0036,1,999","SYN074CMTI2 46/// /2304 11014 21076 40276 54000 91200 333 91207 555 11004 22004="
"99725599999","2020-11-02T13:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","230,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0020,1","-0078,1","10273,1","8,1,004,1,+999,9","5,99,0041,1,999","SYN074CMTI2 46/// /2305 11020 21078 40273 58004 91300 333 91208 555 11005 22006="
"99725599999","2020-11-02T14:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","210,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0005,1","-0072,1","10272,1","7,1,006,1,+999,9","5,99,0057,1,999","SYN074CMTI2 46/// /2106 11005 21072 40272 57006 91400 333 91211 555 11006 22007="
