"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","OD1","REM"
"99773599999","2020-08-09T14:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","140,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0238,1","+9999,9","99999,9","5,99,0036,1,999","SYN056WHRI2 46/// /1406 10238 91350 333 91207 555 11006 22007="
"99773599999","2020-08-09T15:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","120,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0232,1","+9999,9","99999,9","5,99,0046,1,999","SYN056WHRI2 46/// /1208 10232 91450 333 91209 555 11008 22008="
"99773599999","2020-08-09T16:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","130,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0232,1","+9999,9","99999,9","5,99,0057,1,999","SYN056WHRI2 46/// /1310 10232 91600 333 91211 555 11010 22011="
"99773599999","2020-08-09T17:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","140,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0247,1","+9999,9","99999,9","5,99,0051,1,999","SYN056WHRI2 46/// /1409 10247 91650 333 91210 555 11010 22010="
"99773599999","2020-08-09T18:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","130,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0238,1","+9999,9","99999,9","5,99,0062,1,999","SYN056WHRI2 46/// /1311 10238 91800 333 91212 555 11011 22011="
"99773599999","2020-08-09T19:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","140,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0253,1","+9999,9","99999,9","5,99,0062,1,999","SYN056WHRI2 46/// /1411 10253 91850 333 91212 555 11011 22012="
"99773599999","2020-08-09T20:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","150,1,N,0088,1","99999,9,9,N","999999,9,9,9","+0257,1","+9999,9","99999,9","5,99,0103,1,999","SYN056WHRI2 46/// /1517 10257 92000 333 91220 555 11017 22019="
"99773599999","2020-08-09T21:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","160,1,N,0088,1","99999,9,9,N","999999,9,9,9","+0256,1","+9999,9","99999,9","5,99,0103,1,999","SYN056WHRI2 46/// /1617 10256 92050 333 91220 555 11017 22019="
"99773599999","2020-08-09T22:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","170,1,N,0088,1","99999,9,9,N","999999,9,9,9","+0260,1","+9999,9","99999,9","5,99,0103,1,999","SYN056WHRI2 46/// /1717 10260 92200 333 91220 555 11018 22019="
"99773599999","2020-08-09T23:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","210,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0297,1","+9999,9","99999,9","5,99,0098,1,999","SYN056WHRI2 46/// /2114 10297 92300 333 91219 555 11015 22015="
