"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","OD1","REM","EQD"
"99849999999","2020-06-14T15:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","020,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0160,1","+0091,1","99999,9",,,"5,99,0046,1,999","SYN062CNII2 46/// /0206 10160 20091 91500 333 91209 555 11006 22007=",
"99849999999","2020-06-14T16:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","030,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0160,1","+0097,1","99999,9",,,"5,99,0046,1,999","SYN062CNII2 46/// /0306 10160 20097 91545 333 91209 555 11006 22007=",
"99849999999","2020-06-14T17:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","040,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0157,1","+0098,1","99999,9",,,"5,99,0046,1,999","SYN062CNII2 46/// /0404 10157 20098 91645 333 91209 555 11004 22005=",
"99849999999","2020-06-14T18:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","030,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0162,1","+0108,1","99999,9",,,"5,99,0051,1,999","SYN062CNII2 46/// /0306 10162 20108 91800 333 91210 555 11006 22006=",
"99849999999","2020-06-14T19:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","020,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0162,1","+0101,1","99999,9",,,"5,99,0067,1,999","SYN062CNII2 46/// /0210 10162 20101 91900 333 91213 555 11010 22010=",
"99849999999","2020-06-14T20:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","010,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0165,1","+0092,1","99999,9",,,"5,99,0067,1,999","SYN062CNII2 46/// /0109 10165 20092 91945 333 91213 555 11009 22009=",
"99849999999","2020-06-14T21:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","360,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0172,1","+0080,1","99999,9",,,"5,99,0062,1,999","SYN062CNII2 46/// /3612 10172 20080 92045 333 91212 555 11012 22013=",
"99849999999","2020-06-14T22:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","010,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0164,1","+0091,1","99999,9",,,"5,99,0067,1,999","SYN062CNII2 46/// /0110 10164 20091 92145 333 91213 555 11010 22011=",
"99849999999","2020-06-14T23:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","020,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0154,1","+0093,1","99999,9",,,"5,99,0072,1,999","SYN062CNII2 46/// /0208 10154 20093 92245 333 91214 555 11008 22009=",
"99849999999","2020-06-15T00:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","360,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0145,1","+0089,1","99999,9",,,"5,99,0072,1,999","SYN062CNII2 46/// /3612 10145 20089 90000 333 91214 555 11012 22013=",
"99849999999","2020-06-15T00:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","SHEF ","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+0139,1","+9999,9","99999,9","240,M,+0172,1","240,N,+0128,1",,,
"99849999999","2020-06-15T01:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","360,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0137,1","+0092,1","99999,9",,,"5,99,0072,1,999","SYN062CNII2 46/// /3610 10137 20092 90045 333 91214 555 11010 22011=",
"99849999999","2020-06-15T02:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","360,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0129,1","+0087,1","99999,9",,,"5,99,0072,1,999","SYN062CNII2 46/// /3610 10129 20087 90145 333 91214 555 11010 22011=",
"99849999999","2020-06-15T03:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","010,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0127,1","+0087,1","99999,9",,,"5,99,0067,1,999","SYN062CNII2 46/// /0105 10127 20087 90245 333 91213 555 11005 22005=",
"99849999999","2020-06-15T04:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","040,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0136,1","+0092,1","99999,9",,,"5,99,0057,1,999","SYN062CNII2 46/// /0410 10136 20092 90345 333 91211 555 11010 22011=",
"99849999999","2020-06-15T05:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","010,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0135,1","+0089,1","99999,9",,,"5,99,0057,1,999","SYN062CNII2 46/// /0103 10135 20089 90445 333 91211 555 11003 22004=",
"99849999999","2020-06-15T06:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","030,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0135,1","+0088,1","99999,9",,,"5,99,0062,1,999","SYN062CNII2 46/// /0307 10135 20088 90545 333 91212 555 11007 22008=",
"99849999999","2020-06-15T07:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0134,1","+0097,1","99999,9",,,"5,99,0051,1,999","SYN062CNII2 46/// /0000 10134 20097 90645 333 91210 555 11001 22001=",
"99849999999","2020-06-15T08:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","360,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0132,1","+0105,1","99999,9",,,"5,99,0046,1,999","SYN062CNII2 46/// /3602 10132 20105 90745 333 91209 555 11002 22002=",
"99849999999","2020-06-15T09:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","040,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0130,1","+0107,1","99999,9",,,"5,99,0031,1,999","SYN062CNII2 46/// /0402 10130 20107 90845 333 91206 555 11002 22003=",
"99849999999","2020-06-15T10:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0129,1","+0112,1","99999,9",,,"5,99,0021,1,999","SYN062CNII2 46/// /0000 10129 20112 90945 333 91204 555 11000 22000=",
"99849999999","2020-06-15T11:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","100,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0143,1","+0112,1","99999,9",,,"5,99,0031,1,999","SYN062CNII2 46/// /1005 10143 20112 91100 333 91206 555 11005 22005=",
"99849999999","2020-06-15T12:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","070,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0156,1","+0108,1","99999,9",,,"5,99,0031,1,999","SYN062CNII2 46/// /0704 10156 20108 91145 333 91206 555 11004 22004=",
"99849999999","2020-06-15T13:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","090,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0166,1","+0099,1","99999,9",,,"5,99,0031,1,999","SYN062CNII2 46/// /0902 10166 20099 91245 333 91206 555 11002 22002=",
"99849999999","2020-06-15T14:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","050,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0167,1","+0096,1","99999,9",,,"5,99,0026,1,999","SYN062CNII2 46/// /0503 10167 20096 91345 333 91205 555 11003 22004=",
"99849999999","2020-06-15T15:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","050,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0170,1","+0095,1","99999,9",,,"5,99,0026,1,999","SYN062CNII2 46/// /0505 10170 20095 91500 333 91205 555 11005 22005=",
"99849999999","2020-06-15T16:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","040,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0173,1","+0105,1","99999,9",,,"5,99,0026,1,999","SYN062CNII2 46/// /0405 10173 20105 91545 333 91205 555 11005 22005=",
"99849999999","2020-06-15T17:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","020,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0172,1","+0118,1","99999,9",,,"5,99,0041,1,999","SYN062CNII2 46/// /0207 10172 20118 91700 333 91208 555 11007 22007=",
"99849999999","2020-06-15T18:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","020,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0177,1","+0122,1","99999,9",,,"5,99,0041,1,999","SYN062CNII2 46/// /0207 10177 20122 91745 333 91208 555 11007 22007=",
