"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","OD1","REM"
"99773599999","2018-10-03T10:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","180,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0164,1","+9999,9","99999,9","5,99,0082,1,999","SYN056WHRI2 46/// /1815 10164 91010 333 91216 555 11015 22016="
"99773599999","2018-10-03T11:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","190,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0163,1","+9999,9","99999,9","5,99,0082,1,999","SYN056WHRI2 46/// /1913 10163 91040 333 91216 555 11013 22013="
"99773599999","2018-10-03T12:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","190,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0165,1","+9999,9","99999,9","5,99,0067,1,999","SYN056WHRI2 46/// /1912 10165 91140 333 91213 555 11012 22012="
"99773599999","2018-10-03T13:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","190,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0172,1","+9999,9","99999,9","5,99,0057,1,999","SYN056WHRI2 46/// /1910 10172 91240 333 91211 555 11010 22011="
"99773599999","2018-10-03T14:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","210,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0192,1","+9999,9","99999,9","5,99,0093,1,999","SYN056WHRI2 46/// /2114 10192 91340 333 91218 555 11014 22015="
"99773599999","2018-10-03T15:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","210,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0206,1","+9999,9","99999,9","5,99,0067,1,999","SYN056WHRI2 46/// /2111 10206 91440 333 91213 555 11011 22012="
"99773599999","2018-10-03T16:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","200,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0222,1","+9999,9","99999,9","5,99,0077,1,999","SYN056WHRI2 46/// /2012 10222 91540 333 91215 555 11012 22012="
"99773599999","2018-10-03T17:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","170,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0225,1","+9999,9","99999,9","5,99,0072,1,999","SYN056WHRI2 46/// /1713 10225 91640 333 91214 555 11013 22014="
"99773599999","2018-10-03T18:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","190,1,N,0088,1","99999,9,9,N","999999,9,9,9","+0255,1","+9999,9","99999,9","5,99,0103,1,999","SYN056WHRI2 46/// /1917 10255 91740 333 91220 555 11017 22018="
"99773599999","2018-10-03T19:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","190,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0258,1","+9999,9","99999,9","5,99,0098,1,999","SYN056WHRI2 46/// /1918 10258 91840 333 91219 555 11018 22019="
"99773599999","2018-10-03T20:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","200,1,N,0103,1","99999,9,9,N","999999,9,9,9","+0277,1","+9999,9","99999,9","5,99,0144,1,999","SYN056WHRI2 46/// /2020 10277 91940 333 91228 555 11020 22021="
"99773599999","2018-10-03T21:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","210,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0287,1","+9999,9","99999,9","5,99,0134,1,999","SYN056WHRI2 46/// /2118 10287 92040 333 91226 555 11018 22019="
"99773599999","2018-10-03T22:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","210,1,N,0124,1","99999,9,9,N","999999,9,9,9","+0291,1","+9999,9","99999,9","5,99,0160,1,999","SYN056WHRI2 46/// /2124 10291 92140 333 91231 555 11024 22026="
