"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","REM","EQD"
"99849799999","2018-11-25T08:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","320,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0046,1","+9999,9","99999,9","SYN046FSTI2 46/// /3210 10046 90800 555 11010 22011=",
"99849799999","2018-11-25T09:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","300,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0047,1","+9999,9","99999,9","SYN046FSTI2 46/// /3014 10047 90900 555 11014 22015=",
"99849799999","2018-11-25T10:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","300,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0046,1","+9999,9","99999,9","SYN046FSTI2 46/// /3003 10046 91000 555 11003 22004=",
"99849799999","2018-11-25T11:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","010,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0044,1","+9999,9","99999,9","SYN046FSTI2 46/// /0110 10044 91100 555 11010 22011=",
"99849799999","2018-11-25T12:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","340,1,N,0103,1","99999,9,9,N","999999,9,9,9","+0043,1","+9999,9","99999,9","SYN046FSTI2 46/// /3420 10043 91200 555 11020 22022=",
"99849799999","2018-11-25T13:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","350,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0043,1","+9999,9","99999,9","SYN046FSTI2 46/// /3509 10043 91300 555 11009 22010=",
"99849799999","2018-11-25T14:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","360,1,N,0098,1","99999,9,9,N","999999,9,9,9","+0043,1","+9999,9","99999,9","SYN046FSTI2 46/// /3619 10043 91400 555 11020 22021=",
"99849799999","2018-11-25T15:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","010,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0041,1","+9999,9","99999,9","SYN046FSTI2 46/// /0114 10041 91500 555 11014 22016=",
"99849799999","2018-11-25T16:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","010,1,N,0118,1","99999,9,9,N","999999,9,9,9","+0038,1","+9999,9","99999,9","SYN046FSTI2 46/// /0123 10038 91600 555 11023 22025=",
"99849799999","2018-11-25T17:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","030,1,N,0165,1","99999,9,9,N","999999,9,9,9","+0034,1","+9999,9","99999,9","SYN046FSTI2 46/// /0332 10034 91700 555 11032 22035=",
"99849799999","2018-11-25T18:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","030,1,N,0149,1","99999,9,9,N","999999,9,9,9","+0036,1","+9999,9","99999,9","SYN046FSTI2 46/// /0329 10036 91800 555 11030 22032=",
"99849799999","2018-11-25T19:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","030,1,N,0227,1","99999,9,9,N","999999,9,9,9","+0034,1","+9999,9","99999,9","SYN046FSTI2 46/// /0344 10034 91900 555 11045 22049=",
"99849799999","2018-11-25T20:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","030,1,N,0196,1","99999,9,9,N","999999,9,9,9","+0030,1","+9999,9","99999,9","SYN046FSTI2 46/// /0338 10030 92000 555 11038 22042=",
"99849799999","2018-11-25T21:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","030,1,N,0175,1","99999,9,9,N","999999,9,9,9","+0034,1","+9999,9","99999,9","SYN046FSTI2 46/// /0334 10034 92100 555 11034 22037=",
"99849799999","2018-11-25T22:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","030,1,N,0232,1","99999,9,9,N","999999,9,9,9","+0039,1","+9999,9","99999,9","SYN046FSTI2 46/// /0345 10039 92200 555 11045 22049=",
"99849799999","2018-11-25T23:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","030,1,N,0247,1","99999,9,9,N","999999,9,9,9","+0039,1","+9999,9","99999,9","SYN046FSTI2 46/// /0348 10039 92300 555 11048 22052=",
"99849799999","2018-11-26T00:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","020,1,N,0165,1","99999,9,9,N","999999,9,9,9","+0035,1","+9999,9","99999,9","SYN046FSTI2 46/// /0232 10035 90000 555 11033 22036=",
