Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,RESIDENTIAL,Unnamed: 10,Unnamed: 11,COMMERCIAL,Unnamed: 13,Unnamed: 14,INDUSTRIAL,Unnamed: 16,Unnamed: 17,TRANSPORTATION,Unnamed: 19,Unnamed: 20,TOTAL,Unnamed: 22,Unnamed: 23
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA_CODE,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2015,9598,City of Jackson - (OH),A,Bundled,O,OH,Municipal,PJM,4498,35535,3372,6136,53352,799,8587,99813,11,.,.,.,19221,188700,4182
2015,9599,City of Jackson - (MN),A,Bundled,O,MN,Municipal,MISO,1585.4,13268,1617,713.8,5580,308,3000,28132,49,.,.,.,5299.2,46980,1974
2015,9601,Jackson Electric Member Corp - (GA),A,Bundled,O,GA,Cooperative,SOCO,304831,2990406,196654,155124,1514222,21145,51111,764195,194,.,.,.,511066,5268823,217993
2015,9603,City of Jackson - (MO),A,Bundled,O,MO,Municipal,MISO,8540.9,72624,6154,5314.7,47423,913,2560.8,26074,7,0,0,0,16416.4,146121,7074
2015,9605,Jackson Purchase Energy Corporation,A,Bundled,O,KY,Cooperative,MISO,37547.2,379943,25347,17944.3,208549,4008,4856.4,54003,9,.,.,.,60347.9,642495,29364
2015,9612,City of Jackson - (TN),A,Bundled,O,TN,Municipal,TVA,40831,394896,29294,59661,599436,6286,42504,705736,29,0,0,0,142996,1700068,35609
2015,9613,City of Lebanon - (IN),A,Bundled,O,IN,Municipal,MISO,8403,74193,7594,4340,35634,1271,9537,105862,117,.,.,.,22280,215689,8982
2015,9616,Beaches Energy Services,A,Bundled,O,FL,Municipal,FPL,54143.6,440883,29709,35116.9,272825,5194,.,.,.,.,.,.,89260.5,713708,34903
2015,9617,JEA,A,Bundled,O,FL,Municipal,JEA,609427.8,5197183,391219,421872.4,4087854,54397,222486,2802362,206,316.9,3256,1,1254103.1,12090655,445823
2015,9645,Jamestown Board of Public Util,A,Bundled,O,NY,Municipal,NYIS,11858.2,168731,16454,12866.2,178125,2657,6263.4,104132,124,0,0,0,30987.8,450988,19235
2015,9645,Jamestown Board of Public Util,C,Delivery,O,NY,Municipal,NYIS,0,0,0,0,0,0,83.5,14653,2,0,0,0,83.5,14653,2
2015,9664,City of Jasper - (TX),A,Bundled,O,TX,Municipal,MISO,5580,44177,3482,6611,46063,918,875,8427,5,.,.,.,13066,98667,4405
2015,9665,Jasper County Rural E M C,A,Bundled,O,IN,Cooperative,MISO,12571,100267,7568,7909,75720,1354,3199.6,42876,2,.,.,.,23679.6,218863,8924
2015,9666,Jay County Rural E M C,A,Bundled,O,IN,Cooperative,PJM,10180,78663,4909,2113,19125,487,7155,84588,47,.,.,.,19448,182376,5443
2015,9667,City of Jasper - (IN),A,Bundled,O,IN,Municipal,MISO,7263.8,71761,5930,11330.1,120052,1203,10863.2,111201,85,0,0,0,29457.1,303014,7218
2015,9668,"Jasper-Newton Elec Coop, Inc",A,Bundled,O,TX,Cooperative,MISO,33826,269183,20072,5387,40352,2225,12021,135776,174,.,.,.,51234,445311,22471
2015,9682,"Jefferson Davis Elec Coop, Inc",A,Bundled,O,LA,Cooperative,MISO,12363,124737,8450,3625,30879,1332,8095,104537,213,.,.,.,24083,260153,9995
2015,9689,Jefferson Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,53425,430272,31376,7717,62282,1760,6606,71438,370,.,.,.,67748,563992,33506
2015,9690,Jefferson Utilities,A,Bundled,O,WI,Municipal,MISO,3144.3,29466,3493,4165.4,42090,537,5830.6,75443,4,0,0,0,13140.3,146999,4034
2015,9697,City of Jellico,A,Bundled,O,KY,Municipal,TVA,2629,25673,1891,628,5226,285,0,0,0,0,0,0,3257,30899,2176
2015,9697,City of Jellico,A,Bundled,O,TN,Municipal,TVA,2584,25203,1862,2097,19693,479,0,0,0,0,0,0,4681,44896,2341
2015,9699,"Jemez Mountains Elec Coop, Inc",A,Bundled,O,NM,Cooperative,WALC,23216,172038,27235,18468,144823,3823,4864,54434,4,0,0,0,46548,371295,31062
2015,9726,Jersey Central Power & Lt Co,A,Bundled,O,NJ,Investor Owned,PJM,1040639.2,7799652,805797,322409.2,2536081,80773,21787.8,196970,1100,0,0,0,1384836.2,10532703,887670
2015,9726,Jersey Central Power & Lt Co,C,Delivery,O,NJ,Investor Owned,PJM,72511.4,1839034,171623,206459.6,6685418,45686,43953.7,1915089,1262,1742.9,89372,1,324667.6,10528913,218572
2015,9734,City of Jewett City - (CT),A,Bundled,O,CT,Municipal,ISNE,2559.9,13971,1870,1338.6,8748,273,33.4,271,1,.,.,.,3931.9,22990,2144
2015,9739,Joe Wheeler Elec Member Corp,A,Bundled,O,AL,Cooperative,TVA,65208,596854,34627,34212,289161,8166,44889,778947,19,0,0,0,144309,1664962,42812
2015,9750,Jo-Carroll Energy Coop Inc,A,Bundled,O,IL,Cooperative,MISO,22971.2,147212,17734,7422,65418,2423,24950,319144,447,.,.,.,55343.2,531774,20604
2015,9777,Johnson City - (TN),A,Bundled,O,TN,Municipal,TVA,101348,997252,66202,78285,783389,10805,10761,139037,18,0,0,0,190394,1919678,77025
2015,9778,Johnson County Rural E M C,A,Bundled,O,IN,Cooperative,MISO,40352.3,311974,23205,8545,83991,2421,5512.5,65034,20,.,.,.,54409.8,460999,25646
2015,9837,Jones-Onslow Elec Member Corp,A,Bundled,O,NC,Cooperative,CPLE,104790.8,912394,68075,23642.7,242542,4160,2503.7,29853,4,.,.,.,130937.2,1184789,72239
2015,9879,City Water and Light Plant,A,Bundled,O,AR,Municipal,MISO,31319,465124,30108,22484,329518,5218,26176,491464,35,.,.,.,79979,1286106,35361
2015,9922,Jump River Electric Coop Inc,A,Bundled,O,WI,Cooperative,MISO,11278,75952,8736,1960,15881,575,.,.,.,.,.,.,13238,91833,9311
2015,9936,Juneau Utility Comm,A,Bundled,O,WI,Municipal,MISO,830.4,7305,940,2203.7,21911,190,1524,17062,2,0,0,0,4558.1,46278,1132
2015,9949,Just Energy,B,Energy,O,MA,Retail Power Marketer,ISNE,40330.5,332506,48720,5208,48567,1805,0,0,0,0,0,0,45538.5,381073,50525
2015,9949,Just Energy,B,Energy,O,PA,Retail Power Marketer,PJM,4663.1,41718,4958,4.5,36,2,0,0,0,0,0,0,4667.6,41754,4960
2015,9949,Just Energy,D,Bundled,O,TX,Retail Power Marketer,ERCO,409698,2987438,223686,98016.7,721876,27672,0,0,0,0,0,0,507714.7,3709314,251358
2015,9964,Kenergy Corp,A,Bundled,O,KY,Cooperative,MISO,72523,720243,45587,31921,323296,10783,267126,7747467,36,0,0,0,371570,8791006,56406
2015,9991,Kandiyohi Power Coop,A,Bundled,O,MN,Cooperative,MISO,12818,101840,7252,4771,41901,985,187,1726,2,.,.,.,17776,145467,8239
2015,9996,City of Kansas City - (KS),A,Bundled,O,KS,Municipal,SWPP,63462,544092,57138,98941,1041737,7103,44948,626088,88,0,0,0,207351,2211917,64329
2015,9999,Kankakee Valley Rural E M C,A,Bundled,O,IN,Cooperative,MISO,26828.6,209683,18276,5947.8,46623,2324,1905.7,20394,11,.,.,.,34682.1,276700,20611
2015,10000,Kansas City Power & Light Co,A,Bundled,O,KS,Investor Owned,SWPP,337808.9,2738806,220015,323242.8,3216674,28222,28882.7,310426,946,.,.,.,689934.4,6265906,249183
