,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..Part|,|Utility Characteristics..Service Type|,"|Utility Characteristics..""Data Type O = Observed I = Imputed""|",|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|Utility Characteristics.BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
0,2014,97.0,Adams Electric Coop,A,Bundled,O,IL,Cooperative,MISO,16685,118512,8433,5158,50633,207,.,.,.,.,.,.,21843.0,169145.0,8640.0
1,2014,970.0,Homefield Energy,B,Energy,O,IL,Retail Power Marketer,PJM,69362,977470,135535,182647,2633571,1781,16245,284492,18,.,.,.,268254.0,3895533.0,137334.0
2,2014,970.0,Homefield Energy,B,Energy,O,IL,Retail Power Marketer,MISO,278458,4748602,542140,148139.4,2422656,1711,139143,3447453,164,1581.6,25438,1,567322.0,10644149.0,544016.0
3,2014,1325.0,City of Batavia - (IL),A,Bundled,O,IL,Municipal,PJM,11965,90185,9542,17724,160588,1335,18061,222711,11,.,.,.,47750.0,473484.0,10888.0
4,2014,1611.0,"Linde Energy Services, Inc.",B,Energy,O,IL,Retail Power Marketer,MISO,0,0,0,0,0,0,10669,241548,4,0,0,0,10669.0,241548.0,4.0
5,2014,3763.0,Dominion Retail Inc,B,Energy,O,IL,Retail Power Marketer,MISO,5249.3,77035,11990,0,0,0,0,0,0,0,0,0,5249.3,77035.0,11990.0
6,2014,3806.0,"Clinton County Elec Coop, Inc",A,Bundled,O,IL,Cooperative,MISO,11191,89445,5261,5184,52094,684,.,.,.,.,.,.,16375.0,141539.0,5945.0
7,2014,3931.0,Coles-Moultrie Electric Coop,A,Bundled,O,IL,Cooperative,MISO,16155,129016,8522,5684,47705,1015,2666,29941,8,.,.,.,24505.0,206662.0,9545.0
8,2014,4100.0,"Commerce Energy, Inc.",B,Energy,O,IL,Retail Power Marketer,PJM,13177.3,159499,21844,146.4,1849,141,.,.,.,.,.,.,13323.7,161348.0,21985.0
9,2014,4110.0,Commonwealth Edison Co,A,Bundled,O,IL,Investor Owned,PJM,1115425.3,9114941,1187567,775004.5,7890441,149280,79885.6,1056386,134,0,0,0,1970315.4,18061768.0,1336981.0
10,2014,4110.0,Commonwealth Edison Co,C,Delivery,O,IL,Investor Owned,PJM,1007238.6,18114700,2302008,625820.6,25051368,223191,369416.6,26791079,1877,7063.5,561728,2,2009539.3,70518875.0,2527078.0
11,2014,4191.0,Consolidated Edison Sol Inc,B,Energy,O,IL,Retail Power Marketer,PJM,0,0,0,4251.7,74956,921,.,.,.,.,.,.,4251.7,74956.0,921.0
12,2014,4362.0,Corn Belt Energy Corporation,A,Bundled,O,IL,Cooperative,MISO,53324,400716,33159,21999,184255,2033,4707,68659,3,.,.,.,80030.0,653630.0,35195.0
13,2014,5470.0,ConocoPhillips Company,B,Energy,O,IL,Retail Power Marketer,MISO,.,.,.,.,.,.,56447.6,1389356,2,.,.,.,56447.6,1389356.0,2.0
14,2014,5535.0,Egyptian Electric Coop Assn,A,Bundled,O,IL,Cooperative,MISO,27507,216597,13574,12962,135191,1345,.,.,.,.,.,.,40469.0,351788.0,14919.0
15,2014,5585.0,Eastern Illinois Elec Coop,A,Bundled,O,IL,Cooperative,MISO,26946,187771,11422,7023,52528,2115,759,7163,3,.,.,.,34728.0,247462.0,13540.0
16,2014,6417.0,City of Flora - (IL),A,Bundled,O,IL,Municipal,MISO,3137,23003,2390,2557,22473,423,6598,70448,10,.,.,.,12292.0,115924.0,2823.0
17,2014,6458.0,First Energy Solutions Corp.,B,Energy,O,IL,Retail Power Marketer,MISO,227638.8,4492034,477853,102721,2221651,25669,13944.4,289577,71,0,0,0,344304.2,7003262.0,503593.0
18,2014,7096.0,City of Geneva- (IL),A,Bundled,O,IL,Municipal,PJM,9496.7,81680,8409,13915.1,138652,1763,15841.1,169956,48,.,.,.,39252.9,390288.0,10220.0
19,2014,7279.0,"NextEra Energy Services, LLC",B,Energy,O,IL,Retail Power Marketer,MISO,0,0,0,8110.1,134069,1169,0,0,0,0,0,0,8110.1,134069.0,1169.0
20,2014,7554.0,Green Mountain Energy Company,B,Energy,O,IL,Retail Power Marketer,PJM,16176.4,190336,24959,443.7,7937,8,.,.,.,.,.,.,16620.1,198273.0,24967.0
21,2014,8573.0,City of Highland,A,Bundled,O,IL,Municipal,MISO,7503.4,66462,5787,980,9068,646,5209.9,54300,159,0,0,0,13693.3,129830.0,6592.0
22,2014,8824.0,M J M Electric Cooperative Inc,A,Bundled,O,IL,Cooperative,MISO,17259,114341,9072,2434,20640,202,.,.,.,.,.,.,19693.0,134981.0,9274.0
23,2014,9209.0,Illinois Rural Electric Coop,A,Bundled,O,IL,Cooperative,MISO,20832,131444,10171,6275,44816,238,.,.,.,.,.,.,27107.0,176260.0,10409.0
24,2014,9750.0,Jo-Carroll Energy Coop Inc,A,Bundled,O,IL,Cooperative,MISO,23043.9,139135,18143,8849.3,65801,2470,29750.5,333275,498,.,.,.,61643.7,538211.0,21111.0
25,2014,12341.0,MidAmerican Energy Co,A,Bundled,O,IL,Investor Owned,MISO,61021.1,673070,75812,44669.1,622937,9213,35181.2,678890,99,.,.,.,140871.4,1974897.0,85124.0
