,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership Type|,|Utility Characteristics..NERC Region|,|Demand.(Megawatts).Summer Peak Demand|,|Demand.(Megawatts).Winter Peak Demand|,|Energy Sources (Megawatthours).(Megawatts).Net Generation|,|Energy Sources (Megawatthours).(Megawatts).Wholesale Power Purchases|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Received|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Delivered|,|Energy Sources (Megawatthours).Power Exchanged.Net Power Exchanged|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Received|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Delivered|,|Energy Sources (Megawatthours).Wheeled Power.Net Wheeled Power|,|Energy Sources (Megawatthours).Wheeled Power.Transmission by Other Losses|,|Energy Sources (Megawatthours).Wheeled Power.Total Sources|,|Disposition.(Megawatthours).Sales to Ultimate Customers|,|Disposition.(Megawatthours).Sales for Resale|,|Disposition.(Megawatthours).Furnished without Charge|,|Disposition.(Megawatthours).Consumed by Respondent without Charge|,|Disposition.(Megawatthours).Total Energy Losses|,|Disposition.(Megawatthours).Total Disposition|,|Electric Revenues.(Thousands Dollars).From Retail Sales|,|Electric Revenues.(Thousands Dollars).From Delivery Customers|,|Electric Revenues.(Thousands Dollars).From Sales for Resale|,|Electric Revenues.(Thousands Dollars).From Credits or Adjustments|,|Electric Revenues.(Thousands Dollars).From Transmission|,|Electric Revenues.(Thousands Dollars).From Other|,|Electric Revenues.(Thousands Dollars).Total|,"|..""Data Type O = Observed I = Imputed""|"
23,2014,15388,City of Princeton - (IL),IL,Municipal,SERC,24.6,17.4,534,105481,.,.,0,.,.,0,.,106015,95098,.,634,7546,2737,106015,9266.5,.,.,.,.,24,9290.5,O
24,2014,15686,Village of Rantoul - (IL),IL,Municipal,RFC,33.7,24.5,285,161216,.,.,0,.,.,0,.,161501,152775,.,2010,2155,4561,161501,12016,.,.,.,.,.,12016,O
25,2014,16179,Rochelle Municipal Utilities,IL,Municipal,RFC,54,46.7,1584,319351,.,.,0,.,.,0,.,320935,306633,.,.,.,14302,320935,30144,.,.,.,.,0,30144,O
26,2014,16420,Rural Electric Conven Coop,IL,Cooperative,RFC,23.7,26.8,.,123777,.,.,0,.,.,0,.,123777,115370,.,.,204,8203,123777,15758,.,.,.,.,224.4,15982.4,O
27,2014,17040,"Shelby Electric Coop, Inc",IL,Cooperative,RFC,47.3,39.8,.,264975,.,.,0,.,.,0,.,264975,247355,.,.,448,17172,264975,34051,.,.,.,.,212,34263,O
28,2014,17585,"Southeastern IL Elec Coop, Inc",IL,Cooperative,RFC,202,229,.,1066000,.,.,0,.,.,0,.,1066000,1038738,.,.,1007,26255,1066000,103557,.,.,-552,.,.,103005,O
29,2014,17631,Southern Illinois Elec Coop,IL,Cooperative,RFC,44.5,57.5,.,209576,.,.,0,.,.,0,.,209576,200124,.,482,.,8970,209576,27987,.,.,.,.,337,28324,O
30,2014,17632,Southern Illinois Power Coop,IL,Cooperative,SERC,508.7,570.8,2479960,516029,.,.,0,.,.,0,.,2995989,.,2959551,.,480,35958,2995989,.,.,219740.2,.,.,150.1,219890.3,O
31,2014,17697,Southwestern Electric Coop Inc - (IL),IL,Cooperative,SERC,105,89,739,457395,.,.,0,.,.,0,.,458134,423547,739,.,.,33848,458134,55508,.,58.4,.,.,.,55566.4,O
32,2014,17828,City of Springfield - (IL),IL,Municipal,SERC,395,324,2548675,456102,.,.,0,.,.,0,.,3004777,1735828,1167253,19742,5068,76886,3004777,220237,0,37715,-3467,0,4157,258642,O
33,2014,17860,City of St Charles - (IL),IL,Municipal,RFC,113.3,84.2,.,544788,.,.,0,.,.,0,.,544788,530153,.,.,.,14635,544788,54823.4,.,.,.,.,.,54823.4,O
34,2014,18955,"Tri-County Electric Coop, Inc",IL,Cooperative,RFC,78.3,82.4,.,405535,.,.,0,.,.,0,.,405535,387131,.,.,200,18204,405535,46830.2,.,.,.,.,1411,48241.2,O
35,2014,20222,Wayne-White Counties Elec Coop,IL,Cooperative,RFC,69.2,71.4,.,373943,.,.,0,.,.,0,.,373943,357630,.,.,369,15944,373943,42201,.,.,.,.,377,42578,O
36,2014,20824,Village of Winnetka - (IL),IL,Municipal,RFC,32,25.2,.,127369,.,.,0,.,.,0,.,127369,120064,.,.,2532,4773,127369,13754,.,.,.,.,.,13754,O
37,2014,40307,"Prairie Power, Inc",IL,Cooperative,SERC,297.3,320.3,793740,829663,.,.,0,19465,19272,193,.,1623596,.,1602794,.,.,20802,1623596,.,.,118325,4566,15774,4861,143526,O
38,2014,55722,AEP Energy,IL,Retail Power Marketer,RFC,2163.4,2181.8,.,10825746,.,.,0,.,.,0,.,10825746,10825746,.,.,.,.,10825746,712744,.,.,.,.,.,712744,O
39,2014,56379,"MC Squared Energy Services, LLC",IL,Retail Power Marketer,,.,.,.,2310567,.,.,0,.,.,0,-124719,2185848,2185848,.,.,.,.,2185848,132347,.,.,.,.,.,132347,O
40,2014,57459,"Wolverine Alternative Investments, LLC",IL,Retail Power Marketer,,1,1,.,3937,.,.,0,.,.,0,.,3937,3937,0,0,0,0,3937,306.2,.,.,.,.,.,306.2,O
41,2014,58965,Energy.Me Midwest LLC,IL,Retail Power Marketer,SERC,.,.,.,2342745,0,0,0,.,.,0,.,2342745,2342745,.,.,.,.,2342745,138866.1,0,0,0,0,0,138866.1,O
42,2014,59054,"Eligo Energy, LLC",IL,Retail Power Marketer,,.,.,.,210010,0,0,0,.,.,0,.,210010,210010,.,.,.,.,210010,16986.8,.,.,.,.,.,16986.8,O
43,2014,59088,"Nordic Energy Services, LLC",IL,Retail Power Marketer,,105,85,.,984895,0,0,0,.,.,0,.,984895,964840,.,.,.,20055,984895,58824.1,0,.,.,.,.,58824.1,O
