,Data Year,Utility Number,Utility Name,State,Distribution Circuits,Circuits with Voltage Optimization
0,2014,97,Adams Electric Coop,IL,47,47
1,2014,1325,City of Batavia - (IL),IL,22,.
2,2014,3806,"Clinton County Elec Coop, Inc",IL,37,0
3,2014,3931,Coles-Moultrie Electric Coop,IL,49,0
4,2014,4110,Commonwealth Edison Co,IL,5484,13
5,2014,4362,Corn Belt Energy Corporation,IL,144,79
6,2014,5535,Egyptian Electric Coop Assn,IL,68,64
7,2014,5585,Eastern Illinois Elec Coop,IL,69,69
8,2014,6417,City of Flora - (IL),IL,12,10
9,2014,7096,City of Geneva- (IL),IL,33,0
10,2014,8573,City of Highland,IL,18,.
11,2014,8824,M J M Electric Cooperative Inc,IL,41,41
12,2014,9209,Illinois Rural Electric Coop,IL,69,69
13,2014,9750,Jo-Carroll Energy Coop Inc,IL,104,104
14,2014,12341,MidAmerican Energy Co,IL,115,.
15,2014,12395,Menard Electric Coop,IL,53,33
16,2014,12803,"Monroe County Elec Coop, Inc",IL,34,0
17,2014,13032,Mt Carmel Public Utility Co,IL,15,7
18,2014,13208,City of Naperville - (IL),IL,116,0
19,2014,13292,Norris Electric Coop,IL,106,.
20,2014,14840,City of Peru - (IL),IL,20,13
21,2014,15388,City of Princeton - (IL),IL,15,7
22,2014,15686,Village of Rantoul - (IL),IL,39,39
23,2014,16179,Rochelle Municipal Utilities,IL,24,6
24,2014,16196,Rock Energy Cooperative,IL,21,15
25,2014,16420,Rural Electric Conven Coop,IL,28,0
26,2014,16740,Scenic Rivers Energy Coop,IL,4,.
27,2014,17040,"Shelby Electric Coop, Inc",IL,63,0
28,2014,17585,"Southeastern IL Elec Coop, Inc",IL,113,1
29,2014,17631,Southern Illinois Elec Coop,IL,43,0
30,2014,17697,Southwestern Electric Coop Inc - (IL),IL,84,0
31,2014,17828,City of Springfield - (IL),IL,114,114
32,2014,17860,City of St Charles - (IL),IL,49,0
33,2014,18955,"Tri-County Electric Coop, Inc",IL,86,86
34,2014,20222,Wayne-White Counties Elec Coop,IL,67,0
35,2014,20824,Village of Winnetka - (IL),IL,13,0
36,2014,56697,Ameren Illinois Company,IL,2503,.
