,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..Part|,|Utility Characteristics..Service Type|,"|Utility Characteristics..""Data Type O = Observed I = Imputed""|",|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|Utility Characteristics.BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
107,2020,60583.0,Atlantic Energy LLC,B,Energy,O,IL,Retail Power Marketer,PJM,0.0,0,0,"1,431.0","14,793","1,306",0.0,0,0,0.0,0,0,"1,431.0","14,793","1,306"
108,2020,60696.0,"Vista Energy Marketing, L.P.",B,Energy,O,IL,Retail Power Marketer,MISO,"11,624.4","109,903","15,267",501.9,"7,311",124,0.0,0,0,0.0,0,0,"12,126.3","117,214","15,391"
109,2020,61092.0,"Stream Energy Illinois, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,"4,332.9","52,398","7,099",768.4,"11,262",407,0.0,0,0,0.0,0,0,"5,101.3","63,660","7,506"
110,2020,61131.0,Freepoint Energy Solutions LLC,B,Energy,O,IL,Retail Power Marketer,PJM,0.0,0,0,"20,983.0","360,666",753,0.0,0,0,0.0,0,0,"20,983.0","360,666",753
111,2020,61367.0,South Bay Energy Corp.,B,Energy,O,IL,Retail Power Marketer,PJM,181.0,"1,945",268,190.0,"2,016",106,0.0,0,0,0.0,0,0,371.0,"3,961",374
112,2020,61922.0,"Pure Energy USA, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,"1,165.0","10,999","1,460",350.0,"3,409",427,0.0,0,0,0.0,0,0,"1,515.0","14,408","1,887"
113,2020,62094.0,"SFE Energy Illinois, Inc.",B,Energy,O,IL,Retail Power Marketer,MISO,631.0,"7,916",953,412.0,"5,186",70,0.0,0,0,0.0,0,0,"1,043.0","13,102","1,023"
114,2020,62790.0,"Summer Energy Midwest, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,0.0,0,0,473.0,"7,990",30,0.0,0,0,0.0,0,0,473.0,"7,990",30
115,2020,63008.0,Agressive Energy LLC,B,Energy,O,IL,Retail Power Marketer,PJM,0.0,0,0,"29,603.1","507,703","1,178",0.0,0,0,0.0,0,0,"29,603.1","507,703","1,178"
116,2020,63029.0,Josco Energy IL LLC,B,Energy,O,IL,Retail Power Marketer,PJM,164.2,"1,668",389,27.8,398,30,0.0,0,0,0.0,0,0,192.0,"2,066",419
117,2020,63489.0,"Tenaska Power Management, LLC",B,Energy,O,IL,Retail Power Marketer,MISO,0.0,0,0,"21,294.2","671,438",2,0.0,0,0,0.0,0,0,"21,294.2","671,438",2
118,2020,63695.0,"RPA Energy, Inc.",B,Energy,O,IL,Retail Power Marketer,PJM,"20,061.3","147,654","25,092",0.0,0,0,0.0,0,0,0.0,0,0,"20,061.3","147,654","25,092"
119,2020,64222.0,"Grid Power Direct, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,.,.,.,"4,507.7","59,305",286,.,.,.,.,.,.,"4,507.7","59,305",286
120,2020,99999.0,Adjustment 2020,A,Bundled,I,IL,,PJM,"10,647.6","81,309","-2,273","4,806.4","41,473",820,"7,647.0","446,774",1,0.0,0,0,"23,101.0","569,556","-1,452"
121,2020,99999.0,Adjustment 2020,A,Bundled,I,IL,,MISO,"250,620.1","1,704,480","152,924","91,732.6","734,645","16,172","49,506.8","492,652",669,0.0,0,0,"391,859.5","2,931,777","169,765"
122,2020,99999.0,Adjustment 2020,B,Energy,I,IL,,PJM,"26,484.8","307,045","55,092","-464,404.2","-8,833,672","54,676","1,049,645.5","19,611,281",612,"-4,888.7","-100,330",0,"606,837.5","10,984,324","110,380"
123,2020,99999.0,Adjustment 2020,B,Energy,I,IL,,MISO,"-28,071.8","-421,180","-114,583","-696,068.2","-14,233,623","22,629","276,689.3","5,541,044","-1,534",-364.5,"-4,949",0,"-447,815.3","-9,118,708","-93,488"
