,Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 14
68,2015,8,08/27/2015,9:51 PM,08/28/2015,6:00 PM,"20 Hours,9 Minutes",Puerto Rico Electric Power Authority,WECC,Puerto Rico,"Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident / Loss of electric service to more than 50,000 customers for 1 hour or more - System Operations",360,Unknown,
69,2015,8,08/29/2015 10:00 AM,,,.,".. Hours,",. Minutes,Peak Reliability,WECC,"Loss of electric service to more than 50,000 customers for 1 Washington",hour or more - Severe Weather,Unknown,500000
70,2015,8,08/29/2015 11:00 AM,,09/04/2015,3:00 PM,"148 Hours,0 Minutes",Puget Sound Energy,WECC,"King County, Skagit County, Whatcom County, Kitsap County, Pierce County, Thurston County, Island County, Washington","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",250,250000,
71,2015,8,08/29/2015,1:00 PM,08/31/2015,7:00 AM,"42 Hours,0 Minutes",Seattle City Light,WECC,"King County, Washington","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",1200,64000,
72,2015,9,09/03/2015,2:33 AM,09/03/2015,6:25 AM,"3 Hours, 52 Minutes",Lansing Board of Water & Light,RFC,Michigan,"Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",Unknown,50114,
73,2015,9,09/20/2015,1:12 PM,09/20/2015,1:44 PM,"0 Hours, 32 Minutes",California ISO,WECC,California,Load shedding of 100 Megawatts or more implemented under emergency operational policy - System Operations,150,Unknown,
74,2015,10,10/13/2015 10:25 AM,,10/13/2015,6:00 PM,"7 Hours, 35 Minutes",ERCOT,TRE,Texas,Public appeal to reduce the use of electricity - Other,Unknown,Unknown,
75,2015,10,10/13/2015,4:32 PM,10/13/2015,8:39 PM,"4 Hours,7 Minutes",California ISO,WECC,California,Public appeal to reduce the use of electricity - Other,41788,Unknown,
76,2015,10,10/18/2015,7:00 AM,10/18/2015 11:29 PM,,"16 Hours, 29 Minutes",Pacific Gas & Electric Co,WECC,"Central Coast area, California","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",88,55677,
77,2015,10,10/23/2015,9:42 AM,10/23/2015,1:26 PM,"3 Hours, 44 Minutes",Puerto Rico Electric Power Authority,,Puerto Rico,"Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational / Load shedding of 100 Megawatts or more implemented under emergency operational policy / System-wide voltage reductions of 3 percent of more / Loss of electric service to more than 50,000 customers for 1 hour or more - System Operations",500,300000,
78,2015,10,10/31/2015 12:45 AM,,11/01/2015,4:05 PM,"39 Hours, 20 Minutes",CenterPoint Energy,TRE,"Harris County, Texas","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",Unknown,130252,
