Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
January,2015-01-07,17:00:00,2015-01-08,08:35:00,Tennessee,SERC,Public appeal to reduce the use of electricity,Severe Weather - Winter,Unknown,Unknown
January,2015-01-07,17:00:00,2015-01-08,08:35:00,"Tennessee, Kentucky, Virginia, North Carolina, Georgia, Alabama, Missouri",SERC,Public appeal to reduce the use of electricity,Severe Weather - Winter,Unknown,Unknown
January,2015-01-22,04:24:00,2015-01-22,05:55:00,"Portland, Oregon",WECC,Suspected Physical Attack,Vandalism,Unknown,Unknown
January,2015-01-26,14:39:00,2015-01-26,14:40:00,"Cave Junction, Oregon",WECC,Suspected Physical Attack,Vandalism,Unknown,Unknown
January,2015-01-27,10:30:00,2015-01-27,10:31:00,"Kountze, Texas",SERC,Suspected Physical Attack,Sabotage,0,0
February,2015-02-01,11:24:00,2015-02-01,11:44:00,"Weber County, Utah",WECC,Suspected Physical Attack,Vandalism,Unknown,Unknown
February,2015-02-02,09:40:00,2015-02-02,09:41:00,"Conroe, Texas",TRE,Suspected Physical Attack,Sabotage,Unknown,Unknown
February,2015-02-04,11:55:00,2015-02-04,11:56:00,"Vollmers, California",WECC,Suspected Physical Attack,Vandalism,Unknown,Unknown
February,2015-02-05,08:15:00,2015-02-05,08:17:00,"Cameron, Arizona",WECC,Suspected Physical Attack,Vandalism,Unknown,Unknown
February,2015-02-05,11:20:00,2015-02-05,11:21:00,"Dunismuir, California",WECC,Suspected Physical Attack,Vandalism,Unknown,Unknown
February,2015-02-06,20:58:00,Unknown,Unknown,Northern California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Wind,Unknown,65000
February,2015-02-09,11:30:00,2015-02-09,13:15:00,"Colorado Springs, Colorado",WECC,Suspected Physical Attack,Sabotage,Unknown,Unknown
February,2015-02-16,21:41:00,2015-02-18,07:00:00,"Northern/North Eastern, Georgia",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Winter,620,186035
February,2015-02-16,21:00:00,2015-02-18,14:00:00,"Tennessee, Kentucky, Virginia, North Carolina, Georgia, Alabama, Missouri",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Winter,Unknown,67189
February,2015-02-17,09:00:00,2015-02-18,23:00:00,"North Carolina, South Carolina",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Winter,Unknown,52000
February,2015-02-17,02:12:00,2015-02-18,16:00:00,"North Carolina, South Carolina",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Winter,Unknown,68000
February,2015-02-17,06:20:00,2015-02-17,07:30:00,"Prescott Valley, Arizona",WECC,Suspected Physical Attack,Vandalism,Unknown,Unknown
February,2015-02-18,15:00:00,2015-02-20,09:00:00,"Tennessee, Kentucky, Virginia, North Carolina, Georgia, Alabama, Missouri",SERC,Public appeal to reduce the use of electricity,Severe Weather - Winter,Unknown,Unknown
February,2015-02-19,14:30:00,2015-02-19,15:20:00,"Winslow, Arizona",WECC,Suspected Physical Attack,Vandalism,Unknown,Unknown
February,2015-02-20,06:00:00,2015-02-20,10:00:00,"North Carolina, South Carolina",SERC,System-wide voltage reductions of 3 percent or more,Severe Weather - Winter,Unknown,Unknown
February,2015-02-21,08:34:00,2015-02-21,12:45:00,"Fentress County, Tennessee",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Winter,Unknown,50000
February,2015-02-26,03:12:00,2015-02-26,20:00:00,"North Carolina, South Carolina",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Winter,Unknown,124000
February,2015-02-26,03:30:00,2015-02-27,12:00:00,North Carolina ,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Winter,400,103776
March,2015-03-04,09:05:00,2015-03-04,14:15:00,"Johnson City , Tennessee",SERC,Suspected Physical Attack,Vandalism,Unknown,Unknown
March,2015-03-09,23:50:00,2015-03-10,10:53:00,Washington,WECC,Suspected Physical Attack,Vandalism,Unknown,Unknown
March,2015-03-15,15:30:00,2015-03-15,19:00:00,"Greater Portland & Salem , Oregon",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Wind,210,71000
March,2015-03-16,07:31:00,2015-03-16,10:06:00,"Winona , Minnesota",MRO,Suspected Physical Attack,Sabotage,20,5941
March,2015-03-19,18:30:00,2015-03-19,21:37:00,Southwest Kansas,SPP,Suspected Physical Attack,Vandalism,Unknown,Unknown
March,2015-03-22,16:25:00,2015-03-22,16:26:00,West Virginia,RFC,Suspected Physical Attack,Vandalism,24,0
March,2015-03-26,15:21:00,2015-03-26,16:59:00,"Contra Costa County, California",WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational,System Operations,15,Unknown
March,2015-03-29,04:26:00,2015-03-29,09:21:00,California,WECC,Suspected Physical Attack,Vandalism,Unknown,Unknown
April,2015-04-01,18:25:00,2015-04-01,18:26:00,"San Juan County, Utah",WECC,Suspected Physical Attack,Vandalism,Unknown,37
April,2015-04-02,07:04:00,2015-04-02,08:57:00,"San Juan County, Utah",WECC,Suspected Physical Attack,Vandalism,6,5763
April,2015-04-03,02:00:00,2015-04-03,07:48:00,"Harvey, Reno, and Sedgwick Counties, Kansas",SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Thunderstorms,Unknown,70000
April,2015-04-06,08:12:00,2015-04-06,12:08:00,"Butte County, California",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",System Operations,Unknown,80000
April,2015-04-07,12:30:00,2015-04-07,17:34:00,Unknown ,RFC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,System Operations,Unknown,Unknown
April,2015-04-07,15:34:00,2015-04-07,15:46:00,California,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational,System Operations,0,0
April,2015-04-17,21:30:00,2015-04-19,23:50:00,"Houston, Texas",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,280982
April,2015-04-17,09:16:00,2015-04-17,11:00:00,Canada ,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational,System Operations,9300,Unknown
April,2015-04-18,21:00:00,2015-04-21,04:00:00,"Dallas, Fort Worth, Texas",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,89000
April,2015-04-24,19:10:00,2015-04-26,16:00:00,"Dallas, Fort Worth, Texas",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,57000
April,2015-04-27,10:30:00,2015-04-28,18:45:00,Louisiana and Texas,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,199000
May,2015-05-02,22:51:00,2015-05-03,00:26:00,"Franklin County, Tennessee",SERC,Suspected Physical Attack,Vandalism,1,215
May,2015-05-04,15:25:00,2015-05-04,15:26:00,"Salt Lake County, Utah",WECC,Suspected Physical Attack,Vandalism,Unknown,Unknown
May,2015-05-11,08:32:00,2015-05-11,08:33:00,"Shasta County, California",WECC,Suspected Physical Attack,Sabotage,0,0
May,2015-05-12,00:40:00,2015-05-12,00:45:00,"Coahoma County, Mississippi",SERC,Suspected Physical Attack,Sabotage,0,0
May,2015-05-18,15:28:00,2015-05-18,15:47:00,Washington,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational,Severe Weather,275,0
May,2015-05-25,18:00:00,2015-05-29,07:15:00,North Texas,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,454000
May,2015-05-25,22:45:00,2015-05-28,01:25:00,"Fort Bend County, & Harris County ,Texas",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,61000
May,2015-05-25,20:30:00,2015-05-26,18:30:00,Texas,SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,57531
May,2015-05-25,20:30:00,Unknown,Unknown,"Texas, Louisiana, Arkansas",SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,57351
May,2015-05-26,05:30:00,2015-05-27,19:00:00,"Texas, Louisiana, Arkansas, Mississippi",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,78515
June,2015-06-01,00:27:00,2015-06-01,02:15:00,"Daviess County, Kentucky",SERC,Suspected Physical Attack,Vandalism,2,110
June,2015-06-01,19:19:00,2015-06-02,08:36:00,California,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational,System Operations,5,484
June,2015-06-02,18:58:00,2015-06-02,19:24:00,California,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational,System Operations,5,727
June,2015-06-03,15:00:00,2015-06-05,17:00:00,Texas,TRE,Public appeal to reduce the use of electricity,System Operations,Unknown,Unknown
June,2015-06-07,13:54:00,2015-06-07,14:13:00,"Shelby County, Tennessee",SERC,"Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident System-wide voltage reductions of 3 percent or more",System Operations,926,Unknown
June,2015-06-07,13:52:00,2015-06-07,14:13:00,Tennessee,SERC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,System Operations,Unknown,Unknown
