Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Number and Capacity,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Capacity by Technology Type (MW),Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Data Year,Utility Number,Utility Name,State,Number of Generators,Total Capacity in MWs,Capacity Back-up Only,Capacity Utility Owned,Estimated or Actual Data,Internal Combustion Engine,Combusiton Turbine,Steam Turbine,HydroElectric,Wind,Photovoltaic,Storage,Other,Total,Estimated or Actual Data
2014,3278,AEP Texas Central Company,TX,305,5.5,.,.,A,.,.,.,.,0.7,4.8,.,.,5.5,A
2014,3291,Central Virginia Electric Coop,VA,1,0.3,.,.,A,.,.,.,0.3,.,.,.,.,0.3,A
2014,3314,"Chariton Valley Elec Coop, Inc",IA,2,0.1,.,.,A,.,.,.,.,.,0.1,.,.,0.1,A
2014,3329,Borough of Chambersburg,PA,3,1.4,.,0.4,E,1.4,.,.,.,.,.,.,.,1.4,E
2014,3400,City of Chaska - (MN),MN,1,0.2,.,.,A,.,.,.,.,0.2,.,.,.,0.2,A
2014,3408,City of Chattanooga - (TN),GA,1,0,0,0,A,0,0,0,0,0,0,0,0,0,A
2014,3408,City of Chattanooga - (TN),TN,105,3.59,0,0,A,0,0,0,0,0,3.59,0,0,3.59,A
2014,3413,PUD No 1 of Chelan County,WA,29,0.1,.,.,A,.,.,.,.,.,0.1,.,.,0.1,A
2014,3436,Cherryland Electric Coop Inc,MI,1,0.1,.,0.1,A,.,.,.,.,.,0.1,.,.,0.1,A
2014,3502,"Choctawhatche Elec Coop, Inc",FL,3,0.44,.,0.44,,0.44,.,.,.,.,.,.,.,0.44,
2014,3503,"Choptank Electric Coop, Inc",MD,1,0.4,.,.,A,.,.,.,.,.,0.4,.,.,0.4,A
2014,3522,Chugach Electric Assn Inc,AK,6,0.7,0.1,0,A,0.7,.,.,.,.,.,.,.,0.7,A
2014,3542,Duke Energy Ohio Inc,OH,15,3.3,0.4,.,E,3.3,.,.,.,.,.,.,.,3.3,E
