Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Yearly Energy and Demand Savings,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Program Costs,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,DSM Program
,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
Data Year,Utility Number,Utility Name,State,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Water Heater
2014,3081,Carroll Electric Member Corp - (GA),GA,4506,.,29,.,4535,19,.,324,.,343,0.7,.,12,.,12.7,0.7,.,12,.,12.7,49,.,756,.,805,2,.,.,.,2,.
2014,3093,Carroll Electric Coop Corp - (AR),AR,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,3203,Cedar Falls Utilities,IA,491,.,.,.,491,10,.,.,.,10,0.1,.,.,.,0.1,.,.,.,.,.,.,.,.,.,.,3,.,.,.,3,.
2014,3205,Cedar-Knox Public Power Dist,NE,.,.,881,.,881,.,.,0,.,0,.,.,37,.,37,.,.,7,.,7,.,.,.,.,.,.,.,.,.,.,.
2014,3208,Cedarburg Light & Water Comm,WI,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
2014,3222,Central Alabama Electric Coop,AL,4613,.,.,.,4613,.,.,.,.,.,5.5,.,.,.,5.5,4.9,.,.,.,4.9,.,.,.,.,.,71,.,.,.,71,.
2014,3248,Central Georgia El Member Corp,GA,6176,.,.,.,6176,54,.,.,.,54,5,.,.,.,5,3,.,.,.,3,93,.,.,.,93,128,.,.,.,128,149
2014,3258,Central Iowa Power Cooperative,IA,.,.,16,.,16,.,.,0,.,0,.,.,8.7,.,8.7,.,.,.,.,.,.,.,0,.,0,.,.,0,.,0,0
2014,3278,AEP Texas Central Company,TX,.,123,.,.,123,.,.,.,.,.,.,38.7,.,.,38.7,.,21.8,.,.,21.8,.,.,.,.,.,.,.,.,.,.,.
2014,3279,"Central Power Elec Coop, Inc",ND,.,.,.,.,.,2194,.,7992,.,10186,10.5,.,19.6,.,30.1,10.5,.,19.6,.,30.1,.,.,.,.,.,194,228,21,.,443,.
2014,3293,Central Wisconsin Elec Coop,WI,1573,60,.,.,1633,.,.,.,.,.,2.2,0.9,.,.,3.1,0.9,0.5,.,.,1.4,3,1,.,.,4,.,.,.,.,.,.
2014,3329,Borough of Chambersburg,PA,.,.,1,.,1,.,.,0,.,0,.,.,0.3,.,0.3,.,.,0.3,.,0.3,.,.,.,.,.,.,.,3,.,3,.
2014,3390,"Caddo Electric Coop, Inc",OK,259,785,20,.,1064,24,192,168,.,384,8.5,46.8,20.2,.,75.5,1.5,12,10.5,.,24,182,.,.,.,182,366,343,348,.,1057,.
2014,3435,"Cherry-Todd Electric Coop, Inc",NE,.,.,46,.,46,.,.,.,.,.,.,.,3.4,.,3.4,.,.,1,.,1,.,.,18,.,18,.,.,.,.,.,.
2014,3435,"Cherry-Todd Electric Coop, Inc",SD,437,.,24,.,461,.,.,.,.,.,0.4,.,1.4,.,1.8,0.2,.,0.4,.,0.6,33,.,10,.,43,.,.,.,.,.,.
2014,3478,Cimarron Electric Coop,OK,.,415,.,.,415,.,3,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,3498,Chippewa Valley Electric Coop,WI,3608,233,14,.,3855,.,.,.,.,.,7.5,0.1,.,.,7.6,4.9,.,.,.,4.9,547,.,.,.,547,85,5,1,.,91,38
2014,3502,"Choctawhatche Elec Coop, Inc",FL,40440,6119,.,.,46559,.,.,.,.,.,25,6,.,.,31,23.5,5.6,.,.,29.1,.,.,.,.,.,5400,600,.,.,6000,.
2014,3503,"Choptank Electric Coop, Inc",MD,5462,261,10,.,5733,.,.,.,.,.,.,55,49,.,104,.,30,17,.,47,107,.,.,.,107,9,23,11,.,43,.
2014,3527,Choctaw Electric Coop Inc,OK,.,6,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,3542,Duke Energy Ohio Inc,OH,49267,26,23,.,49316,61,44,276,.,381,.,.,.,.,.,.,.,.,.,.,324,3689,.,.,4013,1386,139,.,.,1525,.
2014,3597,Citizens Electric Co - (PA),PA,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,3701,Clark Electric Coop - (WI),WI,3118,31,.,.,3149,.,.,.,.,.,2.6,3.2,.,.,5.8,1.2,1.4,.,.,2.6,236,0,.,.,236,15,0,.,.,15,.
2014,3755,Cleveland Electric Illum Co,OH,9651,0,2,0,9653,14,0,0,0,14,4.3,0,162,0,166.3,3.8,0,0,0,3.8,5095,0,10182,0,15277,309,0,1,0,310,.
2014,3757,"Clay Electric Cooperative, Inc",FL,.,6,6,.,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,3764,Clearwater-Polk Elec Coop Inc,MN,2074,2,0,0,2076,2203,10,0,0,2213,27.1,0.2,0,0,27.3,7.3,0.1,0,0,7.4,1213,48,0,0,1261,23,0,0,0,23,3
2014,3844,"Coastal Electric Coop, Inc",SC,775,0,0,0,775,0,0,0,0,0,0.8,0,0,0,0.8,0.8,0,0,0,0.8,0,0,0,0,0,2500,0,0,0,2500,25
2014,3916,Cobb Electric Membership Corp,GA,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,3931,Coles-Moultrie Electric Coop,IL,4413,103,7,0,4523,0,0,0,0,0,0.5,0.5,0.5,.,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,3989,City of Colorado Springs - (CO),CO,638,3,0,0,641,0,0,0,0,0,0.7,3.5,0,0,4.2,0,0,0,0,0,16,0,0,0,16,161,0,0,0,161,0
2014,4003,City of Colton - (CA),CA,0,0,0,.,0,0,0,0,.,0,0,0,0,.,0,0,0,0,.,0,0,0,0,.,0,0,0,0,.,0,.
2014,4045,City of Columbia - (MO),MO,14443,821,11,.,15275,0,0,0,.,0,24,4,2.9,.,30.9,0,0,0,.,0,1167,150,244,.,1561,1270,336,1,.,1607,.
2014,4065,City of Columbus - (OH),OH,0,4,14,0,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,4073,City of Columbus - (WI),WI,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
2014,4110,Commonwealth Edison Co,IL,73000,1805,1496,.,76301,87,.,.,.,87,87,357,844,.,1288,.,.,.,.,.,2402,.,.,.,2402,1450,48,50,.,1548,.
2014,4117,Community Electric Coop,VA,1558,.,2,.,1560,.,.,.,.,.,1.5,.,2.6,.,4.1,1.1,.,2.5,.,3.6,37,.,84,.,121,.,.,.,.,.,0
2014,4147,Town of Concord - (MA),MA,498,6,0,0,504,.,.,.,.,.,6.7,0.5,.,.,7.2,5.7,0.5,.,.,6.2,31,.,.,.,31,.,.,.,.,.,43
2014,4176,Connecticut Light & Power Co,CT,0,149,71,0,220,0,0,0,0,0,0,74,77,0,151,0,47,41,0,88,0,1502,1279,0,2781,0,460,392,0,852,0
2014,4226,Consolidated Edison Co-NY Inc,NY,20039,718,.,.,20757,0,0,.,.,0,26.1,168.5,.,.,194.6,0,0,.,.,0,1903,9114,.,.,11017,2788,1523,.,.,4311,.
2014,4254,Consumers Energy Co,MI,1582,.,21,.,1603,.,.,.,.,.,.,.,108.7,.,108.7,.,.,.,.,.,36,.,6100,.,6136,.,.,.,.,.,.
2014,4280,Conway Corporation,AR,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,4317,"Coos-Curry Electric Coop, Inc",OR,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,4362,Corn Belt Energy Corporation,IL,.,57,.,.,57,.,.,.,.,.,.,4.5,.,.,4.5,.,4.5,.,.,4.5,.,1046,.,.,1046,.,.,.,.,.,.
2014,4363,Corn Belt Power Coop,IA,5173,0,3,0,5176,0,0,0,0,0,48,0,30,0,78,43.3,0,16.1,0,59.4,0,0,0,0,0,0,0,0,0,0,508
2014,4401,"Cotton Electric Coop, Inc",OK,.,.,1,.,1,.,.,8,.,8,.,.,1,.,1,.,.,1,.,1,.,.,15,.,15,.,.,.,.,.,.
2014,4430,"Covington Electric Coop, Inc",AL,1390,.,.,.,1390,0,.,.,.,0,1.7,.,.,.,1.7,0,.,.,.,0,.,.,.,.,.,.,.,.,.,.,519
2014,4432,Coweta-Fayette El Member Corp,GA,11721,.,.,.,11721,127,.,.,.,127,15,.,.,.,15,8,.,.,.,8,116,.,.,.,116,0,.,.,.,0,0
2014,4509,Craighead Electric Coop Corp,AR,.,.,.,.,.,.,.,.,.,.,.,18.4,1.2,.,19.6,.,7,1.2,.,8.2,.,.,.,.,.,.,540,.,.,540,.
2014,4538,Crisp County Power Comm,GA,.,.,2,.,2,.,.,.,.,.,.,.,12,.,12,.,.,10,.,10,.,.,4,.,4,.,.,.,.,.,.
2014,4604,City of Crystal Falls,MI,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
2014,4607,City of Cuba City,WI,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
2014,4610,City of Cuero - (TX),TX,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,4675,Cuivre River Electric Coop Inc,MO,434,25,.,.,459,.,.,.,.,.,1,8.8,.,.,9.8,1,6.5,.,.,7.5,21,.,.,.,21,3,.,.,.,3,.
2014,4704,"DS&O Electric Cooperative, Inc.",KS,124,45,.,.,169,.,.,.,.,.,0.3,1.5,.,.,1.8,0.3,1,.,.,1.3,5,24,.,.,29,10,10,.,.,20,.
2014,4794,City of Danville - (VA),VA,0,0,1,0,1,0,0,0,0,0,0,0,2.4,0,2.4,0,0,0,0,0,0,0,55,0,55,0,0,0,0,0,.
2014,4911,Dawson Power District,NE,.,.,.,.,.,.,.,.,.,.,.,.,85,.,85,.,.,71.8,.,71.8,.,.,.,.,.,.,.,182,.,182,.
2014,5027,Delmarva Power,DE,229126,15000,.,.,244126,2035,16,.,.,2051,75.9,2.5,.,.,78.4,75.9,2.5,.,.,78.4,2559,1324,.,.,3883,10384,843,.,.,11227,.
2014,5027,Delmarva Power,MD,31184,1149,.,.,32333,3429,106,.,.,3535,31.1,2.2,.,.,33.3,31.1,2.2,.,.,33.3,2038,122,.,.,2160,3522,341,.,.,3863,.
2014,5056,City of Denison - (IA),IA,2403,153,19,.,2575,31,3,1,.,35,2,0,0,.,2,2,0,0,.,2,87,5,19,.,111,1,.,.,.,1,.
2014,5070,Delaware Electric Cooperative,DE,71094,954,.,.,72048,.,1197,.,.,1197,23.6,34.1,.,.,57.7,17.2,30.7,.,.,47.9,1405,0,0,0,1405,0,0,0,0,0,.
2014,5111,City of Detroit Lakes - (MN),MN,1469,156,6,.,1631,481,51,2,.,534,19,2.2,0.1,.,21.3,5.2,0.6,0.1,.,5.9,650,173,11,.,834,49,5,0,.,54,.
2014,5335,City of Dover - (DE),DE,.,2,3,.,5,.,.,.,.,.,.,0.5,2.6,.,3.1,.,0.5,2.6,.,3.1,.,17,97,.,114,.,.,.,.,.,.
2014,5336,City of Dover - (OH),OH,.,.,8,.,8,.,.,3,.,3,.,.,2.5,.,2.5,.,.,2.5,.,2.5,.,.,23,.,23,.,.,.,.,.,.
2014,5416,"Duke Energy Carolinas, LLC",NC,134720,106,120,.,134946,2136,824,2127,.,5087,276.2,94.2,243.3,.,613.7,.,.,.,.,.,3704,10314,.,.,14018,6900,202,.,.,7102,.
2014,5416,"Duke Energy Carolinas, LLC",SC,49542,29,47,.,49618,776,242,1040,.,2058,101.9,32.1,137.6,.,271.6,.,.,.,.,.,1267,2361,.,.,3628,3529,69,.,.,3598,.
2014,5417,Dunn County Electric Coop,WI,3841,202,.,.,4043,.,.,.,.,.,6.2,2.5,.,.,8.7,3.7,1.5,.,.,5.2,127,.,.,.,127,82,4,.,.,86,0
2014,5551,City of Eagle River - (WI),WI,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
2014,5552,"East River Elec Pwr Coop, Inc",SD,.,.,.,.,.,.,.,.,.,.,34,.,38,.,72,34,.,38,.,72,0,.,0,.,0,293,.,73,.,366,833
2014,5575,City of East Grand Forks - (MN),MN,853,68,.,.,921,115,149,.,.,264,4.4,2.4,.,.,6.8,2.1,2.3,.,.,4.4,40,2,.,.,42,39,43,.,.,82,4
2014,5580,"East Kentucky Power Coop, Inc",KY,19495,1,5,.,19501,222,.,.,.,222,22.7,0.3,153.8,.,176.8,22.7,.,.,.,22.7,495,24,10808,.,11327,2556,.,.,.,2556,2385
2014,5585,Eastern Illinois Elec Coop,IL,4205,.,139,.,4344,.,.,.,.,.,8,.,6,.,14,3,.,0,.,3,.,.,.,.,.,25,.,.,.,25,.
2014,5605,Eastern Iowa Light & Power Coop,IA,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,5632,Eau Claire Electric Coop,WI,5096,325,0,0,5421,.,.,.,.,.,6.6,5.8,0,0,12.4,3.2,2.8,0,0,6,670,0,0,0,670,88,6,0,0,94,28
2014,5701,El Paso Electric Co,NM,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5701,El Paso Electric Co,TX,0,4,11,0,15,0,5,7,0,12,0,3.8,4.5,0,8.3,0,3.8,4.5,0,8.3,0,223,239,0,462,0,0,0,0,0,0
2014,5780,Elkhorn Rural Public Pwr Dist,NE,.,.,1142,.,1142,.,.,.,.,.,.,.,37,.,37,.,.,37,.,37,.,.,.,.,.,.,.,103,.,103,.
2014,5860,Empire District Electric Co,KS,.,4,.,.,4,.,2,.,.,2,.,1,.,.,1,.,1,.,.,1,.,1,.,.,1,.,.,.,.,.,0
2014,5860,Empire District Electric Co,MO,.,43,.,.,43,.,24,.,.,24,.,12,.,.,12,.,12,.,.,12,.,11,.,.,11,.,.,.,.,.,0
2014,5860,Empire District Electric Co,OK,.,3,.,.,3,.,2,.,.,2,.,1,.,.,1,.,1,.,.,1,.,1,.,.,1,.,.,.,.,.,0
