Data     Year  Utility Number                           Utility Name Short Form State Residential Commercial Industrial Transportation   Total |Residential.Number AMI-Advanced Metering Infrastructure| |Commercial.Number AMI-Advanced Metering Infrastructure| |Industrial.Number AMI-Advanced Metering Infrastructure| |Transportation.Number AMI-Advanced Metering Infrastructure| |Total.Number AMI-Advanced Metering Infrastructure| |Residential.Number Home Area Network| |Commercial.Number Home Area Network| |Industrial.Number Home Area Network| |Transportation.Number Home Area Network| |Total.Number Home Area Network| |Residential.Number Standard (non AMR/AMI) Meters| |Commercial.Number Standard (non AMR/AMI) Meters| |Industrial.Number Standard (non AMR/AMI) Meters| |Transportation.Number Standard (non AMR/AMI) Meters| |Total.Number Standard (non AMR/AMI) Meters| |Residential.Total Numbers of Meters| |Commercial.Total Numbers of Meters| |Industrial.Total Numbers of Meters| |Transportation.Total Numbers of Meters| |Total.Total Numbers of Meters| |Residential.Energy Served - AMI (MWh)| |Commercial.Energy Served - AMI (MWh)| |Industrial.Energy Served - AMI (MWh)| |Transportation.Energy Served - AMI (MWh)| |Total.Energy Served - AMI (MWh)| |Residential.Customers with Daily Digital Access| |Commercial.Customers with Daily Digital Access| |Industrial.Customers with Daily Digital Access| |Transportation.Customers with Daily Digital Access| |Total.Customers with Daily Digital Access| |Residential.Customers with Direct Load Control| |Commercial.Customers with Direct Load Control| |Industrial.Customers with Direct Load Control| |Transportation.Customers with Direct Load Control| |Total.Customers with Direct Load Control|
10       2014            5535            Egyptian Electric Coop Assn        NaN    IL       13574       1345          .              .   14919                                                         .                                                        .                                                        .                                                            .                                                   .                                      .                                     .                                     .                                         .                                .                                                  .                                                 .                                                 .                                                     .                                            .                                 13574                                 1345                                    .                                        .                           14919                                       .                                      .                                      .                                          .                                 .                                                 .                                                .                                                .                                                    .                                           .                                                .                                               .                                               .                                                   .                                          .
11       2014            5585             Eastern Illinois Elec Coop        NaN    IL       11422       2115          3              .   13540                                                         .                                                        .                                                        .                                                            .                                                   .                                      .                                     .                                     .                                         .                                .                                                  .                                                 .                                                 .                                                     .                                            .                                 11422                                 2115                                    3                                        .                           13540                                       .                                      .                                      .                                          .                                 .                                                 .                                                .                                                .                                                    .                                           .                                                .                                               .                                               .                                                   .                                          .
12       2014            6192             City of Farmer City - (IL)          Y    IL         500         23          4              .     527                                                         .                                                        .                                                        .                                                            .                                                   .                                      .                                     .                                     .                                         .                                .                                                  .                                                 .                                                 .                                                     .                                            .                                     .                                    .                                    .                                        .                               .                                       .                                      .                                      .                                          .                                 .                                                 .                                                .                                                .                                                    .                                           .                                                .                                               .                                               .                                                   .                                          .
13       2014            6417                   City of Flora - (IL)        NaN    IL           0          0          0              .       0                                                         0                                                        0                                                        0                                                            .                                                   0                                      .                                     .                                     .                                         .                                0                                               2390                                               423                                                10                                                     0                                         2823                                  2390                                  423                                   10                                        0                            2823                                       .                                      .                                      .                                          .                                 0                                                 .                                                .                                                .                                                    .                                           0                                                .                                               .                                               .                                                   .                                          0
14       2014            6764             Village of Freeburg - (IL)          Y    IL        1965        186         25              .    2176                                                         .                                                        .                                                        .                                                            .                                                   .                                      .                                     .                                     .                                         .                                .                                                  .                                                 .                                                 .                                                     .                                            .                                     .                                    .                                    .                                        .                               .                                       .                                      .                                      .                                          .                                 .                                                 .                                                .                                                .                                                    .                                           .                                                .                                               .                                               .                                                   .                                          .
15       2014            7095                 City of Geneseo - (IL)          Y    IL        3394        557         10              .    3961                                                         .                                                        .                                                        .                                                            .                                                   0                                      .                                     .                                     .                                         .                                .                                                  .                                                 .                                                 .                                                     .                                            .                                     .                                    .                                    .                                        .                               .                                       .                                      .                                      .                                          .                                 0                                                 .                                                .                                                .                                                    .                                           .                                                .                                               .                                               .                                                   .                                          .
16       2014            7096                   City of Geneva- (IL)        NaN    IL        2736         35          0              .    2771                                                         .                                                        .                                                        .                                                            .                                                   .                                      .                                     .                                     .                                         .                                .                                               5673                                              1728                                                48                                                     .                                         7449                                  8409                                 1763                                   48                                        .                           10220                                       .                                      .                                      .                                          .                                 .                                                 .                                                .                                                .                                                    .                                           .                                                .                                               .                                               .                                                   .                                          .
17       2014            8573                       City of Highland        NaN    IL        5787        646        159              0    6592                                                         .                                                        .                                                        .                                                            .                                                   .                                      .                                     .                                     .                                         .                                .                                                  .                                                 .                                                 .                                                     .                                            .                                  5787                                  646                                  159                                        0                            6592                                       .                                      .                                      .                                          .                                 .                                                 .                                                .                                                .                                                    .                                           .                                                .                                               .                                               .                                                   .                                          .
18       2014            8824         M J M Electric Cooperative Inc        NaN    IL        9072        202          0              0    9274                                                         0                                                        0                                                        0                                                            0                                                   0                                      0                                     0                                     0                                         0                                0                                                  0                                                 0                                                 0                                                     0                                            0                                  9072                                  202                                    0                                        0                            9274                                       0                                      0                                      0                                          0                                 0                                              9072                                              202                                                0                                                    0                                        9274                                               31                                               0                                               0                                                   0                                         31
19       2014            9209           Illinois Rural Electric Coop        NaN    IL           .          .          .              .       .                                                     10171                                                      238                                                        .                                                            .                                               10409                                      .                                     .                                     .                                         .                                .                                                  .                                                 .                                                 .                                                     .                                            .                                 10171                                  238                                    .                                        .                           10409                                  131444                                  44816                                      .                                          .                            176260                                               168                                              155                                                .                                                    .                                         323                                                .                                               .                                               .                                                   .                                          .
