Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,RESIDENTIAL,Unnamed: 8,Unnamed: 9,COMMERCIAL,Unnamed: 11,Unnamed: 12,INDUSTRIAL,Unnamed: 14,Unnamed: 15,TRANSPORTATION,Unnamed: 17,Unnamed: 18,TOTAL,Unnamed: 20,Unnamed: 21
,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Facility Number,Facility Name,Utility Number,Utility Name,STATE,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2014,57683,"Staples La Mirada, CA",57007,"SunE WF3-ST Holdings, LLC",CA,CISO,0,0,0,239,1781,1,0,0,0,0,0,0,239,1781,1
2014,59363,State Street Solar LLC,58258,SunRay Power LLC,MA,ISNE,0,0,0,135,899,1,0,0,0,0,0,0,135,899,1
2014,59765,Stetson Road Solar - Barre I,59232,Kearsarge Solar LLC,MA,ISNE,0,0,0,213,1838,1,0,0,0,0,0,0,213,1838,1
2014,54149,Stony Brook Cogen Plant,13587,Nissequoque Cogen Partners,NY,NYIS,0,0,0,26585,226961,1,0,0,0,0,0,0,26585,226961,1
2014,59015,Stow PV,58863,Main Street Power,MA,ISNE,0,0,0,181,3046,1,0,0,0,0,0,0,181,3046,1
2014,58839,Sudbury Landfill,58721,Solar Sudbury One LF LLC,MA,ISNE,0,0,0,200,1957,1,0,0,0,0,0,0,200,1957,1
2014,58588,Sue Cleveland High School,57081,"Washington Gas Energy Systems, Inc.",NM,PNM,0,0,0,161,2440,1,0,0,0,0,0,0,161,2440,1
2014,57010,SunEdison Anheuser Busch Fairfield,56434,SunE M5 Holdings LLC,CA,CISO,0,0,0,250,2091,1,0,0,0,0,0,0,250,2091,1
2014,57007,SunEdison Ironwood State Prison,56297,SunE CPA CDC2 LLC,CA,CISO,0,0,0,239,2292,1,0,0,0,0,0,0,239,2292,1
2014,57008,SunEdison Procter & Gamble Oxnard,56431,SunE U6 Holdings LLC,CA,CISO,0,0,0,264,1956,1,0,0,0,0,0,0,264,1956,1
2014,57004,SunEdison Walgreens Moreno Valley,56294,SunE WG113 Moreno Valley LLC,CA,CISO,0,0,0,201,1839,1,0,0,0,0,0,0,201,1839,1
2014,57012,SunEdison Walmart Apple Valley DC,56434,SunE M5 Holdings LLC,CA,CISO,0,0,0,314,2588,1,0,0,0,0,0,0,314,2588,1
2014,55015,Sweeny Cogen Facility,22214,Sweeny Cogeneration LP,TX,ERCO,0,0,0,0,0,0,74838,1008782,1,0,0,0,74838,1008782,1
2014,58232,Tahquitz High School,58661,"Sustainable Power Group, LLC",CA,CISO,.,.,.,228,1812,1,.,.,.,.,.,.,228,1812,1
2014,59330,Taylor Farms,59129,"Foundation CA Fund VII Manager, LLC",CA,CISO,0,0,0,0,0,0,17,210,1,0,0,0,17,210,1
2014,57594,Teichert Materials-Teichert Vernalis,56930,"Foundation HA Energy Generation, LLC",CA,CISO,0,0,0,0,0,0,71,1151,1,0,0,0,71,1151,1
2014,10093,Tesoro Hawaii,58553,PAR Petroleum,HI,,0,0,0,0,0,0,2157,7845,1,0,0,0,2157,7845,1
2014,58356,The Lawrenceville School Solar Facility,57411,KDC Solar O&M LLC,NJ,PJM,0,0,0,674,8985,1,0,0,0,0,0,0,674,8985,1
2014,58917,Tioga Solar Morris County 1 LLC,58661,"Sustainable Power Group, LLC",NJ,PJM,.,.,.,296,1511,1,.,.,.,.,.,.,296,1511,1
2014,57647,"Toys R Us- DE, Inc. at Mt. Olive, NJ",56976,"Constellation Solar New Jersey II, LLC",NJ,PJM,0,0,0,371,4852,1,0,0,0,0,0,0,371,4852,1
2014,59390,True North,58677,CD US Solar MT1 LLC,MA,ISNE,0,0,0,2456,9585,3,0,0,0,0,0,0,2456,9585,3
2014,57735,UCSD Fuel Cell Plant,57047,BioFuels Point Loma LLC,CA,CISO,0,0,0,2576,19079,1,0,0,0,0,0,0,2576,19079,1
2014,59749,UMES (MD) - Princess Anne,58473,"NVT LICENSES, LLC",MD,PJM,0,0,0,311,3343,1,0,0,0,0,0,0,311,3343,1
2014,57420,UTS SJ1 LLC,56749,UTS SJ1 LLC,CA,CISO,0,0,0,1239,9717,1,0,0,0,0,0,0,1239,9717,1
2014,58516,Union HS at Casa Grande,58491,"Constellation NewEnergy, Inc",AZ,AZPS,0,0,0,296,3343,1,0,0,0,0,0,0,296,3343,1
2014,58040,United Stationers Supply Solar Electric,57411,KDC Solar O&M LLC,NJ,PJM,0,0,0,176,2930,1,0,0,0,0,0,0,176,2930,1
2014,54780,University of Illinois Abbott Power Plt,19528,University of Illinois,IL,MISO,134,931,236,1398,16480,81,0,0,0,0,0,0,1532,17411,317
2014,59781,Upper Blackstone (MA) Treasure Valley,59546,"Nexamp Treasure Valley Solar, LLC",MA,ISNE,0,0,0,254,2695,3,0,0,0,0,0,0,254,2695,3
2014,58517,Vista Grande HS at Casa Grande,58491,"Constellation NewEnergy, Inc",AZ,AZPS,0,0,0,256,2888,1,0,0,0,0,0,0,256,2888,1
2014,58401,Volkswagen Solar System,58385,SR Enterprise South LLC,TN,TVA,0,0,0,0,0,0,1423,13951,1,0,0,0,1423,13951,1
2014,56922,WWRF Solar Plant,56431,SunE U6 Holdings LLC,CO,PSCO,0,0,0,0,0,0,145,2973,1,0,0,0,145,2973,1
2014,58123,Wakefern Food Corp,56990,NJR Clean Energy Ventures Corporation,NJ,PJM,0,0,0,193,2744,1,0,0,0,0,0,0,193,2744,1
2014,57006,Walgreens Woodland Distribution Center,56296,SunE WG45 Woodland LLC,CA,CISO,0,0,0,193,1586,1,0,0,0,0,0,0,193,1586,1
2014,50077,Waste Energy Services,5677,Waste Energy Services Inc,MI,MISO,0,0,0,0,0,0,54,469,1,0,0,0,54,469,1
2014,50216,Watson Cogeneration,867,ARCO Products Co-Watson,CA,CISO,0,0,0,0,0,0,46604,762023,1,0,0,0,46604,762023,1
2014,58244,West Valley High School Solar,58661,"Sustainable Power Group, LLC",CA,CISO,.,.,.,197,1554,1,.,.,.,.,.,.,197,1554,1
2014,59368,Westborough Solar LLC,58258,SunRay Power LLC,MA,ISNE,0,0,0,85,694,1,0,0,0,0,0,0,85,694,1
2014,58357,White Rose Foods Solar Facility,57411,KDC Solar O&M LLC,NJ,PJM,0,0,0,603,5950,1,0,0,0,0,0,0,603,5950,1
2014,57805,William Paterson University,57124,Nautilus Solar WPU LLC,NJ,PJM,0,0,0,320,2302,1,0,0,0,0,0,0,320,2302,1
2014,58361,Williams-Sonoma Solar Facility,57411,KDC Solar O&M LLC,NJ,PJM,0,0,0,500,4456,1,0,0,0,0,0,0,500,4456,1
These entities are one of the elements used in the state Adjustment lines in the Sales to Ultimate Customers file.,,,,,,,,,,,,,,,,,,,,,
