Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Reporting Year Incremental Annual Savings,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Incremental Life Cycle Savings,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Reporting Year Incremental Cost,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Incremental Life Cycle Costs,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Weighted Average Life,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2014,56697,Ameren Illinois Company,IL,MISO,177760,176344,.,.,354104,.,.,.,.,.,965237,1987397,.,.,2952634,.,.,.,.,.,19782,18705,.,.,38487,11641,11465,.,.,23106,19782,18705,.,.,38487,11641,11465,.,.,23106,5.43,11.27,.,.,www.ilsag.info/evaluation-documents.html
2014,57156,NYSERDA,NY,NYIS,42627,380706,129606,.,552939,0,58.8,1.4,.,60.2,1324724,5956459,1985629,.,9266812,0,58.8,1.4,.,60.2,19636,55115,17164,.,91915,14300,31165,7676,.,53141,19636,55115,17164,.,91915,14300,31165,7676,.,53141,15,15,15,.,
2014,57201,Energy Trust of Oregon,OR,PGE,141283,192665,173906,.,507854,.,.,.,.,.,1589951,2706410,2061311,.,6357672,.,.,.,.,.,16614,27832,17742,.,62188,20972,22753,11778,.,55503,16614,27832,17742,.,62188,20972,22753,11778,.,55503,11.254,14.047,11.853,.,http://energytrust.org/About/policy-and-reports/Reports.aspx
2014,57346,Efficiency Maine Trust,ME,ISNE,111311,50259,.,.,161570,12.4,6.3,.,.,18.7,1396706,653216,.,.,2049922,12.4,6.3,.,.,18.7,9154,6625,.,.,15779,2666,2500,.,.,5166,9154,6625,.,.,15779,2666,2500,.,.,5165,12.548,12.997,.,.,http://www.efficiencymaine.com/about/library/reports/
2014,57347,Vermont Energy Investment Corporation,VT,ISNE,35256,62101,.,.,97357,4.2,6.8,.,.,11,474842,545011,.,.,1019853,4.2,6.8,.,.,11,8246,13980,.,.,22226,7434,11303,.,.,18737,8246,13980,.,.,22226,7434,11303,.,.,18737,10.7,12.8,.,.,
2014,57349,Focus on Energy,WI,MISO,328800,226377,166464,0,721641,42.8,33.9,23.8,0,100.5,2654103,2930173,2082401,0,7666677,42.8,33.9,23.8,0,100.5,18707,14287,10346,0,43340,11248,9136,6616,0,27000,18707,14287,10346,0,43340,11248,9136,6616,0,27000,8,12.9,12.5,0,focusonenergy.com/about/evaluation-reports
2014,57483,Liberty Utilities,CA,CISO,433,1546,.,.,1979,1,1,.,.,2,4500,23814,.,.,28314,1,1,.,.,2,107,103,.,.,210,200,81,.,.,281,107,103,.,.,210,200,81,.,.,282,10.39,15.4,.,.,
2014,58124,City of Winter Park - (FL),FL,FPC,91,84,.,.,175,.,.,.,.,.,910,840,.,.,1750,.,.,.,.,.,22,2,.,.,24,24,13,.,.,37,22,2,.,.,24,24,13,.,.,36,10,10,.,.,https://cityofwinterpark.org/departments/electric-utility/energy-conservation-rebates-and-incentive-program
2014,58126,Pittsburg Power Company,CA,CISO,1,78,.,.,79,.,0,.,.,0,11,684,.,.,695,0,0.3,.,.,0.3,125,6010,.,.,6135,275,860,.,.,1135,125,6010,.,.,6135,275,860,.,.,1135,9.4,10.8,.,.,
2014,58127,Cape Light Compact,MA,ISNE,17563,32827,.,.,50390,2.2,5.2,.,.,7.4,171575,322724,.,.,494299,0.9,2.1,.,.,3,17377,12471,.,.,29848,4448,2459,.,.,6907,17377,12471,.,.,29848,4448,2459,.,.,6907,9.8,9.8,.,.,
2014,58128,DC Sustainable Energy Utility,DC,PJM,16340,35944,.,.,52284,2.6,5,.,.,7.6,111125,407139,.,.,518264,.,.,.,.,.,1863,4731,.,.,6594,3709,5499,.,.,9208,.,.,.,.,.,19728,60878,.,.,80606,5.59,11.98,.,.,https://www.dcseu.com/docs/about-us/DCSEU_FY13_Annual_Report_Web.pdf
2014,58139,Town of Pickstown - (SD),SD,WAUE,1,35,.,.,36,0,0,.,.,0,4,555,.,.,559,0,0,.,.,0,1,1,.,.,2,1,1,.,.,2,1,1,.,.,2,1,1,.,.,2,12,16,.,.,
2014,58854,Delaware Sustainable Energy Utility,DE,PJM,918,769,.,.,1687,.,.,.,.,.,16537,14093,.,.,30630,.,.,.,.,.,415,628,.,.,1043,.,.,.,.,.,17,14,.,.,31,.,.,.,.,.,18,18,.,.,
2014,58855,Hawaii Energy Efficiency Program,HI,,79524,64716,.,.,144240,11.6,8.8,.,.,20.4,858863,698932,.,.,1557795,11.6,8.8,.,.,20.4,9445,10761,.,.,20206,5613,6839,.,.,12452,9445,10761,.,.,20206,5613,6839,.,.,12452,14.6,7.8,.,.,"www.hawaiienergy.com/about/information-reports  1.  For 2013 report, Hawaii Energy provided figures based on program year 2013 (July 1, 2013 - June 30, 2014). 2.  For 2013 report, Hawaii Energy reported System/Utility Level Savings 3.  For 2014 costs - tax not included as it is a pass through 4.  Incremental Life Cycle Savings = Reporting Year Incremental Annual Savings x Measure Life (10.4 years) 5.  Reporting Year Incremental Costs and Incremental Life Cycle Costs are the same. 6.  For 2014, Reporting Year Incremental Annual Savings is based on Customer Level. 7.  For PY2013, Weighted Average Life = 10.8 years "
2014,59013,PUD No 1 of Jefferson County,WA,BPAT,509,22,0,.,531,.,.,.,.,.,509,22,0,.,531,.,.,.,.,.,174,3,0,.,177,20,1,0,.,21,174,3,0,.,177,20,1,0,.,21,18.51,10,.,.,Jefferson PUD just started its residential program at the end of 2013 and therefore has no record of annual life cycle savings other than the calendar year incremental savings multplied by the life of the measure - one year. Start up costs were high due to third party contractor and delayed reporting of savings.
2014,59118,NJ Clean Energy Program,NJ,PJM,306195,218277,.,.,524472,37,44,.,.,81,2195580,3096096,.,.,5291676,37,44,.,.,81,86579,73587,.,.,160166,20172,10270,.,.,30442,86579,73587,.,.,160166,20172,10270,.,.,30442,8.89,16,.,.,www.njcleanenergy.com
NM - Data is Not Meaningful.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
