Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Number of,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Types of Program,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,,,,Customers Enrolled,,,,,Time of Use Pricing,,,,Real Time Pricing,,,,Variable Peak Pricing,,,,Critical Peak Pricing,,,,Critical Peak Rebate,,,
Data Year,Utility Number,Utility Name,State,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation
2014,1582,City of Benton - (KY),KY,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1591,"Big Country Electric Coop, Inc",TX,.,.,17,.,17,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1613,Berkeley Electric Coop Inc,SC,.,4,.,.,.,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1640,City of Bessemer Utilities,AL,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1675,Big Horn Rural Electric Co,WY,16,2,.,.,18,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1769,"Black Hills Electric Coop, Inc",SD,5916,169,.,.,6085,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1776,City of Black River Falls,WI,0,12,0,0,12,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1884,BENCO Electric Cooperative,MN,.,.,.,.,.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1889,Blue Ridge Elec Member Corp - (NC),NC,63,18,.,.,81,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1891,Blue Ridge Mountain EMC - (GA),GA,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1891,Blue Ridge Mountain EMC - (GA),NC,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1936,Bolivar Energy Authority,TN,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,1997,City of Boscobel - (WI),WI,0,8,0,0,8,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2008,City of Boulder City - (NV),NV,0,2,0,0,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2010,City of Bountiful,UT,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2056,City of Bowling Green - (KY),KY,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2182,City of Breckenridge- (MN),MN,0,0,.,.,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2192,Bremen Electric Light & Power Co,IN,.,.,1,.,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2212,"Broad River Electric Coop, Inc",NC,80,.,.,.,80,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2247,City of Bristol - (TN),TN,0,26,3,0,29,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2248,Bristol Virginia Utilities,VA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2273,Brodhead Water & Lighting Comm,WI,0,1,2,0,3,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2411,City of Brownsville,TN,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2439,City of Bryan - (OH),OH,0,5,6,.,11,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2507,City of Burbank Water and Power,CA,30,132,.,.,162,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2548,City of Burlington Electric - (VT),VT,37,10,12,.,59,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2599,Burt County Public Power Dist,NE,.,1,.,.,.,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2641,"Butler Rural El Coop Assn, Inc - (KS)",KS,6470,736,4,.,7210,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N
2014,2651,Butler Rural Electric Coop Inc - (OH),OH,1,1,2,.,4,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N
2014,2774,CMS Electric Coop Inc,KS,.,.,.,.,.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2830,Calpine Power America LLC,ME,.,.,1,.,1,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2830,Calpine Power America LLC,TX,.,.,13,.,13,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2849,Central Electric Power Assn - (MS),MS,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2960,"Caney Fork Electric Coop, Inc",TN,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,2998,"Carbon Power & Light, Inc",WY,427,70,3,.,500,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3046,Duke Energy Progress - (NC),NC,27819,26610,1408,.,55837,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3046,Duke Energy Progress - (NC),SC,2123,3312,257,.,5692,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3075,Carroll County - (TN),TN,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3081,Carroll Electric Member Corp - (GA),GA,.,.,29,.,29,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
2014,3208,Cedarburg Light & Water Comm,WI,52,30,2,0,84,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3222,Central Alabama Electric Coop,AL,.,.,3,.,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
2014,3226,"Central Rural Electric Cooperative, Inc",OK,.,12,.,.,.,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3235,City of Central City,NE,.,.,.,.,.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3245,"Central Florida Elec Coop, Inc",FL,2,.,262,.,264,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3248,Central Georgia El Member Corp,GA,0,0,4,0,4,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3249,Central Hudson Gas & Elec Corp,NY,1112,255,57,.,1424,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3266,Central Maine Power Co,ME,6480,904,146,0,7530,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3273,"Central New Mexico El Coop, Inc",NM,1946,10,.,.,1956,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3293,Central Wisconsin Elec Coop,WI,1632,88,0,0,1720,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3314,"Chariton Valley Elec Coop, Inc",IA,0,1,0,0,1,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3400,City of Chaska - (MN),MN,9,.,.,.,9,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3408,City of Chattanooga - (TN),GA,8,0,0,0,8,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3408,City of Chattanooga - (TN),TN,111,13,6,0,130,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3413,PUD No 1 of Chelan County,WA,0,0,30,0,30,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3426,Cherokee Electric Coop,AL,0,1,1,0,2,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3475,City of Chickamauga,GA,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3498,Chippewa Valley Electric Coop,WI,.,12,22,.,34,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2014,3502,"Choctawhatche Elec Coop, Inc",FL,81,0,.,.,81,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3503,"Choptank Electric Coop, Inc",MD,62,270,10,.,342,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N
2014,3527,Choctaw Electric Coop Inc,OK,.,6,.,.,.,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
2014,3542,Duke Energy Ohio Inc,OH,891,1046,117,.,2054,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N
2014,3704,City of Clarksville - (TN),TN,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3722,Clarke Electric Coop Inc - (IA),IA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3755,Cleveland Electric Illum Co,OH,3741,0,2,0,3743,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N
2014,3758,City of Cleveland - (TN),TN,0,0,4,0,4,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3774,City of Clewiston,FL,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3812,City of Clinton - (TN),TN,0,0,8,0,8,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3814,City of Clintonville - (WI),WI,12,2,10,.,24,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3841,Coast Electric Power Assn,MS,11176,103,.,.,11279,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3855,Columbia Power System,TN,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3892,City of Coffeyville - (KS),KS,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3915,Coldwater Board of Public Util,MI,.,182,61,.,243,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3916,Cobb Electric Membership Corp,GA,11,.,.,.,11,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3931,Coles-Moultrie Electric Coop,IL,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3938,"Coleman County Elec Coop, Inc",TX,.,.,.,.,.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,3989,City of Colorado Springs - (CO),CO,7,1399,186,0,1592,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2014,4003,City of Colton - (CA),CA,.,.,79,.,79,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4045,City of Columbia - (MO),MO,.,.,8,.,8,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4068,City of Columbus - (MS),MS,0,0,1,0,1,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4073,City of Columbus - (WI),WI,0,12,1,0,13,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4110,Commonwealth Edison Co,IL,9784,6638,123,.,16545,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4176,Connecticut Light & Power Co,CT,440,2324,682,2,3448,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
2014,4254,Consumers Energy Co,MI,1813,68,15,.,1896,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
2014,4294,City of Cookeville - (TN),TN,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4373,Cornhusker Public Power Dist,NE,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4401,"Cotton Electric Coop, Inc",OK,.,.,.,.,.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4432,Coweta-Fayette El Member Corp,GA,33,3,.,.,36,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4437,City of Covington - (TN),TN,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4442,PUD No 1 of Cowlitz County,WA,.,.,.,.,.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4471,Craig-Botetourt Electric Coop,VA,.,.,.,.,.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4538,Crisp County Power Comm,GA,15,.,2,.,17,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4604,City of Crystal Falls,MI,0,5,0,0,5,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4607,City of Cuba City,WI,0,5,0,0,5,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4617,Cullman Power Board,AL,0,1,0,0,1,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4618,"Cullman Electric Coop, Inc",AL,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4624,Cumberland Elec Member Corp,TN,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4632,Cuming County Public Pwr Dist,NE,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4675,Cuivre River Electric Coop Inc,MO,.,25,.,.,25,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
2014,4704,"DS&O Electric Cooperative, Inc.",KS,.,.,2,.,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4848,Daviess Martin County R E M C,IN,35,.,.,.,35,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4920,City of Dayton - (TN),TN,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,4958,Decatur Utilities,AL,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,5027,Delmarva Power,DE,239000,13000,.,.,252000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N
2014,5027,Delmarva Power,MD,5000,.,.,.,5000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
2014,5063,City of Denton - (TX),TX,.,.,1,.,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,5070,Delaware Electric Cooperative,DE,0,48,0,.,48,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,5078,"Denton County Elec Coop, Inc",TX,9,49,77,.,135,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,5086,Delta Montrose Electric Assn,CO,1957,21,1,.,1979,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,5111,City of Detroit Lakes - (MN),MN,.,2,.,.,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,5148,City of Dickson,TN,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,5399,Duck River Elec Member Corp,TN,8,0,0,0,8,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,5416,"Duke Energy Carolinas, LLC",NC,2335,17166,1101,.,20602,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,5416,"Duke Energy Carolinas, LLC",SC,280,4869,446,.,5595,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,5417,Dunn County Electric Coop,WI,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,5480,Town of Danvers,MA,.,.,.,.,.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
