"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","OD1","REM"
"99849999999","2023-12-16T03:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0054,1","+0013,1","99999,9",,,"5,99,0005,1,999","SYN062CNII2 46/// /0000 10054 20013 90245 333 91201 555 11000 22000="
"99849999999","2023-12-16T04:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","130,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0058,1","+0007,1","99999,9",,,"5,99,0015,1,999","SYN062CNII2 46/// /1302 10058 20007 90400 333 91203 555 11002 22003="
"99849999999","2023-12-16T05:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0056,1","+0007,1","99999,9",,,"5,99,0015,1,999","SYN062CNII2 46/// /0000 10056 20007 90445 333 91203 555 11001 22001="
"99849999999","2023-12-16T06:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0054,1","+0016,1","99999,9",,,"5,99,0026,1,999","SYN062CNII2 46/// /0000 10054 20016 90545 333 91205 555 11001 22001="
"99849999999","2023-12-16T07:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","160,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0054,1","+0013,1","99999,9",,,"5,99,0021,1,999","SYN062CNII2 46/// /1602 10054 20013 90645 333 91204 555 11002 22002="
"99849999999","2023-12-16T08:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","160,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0054,1","+0014,1","99999,9",,,"5,99,0021,1,999","SYN062CNII2 46/// /1602 10054 20014 90745 333 91204 555 11002 22002="
"99849999999","2023-12-16T09:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0051,1","+0013,1","99999,9",,,"5,99,0031,1,999","SYN062CNII2 46/// /0000 10051 20013 90845 333 91206 555 11001 22001="
"99849999999","2023-12-16T10:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","060,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0048,1","+0016,1","99999,9",,,"5,99,0015,1,999","SYN062CNII2 46/// /0601 10048 20016 90945 333 91203 555 11001 22002="
"99849999999","2023-12-16T11:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","120,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0052,1","+0012,1","99999,9",,,"5,99,0041,1,999","SYN062CNII2 46/// /1207 10052 20012 91100 333 91208 555 11007 22008="
"99849999999","2023-12-16T12:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","130,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0054,1","+0007,1","99999,9",,,"5,99,0041,1,999","SYN062CNII2 46/// /1303 10054 20007 91145 333 91208 555 11003 22004="
"99849999999","2023-12-16T13:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","130,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0051,1","+0013,1","99999,9",,,"5,99,0046,1,999","SYN062CNII2 46/// /1305 10051 20013 91245 333 91209 555 11005 22005="
"99849999999","2023-12-16T14:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","150,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0052,1","+0013,1","99999,9",,,"5,99,0036,1,999","SYN062CNII2 46/// /1503 10052 20013 91345 333 91207 555 11003 22003="
