,|Data Year|,|Utility Number|,|Utility Name|,|Short Form|,|State|,|County|
0,2021,97,Adams Electric Coop,Y,IL,Adams
1,2021,97,Adams Electric Coop,Y,IL,Brown
2,2021,97,Adams Electric Coop,Y,IL,Hancock
3,2021,97,Adams Electric Coop,Y,IL,McDonough
4,2021,97,Adams Electric Coop,Y,IL,Pike
5,2021,97,Adams Electric Coop,Y,IL,Schuyler
6,2021,229,City of Albany - (IL),Y,IL,Whiteside
7,2021,366,City of Allendale- (IL),Y,IL,Wabash
8,2021,406,City of Altamont - (IL),Y,IL,Effingham
9,2021,1325,City of Batavia - (IL),,IL,Kane
10,2021,1648,Village of Bethany - (IL),Y,IL,Moultrie
11,2021,2188,City of Breese - (IL),Y,IL,Clinton
12,2021,2634,City of Bushnell - (IL),Y,IL,McDonough
13,2021,2776,Cairo Public Utility Company,Y,IL,Alexander
14,2021,2776,Cairo Public Utility Company,Y,IL,Pulaski
15,2021,3037,City of Carlyle - (IL),Y,IL,Clinton
16,2021,3040,City of Carmi - (IL),Y,IL,White
17,2021,3153,City of Casey - (IL),Y,IL,Clark
18,2021,3405,Village of Chatham - (IL),Y,IL,Sangamon
19,2021,3726,Clay Electric Coop Inc,Y,IL,Clay
20,2021,3726,Clay Electric Coop Inc,Y,IL,Effingham
21,2021,3726,Clay Electric Coop Inc,Y,IL,Fayette
22,2021,3726,Clay Electric Coop Inc,Y,IL,Jasper
23,2021,3726,Clay Electric Coop Inc,Y,IL,Marion
24,2021,3726,Clay Electric Coop Inc,Y,IL,Richland
25,2021,3726,Clay Electric Coop Inc,Y,IL,Wayne
26,2021,3806,"Clinton County Elec Coop, Inc",Y,IL,Clinton
27,2021,3806,"Clinton County Elec Coop, Inc",Y,IL,Fayette
28,2021,3806,"Clinton County Elec Coop, Inc",Y,IL,Madison
29,2021,3806,"Clinton County Elec Coop, Inc",Y,IL,Marion
30,2021,3806,"Clinton County Elec Coop, Inc",Y,IL,St Clair
31,2021,3806,"Clinton County Elec Coop, Inc",Y,IL,Washington
32,2021,3931,Coles-Moultrie Electric Coop,,IL,Clark
33,2021,3931,Coles-Moultrie Electric Coop,,IL,Coles
34,2021,3931,Coles-Moultrie Electric Coop,,IL,Cumberland
35,2021,3931,Coles-Moultrie Electric Coop,,IL,Douglas
36,2021,3931,Coles-Moultrie Electric Coop,,IL,Edgar
37,2021,3931,Coles-Moultrie Electric Coop,,IL,Moultrie
38,2021,3931,Coles-Moultrie Electric Coop,,IL,Piatt
39,2021,3931,Coles-Moultrie Electric Coop,,IL,Shelby
40,2021,4110,Commonwealth Edison Co,,IL,Boone
41,2021,4110,Commonwealth Edison Co,,IL,Bureau
42,2021,4110,Commonwealth Edison Co,,IL,Carroll
43,2021,4110,Commonwealth Edison Co,,IL,Cook
44,2021,4110,Commonwealth Edison Co,,IL,DeKalb
45,2021,4110,Commonwealth Edison Co,,IL,DuPage
46,2021,4110,Commonwealth Edison Co,,IL,Ford
47,2021,4110,Commonwealth Edison Co,,IL,Grundy
48,2021,4110,Commonwealth Edison Co,,IL,Jo Daviess
49,2021,4110,Commonwealth Edison Co,,IL,Kane
50,2021,4110,Commonwealth Edison Co,,IL,Kankakee
51,2021,4110,Commonwealth Edison Co,,IL,Kendall
52,2021,4110,Commonwealth Edison Co,,IL,LaSalle
53,2021,4110,Commonwealth Edison Co,,IL,Lake
54,2021,4110,Commonwealth Edison Co,,IL,Lee
55,2021,4110,Commonwealth Edison Co,,IL,Livingston
56,2021,4110,Commonwealth Edison Co,,IL,Marshall
57,2021,4110,Commonwealth Edison Co,,IL,McHenry
58,2021,4110,Commonwealth Edison Co,,IL,Ogle
59,2021,4110,Commonwealth Edison Co,,IL,Stephenson
60,2021,4110,Commonwealth Edison Co,,IL,Whiteside
61,2021,4110,Commonwealth Edison Co,,IL,Will
62,2021,4110,Commonwealth Edison Co,,IL,Winnebago
63,2021,4110,Commonwealth Edison Co,,IL,Woodford
64,2021,4362,Corn Belt Energy Corporation,,IL,Bureau
65,2021,4362,Corn Belt Energy Corporation,,IL,Champaign
66,2021,4362,Corn Belt Energy Corporation,,IL,DeWitt
67,2021,4362,Corn Belt Energy Corporation,,IL,Ford
68,2021,4362,Corn Belt Energy Corporation,,IL,Henry
69,2021,4362,Corn Belt Energy Corporation,,IL,Kendall
70,2021,4362,Corn Belt Energy Corporation,,IL,Knox
71,2021,4362,Corn Belt Energy Corporation,,IL,LaSalle
72,2021,4362,Corn Belt Energy Corporation,,IL,Livingston
73,2021,4362,Corn Belt Energy Corporation,,IL,Logan
74,2021,4362,Corn Belt Energy Corporation,,IL,Macon
75,2021,4362,Corn Belt Energy Corporation,,IL,Marshall
76,2021,4362,Corn Belt Energy Corporation,,IL,McLean
77,2021,4362,Corn Belt Energy Corporation,,IL,Piatt
78,2021,4362,Corn Belt Energy Corporation,,IL,Putnam
79,2021,4362,Corn Belt Energy Corporation,,IL,Stark
80,2021,4362,Corn Belt Energy Corporation,,IL,Tazewell
81,2021,4362,Corn Belt Energy Corporation,,IL,Woodford
82,2021,5531,Enerstar Power Corp,Y,IL,Clark
83,2021,5531,Enerstar Power Corp,Y,IL,Coles
84,2021,5531,Enerstar Power Corp,Y,IL,Douglas
85,2021,5531,Enerstar Power Corp,Y,IL,Edgar
86,2021,5531,Enerstar Power Corp,Y,IL,Vermilion
87,2021,5535,Egyptian Electric Coop Assn,,IL,Franklin
88,2021,5535,Egyptian Electric Coop Assn,,IL,Jackson
89,2021,5535,Egyptian Electric Coop Assn,,IL,Johnson
90,2021,5535,Egyptian Electric Coop Assn,,IL,Monroe
91,2021,5535,Egyptian Electric Coop Assn,,IL,Perry
92,2021,5535,Egyptian Electric Coop Assn,,IL,Randolph
93,2021,5535,Egyptian Electric Coop Assn,,IL,St Clair
94,2021,5535,Egyptian Electric Coop Assn,,IL,Union
95,2021,5535,Egyptian Electric Coop Assn,,IL,Washington
96,2021,5535,Egyptian Electric Coop Assn,,IL,Williamson
97,2021,5585,Eastern Illinois Elec Coop,,IL,Champaign
98,2021,5585,Eastern Illinois Elec Coop,,IL,Douglas
99,2021,5585,Eastern Illinois Elec Coop,,IL,Edgar
100,2021,5585,Eastern Illinois Elec Coop,,IL,Ford
101,2021,5585,Eastern Illinois Elec Coop,,IL,Iroquois
102,2021,5585,Eastern Illinois Elec Coop,,IL,Livingston
103,2021,5585,Eastern Illinois Elec Coop,,IL,McLean
104,2021,5585,Eastern Illinois Elec Coop,,IL,Moultrie
105,2021,5585,Eastern Illinois Elec Coop,,IL,Piatt
106,2021,5585,Eastern Illinois Elec Coop,,IL,Vermilion
107,2021,6141,City of Fairfield- (IL),Y,IL,Wayne
108,2021,6192,City of Farmer City - (IL),Y,IL,DeWitt
109,2021,6417,City of Flora - (IL),Y,IL,Clay
110,2021,6764,Village of Freeburg - (IL),Y,IL,St Clair
111,2021,7095,City of Geneseo - (IL),Y,IL,Henry
112,2021,7096,City of Geneva- (IL),,IL,Kane
113,2021,7633,Village of Greenup - (IL),Y,IL,Cumberland
114,2021,8573,City of Highland,Y,IL,Bond
115,2021,8573,City of Highland,Y,IL,Clinton
116,2021,8573,City of Highland,Y,IL,Madison
117,2021,8573,City of Highland,Y,IL,St Clair
118,2021,8824,M J M Electric Cooperative Inc,Y,IL,Bond
119,2021,8824,M J M Electric Cooperative Inc,Y,IL,Fayette
120,2021,8824,M J M Electric Cooperative Inc,Y,IL,Greene
121,2021,8824,M J M Electric Cooperative Inc,Y,IL,Jersey
122,2021,8824,M J M Electric Cooperative Inc,Y,IL,Macoupin
123,2021,8824,M J M Electric Cooperative Inc,Y,IL,Madison
124,2021,8824,M J M Electric Cooperative Inc,Y,IL,Montgomery
125,2021,9209,Illinois Rural Electric Coop,Y,IL,Adams
126,2021,9209,Illinois Rural Electric Coop,Y,IL,Brown
127,2021,9209,Illinois Rural Electric Coop,Y,IL,Calhoun
128,2021,9209,Illinois Rural Electric Coop,Y,IL,Cass
129,2021,9209,Illinois Rural Electric Coop,Y,IL,Greene
130,2021,9209,Illinois Rural Electric Coop,Y,IL,Jersey
131,2021,9209,Illinois Rural Electric Coop,Y,IL,Macoupin
132,2021,9209,Illinois Rural Electric Coop,Y,IL,Morgan
133,2021,9209,Illinois Rural Electric Coop,Y,IL,Pike
134,2021,9209,Illinois Rural Electric Coop,Y,IL,Scott
135,2021,9750,"Jo-Carroll Energy, Inc",,IL,Carroll
136,2021,9750,"Jo-Carroll Energy, Inc",,IL,Henry
137,2021,9750,"Jo-Carroll Energy, Inc",,IL,Jo Daviess
138,2021,9750,"Jo-Carroll Energy, Inc",,IL,Whiteside
139,2021,11736,City of Marshall - (IL),Y,IL,Clark
140,2021,11790,City of Mascoutah - (IL),Y,IL,St Clair
141,2021,12070,McDonough Power Coop,Y,IL,Fulton
142,2021,12070,McDonough Power Coop,Y,IL,Hancock
