,|Utility Characteristics..Data Year|,|Utility Characteristics..Facility Number|,|Utility Characteristics..Facility Name|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..STATE|,|Utility Characteristics..BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
0,2021,65005.0,Albertsons at Melrose Park,64440.0,"ESIL-AL-Melrose, LLC",IL,PJM,0.0,0,0,8.0,161,1.0,0.0,0,0.0,0.0,0.0,0.0,8.0,161,1
1,2021,62681.0,CED Champaign Solar LLC,56769.0,Consolidated Edison Development Inc.,IL,MISO,0.0,0,0,0.0,0,0.0,94.0,"2,977",1.0,0.0,0.0,0.0,94.0,"2,977",1
2,2021,63967.0,Charter Durabar at Woodstock,63511.0,"Constellation Solar Illinois 2, LLC",IL,PJM,0.0,0,0,99.0,"3,976",1.0,0.0,0,0.0,0.0,0.0,0.0,99.0,"3,976",1
3,2021,63830.0,Conagra Foods at St. Elmo,63511.0,"Constellation Solar Illinois 2, LLC",IL,MISO,0.0,0,0,68.0,"3,100",1.0,0.0,0,0.0,0.0,0.0,0.0,68.0,"3,100",1
4,2021,63889.0,"ESIL-PFCHICAGO 2, LLC",62915.0,Madison Energy Holdings LLC,IL,MISO,0.0,0,0,265.0,"1,528",1.0,0.0,0,0.0,0.0,0.0,0.0,265.0,"1,528",1
5,2021,63888.0,"ESIL-PFCHICAGO 3, LLC",62915.0,Madison Energy Holdings LLC,IL,MISO,0.0,0,0,395.0,"2,288",1.0,0.0,0,0.0,0.0,0.0,0.0,395.0,"2,288",1
6,2021,64919.0,FedEx Chicago Solar Facility,63505.0,"DG Illinois Solar, LLC",IL,PJM,0.0,0,0,83.0,"1,910",1.0,0.0,0,0.0,0.0,0.0,0.0,83.0,"1,910",1
7,2021,63399.0,Galesburg Solar Array,60571.0,"AEP Onsite Partners, LLC",IL,MISO,0.0,0,0,95.0,"2,870",1.0,0.0,0,0.0,0.0,0.0,0.0,95.0,"2,870",1
8,2021,63069.0,Harmony Road Solar,62856.0,"Forefront Power, LLC",IL,PJM,0.0,0,0,83.0,"3,051",1.0,0.0,0,0.0,0.0,0.0,0.0,83.0,"3,051",1
9,2021,64629.0,JM Huber at Quincy,63511.0,"Constellation Solar Illinois 2, LLC",IL,MISO,0.0,0,0,0.0,0,0.0,10.0,361,1.0,0.0,0.0,0.0,10.0,361,1
10,2021,61878.0,John A Logan College Solar,63359.0,"REA Investments, LLC",IL,MISO,508.0,"2,512",1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,508.0,"2,512",1
11,2021,63073.0,Mooseheart School Solar,62856.0,"Forefront Power, LLC",IL,PJM,0.0,0,0,104.0,"3,394",1.0,0.0,0,0.0,0.0,0.0,0.0,104.0,"3,394",1
12,2021,55216.0,Morris Cogeneration LLC,54755.0,Morris Cogeneration LLC,IL,PJM,0.0,0,0,0.0,0,0.0,"13,258.0","466,014",1.0,0.0,0.0,0.0,"13,258.0","466,014",1
13,2021,62735.0,Phoenix Solar South Farms LLC Solar Farm,62656.0,Phoenix Solar South Farms LLC,IL,MISO,0.0,0,0,"1,414.0","7,212",1.0,0.0,0,0.0,0.0,0.0,0.0,"1,414.0","7,212",1
14,2021,63071.0,Reed Road Solar,62856.0,"Forefront Power, LLC",IL,PJM,0.0,0,0,55.0,"2,043",1.0,0.0,0,0.0,0.0,0.0,0.0,55.0,"2,043",1
15,2021,64362.0,"SCS American Bottoms 009885 Sauget, LLC",61677.0,Sol Systems,IL,MISO,0.0,0,0,77.0,"2,794",1.0,0.0,0,0.0,0.0,0.0,0.0,77.0,"2,794",1
16,2021,63070.0,Square Barn Solar,62856.0,"Forefront Power, LLC",IL,PJM,0.0,0,0,54.0,"2,022",1.0,0.0,0,0.0,0.0,0.0,0.0,54.0,"2,022",1
17,2021,63968.0,The GSI Group LLC at Assumption,63511.0,"Constellation Solar Illinois 2, LLC",IL,MISO,0.0,0,0,44.0,"1,836",1.0,0.0,0,0.0,0.0,0.0,0.0,44.0,"1,836",1
18,2021,54780.0,University of Illinois Abbott Power Plt,19528.0,University of Illinois,IL,MISO,87.0,"1,020",236,"1,274.0","14,695",83.0,0.0,0,0.0,0.0,0.0,0.0,"1,361.0","15,715",319
