,Data Year,Utility Number,Utility Name,State,Distribution Circuits,Circuits with Voltage Optimization
0,2021,1325,City of Batavia - (IL),IL,22,.
1,2021,3931,Coles-Moultrie Electric Coop,IL,50,0
2,2021,4110,Commonwealth Edison Co,IL,"5,618","1,504"
3,2021,4362,Corn Belt Energy Corporation,IL,144,81
4,2021,5535,Egyptian Electric Coop Assn,IL,68,64
5,2021,5585,Eastern Illinois Elec Coop,IL,76,76
6,2021,7096,City of Geneva- (IL),IL,33,.
7,2021,9750,"Jo-Carroll Energy, Inc",IL,90,2
8,2021,12341,MidAmerican Energy Co,IL,111,0
9,2021,12395,Menard Electric Coop,IL,60,36
10,2021,13032,Mt Carmel Public Utility Co,IL,15,6
11,2021,13208,City of Naperville - (IL),IL,117,117
12,2021,13292,Norris Electric Coop,IL,115,.
13,2021,14840,City of Peru - (IL),IL,20,13
14,2021,16179,Rochelle Municipal Utilities,IL,21,6
15,2021,16196,Rock Energy Cooperative,IL,23,19
16,2021,16740,Scenic Rivers Energy Coop,IL,4,.
17,2021,17040,"Shelby Electric Coop, Inc",IL,62,.
18,2021,17585,"Southeastern IL Elec Coop, Inc",IL,131,1
19,2021,17697,Southwestern Electric Coop Inc - (IL),IL,87,0
20,2021,17828,City of Springfield - (IL),IL,117,117
21,2021,17860,City of St Charles - (IL),IL,51,0
22,2021,18955,"Tri-County Electric Coop, Inc (IL)",IL,86,86
23,2021,20222,Wayne-White Counties Elec Coop,IL,67,0
24,2021,56697,Ameren Illinois Company,IL,"2,809",324
