,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..Part|,|Utility Characteristics..Service Type|,"|Utility Characteristics..""Data Type O = Observed I = Imputed""|",|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|Utility Characteristics.BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
0,2021,970.0,Homefield Energy,B,Energy,O,IL,Retail Power Marketer,MISO,"219,141.7","4,883,013","453,890","122,146.6","2,589,195","3,253","36,447.7","803,128",92,"1,574.0","21,283",1,"379,310.0","8,296,619","457,236"
1,2021,1325.0,City of Batavia - (IL),A,Bundled,O,IL,Municipal,PJM,"12,831.0","91,667","9,809","16,363.0","139,654","1,338","17,627.0","193,323",9,.,.,.,"46,821.0","424,644","11,156"
2,2021,1611.0,"Messer Energy Services, Inc.",B,Energy,O,IL,Retail Power Marketer,MISO,0.0,0,0,0.0,0,0,"8,545.0","175,334",3,0.0,0,0,"8,545.0","175,334",3
3,2021,3931.0,Coles-Moultrie Electric Coop,A,Bundled,O,IL,Cooperative,MISO,"16,766.0","119,209","8,437","6,281.0","51,293","1,120","3,347.0","34,166",8,.,.,.,"26,394.0","204,668","9,565"
4,2021,4100.0,"Commerce Energy, Inc.",B,Energy,O,IL,Retail Power Marketer,PJM,"28,952.9","314,260","32,184","2,654.1","35,799","2,059",0.0,0,0,0.0,0,0,"31,607.0","350,059","34,243"
5,2021,4110.0,Commonwealth Edison Co,A,Bundled,O,IL,Investor Owned,PJM,"2,753,093.9","20,413,030","2,778,125","916,924.7","8,203,678","223,595","64,897.3","779,756",150,0.0,0,0,"3,734,915.9","29,396,464","3,001,870"
6,2021,4110.0,Commonwealth Edison Co,C,Delivery,O,IL,Investor Owned,PJM,"479,999.3","7,930,951","921,290","692,893.7","22,004,728","170,387","493,837.6","25,640,230","1,713","6,274.2","437,641",2,"1,673,004.8","56,013,550","1,093,392"
7,2021,4362.0,Corn Belt Energy Corporation,A,Bundled,O,IL,Cooperative,MISO,"53,552.0","402,987","34,072","20,456.0","171,144","2,320","4,977.5","74,367",3,.,.,.,"78,985.5","648,498","36,395"
8,2021,5535.0,Egyptian Electric Coop Assn,A,Bundled,O,IL,Cooperative,MISO,"27,409.3","197,963","13,651","13,147.9","106,013","1,660",0.0,0,0,0.0,0,0,"40,557.2","303,976","15,311"
9,2021,5585.0,Eastern Illinois Elec Coop,A,Bundled,O,IL,Cooperative,MISO,"25,667.0","175,416","11,198","6,405.0","47,351","2,330","2,093.0","18,882",15,0.0,0,0,"34,165.0","241,649","13,543"
10,2021,6458.0,Energy Harbor Corp.,B,Energy,O,IL,Retail Power Marketer,MISO,"21,455.7","410,739","43,349","19,129.6","429,155","3,644","59,544.8","1,398,917",11,0.0,0,0,"100,130.1","2,238,811","47,004"
11,2021,7096.0,City of Geneva- (IL),A,Bundled,O,IL,Municipal,PJM,"9,427.0","79,785","8,660","13,003.0","129,603","1,647","12,715.0","160,430",20,.,.,.,"35,145.0","369,818","10,327"
12,2021,7279.0,"NextEra Energy Services, LLC",B,Energy,O,IL,Retail Power Marketer,MISO,0.0,0,0,"10,434.5","198,081",338,0.0,0,0,0.0,0,0,"10,434.5","198,081",338
13,2021,7554.0,Green Mountain Energy Company,B,Energy,O,IL,Retail Power Marketer,PJM,"10,807.1","83,530","11,895",22.6,144,2,0.0,0,0,0.0,0,0,"10,829.7","83,674","11,897"
14,2021,9750.0,"Jo-Carroll Energy, Inc",A,Bundled,O,IL,Cooperative,MISO,"26,939.7","161,873","17,442","13,606.0","99,143","2,837","7,498.3","92,012",77,0.0,0,0,"48,044.0","353,028","20,356"
15,2021,9750.0,"Jo-Carroll Energy, Inc",C,Delivery,O,IL,Cooperative,MISO,.,.,.,.,.,.,"1,390.8","183,254",1,.,.,.,"1,390.8","183,254",1
16,2021,12341.0,MidAmerican Energy Co,A,Bundled,O,IL,Investor Owned,MISO,"66,834.4","648,586","73,902","45,361.3","568,582","11,515","35,521.8","678,095",45,.,.,.,"147,717.5","1,895,263","85,462"
17,2021,12341.0,MidAmerican Energy Co,C,Delivery,O,IL,Investor Owned,MISO,19.6,440,72,825.0,"42,476",174,447.8,"32,662",5,.,.,.,"1,292.4","75,578",251
18,2021,12395.0,Menard Electric Coop,A,Bundled,O,IL,Cooperative,MISO,"18,238.2","116,010","9,118","4,029.9","28,040",586,"6,828.7","48,922","1,273",.,.,.,"29,096.8","192,972","10,977"
19,2021,13032.0,Mt Carmel Public Utility Co,A,Bundled,O,IL,Investor Owned,MISO,"7,272.0","48,395","4,360","2,251.0","14,901",809,"2,919.0","22,048",91,0.0,0,0,"12,442.0","85,344","5,260"
20,2021,13208.0,City of Naperville - (IL),A,Bundled,O,IL,Municipal,PJM,"70,367.7","537,789","54,868","72,036.5","673,565","6,775","7,416.7","69,430",8,.,.,.,"149,820.9","1,280,784","61,651"
21,2021,13292.0,Norris Electric Coop,A,Bundled,O,IL,Cooperative,MISO,"30,260.0","259,472","17,929","8,681.0","82,391","2,194","3,032.0","13,998",13,.,.,.,"41,973.0","355,861","20,136"
22,2021,13374.0,"Constellation NewEnergy, Inc",B,Energy,O,IL,Retail Power Marketer,PJM,"61,890.1","798,775","86,718","778,953.9","14,224,372","48,120","90,959.5","1,745,751",697,0.0,0,0,"931,803.5","16,768,898","135,535"
23,2021,13374.0,"Constellation NewEnergy, Inc",B,Energy,O,IL,Retail Power Marketer,MISO,"20,221.1","366,944","38,726","176,601.4","3,764,952","18,623","31,561.6","729,065",918,0.0,0,0,"228,384.1","4,860,961","58,267"
24,2021,14840.0,City of Peru - (IL),A,Bundled,O,IL,Municipal,MISO,"4,726.0","38,901","4,734","10,948.0","96,065","1,140","11,875.0","115,685",8,.,.,.,"27,549.0","250,651","5,882"
25,2021,16179.0,Rochelle Municipal Utilities,A,Bundled,O,IL,Municipal,PJM,"6,339.0","71,297","5,891","4,827.0","40,283",968,"23,555.0","277,141",41,.,.,.,"34,721.0","388,721","6,900"
26,2021,16196.0,Rock Energy Cooperative,A,Bundled,O,IL,Cooperative,MISO,"11,549.0","87,970","9,312","8,622.0","87,797","1,010","4,220.0","50,257",23,.,.,.,"24,391.0","226,024","10,345"
27,2021,16740.0,Scenic Rivers Energy Coop,A,Bundled,O,IL,Cooperative,MISO,30.2,241,13,.,.,.,.,.,.,.,.,.,30.2,241,13
28,2021,16840.0,"Calpine Energy Solutions, LLC",B,Energy,O,IL,Retail Power Marketer,MISO,0.0,0,0,"227,471.7","4,549,228",172,"14,084.5","278,440",12,0.0,0,0,"241,556.2","4,827,668",184
29,2021,17040.0,"Shelby Electric Coop, Inc",A,Bundled,O,IL,Cooperative,MISO,"21,294.0","127,459","9,763","3,437.6","29,047",155,"8,886.9","90,428",22,0.0,0,0,"33,618.5","246,934","9,940"
30,2021,17585.0,"Southeastern IL Elec Coop, Inc",A,Bundled,O,IL,Cooperative,MISO,"39,909.0","324,945","22,432","10,518.0","83,884","2,310","31,997.0","362,937",28,.,.,.,"82,424.0","771,766","24,770"
