Data Year,Utility Number,Utility Name,Ownership,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2019,34,City of Abbeville - (SC),Municipal,Y,SC,DUK,"3,384",460,.,.,"3,844",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,384",460,.,.,"3,844",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2019,55,City of Aberdeen - (MS),Municipal,,MS,TVA,0,0,0,0,0,0,19,1,0,20,0,0,0,0,0,"2,533",621,0,0,"3,154","2,533",640,1,0,"3,174",0,531,"120,537",0,"121,068",0,0,0,0,0,0,0,0,0,0
2019,59,City of Abbeville - (LA),Municipal,,LA,MISO,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,580",887,27,.,"5,494","4,580",887,27,.,"5,494",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2019,84,A & N Electric Coop,Cooperative,,MD,PJM,272,44,.,.,316,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,272,44,.,.,316,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2019,84,A & N Electric Coop,Cooperative,,VA,PJM,"18,945","2,714",4,.,"21,663","12,360",140,0,.,"12,500",.,.,.,.,.,122,"1,329",4,.,"1,455","31,427","4,183",8,.,"35,618","22,564",104,0,.,"22,668","12,360",140,0,.,"12,500",0,0,0,0,0
2019,87,City of Ada - (MN),Municipal,Y,MN,MISO,870,165,58,.,"1,093",.,.,.,.,.,.,.,.,.,.,2,90,0,.,92,872,255,58,.,"1,185",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2019,97,Adams Electric Coop,Cooperative,,IL,MISO,.,.,.,.,.,"11,740",225,.,.,"11,965",.,.,.,.,.,.,.,.,.,.,"11,740",225,.,.,"11,965","118,628","57,474",.,.,"176,102","8,706",225,.,.,"8,931","4,334",.,.,.,"4,334"
2019,108,Adams-Columbia Electric Coop,Cooperative,,WI,MISO,"34,323","2,336",937,.,"37,596",.,.,.,.,.,.,.,.,.,.,.,11,.,.,11,"34,323","2,347",937,.,"37,607",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2019,118,"Adams Rural Electric Coop, Inc",Cooperative,,OH,PJM,.,.,.,.,.,"7,090",389,.,.,"7,479",.,.,.,.,.,.,.,.,.,.,"7,090",389,.,.,"7,479","92,887","15,865",.,.,"108,752",.,.,.,.,.,.,.,.,.,.
2019,122,Village of Arcade - (NY),Municipal,,NY,NYIS,"4,268",.,.,.,"4,268",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,268",.,.,.,"4,268",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
