|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Number of.Customers Enrolled.Residential|,|Number of.Customers Enrolled.Commercial|,|Number of.Customers Enrolled.Industrial|,|Number of.Customers Enrolled.Transportation|,|Number of.Customers Enrolled.Total|,|Types of Program.Time of Use Pricing.Residential|,|Types of Program.Time of Use Pricing.Commercial|,|Types of Program.Time of Use Pricing.Industrial|,|Types of Program.Time of Use Pricing.Transportation|,|Types of Program.Real Time Pricing.Residential|,|Types of Program.Real Time Pricing.Commercial|,|Types of Program.Real Time Pricing.Industrial|,|Types of Program.Real Time Pricing.Transportation|,|Types of Program.Variable Peak Pricing.Residential|,|Types of Program.Variable Peak Pricing.Commercial|,|Types of Program.Variable Peak Pricing.Industrial|,|Types of Program.Variable Peak Pricing.Transportation|,|Types of Program.Critical Peak Pricing.Residential|,|Types of Program.Critical Peak Pricing.Commercial|,|Types of Program.Critical Peak Pricing.Industrial|,|Types of Program.Critical Peak Pricing.Transportation|,|Types of Program.Critical Peak Rebate.Residential|,|Types of Program.Critical Peak Rebate.Commercial|,|Types of Program.Critical Peak Rebate.Industrial|,|Types of Program.Critical Peak Rebate.Transportation|
2019,994,City of Auburn - (IN),,IN,PJM,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,1009,City of Austin - (MN),,MN,MISO,0,9,0,0,9,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,1015,Austin Energy,,TX,ERCO,91,28,5,0,124,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,1036,Town of Ayden - (NC),,NC,CPLE,0,0,1,0,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
2019,1050,City of Azusa,,CA,CISO,207,4,26,0,237,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,1167,Baltimore Gas & Electric Co,,MD,PJM,"1,131,601",0,0,0,"1,131,601",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
2019,1175,"Bandera Electric Coop, Inc",,TX,ERCO,"1,251",0,0,0,"1,251",Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,1181,Village of Bangor - (WI),,WI,MISO,0,1,2,0,3,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,1192,City of Banning - (CA),,CA,CISO,0,0,12,0,12,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,1278,City of Barron - (WI),Y,WI,MISO,3,0,1,0,4,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,1283,Bartholomew County Rural E M C,,IN,MISO,262,0,0,0,262,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,1366,City of Bay City - (MI),,MI,MISO,0,23,9,0,32,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,1522,Village of Belmont - (WI),Y,WI,MISO,0,0,5,0,5,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,1529,"Beltrami Electric Coop, Inc",,MN,MISO,0,23,0,0,23,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
2019,1578,Benton County,,TN,TVA,"8,462","1,692",1,0,"10,155",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,1591,"Big Country Electric Coop, Inc",,TX,ERCO,0,0,16,0,16,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,1613,Berkeley Electric Coop Inc,,SC,SC,105,54,0,0,159,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,1675,Big Horn Rural Electric Co,,WY,WACM,1,2,0,0,3,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,1769,"Black Hills Electric Coop, Inc",,SD,SWPP,"5,121","1,747",87,0,"6,955",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,1776,City of Black River Falls,,WI,MISO,2,17,0,0,19,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,1884,BENCO Electric Cooperative,,MN,MISO,16,0,2,0,18,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
