|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Number of.Customers Enrolled.Residential|,|Number of.Customers Enrolled.Commercial|,|Number of.Customers Enrolled.Industrial|,|Number of.Customers Enrolled.Transportation|,|Number of.Customers Enrolled.Total|,|Types of Program.Time of Use Pricing.Residential|,|Types of Program.Time of Use Pricing.Commercial|,|Types of Program.Time of Use Pricing.Industrial|,|Types of Program.Time of Use Pricing.Transportation|,|Types of Program.Real Time Pricing.Residential|,|Types of Program.Real Time Pricing.Commercial|,|Types of Program.Real Time Pricing.Industrial|,|Types of Program.Real Time Pricing.Transportation|,|Types of Program.Variable Peak Pricing.Residential|,|Types of Program.Variable Peak Pricing.Commercial|,|Types of Program.Variable Peak Pricing.Industrial|,|Types of Program.Variable Peak Pricing.Transportation|,|Types of Program.Critical Peak Pricing.Residential|,|Types of Program.Critical Peak Pricing.Commercial|,|Types of Program.Critical Peak Pricing.Industrial|,|Types of Program.Critical Peak Pricing.Transportation|,|Types of Program.Critical Peak Rebate.Residential|,|Types of Program.Critical Peak Rebate.Commercial|,|Types of Program.Critical Peak Rebate.Industrial|,|Types of Program.Critical Peak Rebate.Transportation|
2019,4176,Connecticut Light & Power Co,,CT,ISNE,489,"2,322",636,2,"3,449",Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
2019,4254,Consumers Energy Co,,MI,MISO,"31,511",414,401,0,"32,326",Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N
2019,4294,City of Cookeville - (TN),,TN,TVA,0,1,1,0,2,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,4295,Comanche County Elec Coop Assn,,TX,ERCO,0,1,0,0,1,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,4327,Coosa Valley Electric Coop Inc,,AL,AEC,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,4362,Corn Belt Energy Corporation,,IL,MISO,30,0,0,0,30,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,4365,Town of Cornelius - (NC),Y,NC,DUK,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,4430,"Covington Electric Coop, Inc",,AL,AEC,0,5,0,0,5,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,4432,Coweta-Fayette El Member Corp,,GA,SOCO,34,3,0,0,37,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,4433,City of Covington - (GA),,GA,SOCO,0,2,0,0,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,4437,City of Covington - (TN),,TN,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,4471,Craig-Botetourt Electric Coop,,VA,PJM,1,0,0,0,1,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,4538,Crisp County Power Comm,,GA,SOCO,15,0,2,0,17,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,4577,Crow Wing Cooperative Power & Light Comp,,MN,MISO,1,3,0,0,4,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,4604,City of Crystal Falls,,MI,MISO,0,5,0,0,5,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,4607,City of Cuba City,,WI,MISO,0,6,0,0,6,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,4618,"Cullman Electric Coop, Inc",,AL,TVA,0,0,6,0,6,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,4622,"Cumberland Valley Electric, Inc.",,KY,PJM,12,0,0,0,12,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,4624,Cumberland Elec Member Corp,,TN,TVA,0,0,12,0,12,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,4675,Cuivre River Electric Coop Inc,,MO,AECI,0,24,0,0,24,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
2019,4704,"DS&O Electric Cooperative, Inc.",,KS,SWPP,"7,195","1,124",4,0,"8,323",N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
2019,4848,Daviess Martin County R E M C,,IN,MISO,32,0,0,0,32,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,4920,City of Dayton - (TN),,TN,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,4958,Decatur Utilities,,AL,TVA,0,0,6,0,6,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,4960,Decatur County Rural E M C,,IN,MISO,1,0,0,0,1,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5027,Delmarva Power,,DE,PJM,"265,816","14,328",0,0,"280,144",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N
2019,5027,Delmarva Power,,MD,PJM,"174,115",0,0,0,"174,115",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
2019,5063,City of Denton - (TX),,TX,ERCO,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5070,Delaware Electric Cooperative,,DE,PJM,0,33,0,0,33,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5078,"Denton County Elec Coop, Inc",,TX,ERCO,"1,660",165,68,0,"1,893",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5086,Delta Montrose Electric Assn,,CO,WACM,"1,847",21,0,0,"1,868",Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5109,DTE Electric Company,,MI,MISO,"11,398",2,0,0,"11,400",Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N
2019,5111,City of Detroit Lakes - (MN),,MN,MISO,0,1,0,0,1,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5148,City of Dickson,,TN,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5325,City of Douglas,,GA,SOCO,0,2,0,0,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5327,Douglas Electric Coop - (OR),,OR,BPAT,0,2,0,0,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5399,Duck River Elec Member Corp,,TN,TVA,3,0,4,0,7,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5416,"Duke Energy Carolinas, LLC",,NC,DUK,"5,256","16,817","1,092",0,"23,165",Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5416,"Duke Energy Carolinas, LLC",,SC,DUK,316,"5,007",499,0,"5,822",Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5438,"Duncan Valley Elec Coop, Inc",Y,AZ,WALC,0,1,0,0,1,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5487,Duquesne Light Co,,PA,PJM,0,123,38,0,161,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5509,City of Dyersburg,,TN,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5551,City of Eagle River - (WI),,WI,MISO,0,6,0,0,6,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5578,East Mississippi Elec Pwr Assn,,MS,TVA,0,91,0,0,91,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5605,Eastern Iowa Light & Power Coop,,IA,MISO,"21,838","1,926",16,0,"23,780",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5632,Eau Claire Electric Coop,,WI,MISO,6,11,8,0,25,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2019,5701,El Paso Electric Co,,NM,EPE,19,74,9,0,102,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5701,El Paso Electric Co,,TX,EPE,19,729,38,0,786,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5860,Empire District Electric Co,,MO,SWPP,0,0,3,0,3,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
2019,5953,"Entergy Solutions, Ltd",,MA,ISNE,0,0,1,0,1,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5961,Town of Erwin - (TN),,TN,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5964,"Escambia River Elec Coop, Inc",,FL,AEC,0,13,0,0,13,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,5997,Town of Estes Park,,CO,PSCO,305,33,0,0,338,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6008,City of Etowah,,TN,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6043,City of Evansville,,WI,MISO,3,17,1,0,21,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6112,"Farmers Electric Coop, Inc - (IA)",,IA,MISO,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
2019,6182,"Farmers Electric Coop, Inc - (TX)",,TX,ERCO,0,4,0,0,4,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6234,City of Fayetteville,,TN,TVA,0,0,4,0,4,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6235,Fayetteville Public Works Commission,,NC,CPLE,"73,235","9,626",30,0,"82,891",Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2019,6374,Fitchburg Gas & Elec Light Co,,MA,ISNE,0,0,31,0,31,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6395,Flathead Electric Coop Inc,,MT,BPAT,"56,245",25,93,0,"56,363",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6411,Flint Electric Membership Corp,,GA,SOCO,0,161,0,0,161,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
2019,6422,City of Florence - (AL),,AL,TVA,0,0,4,0,4,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6424,Florence Utility Comm,,WI,MISO,0,3,0,0,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6431,"Flint Hills Rural E C A, Inc",,KS,SWPP,502,28,15,0,545,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,Y,N,N
2019,6455,"Duke Energy Florida, LLC",,FL,FPC,28,"15,315",458,0,"15,801",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6457,Florida Public Utilities Co,,FL,JEA,6,1,0,0,7,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6604,City of Fort Collins - (CO),,CO,PSCO,"66,865",0,0,0,"66,865",Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6608,Fort Loudoun Electric Coop,,TN,TVA,0,1,1,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6612,Fort Payne Improvement Authority,,AL,TVA,0,1,0,0,1,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6638,City of Fountain,,CO,PSCO,0,38,0,0,38,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6640,Four County Elec Member Corp,,NC,CPLE,12,0,0,0,12,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6641,4-County Electric Power Assn,,MS,TVA,0,975,5,0,980,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6717,Franklin Electric Coop - (AL),,AL,TVA,0,1,3,0,4,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6718,City of Franklin - (KY),,KY,TVA,0,0,3,0,3,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6782,Freeborn-Mower Coop Services,,MN,MISO,3,42,7,0,52,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2019,6909,Gainesville Regional Utilities,,FL,GVL,0,16,0,0,16,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6923,City of Gallatin - (TN),,TN,TVA,0,1,2,0,3,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6930,City of Gallup - (NM),,NM,PNM,0,1,1,0,2,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,6957,"Garkane Energy Coop, Inc",,UT,WACM,446,14,0,0,460,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,7027,City of Gastonia - (NC),,NC,DUK,0,13,13,0,26,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2019,7096,City of Geneva- (IL),,IL,PJM,0,0,5,0,5,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,7140,Georgia Power Co,,GA,SOCO,"17,998","13,811","1,668",1,"33,478",Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
2019,7174,Gibson Electric Members Corp,,KY,TVA,0,81,0,0,81,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,7174,Gibson Electric Members Corp,,TN,TVA,0,344,2,0,346,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,7264,"Glades Electric Coop, Inc",,FL,SEC,2,471,10,0,483,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N
2019,7270,City of Glasgow - (KY),,KY,TVA,"5,545","1,850",1,0,"7,396",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,7279,"NextEra Energy Services, LLC",,OH,PJM,0,1,0,0,1,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,7279,"NextEra Energy Services, LLC",,PA,PJM,0,2,0,0,2,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,7279,"NextEra Energy Services, LLC",,TX,ERCO,"8,080",52,0,0,"8,132",Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,7294,City of Glendale - (CA),,CA,LDWP,36,297,11,0,344,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,7411,City of Gothenburg - (NE),,NE,SWPP,0,0,4,0,4,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,7483,City of Grand Haven - (MI),,MI,MISO,0,0,51,0,51,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,7490,Grand River Dam Authority,,OK,SWPP,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,7496,Town of Granite Falls - (NC),Y,NC,DUK,0,7,2,0,9,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2019,7563,Grand Valley Power,,CO,PSCO,4,28,0,0,32,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,7601,Green Mountain Power Corp,,VT,ISNE,"5,220","3,727",72,0,"9,019",Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N
2019,7625,City of Greeneville - (TN),,TN,TVA,0,0,7,0,7,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,7634,City of Greenville - (TX),,TX,ERCO,0,86,0,0,86,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
2019,7715,Town of Groton - (MA),Y,MA,ISNE,57,0,0,0,57,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,7752,Guadalupe Valley Elec Coop Inc,,TX,ERCO,0,0,2,0,2,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,7801,Gulf Power Co,,FL,SOCO,"20,116","1,020",91,0,"21,227",Y,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N
2019,7826,City of Gunnison - (CO),,CO,WACM,20,1,0,0,21,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,7827,Guntersville Electric Board,,AL,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,8122,Harlan Municipal Utilities - (IA),,IA,MISO,0,1,4,0,5,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,8147,City of Harriman - (TN),,TN,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,8179,Harrison County Rural E M C,,IN,MISO,158,0,0,0,158,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,8212,Hartford Electric,,WI,MISO,2,22,8,0,32,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,8226,City of Hartselle,,AL,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,8287,Hawaii Electric Light Co Inc,,HI,NA,544,42,1,0,587,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,8319,Heartland Power Coop,,IA,MISO,6,49,7,0,62,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,8333,Haywood Electric Member Corp,,NC,DUK,38,19,1,0,58,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,8348,City of Healdsburg - (CA),,CA,CISO,70,11,0,0,81,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,8447,Hendricks County Rural E M C,,IN,MISO,"32,466",698,1,0,"33,165",Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
2019,8566,High Plains Power Inc,,WY,WACM,446,7,0,0,453,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,8570,Highline Electric Assn,,CO,WACM,7,0,0,0,7,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,8571,Town of High Point,,NC,DUK,0,216,27,0,243,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,N
2019,8699,Inland Power & Light Company,,WA,BPAT,0,0,163,0,163,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,8723,City of Holland,,MI,MISO,12,0,0,0,12,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,8764,"Holston Electric Coop, Inc",,TN,TVA,0,0,6,0,6,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,8773,"Holy Cross Electric Assn, Inc",,CO,PSCO,84,60,0,0,144,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
2019,8846,City of Hopkinsville,,KY,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,8911,Howard Electric Coop,,MO,AECI,"3,429",0,0,0,"3,429",Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9023,City of Humboldt,,TN,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9087,Town of Huntersville - (NC),,NC,DUK,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9094,City of Huntsville - (AL),,AL,TVA,0,1,7,0,8,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9124,Hustisford Utilities,,WI,MISO,6,9,0,0,15,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9191,Idaho Power Co,,ID,IPCO,"1,074",251,121,0,"1,446",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9191,Idaho Power Co,,OR,IPCO,3,6,7,0,16,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9209,Illinois Rural Electric Coop,,IL,PJM,0,141,0,0,141,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9273,Indianapolis Power & Light Co,,IN,MISO,131,4,4,0,139,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9275,Indianola Municipal Utilities,,IA,MISO,33,0,0,0,33,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9324,Indiana Michigan Power Co,,IN,PJM,"13,828","2,221",63,0,"16,112",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9324,Indiana Michigan Power Co,,MI,PJM,"6,007",425,77,0,"6,509",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9336,Intermountain Rural Elec Assn,,CO,PSCO,81,62,40,0,183,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9417,Interstate Power and Light Co,,IA,MISO,"14,869","5,657",327,0,"20,853",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9576,Jackson County Rural E M C - (IN),,IN,MISO,24,1,0,0,25,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9601,Jackson Electric Member Corp - (GA),,GA,SOCO,359,142,0,0,501,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9612,City of Jackson - (TN),,TN,TVA,0,2,31,0,33,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9617,JEA,,FL,JEA,0,146,78,0,224,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
2019,9682,"Jefferson Davis Elec Coop, Inc",,LA,MISO,0,2,0,0,2,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9690,Jefferson Utilities,,WI,MISO,1,19,1,0,21,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9699,"Jemez Mountains Elec Coop, Inc",,NM,WALC,265,29,0,0,294,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9726,Jersey Central Power & Lt Co,,NJ,PJM,"15,163",296,92,1,"15,552",Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
2019,9739,Joe Wheeler Elec Member Corp,,AL,TVA,0,2,20,0,22,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9750,"Jo-Carroll Energy, Inc",,IL,MISO,0,0,13,0,13,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9777,Johnson City - (TN),,TN,TVA,0,7,11,0,18,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,9778,Johnson County Rural E M C,,IN,MISO,33,38,2,0,73,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
2019,9936,Juneau Utility Comm,,WI,MISO,0,7,2,0,9,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,10000,Evergy Metro,,KS,SWPP,196,0,0,0,196,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,10000,Evergy Metro,,MO,SWPP,232,3,0,0,235,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,10005,"Evergy Kansas South, Inc",,KS,SWPP,12,272,37,0,321,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
2019,10019,FreeState Electric Coop,,KS,SWPP,558,6,0,0,564,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,10056,City of Kaukauna,,WI,MISO,21,77,13,0,111,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,10171,Kentucky Utilities Co,,KY,LGEE,78,"4,918",801,0,"5,797",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N
2019,10171,Kentucky Utilities Co,,VA,LGEE,0,204,20,0,224,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N
2019,10331,Kingsport Power Co,,TN,PJM,29,4,0,0,33,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,10376,Kissimmee Utility Authority,,FL,FMPP,0,54,0,0,54,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,10378,"Kit Carson Electric Coop, Inc",,NM,PNM,321,86,0,0,407,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,10421,Knoxville Utilities Board,,TN,TVA,0,14,10,0,24,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,10448,Kosciusko County Rural E M C,,IN,MISO,0,0,5,0,5,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,10539,"La Plata Electric Assn, Inc",,CO,WACM,"3,607",304,10,0,"3,921",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,10550,McCook Public Power District,,NE,SWPP,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,10579,City of LaFollette,,TN,TVA,0,1,0,0,1,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,10599,"Lake Region Electric Coop, Inc - (OK)",,OK,AECI,0,3,1,0,4,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,10605,Lake Mills Light & Water,,WI,MISO,2,13,0,0,15,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
