Data Year,Utility Number,Utility Name,Short Form,State,Distribution Circuits,Circuits with Voltage Optimization
2019,1581,City of Benton - (AR),,AR,15,15
2019,1582,City of Benton - (KY),,KY,5,0
2019,1585,Village of Benton - (WI),Y,WI,2,0
2019,1586,City of Bentonville - (AR),,AR,49,0
2019,1591,"Big Country Electric Coop, Inc",,TX,51,0
2019,1601,City of Beresford,,SD,6,0
2019,1604,Village of Bergen - (NY),Y,NY,5,3
2019,1613,Berkeley Electric Coop Inc,,SC,193,193
2019,1615,Town of Berlin - (MD),Y,MD,3,3
2019,1618,Borough of Berlin - (PA),Y,PA,3,0
2019,1625,Benton Rural Electric Assn,,WA,54,0
2019,1640,City of Bessemer Utilities,,AL,39,0
2019,1647,City of Bethany - (MO),Y,MO,3,0
2019,1648,Village of Bethany - (IL),Y,IL,4,0
2019,1650,Village of Bethel - (OH),Y,OH,325,0
2019,1671,Big Flat Electric Coop Inc,Y,MT,25,25
2019,1675,Big Horn Rural Electric Co,,MT,2,0
2019,1675,Big Horn Rural Electric Co,,WY,13,0
2019,1677,Village of Bloomdale - (OH),Y,OH,2,0
2019,1683,"Big Horn County Elec Coop, Inc",,MT,27,0
2019,1683,"Big Horn County Elec Coop, Inc",,WY,1,0
2019,1698,City of Big Stone City - (SD),Y,SD,8,0
2019,1702,City of Biggs - (CA),Y,CA,2,0
2019,1708,Big Sandy Rural Elec Coop Corp,,KY,36,0
2019,1723,"Big Bend Electric Coop, Inc",,WA,56,0
2019,1726,City of Blue Mound - (KS),Y,KS,1,0
2019,1736,Blachly-Lane County Coop El Assn,,OR,21,0
2019,1763,"Black River Electric Coop, Inc - (SC)",,SC,108,0
2019,1764,Black Diamond Power Co,,WV,6,0
2019,1765,Village of Black Earth - (WI),Y,WI,4,0
2019,1769,"Black Hills Electric Coop, Inc",,SD,39,0
2019,1775,Black River Electric Coop - (MO),,MO,62,0
2019,1776,City of Black River Falls,,WI,14,0
2019,1779,Town of Basin - (WY),Y,WY,5,5
2019,1780,Black Warrior Elec Member Corp,,AL,93,0
2019,1795,Town of Blackstone - (VA),Y,VA,3,3
2019,1800,City of Blackwell - (OK),Y,OK,12,12
2019,1818,City of Blaine - (WA),,WA,4,0
2019,1823,Borough of Blakely - (PA),Y,PA,4,0
2019,1824,City of Bigelow - (MN),Y,IA,18,0
2019,1824,City of Bigelow - (MN),Y,MN,125,0
2019,1826,City of Blakely - (GA),Y,GA,6,6
2019,1839,City of Blanding - (UT),Y,UT,4,0
2019,1857,Block Island Utility District,,RI,6,0
2019,1866,Bloomer Electric & Water Co,Y,WI,4,4
2019,1871,City of Blooming Prairie - (MN),Y,MN,6,3
2019,1876,City of Blountstown - (FL),Y,FL,2,2
2019,1883,Blue Earth Light & Water,,MN,10,10
2019,1884,BENCO Electric Cooperative,,MN,115,97
2019,1886,Blue Grass Energy Coop Corp,,KY,136,0
2019,1889,Blue Ridge Elec Member Corp - (NC),,NC,104,62
2019,1890,Blue Ridge Electric Coop Inc - (SC),,SC,148,0
2019,1891,Blue Ridge Mountain EMC - (GA),,GA,28,27
2019,1891,Blue Ridge Mountain EMC - (GA),,NC,10,9
2019,1892,"Bluebonnet Electric Coop, Inc",,TX,224,173
2019,1896,City of Bluffton - (IN),,IN,21,0
2019,1898,"Bon Homme Yankton El Assn, Inc",,SD,26,26
2019,1913,City of Boerne,,TX,8,0
2019,1936,Bolivar Energy Authority,,TN,22,22
2019,1955,City of Bridgeport Utilities - (NE),Y,NE,3,3
2019,1956,City of Bonners Ferry,Y,ID,5,0
2019,1968,Boone Valley Electric Coop,Y,IA,1,0
2019,1970,Village of Boonville - (NY),Y,NY,7,6
2019,1987,Town of Bostic - (NC),Y,NC,1,0
2019,1997,City of Boscobel - (WI),,WI,6,0
2019,2001,Boone Electric Coop,,MO,63,61
2019,2008,City of Boulder City - (NV),,NV,31,0
2019,2010,City of Bountiful,,UT,18,0
2019,2049,"Bowie-Cass Electric Coop, Inc",,TX,110,0
2019,2050,City of Bowie - (TX),Y,TX,6,0
2019,2054,City of Bowling Green - (OH),,OH,32,15
2019,2056,City of Bowling Green - (KY),,KY,49,49
2019,2064,Town of Boyce,Y,LA,3,0
2019,2086,Town of Boylston - (MA),Y,MA,2,0
2019,2089,Bozrah Light & Power Company,,CT,4,0
2019,2120,Village of Brainard - (NE),Y,NE,3,0
2019,2128,Village of Bradner - (OH),Y,OH,2,0
2019,2135,City of Brady - (TX),Y,TX,12,0
2019,2138,Brainerd Public Utilities,,MN,29,6
2019,2144,Town of Braintree - (MA),,MA,23,23
2019,2182,City of Breckenridge- (MN),,MN,14,0
2019,2183,City of Breda - (IA),Y,IA,20,0
2019,2188,City of Breese - (IL),Y,IL,5,5
2019,2192,Bremen Electric Light & Power Co,,IN,16,0
2019,2194,City of Brenham - (TX),,TX,11,11
2019,2205,Village of Brewster - (OH),Y,OH,4,0
2019,2206,City of Brewster - (MN),,MN,3,0
2019,2210,City of Bridgeport - (TX),Y,TX,3,0
2019,2212,"Broad River Electric Coop, Inc",,NC,1,1
2019,2212,"Broad River Electric Coop, Inc",,SC,47,47
2019,2215,"Bridger Valley Elec Assn, Inc",,UT,3,0
2019,2215,"Bridger Valley Elec Assn, Inc",,WY,34,0
2019,2220,Brigham City Corporation,,UT,16,0
2019,2236,Town of Brinson - (GA),Y,GA,1,0
2019,2247,City of Bristol - (TN),,TN,64,52
2019,2248,Bristol Virginia Utilities,,VA,36,0
2019,2268,Town of Braman - (OK),Y,OK,2,0
2019,2270,City of Bronson,Y,KS,1,0
2019,2272,Village of Brocton - (NY),Y,NY,2,2
2019,2273,Brodhead Water & Lighting Comm,,WI,10,0
2019,2277,City of Broken Bow - (NE),,NE,22,0
2019,2285,City of Brookings - (SD),,SD,35,0
2019,2287,City of Brooklyn - (IA),Y,IA,2,2
2019,2304,Town of Brookston - (IN),Y,IN,1,0
2019,2316,Brown County Rural Elec Assn,,MN,55,0
2019,2354,Brown-Atchison E C A Inc,,KS,2,0
2019,2394,Burke-Divide Electric Coop Inc,,ND,44,0
2019,2409,Brownsville Public Utilities Board,,TX,57,5
2019,2411,City of Brownsville,,TN,13,0
2019,2412,City of Brownton - (MN),Y,MN,1,0
2019,2423,City of Brundidge - (AL),Y,AL,6,3
2019,2439,City of Bryan - (OH),,OH,13,0
2019,2442,City of Bryan - (TX),,TX,93,0
2019,2448,City of Bryant - (SD),Y,SD,3,3
2019,2469,Buckeye Water C&D District,Y,AZ,1,0
2019,2485,City of Buffalo - (MN),,MN,12,12
2019,2487,City of Buford,,GA,12,12
2019,2491,City of Buhl - (MN),Y,MN,5,0
2019,2502,"Buckeye Rural Elec Coop, Inc",,OH,52,0
2019,2507,City of Burbank Water and Power,,CA,115,0
2019,2534,City of Burke - (SD),Y,SD,2,0
2019,2545,City of Burley - (ID),,ID,6,2
2019,2547,City of Burlingame - (KS),Y,KS,6,0
2019,2548,City of Burlington Electric - (VT),,VT,16,16
2019,2550,City of Burlington - (CO),Y,CO,7,0
2019,2551,City of Burlington - (KS),,KS,5,0
2019,2553,City of Burlington - (OK),Y,OK,1,0
2019,2559,City of Burnet - (TX),Y,TX,4,4
2019,2599,Burt County Public Power Dist,,NE,53,0
2019,2600,City of Burt,Y,IA,1,0
2019,2609,City of Burwell - (NE),Y,NE,1,0
2019,2633,City of Bushnell - (FL),Y,FL,4,0
2019,2634,City of Bushnell - (IL),Y,IL,7,5
2019,2641,"Butler Rural El Coop Assn, Inc - (KS)",,KS,35,14
2019,2643,Butler Public Power District - (NE),,NE,51,0
2019,2647,City of Butler - (MO),Y,MO,6,6
2019,2650,Borough of Butler - (NJ),,NJ,8,8
2019,2651,Butler Rural Electric Coop Inc - (OH),,OH,49,0
2019,2652,Butler County Rural Elec Coop - (IA),,IA,76,23
2019,2655,"Butte Electric Coop, Inc",,SD,27,6
2019,2678,C & L Electric Coop Corp,,AR,58,0
2019,2726,City of Cabool - (MO),Y,MO,3,3
2019,2759,Village of Cadott - (WI),Y,WI,2,2
2019,2773,City of Cairo - (GA),,GA,8,0
2019,2774,CMS Electric Coop Inc,,KS,40,40
2019,2776,Cairo Public Utility Company,Y,IL,12,0
2019,2800,City of Caldwell,Y,TX,4,0
2019,2809,City of Callender - (IA),Y,IA,1,0
2019,2810,City of Caledonia - (MN),Y,MN,3,0
2019,2812,City of Calhoun - (GA),,GA,22,17
2019,2849,Central Electric Power Assn - (MS),,MS,80,0
2019,2851,City of California - (MO),Y,MO,12,12
2019,2859,Village of Callaway - (NE),Y,NE,1,0
2019,2888,City of Cambridge - (NE),,NE,3,3
2019,2890,City of Camden,,SC,20,0
2019,2900,City of Cameron,,MO,4,0
2019,2903,Canoochee Electric Member Corp,,GA,44,23
2019,2910,City of Camilla,,GA,15,0
2019,2911,"Canadian Valley Elec Coop, Inc",,OK,74,74
2019,2931,Village of Campbell - (NE),Y,NE,4,0
2019,2955,Canby Utility Board,,OR,8,0
2019,2960,"Caney Fork Electric Coop, Inc",,TN,26,0
2019,2961,"Caney Valley El Coop Assn, Inc",,KS,23,0
2019,2964,Cannelton Utilities,Y,IN,2,2
2019,2974,Canton Municipal Utilities,,MS,4,0
2019,2982,Cape Hatteras Elec Member Corp,,NC,14,14
2019,2985,"Capital Electric Coop, Inc",,ND,90,90
2019,2986,"Cam Wal Electric Coop, Inc",,SD,9,0
2019,2998,"Carbon Power & Light, Inc",,WY,35,0
2019,3008,Village of Carey - (OH),Y,OH,14,0
2019,3029,City of Carlisle- (IA),Y,IA,4,0
2019,3037,City of Carlyle - (IL),Y,IL,9,0
2019,3040,City of Carmi - (IL),Y,IL,9,0
2019,3046,Duke Energy Progress - (NC),,NC,"1,049","1,049"
2019,3046,Duke Energy Progress - (NC),,SC,167,167
2019,3075,Carroll County - (TN),,TN,22,0
2019,3076,"Carroll Electric Coop, Inc - (OH)",,OH,34,0
2019,3081,Carroll Electric Member Corp - (GA),,GA,89,81
2019,3082,Carrollton Board of Public Wks,Y,MO,7,0
2019,3093,Carroll Electric Coop Corp - (AR),,AR,164,0
2019,3093,Carroll Electric Coop Corp - (AR),,MO,19,0
2019,3107,Carteret-Craven El Member Corp,,NC,66,0
2019,3108,City of Cartersville - (GA),,GA,26,0
2019,3111,Cass Electric Coop,Y,IA,1,0
2019,3113,City of Carthage - (MO),,MO,17,16
2019,3136,City of Cascade Locks - (OR),Y,OR,2,0
2019,3137,Cascade Municipal Utilities,Y,IA,5,0
2019,3153,City of Casey - (IL),Y,IL,9,8
2019,3156,Village of Cashton - (WI),Y,WI,6,6
2019,3164,Village of Castile - (NY),Y,NY,3,2
2019,3168,City of Castroville - (TX),Y,TX,2,0
2019,3170,Borough of Catawissa,Y,PA,1,0
2019,3186,City of Cavalier - (ND),Y,ND,5,0
2019,3191,City of Cawker City - (KS),Y,KS,1,0
2019,3203,Cedar Falls Utilities,,IA,23,23
2019,3205,Cedar-Knox Public Power Dist,,NE,63,0
2019,3208,Cedarburg Light & Water Comm,,WI,12,12
2019,3216,City of Celina - (OH),,OH,14,3
2019,3222,Central Alabama Electric Coop,,AL,76,76
2019,3226,"Central Rural Electric Cooperative, Inc",,OK,65,65
2019,3227,City of Center - (CO),Y,CO,8,0
2019,3230,Town of Centerville - (IN),Y,IN,5,5
2019,3235,City of Central City,,NE,11,11
2019,3236,"Central Electric Coop, Inc - (SD)",,SD,72,0
2019,3240,Central Electric Coop Inc - (OR),,OR,108,0
2019,3245,"Central Florida Elec Coop, Inc",,FL,54,21
2019,3248,Central Georgia El Member Corp,,GA,76,76
2019,3249,Central Hudson Gas & Elec Corp,,NY,276,0
2019,3250,Central Electric Membership Corp. - (NC),,NC,30,0
2019,3264,Central Lincoln People's Ut Dt,,OR,237,6
2019,3265,Cleco Power LLC,,LA,782,0
2019,3266,Central Maine Power Co,,ME,477,0
2019,3268,Central Missouri Elec Coop Inc,,MO,43,0
2019,3273,"Central New Mexico El Coop, Inc",,NM,35,0
2019,3278,AEP Texas Central Company,,TX,935,0
2019,3282,"Central Texas Elec Coop, Inc",,TX,62,0
2019,3287,"Central Valley Elec Coop, Inc",,NM,95,95
2019,3291,Central Virginia Electric Coop,,VA,85,0
2019,3293,Central Wisconsin Elec Coop,,WI,26,0
2019,3294,City of Centralia - (KS),Y,KS,1,0
2019,3295,City of Centralia - (WA),,WA,30,30
2019,3296,City of Centralia - (MO),Y,MO,8,2
2019,3314,"Chariton Valley Elec Coop, Inc",,IA,35,0
2019,3315,"Charles Mix Electric Assn, Inc",,SD,18,18
2019,3323,Town of Chalmers - (IN),Y,IN,1,0
2019,3329,Borough of Chambersburg,,PA,34,6
2019,3355,City of Chanute,,KS,7,7
2019,3356,City of Ceylon - (MN),Y,MN,44,0
2019,3366,City of Chapman - (KS),Y,KS,1,0
2019,3373,City of Chappell - (NE),Y,NE,2,0
2019,3384,City of Charlevoix - (MI),Y,MI,12,0
2019,3400,City of Chaska - (MN),,MN,16,0
2019,3405,Village of Chatham - (IL),Y,IL,2,0
2019,3406,City of Chattahoochee - (FL),Y,FL,5,5
2019,3408,City of Chattanooga - (TN),,GA,1,0
2019,3408,City of Chattanooga - (TN),,TN,299,296
2019,3413,PUD No 1 of Chelan County,,WA,117,0
2019,3415,Village of Chelsea - (MI),Y,MI,10,10
2019,3420,City of Cheney - (WA),,WA,7,0
2019,3421,City of Chignik - (AK),Y,AK,1,0
2019,3422,City of Chefornak,Y,AK,1,0
2019,3426,Cherokee Electric Coop,,AL,28,0
2019,3435,"Cherry-Todd Electric Coop, Inc",,NE,4,4
2019,3435,"Cherry-Todd Electric Coop, Inc",,SD,11,3
2019,3436,Cherryland Electric Coop Inc,,MI,54,0
2019,3437,City of Cherryville - (NC),Y,NC,4,0
2019,3445,Village of Chester - (NE),Y,NE,1,1
2019,3447,Town of Chester,Y,MA,1,0
2019,3454,City of Chetopa - (KS),Y,KS,4,0
2019,3459,City of Chewelah,Y,WA,2,2
2019,3461,Cheyenne Light Fuel & Power d/b/a Black,,WY,43,0
2019,3465,Chitina Electric Inc,Y,AK,1,0
2019,3470,Cherokee County Elec Coop Assn,,TX,35,0
2019,3475,City of Chickamauga,,GA,1,0
2019,3477,City of Chicopee - (MA),,MA,16,16
2019,3478,Cimarron Electric Coop,,OK,70,40
2019,3486,Chillicothe Municipal Utils,,MO,21,4
2019,3495,Chimney Rock Public Power Dist,,NE,18,0
2019,3498,Chippewa Valley Electric Coop,,WI,29,0
2019,3502,"Choctawhatche Elec Coop, Inc",,FL,80,70
2019,3503,"Choptank Electric Cooperative, Inc",,MD,116,113
2019,3522,Chugach Electric Assn Inc,,AK,95,0
2019,3525,Village of Churchville - (NY),Y,NY,3,0
2019,3527,Choctaw Electric Coop Inc,,OK,55,55
2019,3535,City of Cimarron - (KS),Y,KS,3,0
2019,3542,Duke Energy Ohio Inc,,OH,784,511
2019,3597,Citizens Electric Co - (PA),,PA,9,9
2019,3600,Citizens Electric Corporation - (MO),,MO,103,0
2019,3633,City of McLaughlin - (SD),Y,SD,5,5
2019,3634,City of Nixa - (MO),,MO,16,0
2019,3641,"Claiborne Electric Coop, Inc",,LA,66,0
2019,3644,PUD No 1 of Clallam County,,WA,72,15
2019,3647,City of Claremore,,OK,28,0
2019,3660,PUD No 1 of Clark County - (WA),,WA,194,19
2019,3687,Clark Energy Coop Inc - (KY),,KY,76,0
2019,3701,Clark Electric Coop - (WI),,WI,38,26
2019,3702,Clarksdale Public Utilities,,MS,22,0
2019,3704,City of Clarksville - (TN),,TN,79,0
2019,3705,Clarksville Light & Water Co,,AR,24,14
2019,3710,City of Clay Center - (KS),,KS,12,0
2019,3712,Clay County Electric Coop Corp,,AR,24,0
2019,3712,Clay County Electric Coop Corp,,MO,1,0
2019,3716,Clay-Union Electric Corp,,SD,22,0
2019,3722,Clarke Electric Coop Inc - (IA),,IA,35,0
2019,3726,Clay Electric Coop Inc,Y,IL,16,16
2019,3731,Town of Clayton,,NC,8,0
2019,3732,Town of Clayton,,DE,2,0
2019,3735,City of Colman - (SD),Y,SD,4,4
2019,3739,Clearwater Power Company,,ID,36,0
2019,3739,Clearwater Power Company,,OR,1,0
2019,3739,Clearwater Power Company,,WA,7,0
2019,3755,Cleveland Electric Illum Co,,OH,"1,087",997
2019,3757,"Clay Electric Cooperative, Inc",,FL,182,0
2019,3758,City of Cleveland - (TN),,TN,50,50
2019,3762,City of Cleveland - (OH),,OH,276,0
2019,3764,Clearwater-Polk Elec Coop Inc,,MN,21,0
2019,3774,City of Clewiston,,FL,6,0
2019,3804,Clinton Combined Utility Sys,,SC,6,5
2019,3806,"Clinton County Elec Coop, Inc",,IL,37,0
2019,3812,City of Clinton - (TN),,TN,48,42
2019,3813,Village of Clinton - (MI),Y,MI,5,0
2019,3814,City of Clintonville - (WI),,WI,16,0
2019,3815,Town of Coatesville - (IN),Y,IN,4,4
2019,3824,Clyde Light & Power,,OH,4,0
2019,3828,Cloverland Electric Co-op,,MI,98,0
2019,3839,Coahoma Electric Power Assn,,MS,11,0
2019,3841,Coast Electric Power Assn,,MS,124,0
2019,3843,Coastal Electric Member Corp,,GA,35,35
2019,3844,"Coastal Electric Coop, Inc",,SC,36,36
2019,3850,"Codington-Clark Elec Coop, Inc",,SD,36,0
2019,3855,Columbia Power System,,TN,26,0
2019,3881,City of Cody,,WY,10,3
