|Utility Characteristics..Data Year|,|Utility Characteristics..Facility Number|,|Utility Characteristics..Facility Name|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..STATE|,|Utility Characteristics..BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
2019,58632,Actus Lend Lease DMAFB,60947,Tesla Inc.,AZ,TEPC,0.0,0,0,496.0,"3,792",1,0.0,0,0,0.0,0,0,496.0,"3,792",1
2019,58270,Acushnet AD Makepeace,59622,"Ahana Renewables, LLC",MA,ISNE,0.0,0,0,405.0,"5,398",1,0.0,0,0,0.0,0,0,405.0,"5,398",1
2019,58271,Acushnet Hawes Reed Road,59622,"Ahana Renewables, LLC",MA,ISNE,0.0,0,0,138.0,"1,730",1,0.0,0,0,0.0,0,0,138.0,"1,730",1
2019,59128,Acushnet- High Hill,59622,"Ahana Renewables, LLC",MA,ISNE,0.0,0,0,294.0,"4,205",1,0.0,0,0,0.0,0,0,294.0,"4,205",1
2019,59121,Acushnet-Braley Road 1,59622,"Ahana Renewables, LLC",MA,ISNE,0.0,0,0,195.0,"2,438",1,0.0,0,0,0.0,0,0,195.0,"2,438",1
2019,60772,Adams Ave MS and HS,61944,GSRP,NJ,PJM,0.0,0,0,447.0,"4,673",1,0.0,0,0,0.0,0,0,447.0,"4,673",1
2019,59788,"Advance Stores Company, Inc",60947,Tesla Inc.,CT,ISNE,0.0,0,0,113.0,820,1,0.0,0,0,0.0,0,0,113.0,820,1
2019,63303,Alticor Inc - Solar Project,63091,"Solar Star California LXIV, LLC",CA,CISO,0.0,0,0,130.0,"1,782",1,0.0,0,0,0.0,0,0,130.0,"1,782",1
2019,61850,Amana Society Service Company,471,Amana Society Service Co,IA,MISO,960.0,"7,260",709,988.0,"8,351",179,"6,297.0","82,847",1,0.0,0,0,"8,245.0","98,458",889
2019,58357,Amazon,63068,CVI CleanCapital Solar 4 LLC,NJ,PJM,0.0,0,0,227.0,"5,671",1,0.0,0,0,0.0,0,0,227.0,"5,671",1
2019,61377,Amazon - Patterson PV,61012,AES Distributed Energy,CA,BANC,0.0,0,0,477.0,"5,250",1,0.0,0,0,0.0,0,0,477.0,"5,250",1
2019,63537,Amazon_BLD3,63259,Solar Star Prime 1 LLC,CT,ISNE,0.0,0,0,29.0,364,1,0.0,0,0,0.0,0,0,29.0,364,1
2019,63536,Amazon_DEN2,63259,Solar Star Prime 1 LLC,CO,PSCO,0.0,0,0,22.0,440,1,0.0,0,0,0.0,0,0,22.0,440,1
2019,60684,Amphitheater High School Solar,60404,"Constellation Solar Arizona 2, LLC",AZ,TEPC,0.0,0,0,222.0,"2,193",1,0.0,0,0,0.0,0,0,222.0,"2,193",1
2019,59331,Anheuser-Busch #2,59129,"Foundation CA Fund VII Manager, LLC",CA,CISO,0.0,0,0,0.0,0,0,293.0,"3,674",1,0.0,0,0,293.0,"3,674",1
2019,59489,Anthony Wayne Solar #1,59244,GEM Energy LLC,OH,PJM,0.0,0,0,129.0,"1,739",1,0.0,0,0,0.0,0,0,129.0,"1,739",1
2019,60662,Archdiocese of Baltimore J,61419,"Constellation Solar MC, LLC",MD,PJM,0.0,0,0,286.0,"3,595",1,0.0,0,0,0.0,0,0,286.0,"3,595",1
2019,60663,Archdiocese of Baltimore L,61419,"Constellation Solar MC, LLC",MD,PJM,0.0,0,0,291.0,"3,656",1,0.0,0,0,0.0,0,0,291.0,"3,656",1
2019,57765,Arizona Western College PV,58863,Main Street Power,AZ,AZPS,0.0,0,0,"1,952.0","8,165",1,0.0,0,0,0.0,0,0,"1,952.0","8,165",1
2019,55990,Ashtabula,58115,"DTE Ashtabula, LLC",OH,PJM,0.0,0,0,0.0,0,0,"4,332.0","189,992",1,0.0,0,0,"4,332.0","189,992",1
2019,56900,Atlantic City Convention Center,57044,"Constellation Solar New Jersey, LLC",NJ,PJM,0.0,0,0,523.0,"3,117",1,0.0,0,0,0.0,0,0,523.0,"3,117",1
2019,58360,Atlantic Coast Freezers Solar Facility,63068,CVI CleanCapital Solar 4 LLC,NJ,PJM,0.0,0,0,227.0,"3,238",1,0.0,0,0,0.0,0,0,227.0,"3,238",1
2019,57847,BC Landfill Energy LLC,57175,BC Landfill Energy LLC,NJ,PJM,0.0,0,0,0.0,0,0,0.0,"4,813",1,0.0,0,0,0.0,"4,813",1
2019,60227,BJ's Wholesale Club Inc Dist Center,60947,Tesla Inc.,NJ,PJM,0.0,0,0,74.0,"1,114",1,0.0,0,0,0.0,0,0,74.0,"1,114",1
2019,60116,"BJ's Wholesale Club, Inc- Uxbridge",60947,Tesla Inc.,MA,ISNE,0.0,0,0,46.0,950,1,0.0,0,0,0.0,0,0,46.0,950,1
