|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership Type|,|Utility Characteristics..NERC Region|,|Demand.(Megawatts).Summer Peak Demand|,|Demand.(Megawatts).Winter Peak Demand|,|Energy Sources (Megawatthours).(Megawatts).Net Generation|,|Energy Sources (Megawatthours).(Megawatts).Wholesale Power Purchases|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Received|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Delivered|,|Energy Sources (Megawatthours).Power Exchanged.Net Power Exchanged|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Received|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Delivered|,|Energy Sources (Megawatthours).Wheeled Power.Net Wheeled Power|,|Energy Sources (Megawatthours).Wheeled Power.Transmission by Other Losses|,|Energy Sources (Megawatthours).Wheeled Power.Total Sources|,|Disposition.(Megawatthours).Sales to Ultimate Customers|,|Disposition.(Megawatthours).Sales for Resale|,|Disposition.(Megawatthours).Furnished without Charge|,|Disposition.(Megawatthours).Consumed by Respondent without Charge|,|Disposition.(Megawatthours).Total Energy Losses|,|Disposition.(Megawatthours).Total Disposition|,|Electric Revenues.(Thousands Dollars).From Retail Sales|,|Electric Revenues.(Thousands Dollars).From Delivery Customers|,|Electric Revenues.(Thousands Dollars).From Sales for Resale|,|Electric Revenues.(Thousands Dollars).From Credits or Adjustments|,|Electric Revenues.(Thousands Dollars).From Transmission|,|Electric Revenues.(Thousands Dollars).From Other|,|Electric Revenues.(Thousands Dollars).Total|,|.."Data Type O = Observed I = Imputed"|
2017,55,City of Aberdeen - (MS),MS,Municipal,SERC,32.7,30.7,0,204875,0,.,0,0,0,0,0,204875,198442,0,0,70,6363,204875,14649,.,0,0,0,300.5,14949.5,O
2017,59,City of Abbeville - (LA),LA,Municipal,SPP,31.4,22.9,0,137537,.,.,0,.,.,0,.,137537,127849,.,.,.,9688,137537,12574.4,0,0,0,0,0,12574.4,O
2017,84,A & N Electric Coop,VA,Cooperative,RFC,152.6,156.1,19,714961,.,.,0,.,.,0,.,714980,672572,.,.,1687,40721,714980,68496.7,.,.,.,.,1008.5,69505.2,O
2017,97,Adams Electric Coop,IL,Cooperative,SERC,37,37,4677,170432,.,.,0,.,.,0,.,175109,164358,.,.,318,10433,175109,22070,.,.,.,.,241,22311,O
2017,108,Adams-Columbia Electric Coop,WI,Cooperative,MRO,109.1,83.4,.,524637,.,.,0,.,.,0,.,524637,493241,35,.,1122,30239,524637,67563,.,3,.,.,.,67566,O
2017,113,"Agway Energy Services, LLC",NY,Retail Power Marketer,NPCC,62,80,.,423959,.,.,0,.,.,0,.,423959,422061,.,.,.,1898,423959,34283.3,.,.,.,.,.,34283.3,O
2017,118,"Adams Rural Electric Coop, Inc",OH,Cooperative,RFC,22.2,28.7,.,110314,.,.,0,.,.,0,.,110314,103329,.,119,.,6866,110314,14853,.,.,.,.,401,15254,O
2017,122,Village of Arcade - (NY),NY,Municipal,NPCC,23.1,37.8,.,156270,.,.,0,.,.,0,.,156270,150083,.,.,697,5490,156270,7186,.,.,.,.,514,7700,O
2017,123,City of Adel- (GA),GA,Municipal,SERC,21.6,20.2,.,120306,.,.,0,.,.,0,.,120306,115802,.,.,787,3717,120306,12952,.,.,.,.,.,12952,O
2017,150,Adrian Public Utilities Comm,MN,Municipal,MRO,3,3,20,13846,.,20,-20,.,.,0,.,13846,12761,.,194,245,646,13846,1473,.,.,.,.,.,1473,O
2017,155,Agralite Electric Coop,MN,Cooperative,MRO,46.4,46.7,528,247365,.,.,0,.,.,0,.,247893,232971,.,.,322,14600,247893,22389,.,.,.,.,355,22744,O
2017,162,Aiken Electric Coop Inc,SC,Cooperative,SERC,211.5,232,.,937586,.,.,0,.,.,0,.,937586,897388,.,.,1230,38968,937586,110523,.,.,.,.,894,111417,O
2017,176,Ajo Improvement Co,AZ,Investor Owned,WECC,1.5,1,.,7596,.,.,0,.,.,0,.,7596,7596,.,.,.,.,7596,826.3,.,.,.,.,.,826.3,O
2017,189,PowerSouth Energy Cooperative,AL,Cooperative,SERC,1820,2128,6139543,2531246,.,.,0,.,.,0,.,8670789,.,8340155,.,15998,314636,8670789,0,0,587709.2,0,487.2,445.3,588641.7,O
2017,195,Alabama Power Co,AL,Investor Owned,SERC,10967,10660,60332669,5816459,.,.,0,20737225,20340834,396391,.,66545519,53709666,9580895,1427,125373,3128158,66545519,5457826,0,372499,-3864,67236,145697,6039394,O
2017,201,City of Alachua - (FL),FL,Municipal,FRCC,28.3,23.8,.,132183,.,.,0,.,.,0,.,132183,127049,.,.,1190,3944,132183,13844,.,.,.,.,57,13901,O
2017,207,City of Alameda,CA,Municipal,WECC,59.6,63.7,.,357084,172379,172379,0,.,.,0,.,357084,343270,.,.,.,13814,357084,58111.6,.,.,.,.,4907.7,63019.3,O
2017,213,Alaska Electric Light&Power Co,AK,Investor Owned,AK,71,79,130872,302805,.,.,0,.,.,0,.,433677,414210,.,.,4423,15044,433677,47342.2,.,.,.,.,518.4,47860.6,O
2017,219,Alaska Power and Telephone Co,WA,Investor Owned,AK,1,1,23304,51004,.,.,0,.,.,0,.,74308,65793,833,.,1689,5993,74308,17957,.,95,.,.,1719,19771,O
2017,221,"Alaska Village Elec Coop, Inc",AK,Cooperative,AK,19.4,23.6,124113,.,.,.,0,.,.,0,.,124113,115837,.,.,.,8276,124113,45588,.,.,.,.,899,46487,O
2017,230,Albany Water Gas & Light Comm,GA,Municipal,SERC,183.4,159,.,925393,.,.,0,.,.,0,.,925393,876832,.,.,.,48561,925393,95182,.,.,.,.,690,95872,O
2017,232,City of Albemarle - (NC),NC,Municipal,SERC,62.6,67.9,.,296364,.,.,0,.,.,0,.,296364,278239,.,.,115,18010,296364,32610.2,.,.,.,.,326.9,32937.1,O
2017,240,Albemarle Electric Member Corp,NC,Cooperative,SERC,55.1,73.1,.,227274,.,.,0,.,.,0,.,227274,213329,.,.,599,13346,227274,26714,.,.,.,.,736,27450,O
2017,241,Albertville Municipal Utilities Board,AL,Municipal,SERC,103.9,102.1,0,604928,0,.,0,0,0,0,0,604928,585580,0,0,0,19348,604928,46505,.,0,0,0,705.8,47210.8,O
2017,261,AGC Division of APG Inc,PA,Investor Owned,RFC,538,531,1874348,.,.,.,0,.,.,0,.,1874348,431636,1442712,.,.,.,1874348,65899,.,25734,811,.,14373,106817,O
2017,276,Alcorn County Elec Power Assn,MS,Cooperative,SERC,126.2,108.3,0,607950,0,.,0,0,0,0,0,607950,585887,0,0,699,21364,607950,55375,.,0,0,0,1289,56664,O
2017,289,City of Alexander City,AL,Municipal,SERC,30.7,32.4,.,149183,.,.,0,.,.,0,.,149183,123075,.,.,.,26108,149183,13107,.,.,.,.,.,13107,O
2017,295,City of Alexandria - (MN),MN,Municipal,MRO,58.5,47.9,.,295978,.,.,0,.,.,0,.,295978,280236,.,.,.,15742,295978,24724,.,.,.,.,567.3,25291.3,O
2017,296,"Alfalfa Electric Coop, Inc",OK,Cooperative,SPP,144.2,148.9,.,1002739,.,.,0,34795,34795,0,.,1002739,983883,.,.,341,18515,1002739,65254,.,.,.,.,372,65626,O
