Data Year,Utility Number,Utility Name,Ownership Code,Ownership,Monthly,Short Form,Advanced Metering,Demand Response,Distribution Systems,Dynamic Pricing,Energy Efficiency,Mergers,Net Metering,Non Net Metering Distributed,Operational Data,Reliablity,Sales to Ultimate Customers,Service Territory,Utility Data
2017,16854,"Heartland Rural Elec Coop, Inc",C,Cooperative,,,X,X,X,,,,X,X,X,X,X,X,X
2017,16864,Seaside Heights Municipal Utility,M,Municipal,,X,X,,,,,,,,,,,X,
2017,16865,Sawnee Electric Membership Corporation,C,Cooperative,,,X,X,X,X,X,,X,X,X,X,X,X,X
2017,16868,City of Seattle - (WA),M,Municipal,X,,X,,X,X,X,,X,X,X,X,X,X,X
2017,16873,City of Sebewaing - (MI),M,Municipal,,X,,,,,,,,,,,,X,
2017,16876,City of Savonburg - (KS),M,Municipal,,X,,,,,,,,,,,,X,
2017,16900,City of Seguin - (TX),M,Municipal,,,X,,X,,,,,X,X,X,X,X,X
2017,16914,Town of Selma - (NC),M,Municipal,,X,X,,,,,,,,,,,X,
2017,16920,Sedgwick County El Coop Assn Inc,C,Cooperative,,,X,X,X,X,X,,X,,X,X,X,X,X
2017,16921,City of Seneca - (SC),M,Municipal,,,X,,X,,,,,,X,X,X,X,X
2017,16922,City of Seneca - (KS),M,Municipal,,,X,,X,,,,,,X,,X,X,X
2017,16930,Sequachee Valley Electric Coop,C,Cooperative,,,X,,X,X,,,,X,X,X,X,X,X
2017,16932,City of Sergeant Bluff - (IA),M,Municipal,,,X,X,X,,X,,,,X,,X,X,X
2017,16949,Sevier County Electric System,M,Municipal,,,X,,X,X,,,,X,X,X,X,X,X
2017,16951,Seville Board of Public Affairs,M,Municipal,,X,X,,,,,,,,,,,X,
2017,16953,City of Seward - (NE),M,Municipal,,,X,,X,,,,X,,X,,X,X,X
2017,16955,City of Seward - (AK),M,Municipal,,,X,,,,,,X,,X,,X,X,X
