,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership Type|,|Utility Characteristics..NERC Region|,|Demand.(Megawatts).Summer Peak Demand|,|Demand.(Megawatts).Winter Peak Demand|,|Energy Sources (Megawatthours).(Megawatts).Net Generation|,|Energy Sources (Megawatthours).(Megawatts).Wholesale Power Purchases|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Received|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Delivered|,|Energy Sources (Megawatthours).Power Exchanged.Net Power Exchanged|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Received|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Delivered|,|Energy Sources (Megawatthours).Wheeled Power.Net Wheeled Power|,|Energy Sources (Megawatthours).Wheeled Power.Transmission by Other Losses|,|Energy Sources (Megawatthours).Wheeled Power.Total Sources|,|Disposition.(Megawatthours).Sales to Ultimate Customers|,|Disposition.(Megawatthours).Sales for Resale|,|Disposition.(Megawatthours).Furnished without Charge|,|Disposition.(Megawatthours).Consumed by Respondent without Charge|,|Disposition.(Megawatthours).Total Energy Losses|,|Disposition.(Megawatthours).Total Disposition|,|Electric Revenues.(Thousands Dollars).From Retail Sales|,|Electric Revenues.(Thousands Dollars).From Delivery Customers|,|Electric Revenues.(Thousands Dollars).From Sales for Resale|,|Electric Revenues.(Thousands Dollars).From Credits or Adjustments|,|Electric Revenues.(Thousands Dollars).From Transmission|,|Electric Revenues.(Thousands Dollars).From Other|,|Electric Revenues.(Thousands Dollars).Total|,"|..""Data Type O = Observed I = Imputed""|"
0,97,Adams Electric Coop,,IL,Cooperative,SERC,37.0,43.0,"4,612","183,534",0,0,0,0,0,0,0,"188,146","176,102",0,0,367,"11,677","188,146","23,851.0",0.0,0.0,0.0,0.0,219.0,"24,070.0",O
1,229,City of Albany - (IL),Y,IL,Municipal,RFC,2.0,1.0,0,"4,912",0,0,0,0,0,0,0,"4,912","4,744",0,63,0,105,"4,912",596.0,0.0,0.0,0.0,0.0,13.0,609.0,O
2,366,City of Allendale- (IL),Y,IL,Municipal,RFC,1.1,0.6,0,"3,083",0,0,0,0,0,0,0,"3,083","3,083",0,0,0,0,"3,083",366.0,0.0,0.0,0.0,0.0,0.0,366.0,O
3,406,City of Altamont - (IL),Y,IL,Municipal,RFC,6.4,4.3,71,"26,000",0,0,0,0,0,0,0,"26,071","22,879",0,0,0,"3,192","26,071","2,437.0",0.0,0.0,0.0,0.0,136.0,"2,573.0",O
4,1325,City of Batavia - (IL),,IL,Municipal,RFC,88.0,60.4,0,"422,230",0,0,0,0,0,0,0,"422,230","408,305",0,0,0,"13,925","422,230","45,193.0",0.0,0.0,0.0,0.0,"3,169.0","48,362.0",O
5,1648,Village of Bethany - (IL),Y,IL,Municipal,RFC,3.0,2.0,0,"11,000",0,0,0,0,0,0,0,"11,000","11,000",0,0,0,0,"11,000","1,300.0",0.0,0.0,0.0,0.0,0.0,"1,300.0",O
6,2188,City of Breese - (IL),Y,IL,Municipal,RFC,13.0,7.0,33,"53,239",0,0,0,0,0,0,0,"53,272","49,906",0,0,0,"3,366","53,272","5,463.0",0.0,0.0,7.7,0.0,0.0,"5,470.7",O
7,2634,City of Bushnell - (IL),Y,IL,Municipal,RFC,8.3,6.7,85,"35,474",0,0,0,0,0,0,0,"35,559","33,138",0,0,490,"1,931","35,559","3,814.0",0.0,0.0,116.0,0.0,0.0,"3,930.0",O
8,2776,Cairo Public Utility Company,Y,IL,Municipal,RFC,6.1,6.4,0,"65,339",0,0,0,0,0,0,0,"65,339","65,339",0,0,0,0,"65,339","7,055.5",0.0,0.0,0.0,0.0,0.0,"7,055.5",O
9,3037,City of Carlyle - (IL),Y,IL,Municipal,RFC,8.8,6.1,0,"35,290",0,0,0,0,0,0,0,"35,290","32,424",0,0,0,"2,866","35,290","3,859.1",0.0,0.0,1.5,0.0,0.0,"3,860.6",O
