,|Utility Characteristics..Year|,|Utility Characteristics..State|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..Short Form|,|Utility Characteristics..BA Code|,|Photovoltaic.Capacity MW.Type|,|Photovoltaic.Capacity MW.Residential|,|Photovoltaic.Capacity MW.Commercial|,|Photovoltaic.Capacity MW.Industrial|,|Photovoltaic.Capacity MW.Transportation|,|Photovoltaic.Capacity MW.Total|,|Photovoltaic.Customers.Residential|,|Photovoltaic.Customers.Commercial|,|Photovoltaic.Customers.Industrial|,|Photovoltaic.Customers.Transportation|,|Photovoltaic.Customers.Total|,|Photovoltaic.Storage Capacity (MW).Residential|,|Photovoltaic.Storage Capacity (MW).Commercial|,|Photovoltaic.Storage Capacity (MW).Industrial|,|Photovoltaic.Storage Capacity (MW).Transportation|,|Photovoltaic.Storage Capacity (MW).Total|,|Photovoltaic.Storage Customers.Residential|,|Photovoltaic.Storage Customers.Commercial|,|Photovoltaic.Storage Customers.Industrial|,|Photovoltaic.Storage Customers.Transportation|,|Photovoltaic.Storage Customers.Total|,|Photovoltaic.Virtual Capacity (MW).Residential|,|Photovoltaic.Virtual Capacity (MW).Commercial|,|Photovoltaic.Virtual Capacity (MW).Industrial|,|Photovoltaic.Virtual Capacity (MW).Transportation|,|Photovoltaic.Virtual Capacity (MW).Total|,|Photovoltaic.Virtual Customers.Residential|,|Photovoltaic.Virtual Customers.Commercial|,|Photovoltaic.Virtual Customers.Industrial|,|Photovoltaic.Virtual Customers.Transportation|,|Photovoltaic.Virtual Customers.Total|,|Photovoltaic.Energy Sold Back MWh.Residential|,|Photovoltaic.Energy Sold Back MWh.Commercial|,|Photovoltaic.Energy Sold Back MWh.Industrial|,|Photovoltaic.Energy Sold Back MWh.Transportation|,|Photovoltaic.Energy Sold Back MWh.Total|,|Wind.Capacity MW.Residential|,|Wind.Capacity MW.Commercial|,|Wind.Capacity MW.Industrial|,|Wind.Capacity MW.Transportation|,|Wind.Capacity MW.Total|,|Wind.Customers.Residential|,|Wind.Customers.Commercial|,|Wind.Customers.Industrial|,|Wind.Customers.Transportation|,|Wind.Customers.Total|,|Wind.Energy Sold Back MWh.Residential|,|Wind.Energy Sold Back MWh.Commercial|,|Wind.Energy Sold Back MWh.Industrial|,|Wind.Energy Sold Back MWh.Transportation|,|Wind.Energy Sold Back MWh.Total|,|Other.Capacity MW.Residential|,|Other.Capacity MW.Commercial|,|Other.Capacity MW.Industrial|,|Other.Capacity MW.Transportation|,|Other.Capacity MW.Total|,|Other.Customers.Residential|,|Other.Customers.Commercial|,|Other.Customers.Industrial|,|Other.Customers.Transportation|,|Other.Customers.Total|,|Other.Energy Sold Back MWh.Residential|,|Other.Energy Sold Back MWh.Commercial|,|Other.Energy Sold Back MWh.Industrial|,|Other.Energy Sold Back MWh.Transportation|,|Other.Energy Sold Back MWh.Total|,|All Technologies.Capacity MW.Residential|,|All Technologies.Capacity MW.Commercial|,|All Technologies.Capacity MW.Industrial|,|All Technologies.Capacity MW.Transportation|,|All Technologies.Capacity MW.Total|,|All Technologies.Customers.Residential|,|All Technologies.Customers.Commercial|,|All Technologies.Customers.Industrial|,|All Technologies.Customers.Transportation|,|All Technologies.Customers.Total|,|All Technologies.Energy Sold Back MWh.Residential|,|All Technologies.Energy Sold Back MWh.Commercial|,|All Technologies.Energy Sold Back MWh.Industrial|,|All Technologies.Energy Sold Back MWh.Transportation|,|..Total|
10,2019,IL,6764.0,Village of Freeburg - (IL),Y,MISO,AC,0.068,0.0,0.0,0.0,0.068,7,0,0,0.0,7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,17.708,0.000,0.000,0.0,17.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.000,0.0,0.0,0.000,0.068,0.0,0.0,0.0,0.068,7,0,0,0.0,7,17.708,0.000,0.000,0.0,17.708
11,2019,IL,7095.0,City of Geneseo - (IL),Y,MISO,AC,0.005,0.0,0.0,0.0,0.005,1,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.000,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.000,0.0,0.0,0.000,0.005,0.0,0.0,0.0,0.005,1,0,0,0.0,1,0.000,0.000,0.000,0.0,0.000
12,2019,IL,7096.0,City of Geneva- (IL),,PJM,AC,0.047,0.07,0.0,0.0,0.117,9,2,0,0.0,11,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.000,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.000,0.0,0.0,0.000,0.047,0.07,0.0,0.0,0.117,9,2,0,0.0,11,0.000,0.000,0.000,0.0,0.000
13,2019,IL,8573.0,City of Highland,,MISO,DC,0.126,0.017,0.043,0.0,0.186,15,2,1,0.0,18,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.000,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.000,0.0,0.0,0.000,0.126,0.017,0.043,0.0,0.186,15,2,1,0.0,18,0.000,0.000,0.000,0.0,0.000
14,2019,IL,8824.0,M J M Electric Cooperative Inc,,MISO,AC,0.824,0.29,0.0,0.0,1.114,89,3,0,0.0,92,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.000,0.000,0.000,0.0,0.000,0.002,0.0,0.0,0.0,0.002,1.0,0.0,0.0,0.0,1.0,0.0,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.000,0.0,0.0,0.000,0.826,0.29,0.0,0.0,1.116,90,3,0,0.0,93,0.000,0.000,0.000,0.0,0.000
15,2019,IL,9750.0,"Jo-Carroll Energy, Inc",,MISO,AC,1.391,0.104,0.0,0.0,1.495,173,9,0,0.0,182,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.000,0.000,0.000,0.0,0.000,0.016,0.0,0.0,0.0,0.016,7.0,0.0,0.0,0.0,7.0,0.0,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.000,0.0,0.0,0.000,1.407,0.104,0.0,0.0,1.511,180,9,0,0.0,189,0.000,0.000,0.000,0.0,0.000
16,2019,IL,11736.0,City of Marshall - (IL),Y,MISO,AC,0.010,0.0,0.0,0.0,0.010,1,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1.400,0.000,0.000,0.0,1.400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.000,0.0,0.0,0.000,0.010,0.0,0.0,0.0,0.010,1,0,0,0.0,1,1.400,0.000,0.000,0.0,1.400
17,2019,IL,11790.0,City of Mascoutah - (IL),Y,MISO,AC,0.047,0.065,0.0,0.0,0.112,4,2,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,16.000,34.000,0.000,0.0,50.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.000,0.0,0.0,0.000,0.047,0.065,0.0,0.0,0.112,4,2,0,0.0,6,16.000,34.000,0.000,0.0,50.000
18,2019,IL,12341.0,MidAmerican Energy Co,,MISO,AC,0.699,1.356,0.0,0.0,2.055,82,33,0,0.0,115,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,67.264,97.932,0.000,0.0,165.196,0.002,0.62,0.0,0.0,0.622,1.0,2.0,0.0,0.0,3.0,0.0,0.000,0.000,0.0,0.000,0.0,1.2,0.0,0.0,1.2,0,1.0,0.0,0.0,1,0.0,0.000,0.0,0.0,0.000,0.701,3.176,0.0,0.0,3.877,83,36,0,0.0,119,67.264,97.932,0.000,0.0,165.196
19,2019,IL,12395.0,Menard Electric Coop,,MISO,DC,0.476,0.0,0.0,0.0,0.476,54,0,0,0.0,54,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,107.682,0.000,0.000,0.0,107.682,0.012,0.0,0.0,0.0,0.012,2.0,0.0,0.0,0.0,2.0,4.566,0.000,0.000,0.0,4.566,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.000,0.0,0.0,0.000,0.488,0.0,0.0,0.0,0.488,56,0,0,0.0,56,112.248,0.000,0.000,0.0,112.248
