"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","OD1","REM"
"99849999999","2021-03-18T17:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","010,1,N,0098,1","99999,9,9,N","999999,9,9,9","+0032,1","+0011,1","99999,9",,,"5,99,0118,1,999","SYN062CNII2 46/// /0119 10032 20011 91645 333 91223 555 11019 22021="
"99849999999","2021-03-19T00:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","SHEF ","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+0028,1","+9999,9","99999,9","240,M,+0044,1","240,N,+0022,1",,
"99849999999","2021-03-19T12:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","040,1,N,0088,1","99999,9,9,N","999999,9,9,9","+0017,1","-0058,1","99999,9",,,"5,99,0113,1,999","SYN062CNII2 46/// /0417 10017 21058 91230 333 91222 555 11017 22018="
"99849999999","2021-03-19T13:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","050,1,N,0098,1","99999,9,9,N","999999,9,9,9","+0016,1","-0062,1","99999,9",,,"5,99,0113,1,999","SYN062CNII2 46/// /0519 10016 21062 91245 333 91222 555 11019 22020="
"99849999999","2021-03-19T14:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","040,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0020,1","-0053,1","99999,9",,,"5,99,0103,1,999","SYN062CNII2 46/// /0418 10020 21053 91345 333 91220 555 11018 22020="
"99849999999","2021-03-19T15:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","040,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0024,1","-0049,1","99999,9",,,"5,99,0098,1,999","SYN062CNII2 46/// /0412 10024 21049 91445 333 91219 555 11012 22013="
"99849999999","2021-03-19T16:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","040,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0026,1","-0048,1","99999,9",,,"5,99,0088,1,999","SYN062CNII2 46/// /0411 10026 21048 91545 333 91217 555 11011 22012="
"99849999999","2021-03-19T17:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","040,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0030,1","-0042,1","99999,9",,,"5,99,0067,1,999","SYN062CNII2 46/// /0408 10030 21042 91715 333 91213 555 11008 22008="
"99849999999","2021-03-19T18:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","010,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0035,1","-0042,1","99999,9",,,"5,99,0067,1,999","SYN062CNII2 46/// /0108 10035 21042 91745 333 91213 555 11008 22008="
"99849999999","2021-03-19T19:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","360,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0040,1","-0041,1","99999,9",,,"5,99,0062,1,999","SYN062CNII2 46/// /3610 10040 21041 91900 333 91212 555 11010 22011="
"99849999999","2021-03-19T20:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","010,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0043,1","-0037,1","99999,9",,,"5,99,0062,1,999","SYN062CNII2 46/// /0111 10043 21037 91945 333 91212 555 11011 22012="
"99849999999","2021-03-19T21:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","010,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0044,1","-0034,1","99999,9",,,"5,99,0062,1,999","SYN062CNII2 46/// /0109 10044 21034 92130 333 91212 555 11009 22010="
"99849999999","2021-03-19T22:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","330,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0043,1","-0028,1","99999,9",,,"5,99,0062,1,999","SYN062CNII2 46/// /3307 10043 21028 92145 333 91212 555 11008 22008="
