|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership Type|,|Utility Characteristics..NERC Region|,|Demand.(Megawatts).Summer Peak Demand|,|Demand.(Megawatts).Winter Peak Demand|,|Energy Sources (Megawatthours).(Megawatts).Net Generation|,|Energy Sources (Megawatthours).(Megawatts).Wholesale Power Purchases|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Received|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Delivered|,|Energy Sources (Megawatthours).Power Exchanged.Net Power Exchanged|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Received|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Delivered|,|Energy Sources (Megawatthours).Wheeled Power.Net Wheeled Power|,|Energy Sources (Megawatthours).Wheeled Power.Transmission by Other Losses|,|Energy Sources (Megawatthours).Wheeled Power.Total Sources|,|Disposition.(Megawatthours).Sales to Ultimate Customers|,|Disposition.(Megawatthours).Sales for Resale|,|Disposition.(Megawatthours).Furnished without Charge|,|Disposition.(Megawatthours).Consumed by Respondent without Charge|,|Disposition.(Megawatthours).Total Energy Losses|,|Disposition.(Megawatthours).Total Disposition|,|Electric Revenues.(Thousands Dollars).From Retail Sales|,|Electric Revenues.(Thousands Dollars).From Delivery Customers|,|Electric Revenues.(Thousands Dollars).From Sales for Resale|,|Electric Revenues.(Thousands Dollars).From Credits or Adjustments|,|Electric Revenues.(Thousands Dollars).From Transmission|,|Electric Revenues.(Thousands Dollars).From Other|,|Electric Revenues.(Thousands Dollars).Total|,|.."Data Type O = Observed I = Imputed"|
2015,55,City of Aberdeen - (MS),MS,Municipal,SERC,33.4,32.7,0,205109,0,.,0,0,0,0,0,205109,198901,0,0,75,6133,205109,14727,.,0,0,0,276,15003,O
2015,59,City of Abbeville - (LA),LA,Municipal,SPP,33,24,.,138888,.,.,0,.,.,0,.,138888,138888,.,.,.,.,138888,13955.5,.,.,.,.,.,13955.5,O
2015,84,A & N Electric Coop,VA,Cooperative,RFC,150,191.5,1,738113,.,.,0,.,.,0,.,738114,715283,.,.,1796,21035,738114,79488,0,0,0,0,813.1,80301.1,O
2015,97,Adams Electric Coop,IL,Cooperative,SERC,33,38,4771,169267,.,.,0,.,.,0,.,174038,161812,.,.,354,11872,174038,21491,.,.,.,.,240,21731,O
2015,108,Adams-Columbia Electric Coop,WI,Cooperative,MRO,123,85.1,.,524590,.,.,0,.,.,0,.,524590,495484,81,.,1003,28022,524590,63914,.,5,.,.,199,64118,O
2015,113,"Agway Energy Services, LLC",NY,Retail Power Marketer,NPCC,84.4,84.3,.,439068,.,.,0,.,.,0,.,439068,437964,.,.,.,1104,439068,39361.8,.,.,.,.,.,39361.8,O
2015,118,"Adams Rural Electric Coop, Inc",OH,Cooperative,RFC,23.2,37.4,.,121652,.,.,0,.,.,0,.,121652,113942,.,118,.,7592,121652,15373,.,.,.,.,392,15765,O
2015,122,Village of Arcade - (NY),NY,Municipal,NPCC,23,40.6,.,169518,.,.,0,.,.,0,.,169518,161471,.,.,749,7298,169518,7944,.,.,.,.,461,8405,O
2015,123,City of Adel- (GA),GA,Municipal,SERC,22.1,22.5,.,117200,.,.,0,.,.,0,.,117200,111815,.,.,787,4598,117200,13207,.,.,.,.,.,13207,O
2015,150,Adrian Public Utilities Comm,MN,Municipal,MRO,3,3,.,14142,.,.,0,.,.,0,.,14142,13035,.,202,253,652,14142,1503,.,.,.,.,.,1503,O
2015,155,Agralite Electric Coop,MN,Cooperative,MRO,46,37,414,241200,.,.,0,.,.,0,.,241614,228204,.,.,378,13032,241614,20358,.,.,.,.,158,20516,O
2015,162,Aiken Electric Coop Inc,SC,Cooperative,SERC,226,267,.,952853,.,.,0,.,.,0,.,952853,912703,.,.,1454,38696,952853,108365,.,.,.,.,953,109318,O
2015,176,Ajo Improvement Co,AZ,Investor Owned,WECC,1.5,1,.,12063,.,.,0,.,.,0,.,12063,10175,25,.,272,1591,12063,1001.7,.,2,.,.,.,1003.7,O
2015,189,PowerSouth Energy Cooperative,AL,Cooperative,SERC,1852,2372,6650670,2129415,0,0,0,0,0,0,0,8780085,0,8433291,0,11893,334901,8780085,0,0,620011.8,0,2618,311.9,622941.7,O
2015,195,Alabama Power Co,AL,Investor Owned,SERC,11600,12398,60914065,5659106,.,.,0,28089837,27487705,602132,.,67175303,55765507,8081829,1754,130176,3196037,67175303,5234374,.,325242,-6034,77015,137767,5768364,O
2015,201,City of Alachua - (FL),FL,Municipal,FRCC,26.9,26,0,126529,.,.,0,.,.,0,.,126529,121530,.,.,1100,3899,126529,14734,.,.,.,.,54,14788,O
2015,207,City of Alameda,CA,Municipal,WECC,58.5,64.3,.,365070,181526,181526,0,.,.,0,.,365070,347728,.,.,.,17342,365070,52537.6,.,.,.,.,7829.6,60367.2,O
2015,213,Alaska Electric Light&Power Co,AK,Investor Owned,AK,61,76,152097,270791,.,.,0,.,.,0,.,422888,398452,.,.,4188,20248,422888,41366,.,.,.,.,498,41864,O
2015,219,Alaska Power and Telephone Co,WA,Investor Owned,AK,1,1,21382,51566,.,.,0,.,.,0,.,72948,64835,635,1579,5899,.,72948,17536,0,74,.,.,1810,19420,O
2015,221,"Alaska Village Elec Coop, Inc",AK,Cooperative,AK,18.5,22.7,120060,.,.,.,0,.,.,0,.,120060,112713,.,.,.,7347,120060,57884.5,.,.,.,.,757.8,58642.3,O
2015,230,Albany Water Gas & Light Comm,GA,Municipal,SERC,195,171,.,963783,.,.,0,.,.,0,.,963783,937990,.,.,.,25793,963783,100283,.,.,.,.,629.8,100912.8,O
2015,232,City of Albemarle - (NC),NC,Municipal,SERC,65.5,72.3,.,309887,.,.,0,.,.,0,.,309887,293511,.,.,160,16216,309887,34370,.,.,.,.,390,34760,O
2015,240,Albemarle Electric Member Corp,NC,Cooperative,SERC,55.9,84.7,.,235356,.,.,0,.,.,0,.,235356,221133,.,.,630,13593,235356,28163,.,.,.,.,116,28279,O
2015,241,Albertville Municipal Utilities Board,AL,Municipal,SERC,102.9,112.8,0,581916,0,.,0,0,0,0,0,581916,568831,0,0,0,13085,581916,47356,.,0,0,0,721,48077,O
2015,261,AGC Division of APG Inc,PA,Investor Owned,RFC,868,836,4531775,1130968,.,.,0,.,.,0,.,5662743,4531775,1016536,.,.,114432,5662743,181561.2,.,28101,.,611,2376,212649.2,O
2015,276,Alcorn County Elec Power Assn,MS,Cooperative,SERC,128.8,124,0,635873,0,.,0,0,0,0,0,635873,616253,0,0,552,19068,635873,57092,.,0,0,0,1250,58342,O
