|Utility Characteristics..Data Year|,|Utility Characteristics..Facility Number|,|Utility Characteristics..Facility Name|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..STATE|,|Utility Characteristics..BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
2015,59371,12 Applegate Solar LLC,58258,SunRay Power LLC,NJ,PJM,0,0,0,160,2430,1,0,0,0,0,0,0,160,2430,1
2015,57458,145 Talmadge Solar,56777,Avidan Energy Solutions,NJ,PJM,0,0,0,0,0,0,549,4802,1,0,0,0,549,4802,1
2015,58187,180 Raritan Solar,58164,"180 Raritan Energy Solutions, LLC",NJ,PJM,0,0,0,0,0,0,283,2526,1,0,0,0,283,2526,1
2015,59365,24 Applegate Solar LLC,58258,SunRay Power LLC,NJ,PJM,0,0,0,147,1742,1,0,0,0,0,0,0,147,1742,1
2015,59485,"265 Pleasant Solar NG, LLC",59254,NuGen Capital Management,MA,ISNE,0,0,0,245,1479,1,0,0,0,0,0,0,245,1479,1
2015,59370,4 Applegate Solar LLC,58258,SunRay Power LLC,NJ,PJM,0,0,0,144,2159,1,0,0,0,0,0,0,144,2159,1
2015,57640,500 Virginia Solar,56971,"500 Virginia Solar, LP",PA,PJM,0,0,0,84,1103,1,0,0,0,0,0,0,84,1103,1
2015,59046,651 Chase Solar NG,58879,651 Chase Solar NG LLC,MA,ISNE,0,0,0,709,4226,1,0,0,0,0,0,0,709,4226,1
2015,58798,"AC Criminal Courts Complex SPE2, LLC",58661,"Sustainable Power Group, LLC",NJ,PJM,0,0,0,197,2328,1,0,0,0,0,0,0,197,2328,1
2015,59543,Acton Solar Landfill,59286,Heliovaas LLC,MA,ISNE,0,0,0,211,2022,1,0,0,0,0,0,0,211,2022,1
2015,59850,Adams Community Solar Garden III LLC,59652,Adams Community Solar Garden III LLC,CO,PSCO,0,0,0,77,669,3,0,0,0,0,0,0,77,669,3
2015,59849,Adams Community Solar Garden LLC,59651,Adams Community Solar Garden LLC,CO,PSCO,0,0,0,82,694,4,0,0,0,0,0,0,82,694,4
2015,59331,Anheuser-Busch #2,59129,"Foundation CA Fund VII Manager, LLC",CA,CISO,0,0,0,0,0,0,300,2463,1,0,0,0,300,2463,1
2015,59489,Anthony Wayne Solar #1,59244,GEM Energy LLC,OH,PJM,0,0,0,159,2294,1,0,0,0,0,0,0,159,2294,1
2015,57765,Arizona Western College PV,58863,Main Street Power,AZ,AZPS,0,0,0,662,9960,1,0,0,0,0,0,0,662,9960,1
2015,55990,Ashtabula,58115,"DTE Ashtabula, LLC",OH,PJM,0,0,0,4165,143804,1,0,0,0,0,0,0,4165,143804,1
2015,56900,Atlantic City Convention Center,14405,Power Choice/Pepco Energy Serv,NJ,PJM,0,0,0,412,2982,1,0,0,0,0,0,0,412,2982,1
2015,58360,Atlantic Coast Freezers Solar Facility,57411,KDC Solar O&M LLC,NJ,PJM,0,0,0,237,3384,1,0,0,0,0,0,0,237,3384,1
