Data Year,Utility Number,Utility Name,State,Ownership,SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically,SAIDI (minutes per year),SAIFI (times per year),CAIDI With MED,SAIDI (minutes per year),SAIFI (times per year),CAIDI Without MED,Number of Customers,Inactive Accounts Included,Momentary Interruptions,Highest Dist. Voltage,Outages Recorded Automatically
2023,13780,Northern States Power Co,WI,Investor Owned,173.87,0.92,188.98913,82.67,0.7,118.1,162.4,0.81,200.49383,257561,34.5,Y,.,.,.,.,.,.,.,,,.,
2023,13781,Northern States Power Co - Minnesota,MN,Investor Owned,168.41,1.06,158.87736,83.46,0.84,99.357143,164.4,1.01,162.77228,1341426,34.5,Y,.,.,.,.,.,.,.,,,.,
2023,13781,Northern States Power Co - Minnesota,ND,Investor Owned,63.91,0.63,101.44444,56.59,0.57,99.280702,63.42,0.62,102.29032,95209,34.5,Y,.,.,.,.,.,.,.,,,.,
2023,13781,Northern States Power Co - Minnesota,SD,Investor Owned,81.48,0.9,90.533333,81.48,0.9,90.533333,76.47,0.74,103.33784,102649,34.5,Y,.,.,.,.,.,.,.,,,.,
2023,13783,Northeast Louisiana Power Coop Inc.,LA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,3.26,2.59,1.2586873,3.26,2.59,1.2586873,17646,N,O,19.9,Y
2023,13788,Northern Wasco County PUD,OR,Political Subdivision,12.412,0.073,170.0274,12.412,0.073,170.0274,12.412,0.073,170.0274,10482,12.5,N,.,.,.,.,.,.,.,,,.,
2023,13799,Prairie Land Electric Coop Inc,KS,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,219.97,.,.,138.93,.,.,24659,N,F,13.8,Y
2023,13809,NorthWestern Energy - (SD),SD,Investor Owned,116.5,1.367,85.223116,73.892,1.03,71.739806,52.73,0.638,82.648903,63238,34.5,N,.,.,.,.,.,.,.,,,.,
2023,13830,Nueces Electric Cooperative,TX,Cooperative,418.14,3.413,122.51392,159.96,1.348,118.66469,389.52,3.241,120.18513,20646,25,Y,.,.,.,.,.,.,.,,,.,
2023,13831,City of Norwich - (CT),CT,Municipal,456.89,2.4,190.37083,153.15,1.21,126.57025,153.15,1.21,126.57025,20808,34.5,Y,.,.,.,.,.,.,.,,,.,
2023,13839,City of Norwood - (MA),MA,Municipal,62.66,0.96,65.270833,45.97,0.76,60.486842,62.66,0.96,65.270833,16301,13.8,Y,.,.,.,.,.,.,.,,,.,
2023,13936,Oakdale Electric Coop,WI,Cooperative,156,1.174,132.87905,95.6,0.942,101.4862,156,1.174,132.87905,17833,12.5,Y,.,.,.,.,.,.,.,,,.,
2023,13955,City of Ocala,FL,Municipal,.,.,.,.,.,.,.,.,.,.,.,,125.603,1.356,92.627581,118.359,1.23,96.226829,55779,N,L,12.5,Y
2023,13963,Oconomowoc Utilities,WI,Municipal,.,.,.,.,.,.,.,.,.,.,.,,11.049,0.115,96.078261,0,0,.,11112,Y,L,24.9,N
2023,13998,Ohio Edison Co,OH,Investor Owned,575.32,1.483,387.94336,107.23,0.971,110.43254,539.66,1.234,437.32577,1060776,36,Y,.,.,.,.,.,.,.,,,.,
2023,14006,Ohio Power Co,OH,Investor Owned,326.1,1.236,263.83495,147.6,0.96,153.75,292.4,1.102,265.33575,1524255,35,Y,.,.,.,.,.,.,.,,,.,
2023,14055,PUD No 1 of Okanogan County,WA,Political Subdivision,.,.,.,.,.,.,.,.,.,.,.,,211.6,1.21,174.87603,153.9,0.974,158.00821,22039,N,F,24.9,Y
2023,14062,Oklahoma Electric Coop Inc,OK,Cooperative,327.3,2.5,130.92,58.4,0.7,83.428571,317.4,2.38,133.36134,63682,14.4,Y,.,.,.,.,.,.,.,,,.,
2023,14063,Oklahoma Gas & Electric Co,AR,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,492.012,1.797,273.79633,135.928,0.88,154.46364,69990,N,F,34.5,Y
2023,14063,Oklahoma Gas & Electric Co,OK,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,397.469,1.337,297.28422,130.892,0.937,139.69264,820988,N,F,34.5,Y
2023,14109,"Oregon Trail El Cons Coop, Inc",OR,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,164.98,1.86,88.698925,104.08,1.46,71.287671,31731,N,F,34.5,Y
2023,14127,Omaha Public Power District,NE,Political Subdivision,80.1,0.553,144.84629,57.9,0.449,128.95323,80.1,0.553,144.84629,397846,13.8,Y,.,.,.,.,.,.,.,,,.,
2023,14146,City of Opelika - (AL),AL,Municipal,.,.,.,47.2,0.58,81.37931,.,.,.,15284,12,Y,.,.,.,.,.,.,.,,,.,
2023,14154,Orange & Rockland Utils Inc,NY,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,224.69,1.491,150.69752,110.21,1.07,103,237592,N,F,34.5,N
2023,14164,City of Orangeburg - (SC),SC,Municipal,391.92,2.396,163.57262,275.1,2.221,123.86312,116.82,0.175,667.54286,24524,24.9,N,.,.,.,.,.,.,.,,,.,
2023,14170,Orcas Power & Light Coop,WA,Cooperative,1290.8,4.387,294.23296,1290.8,4.387,294.23296,282.3,1.477,191.13067,15195,12.5,N,.,.,.,.,.,.,.,,,.,
2023,14175,"Tri-County Electric Coop, Inc (SC)",SC,Cooperative,427.36,3.75,113.96267,196.87,2.43,81.016461,181.59,2.17,83.682028,18377,14.4,Y,.,.,.,.,.,.,.,,,.,
2023,14192,Osage Valley Elec Coop Assn,MO,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,271.156,1.453,186.61803,137.732,1.024,134.50391,17842,N,F,12.5,Y
2023,14194,City of Orrville - (OH),OH,Municipal,.,.,.,.,.,.,.,.,.,.,.,,89.54,0.87,102.91954,58.28,0.67,86.985075,7116,Y,L,13.8,N
2023,14232,Otter Tail Power Co,MN,Investor Owned,96.28,1.38,69.768116,96.28,1.38,69.768116,.,.,.,63290,25,Y,.,.,.,.,.,.,.,,,.,
2023,14232,Otter Tail Power Co,ND,Investor Owned,207.75,1.84,112.90761,125.71,1.56,80.583333,.,.,.,59671,25,Y,.,.,.,.,.,.,.,,,.,
2023,14232,Otter Tail Power Co,SD,Investor Owned,125.81,2.11,59.625592,125.81,2.11,59.625592,.,.,.,11930,25,Y,.,.,.,.,.,.,.,,,.,
2023,14245,Overton Power District No 5,NV,Political Subdivision,33.327,0.625,53.3232,20.216,0.42,48.133333,33.327,0.625,53.3232,18065,68,Y,.,.,.,.,.,.,.,,,.,
2023,14246,City of Owatonna - (MN),MN,Municipal,44.138,0.615,71.769106,13.744,0.406,33.852217,44.138,0.615,71.769106,12489,12.5,Y,.,.,.,.,.,.,.,,,.,
2023,14251,Owen Electric Coop Inc,KY,Cooperative,226.1,1.618,139.74042,97.99,1.378,71.110305,212.08,1.15,184.41739,65993,25,Y,.,.,.,.,.,.,.,,,.,
2023,14268,City of Owensboro - (KY),KY,Municipal,84.698,0.776,109.14691,84.698,0.776,109.14691,84.698,0.776,109.14691,27478,.,Y,.,.,.,.,.,.,.,,,.,
2023,14289,Ozarks Electric Coop Corp - (AR),AR,Cooperative,326.51,1.72,189.8314,43.93,0.77,57.051948,274.13,0.52,527.17308,76254,24.9,Y,.,.,.,.,.,.,.,,,.,
2023,14289,Ozarks Electric Coop Corp - (AR),OK,Cooperative,246.6,2.13,115.77465,66.23,0.78,84.910256,117.54,0.53,221.77358,12830,24.9,Y,.,.,.,.,.,.,.,,,.,
