Data Year,Utility Number,Utility Name,State,Distribution Circuits,Circuits with Voltage Optimization
2018,55,City of Aberdeen - (MS),MS,8,8
2018,59,City of Abbeville - (LA),LA,15,0
2018,84,A & N Electric Coop,MD,1,0
2018,84,A & N Electric Coop,VA,43,0
2018,97,Adams Electric Coop,IL,47,47
2018,108,Adams-Columbia Electric Coop,WI,95,16
2018,118,"Adams Rural Electric Coop, Inc",OH,18,3
2018,122,Village of Arcade - (NY),NY,22,0
2018,123,City of Adel- (GA),GA,9,0
2018,150,Adrian Public Utilities Comm,MN,5,0
2018,155,Agralite Electric Coop,MN,60,0
2018,162,Aiken Electric Coop Inc,SC,122,0
2018,176,Ajo Improvement Co,AZ,5,.
2018,195,Alabama Power Co,AL,"2,250",3
2018,201,City of Alachua - (FL),FL,3,0
2018,207,City of Alameda,CA,26,24
2018,213,Alaska Electric Light&Power Co,AK,31,31
2018,219,Alaska Power and Telephone Co,AK,32,0
2018,221,"Alaska Village Elec Coop, Inc",AK,173,0
2018,230,Albany Utility Board,GA,52,0
2018,232,City of Albemarle - (NC),NC,14,14
2018,240,Albemarle Electric Member Corp,NC,31,28
2018,241,Albertville Municipal Utilities Board,AL,22,0
2018,261,AGC Division of APG Inc,IN,1,.
2018,276,Alcorn County Elec Power Assn,MS,33,15
2018,289,City of Alexander City,AL,11,.
2018,295,City of Alexandria - (MN),MN,25,6
2018,296,"Alfalfa Electric Coop, Inc",KS,3,.
2018,296,"Alfalfa Electric Coop, Inc",OK,49,.
2018,298,City of Alexandria - (LA),LA,61,0
2018,305,Alger-Delta Coop Electric Assn,MI,17,0
2018,307,Algoma Utility Comm,WI,9,9
2018,308,City of Acworth - (GA),GA,8,8
2018,309,City of Algona - (IA),IA,14,.
2018,329,"Allamakee-Clayton El Coop, Inc",IA,53,0
2018,367,City of Alliance- (NE),NE,13,0
2018,392,Alpena Power Co,MI,39,0
2018,407,Altamaha Electric Member Corp,GA,57,4
2018,416,City of Altus - (OK),OK,11,11
2018,471,Amana Society Service Co,IA,6,0
2018,554,City of Ames - (IA),IA,41,0
2018,560,City of Amherst- (OH),OH,2,.
2018,562,Amicalola Electric Member Corp,GA,62,0
2018,571,City of Amory,MS,11,0
2018,577,City of Alcoa Utilities,TN,37,0
2018,590,City of Anaheim - (CA),CA,108,108
2018,599,Anchorage Municipal Light and Power,AK,76,17
2018,604,City of Andalusia,AL,14,.
2018,636,City of Anderson - (IN),IN,65,0
2018,689,Connexus Energy,MN,202,202
2018,690,City of Bardstown - (KY),KY,15,.
2018,691,City of Anoka,MN,23,0
2018,694,Anza Electric Coop Inc,CA,8,8
2018,719,Town of Apex- (NC),NC,18,16
2018,727,Appalachian Electric Coop,TN,72,72
2018,733,Appalachian Power Co,VA,573,0
2018,733,Appalachian Power Co,WV,496,3
2018,750,Arab Electric Coop Inc,AL,20,0
2018,803,Arizona Public Service Co,AZ,"1,303",.
2018,814,Entergy Arkansas LLC,AR,"1,247",0
2018,814,Entergy Arkansas LLC,TN,3,0
2018,817,Arkansas Valley Elec Coop Corp,AR,129,0
2018,817,Arkansas Valley Elec Coop Corp,OK,13,0
2018,828,City of Arlington - (MN),MN,8,.
2018,887,"Arrowhead Electric Coop, Inc",MN,5,.
2018,907,City of Ashland - (OR),OR,11,.
2018,918,City of Aspen- (CO),CO,3,0
2018,942,Atchison-Holt Electric Coop,IA,10,4
2018,942,Atchison-Holt Electric Coop,MO,20,10
2018,947,Athens Utility Board,TN,24,0
2018,963,Atlantic City Electric Co,NJ,352,0
2018,965,Atlantic Municipal Utilities,IA,12,.
2018,993,Auburn Board of Public Works,NE,12,.
2018,994,City of Auburn - (IN),IN,20,3
2018,998,City of Augusta - (KS),KS,9,0
2018,1009,City of Austin - (MN),MN,26,0
2018,1015,Austin Energy,TX,404,75
2018,1024,City of Ava - (MO),MO,4,.
2018,1036,Town of Ayden - (NC),NC,8,0
2018,1050,City of Azusa,CA,20,.
2018,1062,BARC Electric Coop Inc,VA,43,0
2018,1101,Bagley Public Utilities Comm,MN,2,0
2018,1148,City of Baldwin City- (KS),KS,9,0
2018,1149,Baldwin County El Member Corp,AL,97,97
2018,1167,Baltimore Gas & Electric Co,MD,"1,567",575
2018,1169,Bailey County Elec Coop Assn,TX,88,88
2018,1175,"Bandera Electric Coop, Inc",TX,54,2
2018,1176,City of Bandon - (OR),OR,6,.
2018,1179,Emera Maine,ME,242,242
2018,1181,Village of Bangor - (WI),WI,5,.
2018,1192,City of Banning - (CA),CA,21,11
2018,1196,Village of Baraga - (MI),MI,2,0
2018,1201,Barbourville Utility Comm,KY,4,.
2018,1233,City of Barnesville - (MN),MN,7,5
2018,1251,Barron Electric Coop,WI,37,0
2018,1273,"Bartlett Electric Coop, Inc",TX,30,0
2018,1276,"Barrow Utils & Elec Coop, Inc",AK,6,.
2018,1279,Barry Electric Coop,MO,26,0
2018,1283,Bartholomew County Rural E M C,IN,35,0
2018,1300,City of Bartow - (FL),FL,17,0
2018,1301,"Barton County Elec Coop, Inc",MO,7,.
2018,1307,Basin Electric Power Coop,ND,1,1
2018,1307,Basin Electric Power Coop,WY,1,1
2018,1325,City of Batavia - (IL),IL,22,.
2018,1366,City of Bay City - (MI),MI,33,.
2018,1367,"Bayfield Electric Coop, Inc",MI,1,.
2018,1367,"Bayfield Electric Coop, Inc",WI,28,.
2018,1417,"Beartooth Electric Coop, Inc",MT,50,.
2018,1427,City of Beatrice - (NE),NE,46,46
2018,1456,Town of Bedford - (VA),VA,23,0
2018,1458,"Beauregard Electric Coop, Inc",LA,61,61
2018,1523,Town of Belmont - (MA),MA,30,15
2018,1525,City of Beloit - (KS),KS,12,0
2018,1529,"Beltrami Electric Coop, Inc",MN,75,0
2018,1566,City of Bennettsville - (SC),SC,4,0
2018,1572,Badger Power Marketing Authority,WI,2,0
2018,1573,City of Benson - (MN),MN,5,.
2018,1578,Benton County,TN,14,0
2018,1579,PUD No 1 of Benton County,WA,140,0
2018,1581,City of Benton - (AR),AR,15,14
2018,1582,City of Benton - (KY),KY,5,0
2018,1586,City of Bentonville - (AR),AR,49,.
2018,1591,"Big Country Electric Coop, Inc",TX,51,.
2018,1601,City of Beresford,SD,6,.
2018,1613,Berkeley Electric Coop Inc,SC,191,191
2018,1625,Benton Rural Electric Assn,WA,54,0
2018,1640,City of Bessemer Utilities,AL,39,0
2018,1675,Big Horn Rural Electric Co,MT,2,.
2018,1675,Big Horn Rural Electric Co,WY,13,.
2018,1683,"Big Horn County Elec Coop, Inc",MT,27,.
2018,1708,Big Sandy Rural Elec Coop Corp,KY,36,.
2018,1723,"Big Bend Electric Coop, Inc",WA,56,0
2018,1736,Blachly-Lane County Coop El Assn,OR,21,0
2018,1763,"Black River Electric Coop, Inc - (SC)",SC,108,0
2018,1764,Black Diamond Power Co,WV,6,0
2018,1769,"Black Hills Electric Coop, Inc",SD,39,.
2018,1775,Black River Electric Coop - (MO),MO,62,0
2018,1776,City of Black River Falls,WI,14,0
2018,1780,Black Warrior Elec Member Corp,AL,93,.
2018,1818,City of Blaine - (WA),WA,4,0
2018,1857,Block Island Power Co,RI,6,0
2018,1869,City of Bloomfield - (IA),IA,8,8
2018,1883,Blue Earth Light & Water,MN,10,10
2018,1884,BENCO Electric Cooperative,MN,115,97
2018,1886,Blue Grass Energy Coop Corp,KY,135,7
2018,1889,Blue Ridge Elec Member Corp - (NC),NC,103,31
2018,1890,Blue Ridge Electric Coop Inc - (SC),SC,148,.
2018,1891,Blue Ridge Mountain EMC - (GA),GA,28,27
2018,1891,Blue Ridge Mountain EMC - (GA),NC,10,9
2018,1892,"Bluebonnet Electric Coop, Inc",TX,220,173
2018,1896,City of Bluffton - (IN),IN,21,.
2018,1898,"Bon Homme Yankton El Assn, Inc",SD,26,26
2018,1913,City of Boerne,TX,8,.
2018,1936,Bolivar Energy Authority,TN,22,22
2018,1997,City of Boscobel - (WI),WI,6,0
2018,2001,Boone Electric Coop,MO,63,61
2018,2008,City of Boulder City - (NV),NV,31,0
2018,2010,City of Bountiful,UT,18,0
2018,2049,"Bowie-Cass Electric Coop, Inc",TX,110,0
2018,2054,City of Bowling Green - (OH),OH,32,15
2018,2056,City of Bowling Green - (KY),KY,49,49
2018,2089,Bozrah Light & Power Company,CT,4,.
2018,2138,Brainerd Public Utilities,MN,29,6
2018,2144,Town of Braintree - (MA),MA,23,23
2018,2182,City of Breckenridge- (MN),MN,14,0
2018,2192,Bremen Electric Light & Power Co,IN,16,.
2018,2194,City of Brenham - (TX),TX,11,11
2018,2206,City of Brewster - (MN),MN,3,0
2018,2212,"Broad River Electric Coop, Inc",NC,1,1
2018,2212,"Broad River Electric Coop, Inc",SC,47,47
2018,2215,"Bridger Valley Elec Assn, Inc",UT,3,.
2018,2215,"Bridger Valley Elec Assn, Inc",WY,34,.
2018,2220,Brigham City Corporation,UT,16,.
2018,2247,City of Bristol - (TN),TN,64,52
2018,2248,Bristol Virginia Utilities,VA,36,0
2018,2273,Brodhead Water & Lighting Comm,WI,10,0
2018,2277,City of Broken Bow - (NE),NE,22,.
2018,2285,City of Brookings - (SD),SD,35,.
2018,2316,Brown County Rural Elec Assn,MN,55,.
2018,2354,Brown-Atchison E C A Inc,KS,2,0
2018,2394,Burke-Divide Electric Coop Inc,ND,44,.
2018,2409,Brownsville Public Utilities Board,TX,57,5
2018,2411,City of Brownsville,TN,13,0
2018,2439,City of Bryan - (OH),OH,13,0
2018,2442,City of Bryan - (TX),TX,93,0
2018,2485,City of Buffalo - (MN),MN,12,12
2018,2487,City of Buford,GA,9,9
2018,2502,"Buckeye Rural Elec Coop, Inc",OH,52,0
2018,2507,City of Burbank Water and Power,CA,115,0
2018,2545,City of Burley - (ID),ID,6,2
2018,2548,City of Burlington Electric - (VT),VT,16,16
2018,2551,City of Burlington - (KS),KS,5,0
2018,2599,Burt County Public Power Dist,NE,53,0
2018,2641,"Butler Rural El Coop Assn, Inc - (KS)",KS,35,4
2018,2643,Butler Public Power District - (NE),NE,51,.
2018,2650,Borough of Butler - (NJ),NJ,8,8
2018,2651,Butler Rural Electric Coop Inc - (OH),OH,49,0
2018,2652,Butler County Rural Elec Coop - (IA),IA,76,23
2018,2655,"Butte Electric Coop, Inc",SD,27,6
2018,2678,C & L Electric Coop Corp,AR,58,0
2018,2773,City of Cairo - (GA),GA,8,0
2018,2774,CMS Electric Coop Inc,KS,40,40
2018,2812,City of Calhoun - (GA),GA,22,17
2018,2849,Central Electric Power Assn - (MS),MS,80,59
2018,2888,City of Cambridge - (NE),NE,3,3
2018,2890,City of Camden,SC,20,0
2018,2900,City of Cameron,MO,4,.
2018,2903,Canoochee Electric Member Corp,GA,44,23
2018,2910,City of Camilla,GA,15,0
2018,2911,"Canadian Valley Elec Coop, Inc",OK,67,67
2018,2955,Canby Utility Board,OR,8,0
2018,2960,"Caney Fork Electric Coop, Inc",TN,26,0
2018,2961,"Caney Valley El Coop Assn, Inc",KS,23,.
2018,2974,Canton Municipal Utilities,MS,4,.
2018,2982,Cape Hatteras Elec Member Corp,NC,14,14
2018,2985,"Capital Electric Coop, Inc",ND,85,85
2018,2986,"Cam Wal Electric Coop, Inc",SD,9,.
2018,2998,"Carbon Power & Light, Inc",WY,33,0
2018,3046,Duke Energy Progress - (NC),NC,"1,049","1,049"
2018,3046,Duke Energy Progress - (NC),SC,168,168
2018,3075,Carroll County - (TN),TN,22,0
2018,3076,"Carroll Electric Coop, Inc - (OH)",OH,34,0
2018,3081,Carroll Electric Member Corp - (GA),GA,89,81
2018,3093,Carroll Electric Coop Corp - (AR),AR,164,0
2018,3093,Carroll Electric Coop Corp - (AR),MO,19,0
2018,3107,Carteret-Craven El Member Corp,NC,66,.
2018,3108,City of Cartersville - (GA),GA,26,0
2018,3113,City of Carthage - (MO),MO,17,16
2018,3203,Cedar Falls Utilities,IA,23,23
2018,3205,Cedar-Knox Public Power Dist,NE,60,.
2018,3208,Cedarburg Light & Water Comm,WI,12,12
2018,3216,City of Celina - (OH),OH,14,3
2018,3222,Central Alabama Electric Coop,AL,73,73
2018,3226,"Central Rural Electric Cooperative, Inc",OK,65,65
2018,3235,City of Central City,NE,11,11
2018,3236,"Central Electric Coop, Inc - (SD)",SD,72,0
2018,3240,Central Electric Coop Inc - (OR),OR,108,.
2018,3245,"Central Florida Elec Coop, Inc",FL,54,14
2018,3248,Central Georgia El Member Corp,GA,76,76
