|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..Part|,|Utility Characteristics..Service Type|,|Utility Characteristics.."Data Type O = Observed I = Imputed"|,|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|Utility Characteristics.BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
2018,55,City of Aberdeen - (MS),A,Bundled,O,MS,Municipal,TVA,"4,185.0","37,455","2,566","5,483.0","52,636",664,"5,723.0","119,640",2,0.0,0,0,"15,391.0","209,731","3,231"
2018,59,City of Abbeville - (LA),A,Bundled,O,LA,Municipal,MISO,"5,572.6","56,479","4,655","4,053.7","37,773","1,032","3,009.2","35,590",27,0.0,0,0,"12,635.5","129,842","5,714"
2018,84,A & N Electric Coop,A,Bundled,O,MD,Cooperative,PJM,279.9,"2,312",271,73.5,589,43,0.0,0,0,.,.,.,353.4,"2,901",314
2018,84,A & N Electric Coop,A,Bundled,O,VA,Cooperative,PJM,"45,278.0","386,800","31,382","18,724.0","172,307","4,130","13,721.0","161,336",8,.,.,.,"77,723.0","720,443","35,520"
2018,97,Adams Electric Coop,A,Bundled,O,IL,Cooperative,MISO,"17,507.0","119,449","8,664","5,839.0","55,527",225,.,.,.,.,.,.,"23,346.0","174,976","8,889"
2018,108,Adams-Columbia Electric Coop,A,Bundled,O,WI,Cooperative,MISO,"44,822.0","279,803","34,207","9,739.0","78,289","2,211","15,959.0","172,345",932,.,.,.,"70,520.0","530,437","37,350"
2018,113,"Agway Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,"23,474.9","261,491","32,338","6,761.7","77,727","5,138",0.0,0,0,0.0,0,0,"30,236.6","339,218","37,476"
2018,113,"Agway Energy Services, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,"3,494.5","34,126","3,093",585.9,"5,451",171,0.0,0,0,0.0,0,0,"4,080.4","39,577","3,264"
2018,118,"Adams Rural Electric Coop, Inc",A,Bundled,O,OH,Cooperative,PJM,"13,463.0","96,940","7,091","1,993.0","15,722",372,.,.,.,.,.,.,"15,456.0","112,662","7,463"
2018,122,Village of Arcade - (NY),A,Bundled,O,NY,Municipal,NYIS,"4,021.0","74,233","3,645","1,961.0","42,008",504,"1,833.0","41,216",15,.,.,.,"7,815.0","157,457","4,164"
2018,123,City of Adel- (GA),A,Bundled,O,GA,Municipal,SOCO,"3,925.0","27,921","2,074","5,123.0","36,177",571,"4,443.0","56,571",16,.,.,.,"13,491.0","120,669","2,661"
2018,150,Adrian Public Utilities Comm,A,Bundled,O,MN,Municipal,MISO,773.0,"6,690",537,685.0,"6,151",112,77.0,554,2,0.0,0,0,"1,535.0","13,395",651
2018,155,Agralite Electric Coop,A,Bundled,O,MN,Cooperative,MISO,"10,307.0","87,804","4,381","5,700.0","75,146",278,"6,005.0","68,088",574,.,.,.,"22,012.0","231,038","5,233"
2018,162,Aiken Electric Coop Inc,A,Bundled,O,SC,Cooperative,SC,"87,922.0","631,260","45,005","15,452.9","132,036","2,739","13,550.5","185,349",15,.,.,.,"116,925.4","948,645","47,759"
2018,176,Ajo Improvement Co,A,Bundled,O,AZ,Investor Owned,AZPS,516.6,"4,554",779,308.6,"2,873",213,0.0,0,0,0.0,0,0,825.2,"7,427",992
2018,195,Alabama Power Co,A,Bundled,O,AL,Investor Owned,SOCO,"2,385,939.0","18,626,138","1,273,526","1,637,948.0","14,054,483","200,791","1,452,061.0","23,005,571","6,158",.,.,.,"5,475,948.0","55,686,192","1,480,475"
2018,201,City of Alachua - (FL),A,Bundled,O,FL,Municipal,FPC,"5,217.0","45,011","3,862","9,044.0","85,995",722,.,.,.,.,.,.,"14,261.0","131,006","4,584"
2018,207,City of Alameda,A,Bundled,O,CA,Municipal,CISO,"24,016.8","124,492","31,136","34,405.1","202,160","4,193",.,.,.,.,.,.,"58,421.9","326,652","35,329"
2018,213,Alaska Electric Light&Power Co,A,Bundled,O,AK,Investor Owned,NA,"19,063.0","148,071","14,707","12,664.9","119,268","2,318","14,333.8","121,640",140,.,.,.,"46,061.7","388,979","17,165"
2018,219,Alaska Power and Telephone Co,A,Bundled,O,AK,Investor Owned,NA,"8,090.0","25,790","5,569","10,779.0","39,942","2,405",0.0,0,0,0.0,0,0,"18,869.0","65,732","7,974"
2018,221,"Alaska Village Elec Coop, Inc",A,Bundled,O,AK,Cooperative,NA,"20,268.8","41,835","8,183","31,224.7","76,498","3,305",0.0,0,0,0.0,0,0,"51,493.5","118,333","11,488"
2018,230,Albany Utility Board,A,Bundled,O,GA,Municipal,SOCO,"41,190.0","356,381","31,473","60,019.0","536,971","5,610",.,.,.,.,.,.,"101,209.0","893,352","37,083"
2018,232,City of Albemarle - (NC),A,Bundled,O,NC,Municipal,DUK,"17,453.8","135,027","9,883","13,759.8","127,770","2,222","2,527.7","29,722",13,0.0,0,0,"33,741.3","292,519","12,118"
2018,240,Albemarle Electric Member Corp,A,Bundled,O,NC,Cooperative,PJM,"25,757.0","188,601","11,796","4,169.0","35,707","1,115",565.0,"7,199",20,0.0,0,0,"30,491.0","231,507","12,931"
2018,241,Albertville Municipal Utilities Board,A,Bundled,O,AL,Municipal,TVA,"12,378.0","126,620","7,982","18,157.0","176,739","2,238","18,405.0","312,699",15,0.0,0,0,"48,940.0","616,058","10,235"
2018,261,AGC Division of APG Inc,A,Bundled,O,IN,Investor Owned,MISO,.,.,.,.,.,.,"140,619.0","2,222,502",1,.,.,.,"140,619.0","2,222,502",1
2018,276,Alcorn County Elec Power Assn,A,Bundled,O,MS,Cooperative,TVA,"26,163.0","230,316","14,786","20,278.0","169,013","4,050","11,340.0","219,953",6,0.0,0,0,"57,781.0","619,282","18,842"
2018,289,City of Alexander City,A,Bundled,O,AL,Municipal,SOCO,"5,860.0","55,023","5,067","4,010.0","28,461","1,013","3,673.0","46,034",73,.,.,.,"13,543.0","129,518","6,153"
