Data Year,Utility Number,Utility Name,Ownership Code,Ownership,Monthly,Short Form,Advanced Metering,Demand Response,Distribution Systems,Dynamic Pricing,Energy Efficiency,Mergers,Net Metering,Non Net Metering Distributed,Operational Data,Reliablity,Sales to Ultimate Customers,Service Territory,Utility Data
2018,34,City of Abbeville - (SC),M,Municipal,,X,X,,,,,,,,,,,X,
2018,55,City of Aberdeen - (MS),M,Municipal,,,X,,X,X,,,,X,X,,X,X,X
2018,59,City of Abbeville - (LA),M,Municipal,,,X,,X,,,,X,,X,,X,X,X
2018,84,A & N Electric Coop,C,Cooperative,X,,X,X,X,X,,,X,,X,X,X,X,X
2018,87,City of Ada - (MN),M,Municipal,,X,X,,,,,,,,,,,X,
2018,97,Adams Electric Coop,C,Cooperative,,,X,X,X,X,,,X,X,X,X,X,X,X
2018,108,Adams-Columbia Electric Coop,C,Cooperative,,,X,X,X,X,,,X,,X,X,X,X,X
2018,113,"Agway Energy Services, LLC",R,Retail Power Marketer,X,,,,,,,,,,X,,X,,X
2018,118,"Adams Rural Electric Coop, Inc",C,Cooperative,,,X,,X,,,,,,X,,X,X,X
2018,122,Village of Arcade - (NY),M,Municipal,,,X,,X,,X,,,X,X,,X,X,X
2018,123,City of Adel- (GA),M,Municipal,,,X,,X,,,,,,X,,X,X,X
2018,149,City of Afton- (IA),M,Municipal,,X,X,,,,,,,,,,,X,
2018,150,Adrian Public Utilities Comm,M,Municipal,,,X,,X,,X,,,,X,,X,X,X
2018,155,Agralite Electric Coop,C,Cooperative,,,X,,X,,,,X,,X,X,X,X,X
2018,157,Town of Advance - (IN),M,Municipal,,X,,,,,,,,,,,,X,
2018,162,Aiken Electric Coop Inc,C,Cooperative,,,X,,X,X,X,,X,,X,X,X,X,X
2018,174,Aitkin Public Utilities Comm,M,Municipal,,X,X,,,,,,,,,,,X,
2018,176,Ajo Improvement Co,I,Investor Owned,X,,X,,X,,,,X,,X,,X,X,X
2018,182,City of Akron - (IA),M,Municipal,,X,X,,,,,,,,,,,X,
2018,183,Village of Akron - (NY),M,Municipal,,X,,,,,,,,,,,,X,
2018,189,PowerSouth Energy Cooperative,C,Cooperative,,,,X,,,X,,,,X,,,,X
2018,191,Alamo Power District No 3,P,Political Subdivision,,X,,,,,,,,,,,,X,
2018,192,Akiachak Native Community Electric,C,Cooperative,,X,,,,,,,,,,,,X,
2018,195,Alabama Power Co,I,Investor Owned,X,,X,X,X,X,X,,,X,X,X,X,X,X
2018,198,City of Alton,M,Municipal,,X,X,,,,,,,,,,,X,
2018,201,City of Alachua - (FL),M,Municipal,,,X,,X,,,,X,,X,,X,X,X
2018,202,Town of Black Creek - (NC),M,Municipal,,X,X,,,,,,,,,,,X,
2018,207,City of Alameda,M,Municipal,,,X,,X,,X,,X,,X,X,X,X,X
2018,213,Alaska Electric Light&Power Co,I,Investor Owned,X,,X,X,X,X,,,,X,X,X,X,X,X
2018,219,Alaska Power and Telephone Co,I,Investor Owned,X,,X,,X,,,,X,X,X,X,X,X,X
2018,221,"Alaska Village Elec Coop, Inc",C,Cooperative,X,,X,,X,,,,,X,X,,X,X,X
2018,228,City of Albany - (MO),M,Municipal,,X,,,,,,,,,,,,X,
2018,229,City of Albany - (IL),M,Municipal,,X,,,,,,,,,,,,X,
2018,230,Albany Utility Board,M,Municipal,,,X,,X,,,,,,X,,X,X,X
2018,232,City of Albemarle - (NC),M,Municipal,,,X,,X,,,,,X,X,X,X,X,X
2018,240,Albemarle Electric Member Corp,C,Cooperative,,,X,,X,X,,,X,X,X,X,X,X,X
2018,241,Albertville Municipal Utilities Board,M,Municipal,,,X,,X,X,,,,X,X,X,X,X,X
2018,244,City of Albion - (ID),M,Municipal,,X,,,,,,,,,,,,X,
2018,261,AGC Division of APG Inc,I,Investor Owned,X,,X,,X,,,,,,X,,X,X,X
2018,266,City of Alpha - (MN),M,Municipal,,X,X,,,,,,,,,,,X,
2018,276,Alcorn County Elec Power Assn,C,Cooperative,,,X,,X,X,,,,X,X,X,X,X,X
2018,282,Village of Arcadia - (OH),M,Municipal,,X,X,,,,,,,,,,,X,
2018,287,"Alder Mutual Light Co, Inc",C,Cooperative,,X,,,,,,,,,,,,X,
2018,289,City of Alexander City,M,Municipal,,,X,,X,,,,,,X,,X,X,X
2018,295,City of Alexandria - (MN),M,Municipal,,,X,X,X,,X,,X,,X,X,X,X,X
2018,296,"Alfalfa Electric Coop, Inc",C,Cooperative,,,X,,X,,,,X,,X,X,X,X,X
2018,298,City of Alexandria - (LA),M,Municipal,,,X,,X,,,,,,X,,X,X,X
2018,305,Alger-Delta Coop Electric Assn,C,Cooperative,,,X,,X,,,,X,,X,X,X,X,X
2018,307,Algoma Utility Comm,M,Municipal,,,X,,X,X,,,X,,X,,X,X,X
2018,308,City of Acworth - (GA),M,Municipal,,,X,,X,,,,X,,X,,X,X,X
2018,309,City of Algona - (IA),M,Municipal,,,X,,X,,X,,,,X,,X,X,X
2018,329,"Allamakee-Clayton El Coop, Inc",C,Cooperative,,,X,X,X,,X,,X,X,X,X,X,X,X
2018,332,Allegheny Electric Coop Inc,C,Cooperative,,,,X,,,,,,,X,,,,X
2018,343,AEP Generating Company,I,Investor Owned,,,,,,,,,,,X,,,,X
2018,366,City of Allendale- (IL),M,Municipal,,X,,,,,,,,,,,,X,
