Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2018,17633,Southern Indiana Gas & Elec Co,,IN,MISO,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,"135,057","19,319",97,0,"154,473","135,057","19,319",97,0,"154,473",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,17637,Southern Maryland Elec Coop Inc,,MD,PJM,248,0,.,.,248,"149,682","15,287",.,.,"164,969",.,.,.,.,.,154,102,.,.,256,"150,084","15,389",0,0,"165,473","2,249,981","992,885",.,.,"3,242,866",.,.,.,.,.,.,.,.,.,.
2018,17642,Southern Public Power District,,NE,SWPP,0,0,0,0,0,"15,138","2,615","9,454",0,"27,207",0,0,0,0,0,0,0,0,0,0,"15,138","2,615","9,454",0,"27,207","244,722","42,950","810,806",0,"1,098,478","15,138","2,615","9,454",0,"27,207",0,0,"5,504",0,"5,504"
2018,17643,"Southern Iowa Elec Coop, Inc",,IA,AECI,.,.,.,.,.,"4,554",167,0,.,"4,721",.,.,.,.,.,.,.,3,.,3,"4,554",167,3,0,"4,724","61,466","9,043",0,.,"70,509",.,.,.,.,.,.,.,.,.,.
2018,17646,"Southern Pine Elec Coop, Inc",,AL,AEC,.,.,.,.,.,"19,668","1,925",.,.,"21,593",.,.,.,.,.,.,.,.,.,.,"19,668","1,925",0,0,"21,593","264,904","176,780",.,.,"441,684",.,.,.,.,.,.,.,.,.,.
2018,17647,Southern Pine Elec Power Assn,,MS,MISO,.,.,.,.,.,"61,193","5,078",45,.,"66,316",.,.,.,.,.,"1,292",183,0,.,"1,475","62,485","5,261",45,0,"67,791","915,914","327,622","665,400",.,"1,908,936",.,.,.,.,.,.,.,.,.,.
2018,17668,City of Southport - (NC),Y,NC,CPLE,.,.,.,.,0,"2,390",602,.,.,"2,992",.,.,.,.,.,.,.,.,.,.,"2,390",602,0,0,"2,992","30,477","27,764",.,.,"58,241",.,.,.,.,.,.,.,.,.,.
2018,17671,Southwest Arkansas E C C,,AR,MISO,0,0,0,0,0,"24,000","2,971",0,0,"26,971",0,0,0,0,0,0,6,4,0,10,"24,000","2,977",4,0,"26,981","375,742","109,535",0,0,"485,277","24,000","2,971",4,0,"26,975",0,0,0,0,0
2018,17671,Southwest Arkansas E C C,,OK,MISO,0,0,0,0,0,212,14,0,0,226,.,.,.,.,.,.,.,.,.,.,212,14,0,0,226,"2,761",348,0,0,"3,109",212,14,0,0,226,0,0,0,0,0
2018,17671,Southwest Arkansas E C C,,TX,MISO,0,0,0,0,0,975,61,0,0,"1,036",0,0,0,0,0,0,0,0,0,0,975,61,0,0,"1,036","21,447","1,341",0,0,"22,788",975,61,0,0,"1,036",0,0,0,0,0
2018,17681,Southwest Rural Elec Assn Inc,,OK,SWPP,.,.,.,.,0,"3,596",798,9,0,"4,403",.,.,.,.,.,.,.,.,.,.,"3,596",798,9,0,"4,403","40,986","19,345","13,030",0,"73,361","3,596",798,9,0,"4,403",.,.,.,.,.
2018,17681,Southwest Rural Elec Assn Inc,,TX,SWPP,.,.,.,.,.,"2,300",979,20,.,"3,299",.,.,.,.,.,.,.,.,.,.,"2,300",979,20,0,"3,299","28,183","39,138","13,401",.,"80,722","2,300",979,20,.,"3,299",.,.,.,.,.
2018,17683,Southwest Mississippi E P A,,MS,MISO,.,.,.,.,.,"23,177","2,172",17,0,"25,366",.,.,.,.,.,.,.,.,.,.,"23,177","2,172",17,0,"25,366","296,479","82,091","111,976",0,"490,546",.,.,.,.,.,"23,177","2,172",15,0,"25,364"
2018,17684,Southwest Louisiana E M C,,LA,MISO,"100,156","5,523",5,.,"105,684",.,.,.,.,.,.,.,.,.,.,456,"2,882",28,.,"3,366","100,612","8,405",33,0,"109,050",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,17692,Southwest Public Power Dist,,NE,SWPP,.,.,.,.,.,"2,223","2,660","1,338",.,"6,221",.,.,.,.,.,.,.,.,.,.,"2,223","2,660","1,338",0,"6,221","36,890","48,675","110,815",.,"196,380",.,.,.,.,.,.,.,.,.,.
2018,17693,"Southwest Texas Elec Coop, Inc",,TX,ERCO,"5,526","3,351",429,.,"9,306",.,.,.,.,.,.,.,.,.,.,.,595,.,.,595,"5,526","3,946",429,0,"9,901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,17694,Southwest Tennessee E M C,,TN,TVA,"11,433","3,188",0,0,"14,621","30,727","4,508",1,0,"35,236",0,0,0,0,0,0,8,0,0,8,"42,160","7,704",1,0,"49,865","391,046","41,196","25,314",0,"457,556","42,160","7,225",0,0,"49,385",0,0,0,0,0
