,Data Year,Utility Number,Utility Name,State,Distribution Circuits,Circuits with Voltage Optimization
0,2015,97,Adams Electric Coop,IL,47,47
1,2015,1325,City of Batavia - (IL),IL,22,0
2,2015,3806,"Clinton County Elec Coop, Inc",IL,37,0
3,2015,3931,Coles-Moultrie Electric Coop,IL,48,0
4,2015,4110,Commonwealth Edison Co,IL,5464,13
5,2015,4362,Corn Belt Energy Corporation,IL,144,75
6,2015,5535,Egyptian Electric Coop Assn,IL,68,64
7,2015,5585,Eastern Illinois Elec Coop,IL,69,69
8,2015,6417,City of Flora - (IL),IL,12,10
9,2015,7096,City of Geneva- (IL),IL,33,0
10,2015,8573,City of Highland,IL,18,0
11,2015,8824,M J M Electric Cooperative Inc,IL,41,41
12,2015,9209,Illinois Rural Electric Coop,IL,69,69
13,2015,9750,Jo-Carroll Energy Coop Inc,IL,104,104
14,2015,12341,MidAmerican Energy Co,IL,115,0
15,2015,12395,Menard Electric Coop,IL,53,33
16,2015,12803,"Monroe County Elec Coop, Inc",IL,34,0
17,2015,13032,Mt Carmel Public Utility Co,IL,15,7
18,2015,13208,City of Naperville - (IL),IL,116,116
19,2015,13292,Norris Electric Coop,IL,106,0
20,2015,14840,City of Peru - (IL),IL,20,13
21,2015,15388,City of Princeton - (IL),IL,15,7
22,2015,15686,Village of Rantoul - (IL),IL,39,39
23,2015,16179,Rochelle Municipal Utilities,IL,24,6
24,2015,16196,Rock Energy Cooperative,IL,21,15
25,2015,16420,Rural Electric Conven Coop,IL,28,0
26,2015,16740,Scenic Rivers Energy Coop,IL,4,0
27,2015,17040,"Shelby Electric Coop, Inc",IL,63,0
28,2015,17585,"Southeastern IL Elec Coop, Inc",IL,113,1
29,2015,17631,Southern Illinois Elec Coop,IL,43,0
30,2015,17697,Southwestern Electric Coop Inc - (IL),IL,84,0
31,2015,17828,City of Springfield - (IL),IL,116,116
32,2015,17860,City of St Charles - (IL),IL,48,0
33,2015,18955,"Tri-County Electric Coop, Inc",IL,86,86
34,2015,20222,Wayne-White Counties Elec Coop,IL,67,0
35,2015,20824,Village of Winnetka - (IL),IL,13,0
36,2015,56697,Ameren Illinois Company,IL,2512,0
