,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..Part|,|Utility Characteristics..Service Type|,"|Utility Characteristics..""Data Type O = Observed I = Imputed""|",|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|Utility Characteristics.BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
0,2015,97.0,Adams Electric Coop,A,Bundled,O,IL,Cooperative,MISO,16107,109511,8461,5384,52301,216,.,.,.,.,.,.,21491,161812,8677
1,2015,970.0,Homefield Energy,B,Energy,O,IL,Retail Power Marketer,PJM,153672,4875894,501646,105869,2161597,1942,8274,116372,6,0,0,0,267815,7153863,503594
2,2015,970.0,Homefield Energy,B,Energy,O,IL,Retail Power Marketer,MISO,233730,2091290,215158,131906,1387034,1276,111140,2659952,144,1767,25100,1,478543,6163376,216579
3,2015,1325.0,City of Batavia - (IL),A,Bundled,O,IL,Municipal,PJM,12282.8,87780,9557,18276.4,156392,1336,19980.2,231971,11,.,.,.,50539.4,476143,10904
4,2015,1611.0,"Linde Energy Services, Inc.",B,Energy,O,IL,Retail Power Marketer,MISO,0,0,0,0,0,0,10665,249984,4,0,0,0,10665,249984,4
5,2015,3806.0,"Clinton County Elec Coop, Inc",A,Bundled,O,IL,Cooperative,MISO,11010,86400,5275,4949,48808,700,.,.,.,.,.,.,15959,135208,5975
6,2015,3931.0,Coles-Moultrie Electric Coop,A,Bundled,O,IL,Cooperative,MISO,15361,120117,8506,5503,48242,1055,2960,33001,8,.,.,.,23824,201360,9569
7,2015,4100.0,"Commerce Energy, Inc.",B,Energy,O,IL,Retail Power Marketer,PJM,18375.3,208469,29316,226.9,2718,175,0,0,0,0,0,0,18602.2,211187,29491
8,2015,4110.0,Commonwealth Edison Co,A,Bundled,O,IL,Investor Owned,PJM,1555163.7,11806478,1666929,765118.4,7749547,169515,60769.1,952290,127,0,0,0,2381051.2,20508315,1836571
9,2015,4110.0,Commonwealth Edison Co,C,Delivery,O,IL,Investor Owned,PJM,889896.3,14689551,1853400,651447.3,24771920,204828,397419.7,26257317,1853,7149.6,504457,2,1945912.9,66223245,2060083
10,2015,4191.0,Consolidated Edison Sol Inc,B,Energy,O,IL,Retail Power Marketer,PJM,488.6,6887,693,15054.4,216184,229,0,0,0,0,0,0,15543,223071,922
11,2015,4362.0,Corn Belt Energy Corporation,A,Bundled,O,IL,Cooperative,MISO,51902,386062,33366,22296,190831,2062,4302,61882,3,.,.,.,78500,638775,35431
12,2015,5470.0,ConocoPhillips Company,B,Energy,O,IL,Retail Power Marketer,MISO,0,0,0,0,0,0,45240.3,1391173,2,0,0,0,45240.3,1391173,2
13,2015,5535.0,Egyptian Electric Coop Assn,A,Bundled,O,IL,Cooperative,MISO,26219.9,203470,13633,13518.5,142248,1272,.,.,.,.,.,.,39738.4,345718,14905
14,2015,5585.0,Eastern Illinois Elec Coop,A,Bundled,O,IL,Cooperative,MISO,25812,175651,11325,6967,51640,2187,806,7657,3,.,.,.,33585,234948,13515
15,2015,6417.0,City of Flora - (IL),A,Bundled,O,IL,Municipal,MISO,3114,22274,2370,2752,23578,423,6839,72681,10,.,.,.,12705,118533,2803
16,2015,6458.0,First Energy Solutions Corp.,B,Energy,O,IL,Retail Power Marketer,MISO,89451.2,1452776,148393,49436.5,1099198,9065,9692.9,220464,41,0,0,0,148580.6,2772438,157499
17,2015,7096.0,City of Geneva- (IL),A,Bundled,O,IL,Municipal,PJM,9936,79837,8140,13529,138289,1513,15948,175140,39,.,.,.,39413,393266,9692
18,2015,7279.0,"NextEra Energy Services, LLC",B,Energy,O,IL,Retail Power Marketer,MISO,0,0,0,4091,62864,512,0,0,0,0,0,0,4091,62864,512
19,2015,7554.0,Green Mountain Energy Company,B,Energy,O,IL,Retail Power Marketer,PJM,17992.1,163782,22564,210.9,2176,3,.,.,.,.,.,.,18203,165958,22567
20,2015,8573.0,City of Highland,A,Bundled,O,IL,Municipal,MISO,7360.5,64979,5798,983,9075,642,5161.8,53713,160,.,.,.,13505.3,127767,6600
21,2015,8824.0,M J M Electric Cooperative Inc,A,Bundled,O,IL,Cooperative,MISO,16593,107588,9070,2367,19616,203,.,.,.,.,.,.,18960,127204,9273
22,2015,9209.0,Illinois Rural Electric Coop,A,Bundled,O,IL,Cooperative,MISO,21081,120337,10092,6853,46977,264,.,.,.,.,.,.,27934,167314,10356
23,2015,9750.0,Jo-Carroll Energy Coop Inc,A,Bundled,O,IL,Cooperative,MISO,22971.2,147212,17734,7422,65418,2423,24950,319144,447,.,.,.,55343.2,531774,20604
24,2015,12341.0,MidAmerican Energy Co,A,Bundled,O,IL,Investor Owned,MISO,65864.8,626358,74455,48036.7,639297,10354,35078.1,637359,56,.,.,.,148979.6,1903014,84865
25,2015,12341.0,MidAmerican Energy Co,B,Energy,O,IL,Investor Owned,MISO,17971.8,252123,31465,139450.6,2288389,9700,154407.5,2910765,232,.,.,.,311829.9,5451277,41397
26,2015,12341.0,MidAmerican Energy Co,C,Delivery,O,IL,Investor Owned,MISO,25.5,492,98,987.6,39056,266,185.5,10181,2,.,.,.,1198.6,49729,366
27,2015,12395.0,Menard Electric Coop,A,Bundled,O,IL,Cooperative,MISO,17341.9,115938,9050,3757.1,27183,557,6962.8,59689,1192,.,.,.,28061.8,202810,10799
28,2015,12803.0,"Monroe County Elec Coop, Inc",A,Bundled,O,IL,Cooperative,MISO,13727,100007,7107,1703,13917,124,78,97,34,.,.,.,15508,114021,7265
29,2015,13032.0,Mt Carmel Public Utility Co,A,Bundled,O,IL,Investor Owned,MISO,6130,49772,4428,2069.3,16339,846,3153,30219,98,0,0,0,11352.3,96330,5372
30,2015,13208.0,City of Naperville - (IL),A,Bundled,O,IL,Municipal,PJM,56738.7,507809,52627,73744.3,763174,6386,5965.4,71559,9,.,.,.,136448.4,1342542,59022
31,2015,13292.0,Norris Electric Coop,A,Bundled,O,IL,Cooperative,MISO,31987.8,248969,17434,9959.5,89065,2034,1437.4,14748,10,.,.,.,43384.7,352782,19478
