,|Data Year|,|Utility Number|,|Utility Name|,|State|,|County|
95,2015,5585,Eastern Illinois Elec Coop,IL,Douglas
96,2015,5585,Eastern Illinois Elec Coop,IL,Edgar
97,2015,5585,Eastern Illinois Elec Coop,IL,Ford
98,2015,5585,Eastern Illinois Elec Coop,IL,Iroquois
99,2015,5585,Eastern Illinois Elec Coop,IL,Livingston
100,2015,5585,Eastern Illinois Elec Coop,IL,McLean
101,2015,5585,Eastern Illinois Elec Coop,IL,Moultrie
102,2015,5585,Eastern Illinois Elec Coop,IL,Piatt
103,2015,5585,Eastern Illinois Elec Coop,IL,Vermilion
104,2015,5748,Electric Energy Inc,IL,Massac
105,2015,6141,City of Fairfield- (IL),IL,Wayne
106,2015,6192,City of Farmer City - (IL),IL,DeWitt
107,2015,6417,City of Flora - (IL),IL,Clay
108,2015,6764,Village of Freeburg - (IL),IL,St Clair
109,2015,7095,City of Geneseo - (IL),IL,Henry
110,2015,7096,City of Geneva- (IL),IL,Kane
111,2015,7633,Village of Greenup - (IL),IL,Cumberland
112,2015,8573,City of Highland,IL,Bond
113,2015,8573,City of Highland,IL,Clinton
114,2015,8573,City of Highland,IL,Madison
115,2015,8573,City of Highland,IL,St Clair
116,2015,8824,M J M Electric Cooperative Inc,IL,Bond
117,2015,8824,M J M Electric Cooperative Inc,IL,Fayette
118,2015,8824,M J M Electric Cooperative Inc,IL,Greene
119,2015,8824,M J M Electric Cooperative Inc,IL,Jersey
120,2015,8824,M J M Electric Cooperative Inc,IL,Macoupin
121,2015,8824,M J M Electric Cooperative Inc,IL,Madison
122,2015,8824,M J M Electric Cooperative Inc,IL,Montgomery
123,2015,9209,Illinois Rural Electric Coop,IL,Adams
124,2015,9209,Illinois Rural Electric Coop,IL,Brown
125,2015,9209,Illinois Rural Electric Coop,IL,Calhoun
126,2015,9209,Illinois Rural Electric Coop,IL,Cass
127,2015,9209,Illinois Rural Electric Coop,IL,Greene
128,2015,9209,Illinois Rural Electric Coop,IL,Jersey
129,2015,9209,Illinois Rural Electric Coop,IL,Macoupin
130,2015,9209,Illinois Rural Electric Coop,IL,Morgan
131,2015,9209,Illinois Rural Electric Coop,IL,Pike
132,2015,9209,Illinois Rural Electric Coop,IL,Scott
133,2015,9750,Jo-Carroll Energy Coop Inc,IL,Carroll
134,2015,9750,Jo-Carroll Energy Coop Inc,IL,Henry
135,2015,9750,Jo-Carroll Energy Coop Inc,IL,Jo Daviess
136,2015,9750,Jo-Carroll Energy Coop Inc,IL,Whiteside
137,2015,11736,City of Marshall - (IL),IL,Clark
138,2015,11790,City of Mascoutah - (IL),IL,St Clair
139,2015,12070,McDonough Power Coop,IL,Fulton
140,2015,12070,McDonough Power Coop,IL,Hancock
141,2015,12070,McDonough Power Coop,IL,Henderson
