,|Utility Characteristics..Year|,|Utility Characteristics..State|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..BA Code|,|Photovoltaic.Capacity MW.Type|,|Photovoltaic.Capacity MW.Residential|,|Photovoltaic.Capacity MW.Commercial|,|Photovoltaic.Capacity MW.Industrial|,|Photovoltaic.Capacity MW.Transportation|,|Photovoltaic.Capacity MW.Total|,|Photovoltaic.Customers.Residential|,|Photovoltaic.Customers.Commercial|,|Photovoltaic.Customers.Industrial|,|Photovoltaic.Customers.Transportation|,|Photovoltaic.Customers.Total|,|Photovoltaic.Storage Capacity (MW).Residential|,|Photovoltaic.Storage Capacity (MW).Commercial|,|Photovoltaic.Storage Capacity (MW).Industrial|,|Photovoltaic.Storage Capacity (MW).Transportation|,|Photovoltaic.Storage Capacity (MW).Total|,|Photovoltaic.Storage Customers.Residential|,|Photovoltaic.Storage Customers.Commercial|,|Photovoltaic.Storage Customers.Industrial|,|Photovoltaic.Storage Customers.Transportation|,|Photovoltaic.Storage Customers.Total|,|Photovoltaic.Virtual Capacity (MW).Residential|,|Photovoltaic.Virtual Capacity (MW).Commercial|,|Photovoltaic.Virtual Capacity (MW).Industrial|,|Photovoltaic.Virtual Capacity (MW).Transportation|,|Photovoltaic.Virtual Capacity (MW).Total|,|Photovoltaic.Virtual Customers.Residential|,|Photovoltaic.Virtual Customers.Commercial|,|Photovoltaic.Virtual Customers.Industrial|,|Photovoltaic.Virtual Customers.Transportation|,|Photovoltaic.Virtual Customers.Total|,|Photovoltaic.Energy Sold Back MWh.Residential|,|Photovoltaic.Energy Sold Back MWh.Commercial|,|Photovoltaic.Energy Sold Back MWh.Industrial|,|Photovoltaic.Energy Sold Back MWh.Transportation|,|Photovoltaic.Energy Sold Back MWh.Total|,|Wind.Capacity MW.Residential|,|Wind.Capacity MW.Commercial|,|Wind.Capacity MW.Industrial|,|Wind.Capacity MW.Transportation|,|Wind.Capacity MW.Total|,|Wind.Customers.Residential|,|Wind.Customers.Commercial|,|Wind.Customers.Industrial|,|Wind.Customers.Transportation|,|Wind.Customers.Total|,|Wind.Energy Sold Back MWh.Residential|,|Wind.Energy Sold Back MWh.Commercial|,|Wind.Energy Sold Back MWh.Industrial|,|Wind.Energy Sold Back MWh.Transportation|,|Wind.Energy Sold Back MWh.Total|,|Other.Capacity MW.Residential|,|Other.Capacity MW.Commercial|,|Other.Capacity MW.Industrial|,|Other.Capacity MW.Transportation|,|Other.Capacity MW.Total|,|Other.Customers.Residential|,|Other.Customers.Commercial|,|Other.Customers.Industrial|,|Other.Customers.Transportation|,|Other.Customers.Total|,|Other.Energy Sold Back MWh.Residential|,|Other.Energy Sold Back MWh.Commercial|,|Other.Energy Sold Back MWh.Industrial|,|Other.Energy Sold Back MWh.Transportation|,|Other.Energy Sold Back MWh.Total|,|All Technologies.Capacity MW.Residential|,|All Technologies.Capacity MW.Commercial|,|All Technologies.Capacity MW.Industrial|,|All Technologies.Capacity MW.Transportation|,|All Technologies.Capacity MW.Total|,|All Technologies.Customers.Residential|,|All Technologies.Customers.Commercial|,|All Technologies.Customers.Industrial|,|All Technologies.Customers.Transportation|,|All Technologies.Customers.Total|,|All Technologies.Energy Sold Back MWh.Residential|,|All Technologies.Energy Sold Back MWh.Commercial|,|All Technologies.Energy Sold Back MWh.Industrial|,|All Technologies.Energy Sold Back MWh.Transportation|,|..Total|
0,2018,IL,97.0,Adams Electric Coop,MISO,DC,0.067,.,.,.,0.067,9,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.013,.,.,.,0.013,3,.,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.080,0.000,0.000,0.000,0.080,12,0,0,0,12,0.000,0.000,0.000,0.000,0.000
1,2018,IL,3931.0,Coles-Moultrie Electric Coop,MISO,DC,0.098,0.321,.,.,0.419,12,2,.,.,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.010,.,.,.,0.010,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.108,0.321,0.000,0.000,0.429,13,2,0,0,15,0.000,0.000,0.000,0.000,0.000
2,2018,IL,4110.0,Commonwealth Edison Co,PJM,AC,10.878,16.946,.,.,27.824,"1,651",208,.,.,"1,859",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.284,2.328,.,.,2.612,41,11,.,.,52,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,11.162,19.274,0.000,0.000,30.436,"1,692",219,0,0,"1,911",0.000,0.000,0.000,0.000,0.000
3,2018,IL,4362.0,Corn Belt Energy Corporation,MISO,AC,1.220,.,.,.,1.220,61,.,.,.,61,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.035,.,.,.,0.035,4,.,.,.,4,.,.,.,.,0.000,.,.,2.600,.,2.600,.,.,1,.,1,.,.,.,.,0.000,1.255,0.000,2.600,0.000,3.855,65,0,1,0,66,0.000,0.000,0.000,0.000,0.000
4,2018,IL,5585.0,Eastern Illinois Elec Coop,MISO,AC,0.367,0.003,.,.,0.370,43,1,.,.,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,169.839,0.000,.,.,169.839,0.010,.,.,.,0.010,1,.,.,.,1,0.320,.,.,.,0.320,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.377,0.003,0.000,0.000,0.380,44,1,0,0,45,170.159,0.000,0.000,0.000,170.159
5,2018,IL,7096.0,City of Geneva- (IL),PJM,AC,0.040,0.022,.,.,0.062,8,1,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.040,0.022,0.000,0.000,0.062,8,1,0,0,9,0.000,0.000,0.000,0.000,0.000
6,2018,IL,8824.0,M J M Electric Cooperative Inc,MISO,AC,0.650,0.250,.,.,0.900,71,1,.,.,72,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.005,.,.,.,0.005,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.655,0.250,0.000,0.000,0.905,73,1,0,0,74,0.000,0.000,0.000,0.000,0.000
7,2018,IL,9750.0,"Jo-Carroll Energy, Inc",MISO,AC,0.842,0.140,.,.,0.982,110,3,.,.,113,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,441.000,15.000,.,.,456.000,0.016,.,.,.,0.016,7,.,.,.,7,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.858,0.140,0.000,0.000,0.998,117,3,0,0,120,441.000,15.000,0.000,0.000,456.000
8,2018,IL,12341.0,MidAmerican Energy Co,MISO,AC,0.156,0.737,.,.,0.893,24,11,.,.,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.870,33.619,.,.,50.489,0.002,0.620,.,.,0.622,1,2,.,.,3,.,.,.,.,0.000,.,1.200,.,.,1.200,.,1,.,.,1,.,.,.,.,0.000,0.158,2.557,0.000,0.000,2.715,25,14,0,0,39,16.870,33.619,0.000,0.000,50.489
9,2018,IL,12395.0,Menard Electric Coop,MISO,DC,0.214,.,.,.,0.214,26,.,.,.,26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,89.244,.,.,.,89.244,0.018,.,.,.,0.018,3,.,.,.,3,3.948,.,.,.,3.948,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.232,0.000,0.000,0.000,0.232,29,0,0,0,29,93.192,0.000,0.000,0.000,93.192
