Utility Characteristics,,,,,Yearly Energy and Demand Savings,,,,,,,,,,,,,,,,,,,,Program Costs,,,,,,,,,,DSM Program
,,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
2020,1613,Berkeley Electric Coop Inc,SC,SC,"19,457",0,0,0,"19,457",0,0,0,0,0,86.9,0.0,0.0,0.0,86.9,8.2,0.0,0.0,0.0,8.2,61,0,0,0,61,108,0,0,0,108,275
2020,1723,"Big Bend Electric Coop, Inc",WA,BPAT,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,.,0,0
2020,1763,"Black River Electric Coop, Inc - (SC)",SC,SC,379,0,0,0,379,0,0,0,0,0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,57,0,0,0,57,77,.,.,.,77,379
2020,1769,"Black Hills Electric Coop, Inc",SD,SWPP,476,20,0,0,496,4,1,0,0,5,1.0,0.2,0.0,0.0,1.2,0.6,0.2,0.0,0.0,0.8,0,0,0,0,0,5,1,.,.,6,21
2020,1775,Black River Electric Coop - (MO),MO,AECI,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1886,Blue Grass Energy Coop Corp,KY,PJM,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1889,Blue Ridge Elec Member Corp - (NC),NC,DUK,"39,554",.,.,.,"39,554",2,.,.,.,2,3.4,.,.,.,3.4,3.1,.,.,.,3.1,31,.,.,.,31,.,.,.,.,.,.
2020,2001,Boone Electric Coop,MO,AECI,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2212,"Broad River Electric Coop, Inc",NC,DUK,18,.,.,.,18,.,.,.,.,.,0.0,.,.,.,0.0,0.0,.,.,.,0.0,1,.,.,.,1,.,.,.,.,.,.
2020,2652,Butler County Rural Elec Coop - (IA),IA,SWPP,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2678,C & L Electric Coop Corp,AR,MISO,.,51,.,.,51,.,.,.,.,.,.,1.3,.,.,1.3,.,0.8,.,.,0.8,.,23,.,.,23,.,1,.,.,1,.
2020,2985,"Capital Electric Coop, Inc",ND,SWPP,"7,799",10,24,.,"7,833",.,.,.,.,.,14.0,5.1,4.9,.,24.0,11.1,5.1,4.9,.,21.1,126,57,57,.,240,152,0,1,.,153,70
2020,3046,Duke Energy Progress - (NC),NC,CPLE,"190,913","3,174",.,.,"194,087",0,0,.,.,0,383.9,138.9,.,.,522.8,0.0,24.5,.,.,24.5,"5,726","1,218",.,.,"6,944","6,630",379,.,.,"7,009",.
2020,3046,Duke Energy Progress - (NC),SC,CPLE,"15,581",379,.,.,"15,960",0,0,.,.,0,30.7,93.1,.,.,123.8,0.0,0.9,.,.,0.9,866,184,.,.,"1,050","1,002",57,.,.,"1,060",.
2020,3107,Carteret-Craven El Member Corp,NC,CPLE,436,.,.,.,436,254,.,.,.,254,10.6,.,.,.,10.6,10.6,.,.,.,10.6,11,.,.,.,11,0,.,.,.,0,.
2020,3108,City of Cartersville - (GA),GA,SOCO,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,3205,Cedar-Knox Public Power Dist,NE,SWPP,.,.,726,.,726,.,.,.,.,.,.,.,60.1,.,60.1,.,.,18.5,.,18.5,.,.,.,.,.,.,.,.,.,.,.
2020,3222,Central Alabama Electric Coop,AL,AEC,211,.,.,.,211,137,.,.,.,137,0.3,.,.,.,0.3,0.3,.,.,.,0.3,.,.,.,.,.,21,.,.,.,21,.
2020,3248,Central Georgia El Member Corp,GA,SOCO,"3,585",.,.,.,"3,585",188,.,.,.,188,7.0,.,.,.,7.0,4.0,.,.,.,4.0,74,.,.,.,74,97,.,.,.,97,5
2020,3249,Central Hudson Gas & Elec Corp,NY,NYIS,"3,952",8,5,.,"3,965",22,1,2,.,25,4.4,1.1,2.3,.,7.7,4.4,1.1,2.3,.,7.7,.,.,.,.,.,.,.,.,.,.,.
2020,3278,AEP Texas Central Company,TX,ERCO,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,3279,"Central Power Elec Coop, Inc",ND,SWPP,.,.,.,.,.,"2,660",559,.,.,"3,219",12.7,1.4,.,.,14.1,12.7,1.4,.,.,14.1,.,.,.,.,.,293,358,29,.,679,.
2020,3502,"Choctawhatche Elec Coop, Inc",FL,AEC,"48,666","6,996",.,.,"55,662",0,0,.,.,0,67.8,9.8,.,.,77.6,67.8,9.8,.,.,77.6,24,0,.,.,24,6,0,.,.,6,.
2020,3503,"Choptank Electric Cooperative, Inc",MD,PJM,0,190,8,0,198,0,0,0,0,0,0.0,33.4,47.9,0.0,81.3,0.0,23.0,34.9,0.0,58.0,0,0,0,0,0,0,3,0,0,3,.
2020,3542,Duke Energy Ohio Inc,OH,PJM,"44,760","1,032",.,.,"45,792",.,.,.,.,.,47.2,22.1,.,.,69.3,.,.,.,.,.,466,363,.,.,829,655,85,.,.,740,.
2020,3641,"Claiborne Electric Coop, Inc",LA,MISO,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,3755,Cleveland Electric Illum Co,OH,PJM,0,0,4,0,4,0,0,0,0,0,0.0,0.0,189.7,0.0,189.7,0.0,0.0,189.7,0.0,189.7,0,0,"7,355",0,"7,355",0,0,0,0,0,.
2020,3757,"Clay Electric Cooperative, Inc",FL,SEC,.,7,.,.,7,.,.,.,.,.,.,18.6,.,.,18.6,.,18.3,.,.,18.3,.,214,.,.,214,.,250,.,.,250,.
2020,3931,Coles-Moultrie Electric Coop,IL,MISO,"4,411",151,6,.,"4,568",.,.,.,.,.,3.0,8.0,3.0,.,14.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,3989,City of Colorado Springs - (CO),CO,PSCO,0,19,.,.,19,0,0,.,.,0,0.0,1.4,.,.,1.4,0.0,1.4,.,.,1.4,0,15,.,.,15,133,268,.,.,401,.
2020,4045,City of Columbia - (MO),MO,MISO,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,4065,City of Columbus - (OH),OH,PJM,.,.,10,.,10,.,.,.,.,.,.,.,13.6,.,13.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,4110,Commonwealth Edison Co,IL,PJM,"393,766","1,457","1,259",.,"396,482",963,.,.,.,963,141.0,248.0,608.0,.,997.0,141.0,.,.,.,141.0,"8,979",.,.,.,"8,979","4,977",20,18,.,"5,015",0
2020,4176,Connecticut Light & Power Co,CT,ISNE,"14,820",162,44,.,"15,026",.,.,.,.,.,20.5,27.6,32.0,.,80.0,12.7,19.6,30.8,.,63.0,279,971,"1,140",.,"2,390","1,589",165,194,.,"1,948",.
2020,4226,Consolidated Edison Co-NY Inc,NY,NYIS,"26,500","1,695",.,.,"28,195",315,479,.,.,794,24.0,363.7,.,.,387.7,24.0,308.0,.,.,332.0,901,"22,735",.,.,"23,636",772,465,.,.,"1,237",.
2020,4254,Consumers Energy Co,MI,MISO,"145,587",262,37,.,"145,886","1,248",.,.,.,"1,248",94.3,153.6,226.0,.,473.9,75.2,.,.,.,75.2,"2,738","4,100","11,674",.,"18,512","18,422","6,875",.,.,"25,298",.
2020,4295,Comanche County Elec Coop Assn,TX,ERCO,.,5,.,.,5,.,1,.,.,1,.,1.3,.,.,1.3,.,0.8,.,.,0.8,.,39,.,.,39,.,.,.,.,.,.
2020,4362,Corn Belt Energy Corporation,IL,MISO,.,53,.,.,53,.,.,.,.,.,.,3.0,.,.,3.0,.,3.0,.,.,3.0,.,830,.,.,830,.,.,.,.,.,.
2020,4363,Corn Belt Power Coop,IA,SWPP,"4,465",.,4,.,"4,469",.,.,.,.,.,32.5,.,75.1,.,107.6,26.4,.,45.6,.,72.0,.,.,.,.,.,.,.,.,.,.,0
2020,4430,"Covington Electric Coop, Inc",AL,AEC,"2,506",.,.,.,"2,506",.,.,.,.,.,0.3,.,.,.,0.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,4432,Coweta-Fayette El Member Corp,GA,SOCO,"15,190",.,.,.,"15,190",106,.,.,.,106,15.0,.,.,.,15.0,8.0,.,.,.,8.0,117,.,.,.,117,.,.,.,.,.,.
2020,4433,City of Covington - (GA),GA,SOCO,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,4509,Craighead Electric Coop Corp,AR,MISO,.,597,1,.,598,.,28,1,.,29,.,10.5,1.2,.,11.7,.,.,.,.,.,.,.,.,.,.,.,674,28,.,702,.
2020,4538,Crisp County Power Comm,GA,SOCO,.,.,2,.,2,.,.,.,.,.,.,.,12.0,.,12.0,.,.,10.0,.,10.0,.,.,0,.,0,.,.,0,.,0,.
2020,4675,Cuivre River Electric Coop Inc,MO,AECI,425,24,.,.,449,0,0,.,.,0,1.0,8.4,.,.,9.4,1.0,5.9,.,.,6.8,19,.,.,.,19,3,.,.,.,3,.
2020,4794,City of Danville - (VA),VA,PJM,.,3,4,.,7,.,.,.,.,.,.,2.0,4.5,.,6.4,.,2.0,4.5,.,6.4,.,34,82,.,115,.,.,.,.,.,.
2020,4911,Dawson Power District,NE,SWPP,.,.,"4,756",.,"4,756",.,.,.,.,.,.,.,109.8,.,109.8,.,.,96.8,.,96.8,.,.,.,.,.,.,.,88,.,88,.
2020,4960,Decatur County Rural E M C,IN,MISO,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,5027,Delmarva Power,DE,PJM,"250,930","22,544",0,0,"273,474",0,0,0,0,0,54.9,5.0,0.0,0.0,59.9,54.9,5.0,0.0,0.0,59.9,24,0,0,0,24,"1,325",0,0,0,"1,325",.
2020,5027,Delmarva Power,MD,PJM,"175,733","1,845",0,0,"177,578","3,822",222,0,0,"4,044",49.3,4.6,0.0,0.0,53.9,49.3,4.6,0.0,0.0,53.9,"3,265",219,0,0,"3,484","1,822",92,0,0,"1,914",.
2020,5070,Delaware Electric Cooperative,DE,PJM,"28,955","1,175",.,.,"30,130",0,0,.,.,0,20.1,25.1,.,.,45.2,19.1,18.8,.,.,37.9,559,4,.,.,563,56,2,.,.,58,.
2020,5078,"Denton County Elec Coop, Inc",TX,ERCO,"11,789",.,.,.,"11,789",92,.,.,.,92,27.7,.,.,.,27.7,12.0,.,.,.,12.0,469,.,.,.,469,302,.,.,.,302,.
2020,5109,DTE Electric Company,MI,MISO,"360,136","1,845",385,.,"362,366",914,.,.,.,914,190.0,34.0,550.0,.,774.0,182.0,.,.,.,182.0,562,.,711,.,"1,273","4,675",.,.,.,"4,675",.
2020,5202,Dixie Electric Membership Corp,LA,MISO,"10,256",0,0,0,"10,256",0,0,0,0,0,71.8,0.0,0.0,0.0,71.8,0.0,0.0,0.0,0.0,0.0,615,0,0,0,615,0,0,0,0,0,0
2020,5335,City of Dover - (DE),DE,PJM,.,2,2,.,4,.,.,.,.,.,.,1.3,2.5,.,3.8,.,1.3,2.5,.,3.8,.,64,50,.,113,.,.,.,.,.,.
2020,5336,City of Dover - (OH),OH,PJM,.,.,5,.,5,.,.,2,.,2,.,.,3.0,.,3.0,.,.,2.5,.,2.5,.,.,20,.,20,.,.,.,.,.,.
2020,5416,"Duke Energy Carolinas, LLC",NC,DUK,"193,275","5,428",.,.,"198,703",.,.,.,.,.,425.9,244.0,.,.,669.9,0.0,0.0,.,.,0.0,"6,833","8,223",.,.,"15,056","3,780",742,.,.,"4,522",.
2020,5416,"Duke Energy Carolinas, LLC",SC,DUK,"61,466","1,801",.,.,"63,267",.,.,.,.,.,132.6,109.5,.,.,242.1,0.0,0.0,.,.,0.0,"2,370","2,852",.,.,"5,222","1,311",257,.,.,"1,568",.
2020,5417,Dunn County Electric Coop,WI,MISO,"3,208",340,.,.,"3,548",.,.,.,.,.,1.7,20.4,.,.,22.0,0.5,6.0,.,.,6.5,112,12,.,.,124,143,15,.,.,158,16
2020,5480,Town of Danvers,MA,ISNE,42,20,.,.,62,1,2,.,.,3,0.1,7.0,.,.,7.1,0.0,0.2,.,.,0.2,3,5,.,.,8,9,3,.,.,12,.
2020,5487,Duquesne Light Co,PA,PJM,.,174,21,.,195,.,400,587,.,986,.,24.5,31.2,.,55.7,.,20.0,29.3,.,49.3,.,435,399,.,835,.,265,390,.,655,.
2020,5552,"East River Elec Pwr Coop, Inc",SD,SWPP,.,.,.,.,.,.,.,.,.,.,34.0,9.0,29.0,.,72.0,34.0,9.0,29.0,.,72.0,.,.,.,.,.,"1,474",295,74,.,"1,842",.
2020,5580,"East Kentucky Power Coop, Inc",KY,PJM,"2,073",0,10,0,"2,083",10,0,0,0,10,3.3,0.0,144.0,0.0,147.3,3.3,0.0,144.0,0.0,147.3,761,0,"14,167",0,"14,928","1,084",0,0,0,"1,084",0
2020,5701,El Paso Electric Co,NM,EPE,656,2,0,0,658,246,18,0,0,264,0.3,1.3,0.0,0.0,1.6,0.3,1.3,0.0,0.0,1.6,30,50,0,0,80,183,151,0,0,334,.
2020,5701,El Paso Electric Co,TX,EPE,"3,046",7,5,0,"3,058",890,15,26,0,931,2.0,5.3,5.1,0.0,12.4,2.0,5.3,5.1,0.0,12.4,283,250,174,0,707,9,5,9,0,23,.
2020,5773,City of Elk River,MN,MISO,.,8,.,.,8,.,.,.,.,.,.,19.2,.,.,19.2,.,14.2,.,.,14.2,.,.,.,.,.,.,.,.,.,.,.
2020,5780,Elkhorn Rural Public Pwr Dist,NE,SWPP,.,.,"1,459",.,"1,459",.,.,162,.,162,.,.,60.1,.,60.1,.,.,48.1,.,48.1,.,.,0,.,0,.,.,226,.,226,.
2020,5860,Empire District Electric Co,MO,SWPP,.,.,3,.,3,.,.,0,.,0,.,.,8.4,.,8.4,.,.,0.0,.,0.0,.,.,366,.,366,.,.,0,.,0,.
2020,5880,"Energy Coop of New York, Inc",NY,NYIS,0,3,0,0,3,.,.,.,.,.,.,1.8,.,.,1.8,.,1.8,.,.,1.8,.,.,.,.,.,.,.,.,.,.,.
2020,5905,Excelsior Electric Member Corp,GA,SOCO,.,.,228,.,228,.,.,168,.,168,.,.,9.6,.,9.6,.,.,2.4,.,2.4,.,.,0,.,0,.,.,48,.,48,.
2020,6181,"Farmers Electric Coop, Inc - (MO)",MO,AECI,"7,794",34,1,.,"7,829",100,.,.,.,100,5.5,0.3,0.0,.,5.8,4.1,0.2,0.0,.,4.4,0,0,0,.,0,8,0,0,.,8,0
2020,6182,"Farmers Electric Coop, Inc - (TX)",TX,ERCO,889,.,.,.,889,16,.,.,.,16,3.0,.,.,.,3.0,3.0,.,.,.,3.0,77,.,.,.,77,63,.,.,.,63,.
2020,6342,First Electric Coop Corp,AR,MISO,"5,948",0,613,0,"6,561",24,0,430,0,454,6.0,0.0,68.0,0.0,74.0,1.0,0.0,12.2,0.0,13.2,168,0,"4,903",0,"5,071",0,0,0,0,0,.
2020,6395,Flathead Electric Coop Inc,MT,BPAT,"2,945",.,.,.,"2,945",.,.,.,.,.,29.4,.,.,.,29.4,17.1,.,.,.,17.1,142,.,.,.,142,16,.,.,.,16,0
2020,6411,Flint Electric Membership Corp,GA,SOCO,"21,628",291,592,0,"22,511",380,46,619,0,"1,045",20.7,1.5,33.7,0.0,55.9,5.0,1.0,15.0,0.0,21.0,332,2,103,0,437,19,0,1,0,20,.
2020,6452,Florida Power & Light Co,FL,FPL,"696,517","20,252",.,.,"716,769",747,"6,936",.,.,"7,683",.,.,.,.,.,.,.,.,.,.,"31,605","74,991",.,.,"106,597","13,237","4,285",.,.,"17,522",.
2020,6455,"Duke Energy Florida, LLC",FL,FPC,"426,286",701,0,0,"426,987",0,0,0,0,0,669.0,348.0,0.0,0.0,"1,017.0",0.0,0.0,0.0,0.0,0.0,"25,550","43,410",0,0,"68,960","19,771","1,941",0,0,"21,712",0
2020,6604,City of Fort Collins - (CO),CO,PSCO,"6,147",7,0,0,"6,154",.,.,.,.,.,3.2,1.0,0.0,0.0,4.2,2.7,0.2,0.0,0.0,2.9,50,.,.,.,50,581,37,.,.,618,.
2020,6640,Four County Elec Member Corp,NC,CPLE,.,.,4,.,4,.,.,620,.,620,.,.,70.0,.,70.0,.,.,32.0,.,32.0,.,.,"1,657",.,"1,657",.,.,.,.,.,.
2020,6709,Easley Combined Utility System,SC,DUK,608,.,.,.,608,0,.,.,.,0,0.5,.,.,.,0.5,0.5,.,.,.,0.5,31,.,.,.,31,16,.,.,.,16,.
2020,6779,City of Fremont - (NE),NE,SWPP,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,6782,Freeborn-Mower Electric Cooperative,MN,MISO,"1,576",30,0,0,"1,606",0,0,0,0,0,3.3,11.7,0.0,0.0,15.0,1.6,5.6,0.0,0.0,7.2,214,4,0,0,218,96,2,0,0,98,52
2020,7004,"Buckeye Power, Inc",OH,PJM,"121,346",40,.,.,"121,386","2,215",408,.,.,"2,623",34.8,6.0,.,.,40.8,34.7,6.0,.,.,40.7,515,0,.,.,515,192,0,.,.,192,.
2020,7090,GreyStone Power Corporation,GA,SOCO,0,53,42,0,95,0,1,1,0,1,0.0,34.1,60.9,0.0,94.9,0.0,11.9,13.5,0.0,25.4,0,0,0,0,0,0,0,0,0,0,.
2020,7140,Georgia Power Co,GA,SOCO,"60,699","1,595",828,1,"63,123",0,0,0,0,0,255.0,188.6,462.9,0.0,906.5,37.9,0.0,0.0,0.0,37.9,973,127,"6,772",0,"7,872","1,988","3,452","2,573",10,"8,023",.
2020,7294,City of Glendale - (CA),CA,LDWP,"33,000",.,.,.,"33,000",18,.,.,.,18,5.1,.,.,.,5.1,5.1,.,.,.,5.1,.,.,.,.,.,110,.,.,.,110,.
2020,7349,"Golden Spread Electric Cooperative, Inc",OK,SWPP,.,1,.,.,1,.,0,.,.,0,.,2.0,.,.,2.0,.,0.0,.,.,0.0,.,18,.,.,18,.,.,.,.,.,.
2020,7349,"Golden Spread Electric Cooperative, Inc",TX,SWPP,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,7570,Great River Energy,MN,MISO,"282,094","5,424",.,.,"287,518","15,968","6,220",.,.,"22,188",147.0,149.0,.,.,296.0,119.0,144.0,.,.,263.0,505,0,.,.,505,"4,255",644,.,.,"4,899","1,339"
2020,7601,Green Mountain Power Corp,VT,ISNE,"17,316",568,6,.,"17,890",.,.,.,.,.,18.3,2.1,11.0,.,31.4,17.6,1.8,8.4,.,27.7,967,79,326,.,"1,372",.,.,.,.,.,96
2020,7634,City of Greenville - (TX),TX,ERCO,.,1,.,.,1,.,54,.,.,54,.,6.0,.,.,6.0,.,0.0,.,.,0.0,.,.,.,.,.,.,.,.,.,.,.
2020,7752,Guadalupe Valley Elec Coop Inc,TX,ERCO,"1,512",.,.,.,"1,512",55,.,.,.,55,2.7,.,.,.,2.7,2.5,.,.,.,2.5,97,.,.,.,97,.,.,.,.,.,.
2020,7785,"Gulf Coast Electric Coop, Inc",FL,AEC,749,.,.,.,749,1,.,.,.,1,0.9,.,.,.,0.9,0.9,.,.,.,0.9,0,.,.,.,0,1,.,.,.,1,.
2020,7977,City of Hamilton - (OH),OH,PJM,.,4,.,.,4,.,5,.,.,5,.,4.9,.,.,4.9,.,4.9,.,.,4.9,.,.,.,.,.,.,.,.,.,.,.
2020,8179,Harrison County Rural E M C,IN,MISO,"2,627",.,.,.,"2,627",.,.,.,.,.,1.0,.,.,.,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,8210,Hart Electric Member Corp,GA,SOCO,"28,635","8,608",.,.,"37,243",162,41,.,.,203,2.4,0.6,.,.,3.0,2.4,0.6,.,.,3.0,.,.,.,.,.,.,.,.,.,.,.
2020,8319,Heartland Power Coop,IA,MISO,"2,782",91,1,0,"2,874",.,.,.,.,.,1.2,8.9,0.1,.,10.1,0.9,6.7,0.1,0.0,7.6,.,.,.,.,.,80,3,1,.,84,0
2020,8333,Haywood Electric Member Corp,NC,DUK,414,.,.,.,414,1,.,.,.,1,1.0,.,.,.,1.0,1.0,.,.,.,1.0,36,.,.,.,36,.,.,.,.,.,.
2020,8570,Highline Electric Assn,CO,WACM,.,.,368,.,368,.,.,.,.,.,.,.,31.8,.,31.8,.,.,.,.,.,.,.,388,.,388,.,.,28,.,28,.
2020,8570,Highline Electric Assn,NE,WACM,.,.,190,.,190,.,.,.,.,.,.,.,45.9,.,45.9,.,.,.,.,.,.,.,172,.,172,.,.,13,.,13,.
2020,8773,"Holy Cross Electric Assn, Inc",CO,PSCO,"1,101",146,.,.,"1,247",7,68,.,.,75,2.0,17.9,.,.,19.9,0.6,5.7,.,.,6.4,5,47,.,.,52,0,0,.,.,0,.
2020,8786,Horry Electric Coop Inc,SC,SC,"5,830",.,.,.,"5,830",0,.,.,.,0,2.3,.,.,.,2.3,2.3,.,.,.,2.3,22,.,.,.,22,37,.,.,.,37,202
2020,8901,CenterPoint Energy,TX,ERCO,"18,790",302,.,.,"19,092",123,597,.,.,720,20.6,99.5,.,.,120.0,20.6,99.5,.,.,120.0,836,"3,292",.,.,"4,128",123,273,.,.,397,.
