Utility Characteristics,,,,,,Number of,,,,,Types of Program,,,,,,,,,,,,,,,,,,,
,,,,,,Customers Enrolled,,,,,Time of Use Pricing,,,,Real Time Pricing,,,,Variable Peak Pricing,,,,Critical Peak Pricing,,,,Critical Peak Rebate,,,
Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation
2020,1251,Barron Electric Coop,,WI,MISO,.,12,14,.,26,,Y,Y,,,,,,,,,,,Y,Y,,,,,
2020,1273,"Bartlett Electric Coop, Inc",,TX,ERCO,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,1278,City of Barron - (WI),Y,WI,MISO,3,.,1,.,4,,,,,,,,,,,,,,,,,,,,
2020,1283,Bartholomew County Rural E M C,,IN,MISO,257,0,8,0,265,Y,,Y,,,,,,,,,,,,,,,,,
2020,1366,City of Bay City - (MI),,MI,MISO,.,23,8,.,31,,Y,Y,,,,,,,,,,,,,,,,,
2020,1522,Village of Belmont - (WI),Y,WI,MISO,.,.,7,.,7,,,,,,,,,,,,,,,,,,,,
2020,1529,"Beltrami Electric Coop, Inc",,MN,MISO,.,22,.,.,22,,,,,,,,,,,,,,Y,,,,,,
2020,1578,Benton County,,TN,TVA,"8,483","1,700",1,0,"10,184",Y,Y,Y,,,,,,,,,,,,,,,,,
2020,1582,City of Benton - (KY),,KY,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,1591,"Big Country Electric Coop, Inc",,TX,ERCO,.,.,14,.,14,,,Y,,,,,,,,,,,,,,,,,
2020,1613,Berkeley Electric Coop Inc,,SC,SC,106,56,0,0,162,Y,Y,Y,Y,,,,,,,,,,,,,,,,
2020,1640,City of Bessemer Utilities,,AL,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,1675,Big Horn Rural Electric Co,Y,WY,WACM,2,3,.,.,5,,,,,,,,,,,,,,,,,,,,
2020,1723,"Big Bend Electric Coop, Inc",,WA,BPAT,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,1769,"Black Hills Electric Coop, Inc",,SD,SWPP,"4,990","1,783",87,0,"6,860",Y,Y,Y,,,,,,,,,,,,,,,,,
2020,1776,City of Black River Falls,,WI,MISO,22,38,0,0,60,Y,Y,,,,,,,,,,,,,,,,,,
2020,1780,Black Warrior Elec Member Corp,,AL,SOCO,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
