Utility Characteristics,,,,,,Number of,,,,,Types of Program,,,,,,,,,,,,,,,,,,,
,,,,,,Customers Enrolled,,,,,Time of Use Pricing,,,,Real Time Pricing,,,,Variable Peak Pricing,,,,Critical Peak Pricing,,,,Critical Peak Rebate,,,
Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation
2020,6424,Florence Utility Comm,,WI,MISO,.,4,.,.,4,,Y,,,,,,,,,,,,,,,,,,
2020,6431,"Flint Hills Rural E C A, Inc",Y,KS,SWPP,600,34,15,.,649,,,,,,,,,,,,,,,,,,,,
2020,6442,Fleming-Mason Energy Coop Inc,,KY,PJM,0,0,0,0,0,Y,,,,,,,,,,,,,,,,,,,
2020,6455,"Duke Energy Florida, LLC",,FL,FPC,27,"15,733",464,0,"16,224",Y,Y,Y,,,,,,,,,,,,,,,,,
2020,6457,Florida Public Utilities Co,,FL,JEA,7,0,0,0,7,Y,,,,,,,,,,,,,,,,,,,
2020,6582,City of Forest Grove,,OR,BPAT,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,6604,City of Fort Collins - (CO),,CO,PSCO,"67,649",0,0,0,"67,649",Y,,,,,,,,,,,,,,,,,,,
2020,6608,Fort Loudoun Electric Coop,,TN,TVA,0,1,3,0,4,,Y,Y,,,,Y,,,,,,,,,,,,,
2020,6612,Fort Payne Improvement Authority,,AL,TVA,0,1,0,0,1,,Y,,,,,,,,,,,,,,,,,,
2020,6638,City of Fountain,,CO,PSCO,.,40,.,.,40,,Y,,,,,,,,,,,,,,,,,,
2020,6640,Four County Elec Member Corp,,NC,CPLE,13,.,.,.,13,Y,,,,,,,,,,,,,,,,,,,
2020,6641,4-County Electric Power Assn,,MS,TVA,0,981,5,0,986,,Y,Y,,,,,,,,,,,,,,,,,
2020,6717,Franklin Electric Coop - (AL),,AL,TVA,0,1,3,0,4,,Y,Y,,,,,,,,,,,,,,,,,
2020,6718,City of Franklin - (KY),,KY,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2020,6779,City of Fremont - (NE),,NE,SWPP,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,6782,Freeborn-Mower Electric Cooperative,,MN,MISO,3,38,9,0,50,Y,Y,Y,Y,,,,,,,,,,,,,,,,
2020,6840,City of Fulton - (KY),,KY,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,6909,Gainesville Regional Utilities,,FL,GVL,.,16,.,.,16,,Y,,,,,,,,,,,,,,,,,,
2020,6923,City of Gallatin - (TN),,TN,TVA,0,1,2,0,3,,Y,Y,,,,,,,,,,,,,,,,,
2020,6930,City of Gallup - (NM),Y,NM,PNM,.,1,1,.,2,,,,,,,,,,,,,,,,,,,,
2020,6957,"Garkane Energy Coop, Inc",,UT,WACM,450,15,.,.,465,Y,Y,,,,,,,,,,,,,,,,,,
2020,7024,Gascosage Electric Coop,,MO,AECI,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,7027,City of Gastonia - (NC),,NC,DUK,0,36,13,0,49,,Y,Y,,,,,,,,,,,Y,Y,,,,,
2020,7096,City of Geneva- (IL),,IL,PJM,.,.,5,.,5,,,Y,,,,,,,,,,,,,,,,,
2020,7140,Georgia Power Co,,GA,SOCO,"22,020","13,689","1,682",1,"37,392",Y,Y,Y,Y,,Y,Y,Y,,,,,,,,,,,,
2020,7174,Gibson Electric Members Corp,,KY,TVA,0,81,0,0,81,,Y,,,,,,,,,,,,,,,,,,
2020,7174,Gibson Electric Members Corp,,TN,TVA,0,336,2,0,338,,Y,Y,,,,,,,,,,,,,,,,,
2020,7264,"Glades Electric Coop, Inc",,FL,SEC,8,8,107,0,123,Y,Y,Y,,,,,,,,,,,Y,Y,,,Y,,
2020,7270,City of Glasgow - (KY),,KY,TVA,"5,583","1,805",0,0,"7,388",Y,Y,,,,,,,,,,,,,,,,,,
2020,7279,"NextEra Energy Services, LLC",,DE,PJM,.,1,.,.,1,,,,,,Y,,,,,,,,,,,,,,
2020,7279,"NextEra Energy Services, LLC",,IL,MISO,.,1,.,.,1,,,,,,Y,,,,,,,,,,,,,,
2020,7279,"NextEra Energy Services, LLC",,NJ,PJM,.,1,.,.,1,,,,,,Y,,,,,,,,,,,,,,
2020,7279,"NextEra Energy Services, LLC",,OH,PJM,.,2,.,.,2,,,,,,Y,,,,,,,,,,,,,,
2020,7279,"NextEra Energy Services, LLC",,PA,PJM,.,2,.,.,2,,,,,,Y,,,,,,,,,,,,,,
2020,7279,"NextEra Energy Services, LLC",,TX,ERCO,"9,955",19,.,.,"9,974",Y,,,,Y,Y,,,,,,,,,,,,,,
2020,7294,City of Glendale - (CA),,CA,LDWP,59,301,11,.,371,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,7411,City of Gothenburg - (NE),Y,NE,SWPP,.,.,4,.,4,,,,,,,,,,,,,,,,,,,,
2020,7483,City of Grand Haven - (MI),,MI,MISO,.,.,52,.,52,,,Y,,,,,,,,,,,,,,,,,
2020,7490,Grand River Dam Authority,,OK,SWPP,.,.,1,.,1,,,Y,,,,,,,,,,,,,,,,,
2020,7496,Town of Granite Falls - (NC),Y,NC,DUK,0,7,2,0,9,,,,,,,,,,,,,,,,,,,,
2020,7548,PUD No 1 of Grays Harbor County,,WA,BPAT,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,7558,Grayson Rural Electric Coop Corp,,KY,PJM,1,3,.,.,4,Y,Y,,,,,,,,,,,,,,,,,,
2020,7563,Grand Valley Power,,CO,PSCO,4,28,.,.,32,Y,Y,,,,,,,,,,,,,,,,,,
2020,7601,Green Mountain Power Corp,,VT,ISNE,"5,078","3,713",72,0,"8,863",Y,Y,Y,,,,,,,,,,Y,Y,Y,,,,,
2020,7625,City of Greeneville - (TN),,TN,TVA,0,0,7,0,7,,,Y,,,,,,,,,,,,,,,,,
2020,7634,City of Greenville - (TX),,TX,ERCO,.,87,.,.,87,,Y,,,,,,,,,,,,,,,,Y,,
2020,7715,Town of Groton - (MA),Y,MA,ISNE,84,0,.,.,84,,,,,,,,,,,,,,,,,,,,
2020,7752,Guadalupe Valley Elec Coop Inc,,TX,ERCO,.,.,2,.,2,,,,,,,Y,,,,,,,,,,,,,
2020,7801,Gulf Power Co,,FL,SOCO,"20,172",92,8,.,"20,272",Y,Y,Y,,,Y,Y,,,,,,Y,Y,Y,,,,,
2020,7826,City of Gunnison - (CO),Y,CO,WACM,26,1,.,.,27,,,,,,,,,,,,,,,,,,,,
2020,7827,Guntersville Electric Board,,AL,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2020,7977,City of Hamilton - (OH),,OH,PJM,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,8122,Harlan Municipal Utilities - (IA),Y,IA,MISO,.,3,1,.,4,,,,,,,,,,,,,,,,,,,,
2020,8147,City of Harriman - (TN),,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2020,8179,Harrison County Rural E M C,,IN,MISO,169,.,.,.,169,Y,,,,,,,,,,,,,,,,,,,
2020,8212,Hartford Electric,,WI,MISO,3,62,6,.,71,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,8226,City of Hartselle,,AL,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2020,8287,Hawaii Electric Light Co Inc,,HI,NA,580,43,1,.,624,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,8319,Heartland Power Coop,,IA,MISO,15,47,8,.,70,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,8333,Haywood Electric Member Corp,,NC,DUK,37,20,1,.,58,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,8348,City of Healdsburg - (CA),Y,CA,CISO,86,11,0,.,97,,,,,,,,,,,,,,,,,,,,
2020,8447,Hendricks County Rural E M C,,IN,MISO,"33,427",717,1,.,"34,145",Y,Y,,,,,,,,,,,,,Y,,,,,
2020,8548,City of Hickman,,KY,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,8566,High Plains Power Inc,,WY,WACM,446,7,.,.,453,Y,Y,,,,,,,,,,,,,,,,,,
2020,8570,Highline Electric Assn,,CO,WACM,7,.,.,.,7,Y,,,,,,,,,,,,,,,,,,,
2020,8571,Town of High Point,,NC,DUK,.,181,21,.,202,,Y,Y,,,,,,,,,,,Y,Y,,,Y,Y,
2020,8620,"HILCO Electric Cooperative, Inc.",,TX,ERCO,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,8699,Inland Power & Light Company,,WA,BPAT,.,.,163,.,163,,,Y,,,,,,,,,,,,,,,,,
2020,8723,City of Holland,,MI,MISO,14,.,.,.,14,Y,,,,,,,,,,,,,,,,,,,
2020,8748,City of Holly Springs,,MS,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,8764,"Holston Electric Coop, Inc",,TN,TVA,0,0,6,0,6,,,Y,,,,,,,,,,,,,,,,,
2020,8773,"Holy Cross Electric Assn, Inc",,CO,PSCO,135,25,.,.,160,Y,Y,,,,,,,,,,,,,,,,,,
2020,8795,City of Homestead - (FL),,FL,HST,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,8846,City of Hopkinsville,,KY,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2020,8901,CenterPoint Energy,,TX,ERCO,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,8911,Howard Electric Coop,Y,MO,AECI,"3,488",.,.,.,"3,488",,,,,,,,,,,,,,,,,,,,
2020,9023,City of Humboldt,,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2020,9087,Town of Huntersville - (NC),,NC,DUK,.,.,2,.,2,,,Y,,,,,,,,,,,,,,,,,
2020,9094,City of Huntsville - (AL),,AL,TVA,0,7,7,0,14,,Y,Y,,,,,,,,,,,,,,,,,
2020,9124,Hustisford Utilities,,WI,MISO,6,8,0,0,14,Y,Y,,,,,,,,,,,,,,,,,,
2020,9191,Idaho Power Co,,ID,IPCO,"1,027",274,116,0,"1,417",Y,Y,Y,,,,,,,,,,,,,,,,,
2020,9191,Idaho Power Co,,OR,IPCO,3,6,7,0,16,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,9209,Illinois Rural Electric Coop,Y,IL,PJM,.,.,.,.,0,,,,,,,,,,,,,,,,,,,,
2020,9273,Indianapolis Power & Light Co,,IN,MISO,149,9,.,.,158,Y,Y,,,,,,,,,,,,,,,,,,
2020,9275,Indianola Municipal Utilities,Y,IA,MISO,28,.,.,.,28,,,,,,,,,,,,,,,,,,,,
2020,9324,Indiana Michigan Power Co,,IN,PJM,"13,761","2,139",54,0,"15,954",Y,Y,Y,Y,,,,,,,,,,,,,,,,
2020,9324,Indiana Michigan Power Co,,MI,PJM,"6,007",464,80,0,"6,551",Y,Y,Y,Y,,,,,,,,,,,,,,,,
2020,9336,Intermountain Rural Elec Assn,,CO,PSCO,80,69,39,.,188,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,9417,Interstate Power and Light Co,,IA,MISO,"14,588","5,797",307,0,"20,692",Y,Y,Y,,,,,,,,,,,,,,,,,
2020,9576,Jackson County Rural E M C - (IN),,IN,MISO,24,1,.,.,25,Y,Y,,,,,,,,,,,,,,,,,,
2020,9601,Jackson Electric Member Corp - (GA),,GA,SOCO,436,826,.,.,"1,262",Y,Y,,,,,,,,,,,,,,,,,,
2020,9612,City of Jackson - (TN),,TN,TVA,0,2,12,0,14,,Y,Y,,,,,,,,,,,,,,,,,
2020,9617,JEA,,FL,JEA,.,201,45,.,246,,Y,Y,,,,,,,,,,,,,,,,,
2020,9682,"Jefferson Davis Elec Coop, Inc",,LA,MISO,.,2,.,.,2,,,,,,Y,,,,,,,,,,,,,,
2020,9690,Jefferson Utilities,,WI,MISO,1,21,1,.,23,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,9697,City of Jellico,,KY,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,9697,City of Jellico,,TN,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,9699,"Jemez Mountains Elec Coop, Inc",,NM,WALC,240,29,.,.,269,Y,Y,,,,,,,,,,,,,,,,,,
2020,9726,Jersey Central Power & Lt Co,,NJ,PJM,"14,605",326,81,1,"15,013",Y,Y,Y,,Y,Y,Y,Y,,,,,,,,,,,,
2020,9739,Joe Wheeler Elec Member Corp,,AL,TVA,0,2,19,0,21,,Y,Y,,,,,,,,,,,,,,,,,
2020,9750,"Jo-Carroll Energy, Inc",,IL,MISO,.,.,13,.,13,,,Y,,,,,,,,,,,,,,,,,
2020,9777,Johnson City - (TN),,TN,TVA,0,7,11,0,18,,Y,Y,,,,,,,,,,,,,,,,,
2020,9778,Johnson County Rural E M C,,IN,MISO,"1,944",35,2,.,"1,981",Y,Y,Y,,,,,,,,,,,,,,,,,
2020,9936,Juneau Utility Comm,,WI,MISO,.,21,2,.,23,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,10000,Evergy Metro,,KS,SWPP,"1,129",.,.,.,"1,129",Y,,,,,,,,,,,,,,,,,,,
2020,10000,Evergy Metro,,MO,SWPP,"2,288",3,.,.,"2,291",Y,,,,,Y,,,,,,,,,,,,,,
2020,10005,"Evergy Kansas South, Inc",,KS,SWPP,298,269,36,.,603,Y,Y,Y,,,,,,,,,,,,,,,Y,Y,
2020,10019,FreeState Electric Coop,,KS,SWPP,556,5,0,0,561,Y,Y,,,,,,,,,,,,,,,,,,
2020,10056,City of Kaukauna,,WI,MISO,12,73,12,0,97,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,10171,Kentucky Utilities Co,,KY,LGEE,101,"4,838",803,.,"5,742",Y,Y,Y,,,,,,,,,,,,Y,,,,Y,
2020,10171,Kentucky Utilities Co,,VA,LGEE,.,197,17,.,214,,Y,Y,,,,,,,,,,,,Y,,,,Y,
2020,10331,Kingsport Power Co,,TN,PJM,31,5,0,0,36,Y,Y,,,,,,,,,,,,,,,,,,
2020,10376,Kissimmee Utility Authority,,FL,FMPP,0,54,0,0,54,,Y,,,,,,,,,,,,,,,,,,
2020,10378,"Kit Carson Electric Coop, Inc",,NM,PNM,297,83,0,0,380,Y,Y,,,,,,,,,,,,,,,,,,
2020,10421,Knoxville Utilities Board,,TN,TVA,8,14,10,0,32,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,10433,Kodiak Electric Assn Inc,,AK,NA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,10448,Kosciusko County Rural E M C,,IN,MISO,.,.,5,.,5,,,Y,,,,,,,,,,,,,,,,,
2020,10539,"La Plata Electric Assn, Inc",,CO,WACM,"4,096",312,10,0,"4,418",Y,Y,Y,,,,,,,,,,,,,,,,,
2020,10550,McCook Public Power District,Y,NE,SWPP,.,.,2,.,2,,,,,,,,,,,,,,,,,,,,
2020,10579,City of LaFollette,,TN,TVA,0,1,0,0,1,,Y,,,,,,,,,,,,,,,,,,
2020,10599,"Lake Region Electric Coop, Inc - (OK)",,OK,AECI,0,3,1,0,4,,Y,Y,,,,,,,,,,,,,,,,,
2020,10605,Lake Mills Light & Water,,WI,MISO,2,11,0,0,13,Y,Y,,,,,,,,,,,,,,,,,,
2020,10618,Lake Region Electric Cooperative - (MN),,MN,MISO,1,.,.,.,1,Y,,,,,,,,,,,,,,,,,,,
2020,10623,City of Lakeland - (FL),,FL,FMPP,"1,888",48,22,.,"1,958",Y,Y,Y,Y,,,,,,,,,,,,,,,,
2020,10624,Southern Rivers Energy,,GA,SOCO,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,10669,Town of Landis - (NC),Y,NC,DUK,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,10697,Lake Country Power,,MN,MISO,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,10702,Borough of Lansdale,Y,PA,PJM,.,2,1,.,3,,,,,,,,,,,,,,,,,,,,
2020,10768,"Laurens Electric Coop, Inc",,SC,DUK,5,41,.,.,46,Y,Y,,,,,,,,,,,,,,,,,,
2020,10770,City of Laurinburg - (NC),Y,NC,CPLE,4,.,.,.,4,,,,,,,,,,,,,,,,,,,,
2020,10799,City of Lawrenceburg,,TN,TVA,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
2020,10814,City of Le Sueur - (MN),Y,MN,MISO,.,.,2,.,2,,,,,,,,,,,,,,,,,,,,
2020,10906,City of Lenoir - (TN),,TN,TVA,0,1,0,0,1,,Y,,,,,,,,,,,,,,,,,,
2020,10960,City of Lewisburg - (TN),,TN,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2020,10968,City of Lexington - (TN),,TN,TVA,0,1,1,0,2,,Y,Y,,,,,,,,,,,,,,,,,
2020,11011,Licking Valley Rural E C C,,KY,PJM,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,11018,Lincoln Electric System,,NE,SWPP,.,6,.,.,6,,Y,,,,,,,,,,,,,,,,,,
2020,11035,City of Lincolnton - (NC),Y,NC,DUK,.,2,.,.,2,,,,,,,,,,,,,,,,,,,,
2020,11053,Linn County REC,,IA,MISO,25,172,7,.,204,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,11085,Town of Littleton - (MA),,MA,ISNE,.,.,42,.,42,,,Y,,,,,,,,,,,,,,,,,
2020,11124,City of Lodi - (CA),,CA,CISO,.,.,23,.,23,,,Y,,,,,,,,,,,,,,,,,
2020,11125,City of Lodi - (WI),,WI,MISO,11,7,0,0,18,Y,Y,,,,,,,,,,,,,,,,,,
2020,11171,Long Island Power Authority,,NY,NYIS,"20,004",261,.,.,"20,265",,,,,,,,,,,,,,,,,Y,Y,,
2020,11187,City of Longmont,,CO,PSCO,.,.,13,.,13,,,,,,,,,,,,,,,Y,,,,,
2020,11200,"Lorain-Medina R E C, Inc",,OH,PJM,"14,937","1,571",13,.,"16,521",Y,Y,Y,Y,,,,,,,,,,,,,,,,
2020,11204,Los Alamos County,,NM,PNM,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,11208,Los Angeles Department of Water & Power,,CA,LDWP,"10,589","22,624","1,488",.,"34,701",Y,Y,Y,,,,,,,,,,,,,,,,,
2020,11222,Loudon Utilities Board,,TN,TVA,0,2,5,0,7,,Y,Y,,,,,,,,,,,,,,,,,
2020,11241,Entergy Louisiana LLC,,LA,MISO,.,1,7,.,8,,Y,Y,,,,,,,,,,,,,,,,,
2020,11247,Louisville Electric System,,MS,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2020,11249,Louisville Gas & Electric Co,,KY,LGEE,135,"3,086",339,0,"3,560",Y,Y,Y,,,,,,,,,,,,Y,,,,Y,
2020,11251,Loup River Public Power Dist,,NE,SWPP,.,.,1,.,1,,,,,,,Y,,,,,,,,,,,,,
2020,11269,Lower Colorado River Authority,,TX,ERCO,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,11292,City of Lubbock - (TX),,TX,SWPP,.,16,.,.,16,,Y,,,,,,,,,,,,,,,,,,
2020,11458,City of Macon - (MS),,MS,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,11477,Town of Madison - (ME),,ME,ISNE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,11479,Madison Gas & Electric Co,,WI,MISO,666,"4,533",21,0,"5,220",Y,Y,Y,Y,,,,,,,,,,,,,,,,
2020,11515,Town of Maiden - (NC),Y,NC,DUK,.,2,11,.,13,,,,,,,,,,,,,,,,,,,,
2020,11571,Manitowoc Public Utilities,,WI,MISO,4,6,83,.,93,Y,Y,Y,,,,Y,,,,,,,,,,,,,
2020,11714,Marshall-De Kalb Electric Coop,,AL,TVA,0,1,0,0,1,,Y,,,,,,,,,,,,,,,,,,
2020,11740,City of Marshfield - (WI),,WI,MISO,0,0,55,0,55,,,Y,,,,,,,,,,,,,,,,,
2020,11770,City of Martinsville - (VA),Y,VA,PJM,.,3,.,.,3,,,,,,,,,,,,,,,,,,,,
2020,11788,Consumers Energy,,IA,MISO,190,21,3,.,214,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,11789,Maryville Utilities,,TN,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2020,11843,Maui Electric Co Ltd,,HI,NA,274,44,.,.,318,Y,Y,,,,,,,,,,,,,,,,,,
2020,11871,City of Mayfield Plant Board,,KY,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2020,11895,Village of Mazomanie - (WI),Y,WI,MISO,.,.,10,.,10,,,,,,,,,,,,,,,,,,,,
2020,11910,McLeod Cooperative Power Assn,Y,MN,MISO,.,.,2,.,2,,,,,,,,,,,,,,,,,,,,
2020,12186,McMinnville Electric System,,TN,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,12199,Montana-Dakota Utilities Co,,MT,SWPP,0,0,8,0,8,,,Y,,,,,,,,,,,,,,,,,
2020,12199,Montana-Dakota Utilities Co,,ND,MISO,5,317,8,0,330,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,12199,Montana-Dakota Utilities Co,,SD,MISO,0,24,0,0,24,,Y,,,,,,,,,,,,,,,,,,
2020,12199,Montana-Dakota Utilities Co,,WY,WACM,0,8,0,0,8,,Y,,,,,,,,,,,,,,,,,,
2020,12208,City of McPherson - (KS),,KS,SWPP,.,20,2,.,22,,Y,Y,,,,,,,,,,,,,,,,,
2020,12227,Meeker Coop Light & Power Assn,,MN,MISO,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,12260,Mecklenburg Electric Cooperative,,VA,PJM,.,56,1,.,57,,Y,Y,,,,,,,,,,,,,,,,,
2020,12265,City of Medford - (WI),Y,WI,MISO,1,26,6,.,33,,,,,,,,,,,,,,,,,,,,
2020,12293,City of Memphis - (TN),,TN,TVA,72,11,25,0,108,Y,Y,Y,Y,,,,,,,,,,,,,,,,
2020,12298,City of Menasha - (WI),,WI,MISO,28,124,8,0,160,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,12330,Meriwether Lewis Electric Coop,,TN,TVA,0,1,2,0,3,,Y,Y,,,,,,,,,,,,,,,,,
2020,12341,MidAmerican Energy Co,,IA,MISO,25,"1,054",144,.,"1,223",Y,Y,Y,,,,,,,,,,,,,,,,,
2020,12341,MidAmerican Energy Co,,IL,MISO,9,164,47,.,220,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,12341,MidAmerican Energy Co,,SD,MISO,.,19,1,.,20,,Y,Y,,,,,,,,,,,,,,,,,
2020,12377,Midwest Energy Cooperative,,MI,PJM,39,32,.,.,71,Y,Y,,,,,,,,,,,,,,,,,,
2020,12377,Midwest Energy Cooperative,,OH,PJM,1,.,.,.,1,Y,,,,,,,,,,,,,,,,,,,
2020,12390,Metropolitan Edison Co,,PA,PJM,72,62,269,0,403,Y,,,,,,Y,,,,,,,,,,,Y,Y,
2020,12395,Menard Electric Coop,,IL,MISO,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,12450,Midland Power Coop,,IA,MISO,.,11,7,.,18,,,,,,,,,,,,,,Y,Y,,,,,
2020,12470,Middle Tennessee E M C,,TN,TVA,0,4,16,0,20,,Y,Y,,,,,,,,,,,,,,,,,
2020,12472,Middle Georgia El Member Corp,Y,GA,SOCO,.,.,171,.,171,,,,,,,,,,,,,,,,,,,,
2020,12515,"Midwest Electric, Inc",,OH,PJM,0,26,3,0,29,,,,,,,,,,,,,,Y,Y,,,Y,Y,
2020,12532,City of Milan,,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2020,12539,Midwest Electric Member Corp,,NE,WACM,0,28,"2,128",0,"2,156",,Y,Y,,,,,,,,,,,,,,,,,
2020,12540,City of Milford - (DE),,DE,PJM,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,12546,Mille Lacs Energy Cooperative,,MN,MISO,.,.,23,.,23,,,Y,,,,,,,,,,,,Y,,,,,
2020,12642,Maquoketa Valley Rrl Elec Coop,,IA,MISO,"10,577","5,910",.,.,"16,487",Y,Y,,,,,,,,,,,,,,,,,,
2020,12647,"ALLETE, Inc.",,MN,MISO,338,.,.,.,338,Y,,,,,,,,,,,,Y,,,,,,,
2020,12651,Minnesota Valley Electric Coop,,MN,MISO,150,.,.,.,150,Y,,,,,,,,,,,,Y,,,,,,,
2020,12685,Entergy Mississippi LLC,,MS,MISO,.,.,69,.,69,,,Y,,,,,,,,,,,,,,,,,
2020,12686,Mississippi Power Co,,MS,SOCO,.,.,5,.,5,,,Y,,,,,,,,,,,,,,,,,
2020,12698,Evergy Missouri West,,MO,SWPP,"2,719",4,.,.,"2,723",Y,Y,,,,Y,,,,,,,,,,,,,,
2020,12745,Modesto Irrigation District,,CA,BANC,0,10,131,0,141,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2020,12825,NorthWestern Energy LLC - (MT),,MT,NWMT,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,12860,Morgan County Rural Elec Assn,,CO,WACM,20,.,.,.,20,Y,,,,,,,,,,,,,,,,,,,
2020,12929,South Central Indiana REMC,,IN,MISO,9,.,.,.,9,Y,,,,,,,,,,,,,,,,,,,
2020,12988,City of Morristown - (TN),,TN,TVA,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
2020,12990,Consolidated Electric Coop Inc,,OH,PJM,.,.,.,.,0,,,,,,,,,,,,,,,,,,,,
2020,13027,"Mountain Electric Coop, Inc",,NC,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,13027,"Mountain Electric Coop, Inc",,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2020,13036,Village of Mt. Horeb - (WI),,WI,MISO,23,7,.,.,30,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,13037,City of Mt Pleasant - (UT),Y,UT,PACE,.,.,9,.,9,,,,,,,,,,,,,,,,,,,,
2020,13039,City of Mt Pleasant - (TN),,TN,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,13050,"Mountain Parks Electric, Inc",,CO,WACM,459,5,13,.,477,Y,Y,Y,,,,,,,Y,Y,,,Y,Y,,,,,
2020,13058,"Mountain View Elec Assn, Inc",,CO,WACM,29,.,.,.,29,Y,,,,,,,,,,,,,,,,,,,
2020,13138,City of Murray - (KY),,KY,TVA,0,1,1,0,2,,Y,Y,,,,,,,,,,,,,,,,,
2020,13144,City of Muscle Shoals,,AL,TVA,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
2020,13145,Village of Muscoda - (WI),,WI,MISO,1,10,3,.,14,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,13216,Nashville Electric Service,,TN,TVA,0,18,25,0,43,,Y,Y,,,,,,,,,,,,,,,,,
2020,13227,Natchez Trace Elec Power Assn,,MS,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,13228,City of Natchitoches,,LA,SWPP,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,13318,"Navopache Electric Coop, Inc",,AZ,PNM,"6,504",134,0,.,"6,638",Y,Y,,,,,,,,,,,,,,,,,,
2020,13332,"Navarro County Elec Coop, Inc",,TX,ERCO,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,13337,Nebraska Public Power District,,NE,SWPP,0,32,17,0,49,,Y,Y,,,,,,,,,,,,,,,,,
