Utility Characteristics,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,State,Utility Number,Utility Name,BA Code,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2020,AR,814,Entergy Arkansas LLC,MISO,DC,8.555,5.559,2.551,.,16.665,935,96,18,.,"1,049",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.007,0.002,0.006,.,0.015,1,1,2,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,8.562,5.561,2.557,0.000,16.680,936,97,20,0,"1,053",0.000,0.000,0.000,0.000,0.000
2020,AR,817,Arkansas Valley Elec Coop Corp,SWPP,AC,2.483,0.860,.,.,3.343,243,5,.,.,248,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,547.701,306.219,.,.,853.920,0.007,.,.,.,0.007,2,.,.,.,2,0.047,.,.,.,0.047,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.490,0.860,0.000,0.000,3.350,245,5,0,0,250,547.748,306.219,0.000,0.000,853.967
2020,AR,1586,City of Bentonville - (AR),SWPP,AC,3.150,3.000,.,.,6.150,126,10,.,.,136,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,3.150,3.000,0.000,0.000,6.150,126,10,0,0,136,0.000,0.000,0.000,0.000,0.000
2020,AR,2678,C & L Electric Coop Corp,MISO,DC,0.376,0.708,.,.,1.084,37,9,.,.,46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.376,0.708,0.000,0.000,1.084,37,9,0,0,46,0.000,0.000,0.000,0.000,0.000
2020,AR,3093,Carroll Electric Coop Corp - (AR),SWPP,DC,5.480,.,.,.,5.480,725,.,.,.,725,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.019,.,.,.,0.019,3,.,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,5.499,0.000,0.000,0.000,5.499,728,0,0,0,728,0.000,0.000,0.000,0.000,0.000
2020,AR,3712,Clay County Electric Coop Corp,MISO,AC,0.045,.,.,.,0.045,7,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.045,0.000,0.000,0.000,0.045,7,0,0,0,7,0.000,0.000,0.000,0.000,0.000
2020,AR,4280,Conway Corporation,MISO,AC,0.130,.,.,.,0.130,27,.,.,.,27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.130,0.000,0.000,0.000,0.130,27,0,0,0,27,0.000,0.000,0.000,0.000,0.000
2020,AR,4509,Craighead Electric Coop Corp,MISO,AC,0.128,2.402,.,.,2.530,15,5,.,.,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.128,2.402,0.000,0.000,2.530,15,5,0,0,20,0.000,0.000,0.000,0.000,0.000
2020,AR,5860,Empire District Electric Co,SWPP,DC,0.190,.,.,.,0.190,29,.,.,.,29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11.381,.,.,.,11.381,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.190,0.000,0.000,0.000,0.190,29,0,0,0,29,11.381,0.000,0.000,0.000,11.381
2020,AR,6342,First Electric Coop Corp,MISO,AC,3.424,.,.,.,3.424,285,.,.,.,285,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.010,.,.,.,0.010,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,3.434,0.000,0.000,0.000,3.434,286,0,0,0,286,0.000,0.000,0.000,0.000,0.000
