Utility Characteristics,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,State,Utility Number,Utility Name,BA Code,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2020,ID,9191,Idaho Power Co,IPCO,DC,48.571,4.659,6.943,0.000,60.173,"6,579",211,80,0,"6,870",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.123,0.272,0.040,.,0.435,32,4,1,.,37,.,.,.,.,0.000,0.073,0.085,.,.,0.158,7,4,.,.,11,.,.,.,.,0.000,48.767,5.016,6.983,0.000,60.766,"6,618",219,81,0,"6,918",0.000,0.000,0.000,0.000,0.000
2020,ID,10454,Kootenai Electric Cooperative,AVA,DC,0.242,.,.,.,0.242,29,.,.,.,29,.,.,.,.,0.000,.,.,.,.,0,0.052,.,.,.,0.052,44,.,.,.,44,.,.,.,.,0.000,0.018,.,.,.,0.018,5,.,.,.,5,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.312,0.000,0.000,0.000,0.312,78,0,0,0,78,0.000,0.000,0.000,0.000,0.000
2020,ID,11273,Lower Valley Energy Inc,BPAT,AC,0.022,.,.,.,0.022,2,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.002,.,.,.,0.002,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.024,0.000,0.000,0.000,0.024,3,0,0,0,3,0.000,0.000,0.000,0.000,0.000
2020,ID,14354,PacifiCorp,PACE,DC,9.769,0.921,0.023,0.000,10.713,"1,302",45,1,0,"1,348",0.114,0.026,0.000,0.000,0.140,13,1,0,0,14,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.222,0.057,0.000,0.000,0.279,65,8,0,0,73,.,.,.,.,0.000,0.008,0.000,0.000,0.000,0.008,2,0,0,0,2,.,.,.,.,0.000,9.999,0.978,0.023,0.000,11.000,"1,369",53,1,0,"1,423",0.000,0.000,0.000,0.000,0.000
2020,ID,19502,"United Electric Co-op, Inc - (ID)",BPAT,AC,0.002,0.010,.,.,0.012,1,4,.,.,5,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.002,0.010,0.000,0.000,0.012,1,4,0,0,5,0.000,0.000,0.000,0.000,0.000
2020,ID,20169,Avista Corp,AVA,AC,0.458,0.242,.,.,0.700,72,19,.,.,91,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.013,0.002,.,.,0.015,4,1,.,.,5,.,.,.,.,0.000,0.006,0.065,.,.,0.071,2,1,.,.,3,.,.,.,.,0.000,0.477,0.309,0.000,0.000,0.786,78,21,0,0,99,0.000,0.000,0.000,0.000,0.000
2020,ID,99999,Adjustment 2020,AVA,,-0.042,.,.,.,-0.042,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.009,.,.,.,-0.009,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.051,.,.,.,-0.051,.,.,.,.,.,.,.,.,.,.
2020,ID,99999,Adjustment 2020,IPCO,,-8.471,-0.813,-1.211,0.000,-10.494,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-8.471,-0.813,-1.211,0.000,-10.494,.,.,.,.,.,.,.,.,.,.
2020,ID,99999,Adjustment 2020,PACE,,-1.704,-0.161,-0.004,0.000,-1.868,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1.704,-0.161,-0.004,0.000,-1.868,.,.,.,.,.,.,.,.,.,.
2020,IL,3931,Coles-Moultrie Electric Coop,MISO,DC,0.358,0.331,.,.,0.689,39,3,.,.,42,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.010,.,.,.,0.010,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.368,0.331,0.000,0.000,0.699,40,3,0,0,43,0.000,0.000,0.000,0.000,0.000
2020,IL,4110,Commonwealth Edison Co,PJM,AC,120.839,98.382,.,.,219.221,"16,855",528,.,.,"17,383",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.194,2.379,.,.,2.573,33,12,.,.,45,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,121.033,100.761,0.000,0.000,221.794,"16,888",540,0,0,"17,428",0.000,0.000,0.000,0.000,0.000
2020,IL,4362,Corn Belt Energy Corporation,MISO,AC,1.929,0.923,.,.,2.852,230,8,.,.,238,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.012,.,.,.,0.012,4,.,.,.,4,.,.,.,.,0.000,.,.,2.600,.,2.600,.,.,1,.,1,.,.,.,.,0.000,1.941,0.923,2.600,0.000,5.464,234,8,1,0,243,0.000,0.000,0.000,0.000,0.000
2020,IL,5585,Eastern Illinois Elec Coop,MISO,AC,2.202,0.161,.,.,2.363,231,17,.,.,248,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,055.000",42.800,.,.,"1,097.800",0.010,.,.,.,0.010,1,.,.,.,1,0.320,.,.,.,0.320,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.212,0.161,0.000,0.000,2.373,232,17,0,0,249,"1,055.320",42.800,0.000,0.000,"1,098.120"
2020,IL,7096,City of Geneva- (IL),PJM,AC,0.172,0.070,.,.,0.242,19,2,.,.,21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.172,0.070,0.000,0.000,0.242,19,2,0,0,21,0.000,0.000,0.000,0.000,0.000
2020,IL,9750,"Jo-Carroll Energy, Inc",MISO,AC,2.665,0.461,.,.,3.126,321,29,.,.,350,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.017,.,.,.,0.017,7,.,.,.,7,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.682,0.461,0.000,0.000,3.143,328,29,0,0,357,0.000,0.000,0.000,0.000,0.000
2020,IL,12341,MidAmerican Energy Co,MISO,AC,1.314,2.506,0.498,.,4.318,164,51,1,.,216,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,205.471,436.771,.,.,642.242,0.002,0.620,.,.,0.622,1,2,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.316,3.126,0.498,0.000,4.940,165,53,1,0,219,205.471,436.771,0.000,0.000,642.242
2020,IL,12395,Menard Electric Coop,MISO,DC,0.851,.,.,.,0.851,95,.,.,.,95,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,456.500,.,.,.,456.500,0.012,.,.,.,0.012,2,.,.,.,2,5.965,.,.,.,5.965,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.863,0.000,0.000,0.000,0.863,97,0,0,0,97,462.465,0.000,0.000,0.000,462.465
2020,IL,13032,Mt Carmel Public Utility Co,MISO,AC,0.204,0.093,0.000,0.000,0.297,17,5,0,0,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8.490,3.190,0.000,0.000,11.680,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.204,0.093,0.000,0.000,0.297,17,5,0,0,22,8.490,3.190,0.000,0.000,11.680
2020,IL,13208,City of Naperville - (IL),PJM,AC,2.552,1.400,.,.,3.952,343,19,.,.,362,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.552,1.400,0.000,0.000,3.952,343,19,0,0,362,0.000,0.000,0.000,0.000,0.000
2020,IL,13292,Norris Electric Coop,MISO,DC,1.647,0.380,.,.,2.027,95,5,.,.,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.022,.,.,.,0.022,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.669,0.380,0.000,0.000,2.049,97,5,0,0,102,0.000,0.000,0.000,0.000,0.000
2020,IL,14840,City of Peru - (IL),MISO,AC,0.001,0.321,.,.,0.322,1,3,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.001,0.321,0.000,0.000,0.322,1,3,0,0,4,0.000,0.000,0.000,0.000,0.000
2020,IL,16179,Rochelle Municipal Utilities,PJM,AC,0.040,0.010,.,.,0.050,4,1,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.040,0.010,0.000,0.000,0.050,4,1,0,0,5,0.000,0.000,0.000,0.000,0.000
2020,IL,16196,Rock Energy Cooperative,MISO,AC,0.106,.,.,.,0.106,16,.,.,.,16,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.106,0.000,0.000,0.000,0.106,16,0,0,0,16,0.000,0.000,0.000,0.000,0.000
2020,IL,16740,Scenic Rivers Energy Coop,MISO,AC,0.019,.,.,.,0.019,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.009,.,.,.,0.009,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.019,0.000,0.000,0.000,0.019,1,0,0,0,1,0.009,0.000,0.000,0.000,0.009
2020,IL,17040,"Shelby Electric Coop, Inc",MISO,DC,0.828,.,.,.,0.828,79,.,.,.,79,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,395.500,.,.,.,395.500,0.013,.,.,.,0.013,2,.,.,.,2,6.000,.,.,.,6.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.841,0.000,0.000,0.000,0.841,81,0,0,0,81,401.500,0.000,0.000,0.000,401.500
2020,IL,17585,"Southeastern IL Elec Coop, Inc",MISO,AC,1.133,0.092,.,.,1.225,107,7,.,.,114,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.133,0.092,0.000,0.000,1.225,107,7,0,0,114,0.000,0.000,0.000,0.000,0.000
2020,IL,17828,City of Springfield - (IL),MISO,AC,0.641,1.584,.,.,2.225,90,48,.,.,138,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,0.010,.,.,0.010,.,1,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.641,1.594,0.000,0.000,2.235,90,49,0,0,139,0.000,0.000,0.000,0.000,0.000
2020,IL,17860,City of St Charles - (IL),PJM,AC,0.096,0.119,0.000,0.000,0.215,15,1,0,0,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48.425,8.497,0.000,0.000,56.922,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.096,0.119,0.000,0.000,0.215,15,1,0,0,16,48.425,8.497,0.000,0.000,56.922
2020,IL,18955,"Tri-County Electric Coop, Inc (IL)",MISO,AC,0.855,.,.,.,0.855,98,.,.,.,98,0.007,.,.,.,0.007,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.855,0.000,0.000,0.000,0.855,98,0,0,0,98,0.000,0.000,0.000,0.000,0.000
2020,IL,20222,Wayne-White Counties Elec Coop,MISO,AC,0.768,.,.,.,0.768,51,.,.,.,51,0.000,.,.,.,0.000,0,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,446.064,.,.,.,446.064,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.768,0.000,0.000,0.000,0.768,51,0,0,0,51,446.064,0.000,0.000,0.000,446.064
2020,IL,56697,Ameren Illinois Company,MISO,DC,41.159,89.216,.,.,130.375,"4,255",972,.,.,"5,227",.,.,.,.,0.000,.,.,.,.,0,5.875,.,.,.,5.875,"1,052",.,.,.,"1,052",.,.,.,.,0.000,0.355,0.135,.,.,0.490,73,22,.,.,95,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,47.389,89.351,0.000,0.000,136.740,"5,380",994,0,0,"6,374",0.000,0.000,0.000,0.000,0.000
2020,IL,99999,Adjustment 2020,MISO,,-7.821,-15.683,.,.,-23.504,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1.025,.,.,.,-1.025,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-8.845,-15.683,.,.,-24.528,.,.,.,.,.,.,.,.,.,.
2020,IN,636,City of Anderson - (IN),PJM,AC,0.052,0.001,.,.,0.053,7,1,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20.615,0.000,.,.,20.615,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.052,0.001,0.000,0.000,0.053,7,1,0,0,8,20.615,0.000,0.000,0.000,20.615
2020,IN,1283,Bartholomew County Rural E M C,MISO,AC,0.166,.,.,.,0.166,18,.,.,.,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.002,.,.,.,0.002,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.168,0.000,0.000,0.000,0.168,20,0,0,0,20,0.000,0.000,0.000,0.000,0.000
2020,IN,4508,"Crawfordsville Elec, Lgt & Pwr",MISO,AC,0.036,.,.,.,0.036,4,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.036,0.000,0.000,0.000,0.036,4,0,0,0,4,0.000,0.000,0.000,0.000,0.000
2020,IN,4848,Daviess Martin County R E M C,MISO,AC,0.021,.,.,.,0.021,5,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.543,.,.,.,1.543,0.052,.,.,.,0.052,2,.,.,.,2,0.000,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.073,0.000,0.000,0.000,0.073,7,0,0,0,7,1.543,0.000,0.000,0.000,1.543
2020,IN,4960,Decatur County Rural E M C,MISO,AC,0.692,0.011,.,.,0.703,50,1,.,.,51,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,457.928,14.789,.,.,472.717,0.002,.,.,.,0.002,1,.,.,.,1,0.000,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.694,0.011,0.000,0.000,0.705,51,1,0,0,52,457.928,14.789,0.000,0.000,472.717
2020,IN,5394,Dubois Rural Electric Coop Inc,MISO,AC,0.126,0.155,.,.,0.281,18,4,.,.,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,77.000,23.000,.,.,100.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.126,0.155,0.000,0.000,0.281,18,4,0,0,22,77.000,23.000,0.000,0.000,100.000
2020,IN,8179,Harrison County Rural E M C,MISO,AC,0.240,.,.,.,0.240,42,.,.,.,42,0.039,.,.,.,0.039,3,.,.,.,3,.,.,.,.,0.000,.,.,.,.,0,85.018,.,.,.,85.018,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.240,0.000,0.000,0.000,0.240,42,0,0,0,42,85.018,0.000,0.000,0.000,85.018
2020,IN,8447,Hendricks County Rural E M C,MISO,AC,0.187,0.230,.,.,0.417,22,1,.,.,23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.003,.,.,.,0.003,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.190,0.230,0.000,0.000,0.420,23,1,0,0,24,0.000,0.000,0.000,0.000,0.000
2020,IN,9273,Indianapolis Power & Light Co,MISO,AC,3.149,1.287,1.000,.,5.436,471,40,1,.,512,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,261.450",442.320,.,.,"1,703.770",.,0.050,.,.,0.050,.,1,.,.,1,.,0.000,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,3.149,1.337,1.000,0.000,5.486,471,41,1,0,513,"1,261.450",442.320,0.000,0.000,"1,703.770"
2020,IN,9324,Indiana Michigan Power Co,PJM,AC,5.625,9.815,1.448,0.000,16.888,610,109,6,0,725,0.081,0.002,0.000,0.000,0.083,12,1,0,0,13,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,"2,967.300","5,169.238","1,209.536",0.000,"9,346.074",0.139,0.034,0.000,0.000,0.173,34,7,0,0,41,90.220,1.580,0.000,0.000,91.800,0.000,0.240,0.000,0.000,0.240,0,1,0,0,1,0.000,0.000,0.000,0.000,0.000,5.764,10.089,1.448,0.000,17.301,644,117,6,0,767,"3,057.520","5,170.818","1,209.536",0.000,"9,437.874"
2020,IN,9576,Jackson County Rural E M C - (IN),MISO,AC,0.358,.,.,.,0.358,52,.,.,.,52,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,110.000,.,.,.,110.000,0.006,.,.,.,0.006,2,.,.,.,2,0.075,.,.,.,0.075,0.002,.,.,.,0.002,2,.,.,.,2,0.000,.,.,.,0.000,0.366,0.000,0.000,0.000,0.366,56,0,0,0,56,110.075,0.000,0.000,0.000,110.075
2020,IN,9665,Jasper County Rural E M C,MISO,AC,0.045,.,.,.,0.045,6,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.056,.,.,.,4.056,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.045,0.000,0.000,0.000,0.045,6,0,0,0,6,4.056,0.000,0.000,0.000,4.056
2020,IN,9667,City of Jasper - (IN),MISO,AC,0.013,0.010,.,.,0.023,3,1,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.013,0.010,0.000,0.000,0.023,3,1,0,0,4,0.000,0.000,0.000,0.000,0.000
2020,IN,9778,Johnson County Rural E M C,MISO,AC,0.177,0.210,.,.,0.387,23,2,.,.,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,90.622,47.400,.,.,138.022,0.005,.,.,.,0.005,2,.,.,.,2,0.082,.,.,.,0.082,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.182,0.210,0.000,0.000,0.392,25,2,0,0,27,90.704,47.400,0.000,0.000,138.104
2020,IN,10448,Kosciusko County Rural E M C,MISO,AC,0.332,.,0.964,.,1.296,32,.,4,.,36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,229.485,.,24.682,.,254.167,0.007,.,0.903,.,0.910,3,.,2,.,5,1.101,.,0.000,.,1.101,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.339,0.000,1.867,0.000,2.206,35,0,6,0,41,230.586,0.000,24.682,0.000,255.268
2020,IN,12929,South Central Indiana REMC,MISO,AC,1.120,0.042,.,.,1.162,141,2,.,.,143,0.140,0.000,.,.,0.140,22,0,.,.,22,.,.,.,.,0.000,.,.,.,.,0,505.454,28.200,.,.,533.654,0.002,.,.,.,0.002,1,.,.,.,1,0.000,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.122,0.042,0.000,0.000,1.164,142,2,0,0,144,505.454,28.200,0.000,0.000,533.654
2020,IN,13647,Noble County R E M C,PJM,AC,0.417,0.015,.,.,0.432,36,2,.,.,38,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,260.159,4.757,.,.,264.916,0.002,0.010,.,.,0.012,1,1,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.419,0.025,0.000,0.000,0.444,37,3,0,0,40,260.159,4.757,0.000,0.000,264.916
2020,IN,13756,Northern Indiana Pub Serv Co,MISO,AC,4.720,20.764,.,.,25.484,553,124,.,.,677,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,499.907","15,069.181",.,.,"18,569.088",0.105,1.829,.,.,1.934,25,7,.,.,32,6.814,"1,477.218",.,.,"1,484.032",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,4.825,22.593,0.000,0.000,27.418,578,131,0,0,709,"3,506.721","16,546.399",0.000,0.000,"20,053.120"
2020,IN,14839,City of Peru - (IN),MISO,DC,0.050,0.032,.,.,0.082,8,1,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.050,0.032,0.000,0.000,0.082,8,1,0,0,9,0.000,0.000,0.000,0.000,0.000
2020,IN,15470,"Duke Energy Indiana, LLC",MISO,AC,26.519,19.180,0.467,0.000,46.166,"1,641",179,2,0,"1,822",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.977,1.210,0.002,.,2.189,25,4,1,.,30,.,.,.,.,0.000,0.867,0.069,0.744,.,1.680,3,5,1,.,9,.,.,.,.,0.000,28.363,20.459,1.213,0.000,50.035,"1,669",188,4,0,"1,861",0.000,0.000,0.000,0.000,0.000
2020,IN,17038,RushShelby Energy,MISO,AC,0.053,.,.,.,0.053,42,.,.,.,42,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.000,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.053,0.000,0.000,0.000,0.053,42,0,0,0,42,0.000,0.000,0.000,0.000,0.000
2020,IN,17599,Southeastern Indiana R E M C,MISO,AC,0.643,.,.,.,0.643,73,.,.,.,73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.002,.,.,.,0.002,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.645,0.000,0.000,0.000,0.645,74,0,0,0,74,0.000,0.000,0.000,0.000,0.000
2020,IN,17633,Southern Indiana Gas & Elec Co,MISO,AC,7.512,10.329,.,.,17.841,706,102,.,.,808,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,0.000,0.000,.,.,0.000,0.014,0.002,.,.,0.016,2,1,.,.,3,0.000,0.000,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,7.526,10.331,0.000,0.000,17.857,708,103,0,0,811,0.000,0.000,0.000,0.000,0.000
2020,IN,18940,Tipmont Rural Elec Member Corp,MISO,AC,0.360,.,.,.,0.360,36,.,.,.,36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.360,0.000,0.000,0.000,0.360,36,0,0,0,36,0.000,0.000,0.000,0.000,0.000
2020,IN,19445,"Southern Indiana R E C, Inc",MISO,AC,0.259,.,.,.,0.259,27,.,.,.,27,0.000,.,.,.,0.000,0,.,.,.,0,0.000,.,.,.,0.000,0,.,.,.,0,0.000,.,.,.,0.000,0.000,.,.,.,0.000,0,.,.,.,0,0.000,.,.,.,0.000,0.000,.,.,.,0.000,0,.,.,.,0,0.000,.,.,.,0.000,0.259,0.000,0.000,0.000,0.259,27,0,0,0,27,0.000,0.000,0.000,0.000,0.000
