Data Year,Utility Number,Utility Name,Ownership,State,BA Code,Total Revenue (Thousand Dollars),Total Sales (MWh),Total Customers,Water Heater,Net Metering,Demand Side Management,Time Based Programs
2020,192,Akiachak Native Community Electric,Cooperative,AK,NA,"1,371.5","1,585",240,.,N,N,N
2020,878,Atmautluak Tribal Utilities,Municipal,AK,NA,394.9,683,91,.,N,N,N
2020,1276,"Barrow Utils & Elec Coop, Inc",Cooperative,AK,NA,"6,988.9","47,717","2,032",.,N,N,N
2020,1747,Birch Creek Village Elec Util - (AK),Municipal,AK,NA,.,.,.,.,,,
2020,3421,City of Chignik - (AK),Municipal,AK,NA,265.8,653,130,.,N,N,N
2020,3422,City of Chefornak,Municipal,AK,NA,.,.,.,.,,,
2020,3465,Chitina Electric Inc,Investor Owned,AK,NA,222.4,353,77,.,N,N,N
2020,4329,"Copper Valley Elec Assn, Inc",Cooperative,AK,NA,"19,795.5","83,292","3,848",.,Y,N,N
2020,4959,Aniak Light & Power Co Inc,Investor Owned,AK,NA,"1,161.0","2,034",202,.,N,N,N
2020,5721,City of Elfin Cove - (AK),Municipal,AK,NA,160.0,249,79,.,N,N,N
2020,6866,"G & K, Inc",Investor Owned,AK,NA,"1,425.2","1,934",127,.,N,N,N
2020,6915,Galena Electric Utility,Municipal,AK,NA,"2,979.0","5,595",359,.,N,N,N
2020,7833,Gwitchyaa Zhee Utility Co,Investor Owned,AK,NA,"1,194.8","2,379",365,.,N,N,N
2020,9000,Hughes Power & Light Co,Investor Owned,AK,NA,307.5,739,65,.,N,N,N
2020,9188,"I-N-N Electric Coop, Inc",Cooperative,AK,NA,"1,435.7","3,080",280,.,N,N,N
2020,9192,Igiugig Electric Company,Political Subdivision,AK,NA,218.7,254,56,.,Y,N,N
2020,9416,Ipnatchiaq Electric Company,Municipal,AK,NA,492.0,591,71,.,N,N,N
2020,9832,Kuiggluum Kallugvia,Investor Owned,AK,NA,859.5,"1,617",224,.,N,N,N
2020,9897,City of King Cove,Municipal,AK,NA,"1,213.0","4,045",199,.,N,N,N
2020,10455,Kokhanok Village Council,Political Subdivision,AK,NA,387.4,393,79,.,N,N,N
2020,10491,Kwig Power Company,Political Subdivision,AK,NA,665.0,"1,093",127,.,N,N,N
2020,10716,City of Larsen Bay - (AK),Municipal,AK,AMPL,322.5,786,94,.,N,N,N
2020,12119,McGrath Light & Power Co,Investor Owned,AK,NA,"1,359.1","1,932",271,.,N,N,N
2020,12385,Metlakatla Power & Light,Municipal,AK,NA,"2,605.0","15,613",957,.,N,N,N
2020,12485,Middle Kuskokwim Elec Coop Inc,Cooperative,AK,NA,"1,084.0","1,027",180,.,N,N,N
2020,13201,"Naknek Electric Assn, Inc",Cooperative,AK,NA,"9,908.0","19,333","1,124",.,N,N,N
2020,13211,Napakiak Ircinraq Power Co,Investor Owned,AK,NA,572.1,748,135,.,N,N,N
2020,13477,Nelson Lagoon Elec Coop Inc,Cooperative,AK,NA,118.3,225,59,.,N,N,N
2020,13642,Nome Joint Utility Systems,Municipal,AK,NA,"9,821.4","28,769","2,217",.,N,N,N
2020,13870,"Nushagak Electric Coop, Inc",Cooperative,AK,NA,"8,099.7","17,977","1,490",.,N,N,N
2020,14234,City of Ouzinkie - (AK),Municipal,AK,NA,260.0,686,112,.,N,N,N
2020,14633,Pedro Bay Village Council - (AK),Municipal,AK,NA,141.0,174,44,.,N,N,N
2020,14832,Native Village of Perryville - (AK),Municipal,AK,NA,.,.,.,.,,,
2020,14856,Petersburg Borough - (AK),Municipal,AK,NA,"5,628.0","52,669","2,218",.,N,N,N
2020,16955,City of Seward - (AK),Municipal,AK,NA,"12,400.0","52,268","2,897",.,Y,N,N
2020,17271,City & Borough of Sitka - (AK),Municipal,AK,NA,"16,714.7","108,505","5,771",.,N,N,N
2020,17898,City of Saint Paul,Municipal,AK,NA,"1,300.0","2,788",200,.,N,N,N
2020,18474,Tanana Power Co Inc,Investor Owned,AK,NA,685.7,"1,247",159,.,N,N,N
2020,18480,Tatitlek Electric Utility,Municipal,AK,NA,215.0,298,64,.,N,N,N
2020,18541,City of Tenakee Springs - (AK),Municipal,AK,NA,221.0,403,166,.,N,N,N
2020,18963,"Inside Passage Elec Coop, Inc",Cooperative,AK,NA,"4,900.0","9,216","1,360",.,N,N,N
2020,19267,Tuntutuliak Comm Services Assn,Cooperative,AK,NA,627.4,"1,040",140,.,N,N,N
2020,19454,City of Unalaska - (AK),Municipal,AK,NA,"12,789.2","43,447","1,019",.,N,N,N
2020,20535,City of White Mountain - (AK),Municipal,AK,NA,400.2,701,104,.,N,N,N
2020,21015,City of Wrangell - (AK),Municipal,AK,NA,"3,958.0","32,654","2,043",.,N,N,N
2020,24486,City of Akutan - (AK),Municipal,AK,NA,435.6,645,85,.,N,N,N
2020,26317,Manokotak Power Company,Municipal,AK,NA,627.0,"1,080",138,.,N,N,N
2020,26616,North Slope Borough Power & Light,Municipal,AK,NA,"8,074.8","30,155","1,221",.,N,N,N
2020,29297,Pelican Utility,Municipal,AK,NA,193.0,646,101,.,N,N,N
2020,40215,"Cordova Electric Coop, Inc",Cooperative,AK,NA,"6,428.3","22,703","1,654",.,N,N,N
2020,40548,Unalakleet Valley Elec Coop,Cooperative,AK,NA,"1,781.0","3,955",386,.,N,N,N
2020,56256,City of Atka - (AK),Municipal,AK,NA,96.3,222,64,.,N,N,N
2020,56503,TDX Manley Generating LLC,Investor Owned,AK,NA,455.0,443,113,.,N,N,N
2020,56739,Gold Country Energy,Investor Owned,AK,NA,239.0,348,135,.,N,N,N
2020,57351,City of Egegik - (AK),Municipal,AK,NA,426.0,604,127,.,N,N,N
2020,289,City of Alexander City,Municipal,AL,SOCO,"13,022.0","126,006","5,923",.,N,N,N
2020,2423,City of Brundidge - (AL),Municipal,AL,AEC,"5,434.7","49,630","1,249",.,N,N,N
2020,5728,City of Elba - (AL),Municipal,AL,AEC,"4,385.0","38,930","3,060",.,N,N,N
2020,6052,City of Evergreen - (AL),Municipal,AL,SOCO,"3,889.0","47,192","1,817",.,N,N,N
2020,6145,City of Fairhope - (AL),Municipal,AL,SOCO,"16,391.3","157,895","6,920",.,N,N,N
2020,8209,City of Hartford - (AL),Municipal,AL,SOCO,"2,992.0","26,054","1,427",.,N,N,N
2020,10570,City of Lafayette - (AL),Municipal,AL,SOCO,"1,882.0","24,909","1,436",.,N,N,N
2020,10687,City of Lanett - (AL),Municipal,AL,SOCO,"6,283.0","57,341","3,311",.,N,N,N
2020,11333,City of Luverne - (AL),Municipal,AL,SOCO,"3,096.0","41,790","1,829",.,N,N,N
2020,14151,City of Opp - (AL),Municipal,AL,AEC,"5,626.0","63,628","3,158",.,N,N,N
2020,15022,City of Piedmont - (AL),Municipal,AL,SOCO,"4,362.3","36,524","2,038",.,N,N,N
2020,16140,City of Robertsdale,Municipal,AL,SOCO,"8,487.0","77,952","3,309",.,N,N,N
2020,18395,Sylacauga Utilities Board,Municipal,AL,SOCO,"16,846.2","191,350","6,111",.,N,N,N
2020,19027,"Tombigbee Electric Coop, Inc",Cooperative,AL,SOCO,"15,356.0","110,736","9,434",.,N,N,N
2020,19308,City of Tuskegee,Municipal,AL,SOCO,"17,760.0","152,294","6,656",.,N,N,N
2020,30517,"Pioneer Electric Coop, Inc - (AL)",Cooperative,AL,AEC,"27,902.0","169,763","12,740",.,Y,N,N
