|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership Type|,|Utility Characteristics..NERC Region|,|Demand.(Megawatts).Summer Peak Demand|,|Demand.(Megawatts).Winter Peak Demand|,|Energy Sources (Megawatthours).(Megawatts).Net Generation|,|Energy Sources (Megawatthours).(Megawatts).Wholesale Power Purchases|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Received|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Delivered|,|Energy Sources (Megawatthours).Power Exchanged.Net Power Exchanged|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Received|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Delivered|,|Energy Sources (Megawatthours).Wheeled Power.Net Wheeled Power|,|Energy Sources (Megawatthours).Wheeled Power.Transmission by Other Losses|,|Energy Sources (Megawatthours).Wheeled Power.Total Sources|,|Disposition.(Megawatthours).Sales to Ultimate Customers|,|Disposition.(Megawatthours).Sales for Resale|,|Disposition.(Megawatthours).Furnished without Charge|,|Disposition.(Megawatthours).Consumed by Respondent without Charge|,|Disposition.(Megawatthours).Total Energy Losses|,|Disposition.(Megawatthours).Total Disposition|,|Electric Revenues.(Thousands Dollars).From Retail Sales|,|Electric Revenues.(Thousands Dollars).From Delivery Customers|,|Electric Revenues.(Thousands Dollars).From Sales for Resale|,|Electric Revenues.(Thousands Dollars).From Credits or Adjustments|,|Electric Revenues.(Thousands Dollars).From Transmission|,|Electric Revenues.(Thousands Dollars).From Other|,|Electric Revenues.(Thousands Dollars).Total|,|.."Data Type O = Observed I = Imputed"|
2021,55,City of Aberdeen - (MS),MS,Municipal,SERC,32.1,30.8,0,"201,323",0,0,0,0,0,0,0,"201,323","196,650",0,0,0,"4,673","201,323","13,958.0",.,0.0,0.0,0.0,233.3,"14,191.3",O
2021,84,A & N Electric Coop,VA,Cooperative,RFC,152.0,150.0,313,"745,321",0,0,0,.,.,0,.,"745,634","716,802",.,.,"1,906","26,926","745,634","74,165.0",.,.,.,.,771.0,"74,936.0",O
2021,108,Adams-Columbia Electric Coop,WI,Cooperative,MRO,95.7,77.1,.,"593,816",0,0,0,.,.,0,.,"593,816","556,506",106,.,988,"36,216","593,816","72,013.0",.,3.0,.,.,"1,307.0","73,323.0",O
2021,113,"Agway Energy Services, LLC",NY,Retail Power Marketer,NPCC,46.0,40.0,.,"209,234",0,0,0,.,.,0,.,"209,234","207,571",.,.,.,"1,663","209,234","19,851.3",.,.,.,.,.,"19,851.3",O
2021,155,Agralite Electric Coop,MN,Cooperative,MRO,50.0,41.0,558,"267,352",0,0,0,.,.,0,.,"267,910","251,387",.,278,.,"16,245","267,910","24,019.0",.,.,.,.,-718.0,"23,301.0",O
2021,162,Aiken Electric Coop Inc,SC,Cooperative,SERC,217.0,223.8,.,"966,008",0,0,0,.,.,0,.,"966,008","922,627",.,.,"1,079","42,302","966,008","110,933.9",.,.,.,.,"1,155.0","112,088.9",O
2021,176,Ajo Improvement Co,AZ,Investor Owned,WECC,3.2,1.5,.,"7,870",0,0,0,.,.,0,.,"7,870","7,870",.,.,.,.,"7,870",788.7,.,.,.,.,.,788.7,O
2021,189,PowerSouth Energy Cooperative,AL,Cooperative,SERC,"1,999.0","2,197.0","5,332,851","3,961,544",0,0,0,.,.,0,.,"9,294,395",.,"8,972,653",.,"26,342","295,400","9,294,395",.,.,"639,118.9",.,438.7,252.2,"639,809.8",O
2021,195,Alabama Power Co,AL,Investor Owned,SERC,"10,854.7","10,870.2","62,534,395","6,061,205",0,0,0,"16,791,264","16,435,955","355,309",.,"68,950,909","51,171,828","14,958,179","1,164","123,498","2,696,240","68,950,909","5,501,132.0",.,"548,896.1","2,391.8","72,302.1","171,757.4","6,296,479.4",O
2021,207,Alameda Municipal Power,CA,Municipal,WECC,54.2,62.7,.,"340,850",0,0,0,.,.,0,.,"340,850","326,728",.,.,.,"14,122","340,850","60,766.2",.,.,.,.,.,"60,766.2",O
