|Utility Characteristics..Year|,|Utility Characteristics..State|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..BA Code|,|Photovoltaic.Capacity MW.Type|,|Photovoltaic.Capacity MW.Residential|,|Photovoltaic.Capacity MW.Commercial|,|Photovoltaic.Capacity MW.Industrial|,|Photovoltaic.Capacity MW.Transportation|,|Photovoltaic.Capacity MW.Total|,|Photovoltaic.Installations.Residential|,|Photovoltaic.Installations.Commercial|,|Photovoltaic.Installations.Industrial|,|Photovoltaic.Installations.Transportation|,|Photovoltaic.Installations.Total|,|Photovoltaic.Storage Capacity (MW).Residential|,|Photovoltaic.Storage Capacity (MW).Commercial|,|Photovoltaic.Storage Capacity (MW).Industrial|,|Photovoltaic.Storage Capacity (MW).Transportation|,|Photovoltaic.Storage Capacity (MW).Total|,|Photovoltaic.Storage Installations.Residential|,|Photovoltaic.Storage Installations.Commercial|,|Photovoltaic.Storage Installations.Industrial|,|Photovoltaic.Storage Installations.Transportation|,|Photovoltaic.Storage Installations.Total|,|Photovoltaic.Virtual Capacity (MW).Residential|,|Photovoltaic.Virtual Capacity (MW).Commercial|,|Photovoltaic.Virtual Capacity (MW).Industrial|,|Photovoltaic.Virtual Capacity (MW).Transportation|,|Photovoltaic.Virtual Capacity (MW).Total|,|Photovoltaic.Virtual Customers.Residential|,|Photovoltaic.Virtual Customers.Commercial|,|Photovoltaic.Virtual Customers.Industrial|,|Photovoltaic.Virtual Customers.Transportation|,|Photovoltaic.Virtual Customers.Total|,|Photovoltaic.Energy Sold Back MWh.Residential|,|Photovoltaic.Energy Sold Back MWh.Commercial|,|Photovoltaic.Energy Sold Back MWh.Industrial|,|Photovoltaic.Energy Sold Back MWh.Transportation|,|Photovoltaic.Energy Sold Back MWh.Total|,|Wind.Capacity MW.Residential|,|Wind.Capacity MW.Commercial|,|Wind.Capacity MW.Industrial|,|Wind.Capacity MW.Transportation|,|Wind.Capacity MW.Total|,|Wind.Installations.Residential|,|Wind.Installations.Commercial|,|Wind.Installations.Industrial|,|Wind.Installations.Transportation|,|Wind.Installations.Total|,|Wind.Energy Sold Back MWh.Residential|,|Wind.Energy Sold Back MWh.Commercial|,|Wind.Energy Sold Back MWh.Industrial|,|Wind.Energy Sold Back MWh.Transportation|,|Wind.Energy Sold Back MWh.Total|,|Other.Capacity MW.Residential|,|Other.Capacity MW.Commercial|,|Other.Capacity MW.Industrial|,|Other.Capacity MW.Transportation|,|Other.Capacity MW.Total|,|Other.Installations.Residential|,|Other.Installations.Commercial|,|Other.Installations.Industrial|,|Other.Installations.Transportation|,|Other.Installations.Total|,|Other.Energy Sold Back MWh.Residential|,|Other.Energy Sold Back MWh.Commercial|,|Other.Energy Sold Back MWh.Industrial|,|Other.Energy Sold Back MWh.Transportation|,|Other.Energy Sold Back MWh.Total|,|All Technologies.Capacity MW.Residential|,|All Technologies.Capacity MW.Commercial|,|All Technologies.Capacity MW.Industrial|,|All Technologies.Capacity MW.Transportation|,|All Technologies.Capacity MW.Total|,|All Technologies.Installations.Residential|,|All Technologies.Installations.Commercial|,|All Technologies.Installations.Industrial|,|All Technologies.Installations.Transportation|,|All Technologies.Installations.Total|,|All Technologies.Energy Sold Back MWh.Residential|,|All Technologies.Energy Sold Back MWh.Commercial|,|All Technologies.Energy Sold Back MWh.Industrial|,|All Technologies.Energy Sold Back MWh.Transportation|,|..Total|
2021,AK,219,Alaska Power and Telephone Co,NA,AC,0.012,0.021,.,.,0.033,4,3,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.209,2.760,.,.,4.969,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.012,0.021,0.000,0.000,0.033,4,3,0,0,7,2.209,2.760,0.000,0.000,4.969
2021,AK,3522,Chugach Electric Assn Inc,CEA,AC,2.671,0.629,.,.,3.300,596,60,.,.,656,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,0.010,.,.,0.010,.,4,.,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.671,0.639,0.000,0.000,3.310,596,64,0,0,660,0.000,0.000,0.000,0.000,0.000
2021,AK,7353,Golden Valley Elec Assn Inc,NA,AC,2.662,0.359,0.067,.,3.088,519,35,5,.,559,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,240.248,25.942,0.000,.,266.190,0.013,0.012,.,.,0.025,4,2,.,.,6,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.675,0.371,0.067,0.000,3.113,523,37,5,0,565,240.248,25.942,0.000,0.000,266.190
2021,AK,11824,Matanuska Electric Assn Inc,NA,AC,1.681,0.247,.,.,1.928,270,21,.,.,291,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.064,0.016,.,.,0.080,20,3,.,.,23,.,.,.,.,0.000,0.048,0.004,.,.,0.052,7,1,.,.,8,.,.,.,.,0.000,1.793,0.267,0.000,0.000,2.060,297,25,0,0,322,0.000,0.000,0.000,0.000,0.000
2021,AK,19558,Homer Electric Assn Inc,NA,DC,2.258,0.597,.,.,2.855,410,40,.,.,450,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,972.167,102.252,.,.,"1,074.419",0.102,0.015,.,.,0.117,30,4,.,.,34,15.618,0.634,.,.,16.252,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.360,0.612,0.000,0.000,2.972,440,44,0,0,484,987.785,102.886,0.000,0.000,"1,090.671"
2021,AK,99999,Adjustment 2021,NA,,-0.394,-0.104,.,.,-0.498,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.394,-0.104,.,.,-0.498,.,.,.,.,.,.,.,.,.,.
2021,AL,3222,Central Alabama Electric Coop,SOCO,DC,0.117,.,.,.,0.117,18,.,.,.,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.680,.,.,.,1.680,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.117,0.000,0.000,0.000,0.117,18,0,0,0,18,1.680,0.000,0.000,0.000,1.680
2021,AL,4430,"Covington Electric Coop, Inc",SOCO,AC,0.035,.,.,.,0.035,4,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17.460,.,.,.,17.460,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.035,0.000,0.000,0.000,0.035,4,0,0,0,4,17.460,0.000,0.000,0.000,17.460
2021,AL,6491,Foley Board of Utilities,SOCO,AC,0.130,0.500,.,.,0.630,13,5,.,.,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.130,0.500,0.000,0.000,0.630,13,5,0,0,18,0.000,0.000,0.000,0.000,0.000
2021,AL,17646,"Southern Pine Elec Coop, Inc",SOCO,AC,0.001,.,.,.,0.001,2,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.001,.,.,.,0.001,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.002,0.000,0.000,0.000,0.002,3,0,0,0,3,0.000,0.000,0.000,0.000,0.000
