Data Year,Utility Number,Utility Name,Ownership,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2021,207,Alameda Municipal Power,Municipal,,CA,CISO,.,.,.,.,.,"31,875","4,080",.,.,"35,955",.,.,.,.,.,169,55,.,.,224,"32,044","4,135",0,0,"36,179","132,611","189,584",.,.,"322,195","32,044","4,135",.,.,"36,179",.,.,.,.,.
2021,213,Alaska Electric Light & Power Co.,Investor Owned,,AK,NA,"14,976","2,184",206,.,"17,366",.,.,.,.,.,.,.,.,.,.,221,211,15,.,447,"15,197","2,395",221,0,"17,813",.,.,.,.,.,.,.,.,.,.,"2,263",30,.,.,"2,293"
2021,219,Alaska Power and Telephone Co,Investor Owned,,AK,NA,"5,576","2,618",.,.,"8,194",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,576","2,618",0,0,"8,194",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,221,"Alaska Village Elec Coop, Inc",Cooperative,,AK,NA,"7,872","3,683",0,0,"11,555",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"7,872","3,683",0,0,"11,555",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,228,City of Albany - (MO),Municipal,Y,MO,SWPP,823,148,.,.,971,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,823,148,0,0,971,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,229,City of Albany - (IL),Municipal,Y,IL,MISO,450,.,.,.,450,30,.,.,.,30,.,.,.,.,.,.,.,.,.,.,480,0,0,0,480,480,.,.,.,480,.,.,.,.,.,.,.,.,.,.
2021,230,Albany Utility Board,Municipal,,GA,SOCO,"28,780",419,.,.,"29,199",.,.,.,.,.,.,.,.,.,.,291,"3,771",.,.,"4,062","29,071","4,190",0,0,"33,261",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,232,City of Albemarle - (NC),Municipal,,NC,DUK,"10,865","2,337",13,.,"13,215",.,.,.,.,.,.,.,.,.,.,35,16,0,.,51,"10,900","2,353",13,0,"13,266",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,240,Albemarle Electric Member Corp,Cooperative,,NC,PJM,.,.,.,.,.,"12,254","1,095",23,.,"13,372",.,.,.,.,.,.,.,.,.,.,"12,254","1,095",23,0,"13,372","183,878","34,565","6,371",.,"224,814","12,254","1,095",23,.,"13,372",.,.,.,.,.
2021,241,Albertville Municipal Utilities Board,Municipal,,AL,TVA,0,0,0,0,0,"8,143","2,284",16,0,"10,443",0,0,0,0,0,0,0,0,0,0,"8,143","2,284",16,0,"10,443","121,061","179,347","330,036",0,"630,444","8,143","2,216",13,0,"10,372",0,0,0,0,0
2021,261,AGC Division of APGI Inc,Investor Owned,,IN,MISO,.,.,5,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,5,0,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,276,Alcorn County Elec Power Assn,Cooperative,,MS,TVA,0,0,0,0,0,"14,820","4,110",6,0,"18,936","14,820","4,110",6,0,"18,936",0,0,0,0,0,"14,820","4,110",6,0,"18,936","212,118","154,468","206,450",0,"573,036","14,820","4,110",6,0,"18,936",0,0,0,0,0
2021,282,Village of Arcadia - (OH),Municipal,Y,OH,PJM,252,49,3,.,304,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,252,49,3,0,304,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.
2021,295,City of Alexandria - (MN),Municipal,,MN,MISO,"4,529",638,19,.,"5,186",.,.,.,.,.,.,.,.,.,.,"3,906","1,090",194,.,"5,190","8,435","1,728",213,0,"10,376",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,296,"Alfalfa Electric Coop, Inc",Cooperative,,KS,SWPP,.,.,.,.,0,216,687,7,.,910,.,.,.,.,.,.,.,.,.,.,216,687,7,0,910,"3,786","5,699","7,183",.,"16,668",216,687,7,.,910,.,.,.,.,.
2021,296,"Alfalfa Electric Coop, Inc",Cooperative,,OK,SWPP,.,.,.,.,.,"2,682","4,695",224,.,"7,601",.,.,.,.,.,.,.,.,.,.,"2,682","4,695",224,0,"7,601","50,313","36,638","328,628",.,"415,579","2,682","4,695",224,.,"7,601",.,.,.,.,.
2021,298,City of Alexandria - (LA),Municipal,,LA,MISO,"5,472",984,5,0,"6,461",0,0,0,0,0,0,0,0,0,0,"14,226","3,816",2,0,"18,044","19,698","4,800",7,0,"24,505",.,.,.,.,0,.,.,.,.,.,.,.,.,.,.
2021,305,Alger-Delta Coop Electric Assn,Cooperative,,MI,MISO,"5,482",337,1,0,"5,820","4,257",211,0,0,"4,468",0,0,0,0,0,0,0,0,0,0,"9,739",548,1,0,"10,288","23,030","6,267",0,0,"29,297","9,739",548,1,0,"10,288",0,0,0,0,0
2021,307,Algoma Utility Comm,Municipal,,WI,MISO,"1,649",346,0,0,"1,995",20,27,1,0,48,0,0,0,0,0,0,0,0,0,0,"1,669",373,1,0,"2,043",30,"9,894","7,088",0,"17,012",20,27,1,0,48,0,0,0,0,0
2021,309,City of Algona - (IA),Municipal,Y,IA,SWPP,.,.,.,.,0,"3,063",673,19,.,"3,755",.,.,.,.,.,.,.,.,.,.,"3,063",673,19,0,"3,755","28,214","26,295","57,805",.,"112,314",.,.,.,.,.,.,.,.,.,.
2021,329,"Allamakee-Clayton El Coop, Inc",Cooperative,Y,IA,MISO,0,0,0,.,0,"9,470",520,0,.,"9,990",.,.,.,.,.,.,.,.,.,.,"9,470",520,0,0,"9,990","117,036","13,990",0,.,"131,026",.,.,.,.,.,.,.,.,.,.
2021,367,City of Alliance- (NE),Municipal,Y,NE,SWPP,0,0,0,.,0,"4,281","1,069",10,.,"5,360",.,.,.,.,.,.,.,.,.,.,"4,281","1,069",10,0,"5,360","37,747","45,421","25,509",.,"108,677",.,.,.,.,.,.,.,.,.,.
2021,392,Alpena Power Co,Investor Owned,,MI,MISO,"13,711","2,884",0,.,"16,595",.,.,.,.,.,.,.,.,.,.,.,14,3,.,17,"13,711","2,898",3,0,"16,612",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,406,City of Altamont - (IL),Municipal,Y,IL,MISO,"1,366",172,0,.,"1,538",0,0,0,.,0,.,.,.,.,.,.,.,.,.,.,"1,366",172,0,0,"1,538","11,283","3,933",.,.,"15,216",.,.,.,.,.,.,.,.,.,.
