|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|IEEE Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.All Events (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.All Events (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard.Without Major Event Days.SAIDI (minutes per year)|,|IEEE Standard.Without Major Event Days.SAIFI (times per year)|,|IEEE Standard.Without Major Event Days.CAIDI (minutes per interruption)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard...Number of Customers|,|IEEE Standard...Highest Dist. Voltage|,|IEEE Standard...Outages Recorded Automatically|,|Other Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|Other Standard.All Events (With Major Event Days).SAIFI (times per year)|,|Other Standard.All Events (With Major Event Days).CAIDI With MED|,|Other Standard.Without Major Event Days.SAIDI (minutes per year)|,|Other Standard.Without Major Event Days.SAIFI (times per year)|,|Other Standard.Without Major Event Days.CAIDI Without MED|,|Other Standard...Number of Customers|,|Other Standard...Inactive Accounts Included|,|Other Standard...Momentary Interruptions|,|Other Standard...Highest Dist. Voltage|,|..Outages Recorded Automatically|
2021,84,A & N Electric Coop,MD,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,1.2,0.002,600,0.1,0.001,100,313,Y,O,12.5,Y
2021,84,A & N Electric Coop,VA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,140.735,1.984,70.935,135.831,1.926,70.525,"36,290",Y,O,24.9,Y
2021,108,Adams-Columbia Electric Coop,WI,Cooperative,99.3,0.742,133.827,99.3,0.742,133.827,99.3,0.742,133.827,"38,580",12.5,Y,.,.,.,.,.,.,.,,,.,
2021,155,Agralite Electric Coop,MN,Cooperative,130.667,1.623,80.51,120.821,1.533,78.813,97.191,0.925,105.071,"5,436",.,Y,.,.,.,.,.,.,.,,,.,
2021,162,Aiken Electric Coop Inc,SC,Cooperative,116.91,.,.,95.05,.,.,109.85,.,.,"49,933",25,Y,.,.,.,.,.,.,.,,,.,
2021,195,Alabama Power Co,AL,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,262.6,1.445,181.73,122.1,1.033,118.199,"1,482,101",N,F,34.5,Y
2021,207,Alameda Municipal Power,CA,Municipal,26.862,0.329,81.647,26.862,0.329,81.647,26.862,0.329,81.647,"35,327",12,Y,.,.,.,.,.,.,.,,,.,
2021,213,Alaska Electric Light & Power Co.,AK,Investor Owned,147,2.72,54.044,87,1.72,50.581,20,0.14,142.857,"17,184",12.5,N,.,.,.,.,.,.,.,,,.,
2021,219,Alaska Power and Telephone Co,AK,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,699.66,9.737,71.856,.,.,.,"8,194",N,O,12.5,N
2021,232,City of Albemarle - (NC),NC,Municipal,68.99,0.73,94.507,49.93,0.52,96.019,.,.,.,"11,821",14.4,N,.,.,.,.,.,.,.,,,.,
2021,240,Albemarle Electric Member Corp,NC,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,67.8,0.653,103.828,44,0.454,96.916,"13,136",N,F,12.5,Y
2021,241,Albertville Municipal Utilities Board,AL,Municipal,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,.,.,.,,,.,
2021,276,Alcorn County Elec Power Assn,MS,Cooperative,65.379,0.88,74.294,65.379,0.88,74.294,.,.,.,"18,936",13,N,.,.,.,.,.,.,.,,,.,
2021,295,City of Alexandria - (MN),MN,Municipal,3.643,0.079,46.114,.,.,.,.,.,.,"10,367",13.2,N,.,.,.,.,.,.,.,,,.,
2021,296,"Alfalfa Electric Coop, Inc",KS,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,68.237,0.834,81.819,68.237,0.834,81.819,913,N,O,14.4,Y
2021,296,"Alfalfa Electric Coop, Inc",OK,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,110.107,0.991,111.107,72.207,0.812,88.925,"7,626",N,O,14.4,Y
2021,305,Alger-Delta Coop Electric Assn,MI,Cooperative,194.13,1.008,192.589,54.71,0.987,55.431,158.13,1.004,157.5,"10,287",34.5,Y,.,.,.,.,.,.,.,,,.,
2021,392,Alpena Power Co,MI,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,243.8,1.8,135.444,120.2,1.1,109.273,"16,581",N,L,13.8,N
2021,407,Altamaha Electric Member Corp,GA,Cooperative,174.947,1.711,102.248,163.757,1.677,97.649,167.006,1.711,97.607,"21,250",24.9,Y,.,.,.,.,.,.,.,,,.,
2021,554,City of Ames - (IA),IA,Municipal,37.43,0.6,62.383,37.43,0.6,62.383,36.47,0.59,61.814,"27,352",13.8,N,.,.,.,.,.,.,.,,,.,
2021,562,Amicalola Electric Member Corp,GA,Cooperative,502.98,3.54,142.085,502.98,3.54,142.085,495.59,3.42,144.909,"51,595",25,N,.,.,.,.,.,.,.,,,.,
2021,590,City of Anaheim - (CA),CA,Municipal,70.9,0.86,82.442,70.9,0.86,82.442,70.9,0.86,82.442,"117,932",12,Y,.,.,.,.,.,.,.,,,.,
2021,636,City of Anderson - (IN),IN,Municipal,204.516,1.57,130.265,127.917,1.112,115.033,204.516,1.57,130.265,"34,401",13.2,Y,.,.,.,.,.,.,.,,,.,
2021,689,Connexus Energy,MN,Cooperative,38.792,0.501,77.429,27.535,0.367,75.027,27.537,0.378,72.849,"139,583",12.5,Y,.,.,.,.,.,.,.,,,.,
2021,691,City of Anoka,MN,Municipal,2.9,0.04,72.5,2.9,0.04,72.5,2.9,0.04,72.5,"12,284",12.5,N,.,.,.,.,.,.,.,,,.,
2021,727,Appalachian Electric Coop,TN,Cooperative,200.4,2.57,77.977,200.4,2.57,77.977,194.7,2.43,80.123,"48,157",13,Y,.,.,.,.,.,.,.,,,.,
2021,733,Appalachian Power Co,VA,Investor Owned,566.6,1.697,333.883,351.3,1.459,240.781,555.6,1.64,338.78,"542,478",35,Y,.,.,.,.,.,.,.,,,.,
2021,733,Appalachian Power Co,WV,Investor Owned,"2,087.60",2.789,748.512,572.2,2.226,257.053,"1,905.80",2.538,750.906,"421,594",35,Y,.,.,.,.,.,.,.,,,.,
2021,803,Arizona Public Service Co,AZ,Investor Owned,106.53,1.02,104.441,87.36,0.89,98.157,106.3,1.01,105.248,"1,314,670",69,N,.,.,.,.,.,.,.,,,.,
2021,814,Entergy Arkansas LLC,AR,Investor Owned,385.5,1.762,218.785,263.3,1.515,173.795,368.8,1.605,229.782,"738,396",34.5,Y,.,.,.,.,.,.,.,,,.,
2021,817,Arkansas Valley Elec Coop Corp,AR,Cooperative,430,2.2,195.455,188.5,1.9,99.211,400.1,2,200.05,"56,437",14.4,Y,.,.,.,.,.,.,.,,,.,
2021,817,Arkansas Valley Elec Coop Corp,OK,Cooperative,285.2,1.92,148.542,151.6,1.85,81.946,244.8,1.3,188.308,"4,624",7.2,Y,.,.,.,.,.,.,.,,,.,
2021,963,Atlantic City Electric Co,NJ,Investor Owned,64,0.71,90.141,54,0.7,77.143,64,0.71,90.141,"562,986",69,Y,.,.,.,.,.,.,.,,,.,
2021,1009,City of Austin - (MN),MN,Municipal,7.578,0.226,33.531,.,.,.,.,.,.,"11,853",13.8,N,.,.,.,.,.,.,.,,,.,
2021,1015,Austin Energy,TX,Municipal,"1,921.89",1.89,"1,016.87",63.4,0.76,83.421,"1,921.65",1.88,"1,022.15","515,724",35,Y,.,.,.,.,.,.,.,,,.,
2021,1050,City of Azusa,CA,Municipal,.,.,.,67.135,0.571,117.574,.,.,.,"16,900",12,N,.,.,.,.,.,.,.,,,.,
2021,1149,Baldwin County El Member Corp,AL,Cooperative,95.288,1.594,59.779,80.921,1.449,55.846,84.562,1.167,72.461,"81,997",12.5,Y,.,.,.,.,.,.,.,,,.,
2021,1167,Baltimore Gas & Electric Co,MD,Investor Owned,146.905,1.017,144.449,76.749,0.766,100.195,146.881,1.015,144.71,"1,317,596",34,Y,.,.,.,.,.,.,.,,,.,
2021,1175,"Bandera Electric Coop, Inc",TX,Cooperative,942.14,18.96,49.691,63.91,0.63,101.444,939.33,18.77,50.044,"39,054",24,Y,.,.,.,.,.,.,.,,,.,
2021,1179,Versant Power,ME,Investor Owned,306,2.349,130.268,218,1.973,110.492,265,1.768,149.887,"179,223",35,Y,.,.,.,.,.,.,.,,,.,
2021,1251,Barron Electric Coop,WI,Cooperative,161.646,1.316,122.831,161.646,1.316,122.831,161.646,1.316,122.831,"19,405",12.5,Y,.,.,.,.,.,.,.,,,.,
