Data Year,Utility Number,Utility Name,State,Distribution Circuits,Circuits with Voltage Optimization
2021,55,City of Aberdeen - (MS),MS,8,8
2021,84,A & N Electric Coop,MD,1,0
2021,84,A & N Electric Coop,VA,43,0
2021,108,Adams-Columbia Electric Coop,WI,95,16
2021,155,Agralite Electric Coop,MN,63,0
2021,162,Aiken Electric Coop Inc,SC,126,.
2021,176,Ajo Improvement Co,AZ,5,.
2021,195,Alabama Power Co,AL,"2,361",3
2021,207,Alameda Municipal Power,CA,24,24
2021,213,Alaska Electric Light & Power Co.,AK,31,31
2021,219,Alaska Power and Telephone Co,AK,34,0
2021,221,"Alaska Village Elec Coop, Inc",AK,178,.
2021,230,Albany Utility Board,GA,51,.
2021,232,City of Albemarle - (NC),NC,14,14
2021,240,Albemarle Electric Member Corp,NC,31,28
2021,241,Albertville Municipal Utilities Board,AL,26,0
2021,261,AGC Division of APGI Inc,IN,1,.
2021,276,Alcorn County Elec Power Assn,MS,33,0
2021,295,City of Alexandria - (MN),MN,25,6
2021,296,"Alfalfa Electric Coop, Inc",KS,3,.
2021,296,"Alfalfa Electric Coop, Inc",OK,49,.
2021,298,City of Alexandria - (LA),LA,61,.
2021,305,Alger-Delta Coop Electric Assn,MI,17,0
2021,307,Algoma Utility Comm,WI,9,9
2021,392,Alpena Power Co,MI,32,0
2021,407,Altamaha Electric Member Corp,GA,57,57
2021,471,Amana Society Service Co,IA,6,.
2021,554,City of Ames - (IA),IA,41,0
2021,562,Amicalola Electric Member Corp,GA,62,0
2021,571,City of Amory,MS,11,0
2021,577,City of Alcoa Utilities,TN,34,0
2021,590,City of Anaheim - (CA),CA,121,121
2021,604,City of Andalusia,AL,14,.
2021,636,City of Anderson - (IN),IN,54,0
2021,689,Connexus Energy,MN,201,201
2021,690,City of Bardstown - (KY),KY,16,.
2021,691,City of Anoka,MN,23,0
2021,719,Town of Apex- (NC),NC,18,0
2021,727,Appalachian Electric Coop,TN,72,72
2021,733,Appalachian Power Co,VA,602,0
2021,733,Appalachian Power Co,WV,492,3
2021,750,Arab Electric Coop Inc,AL,24,0
2021,803,Arizona Public Service Co,AZ,"1,291",.
2021,814,Entergy Arkansas LLC,AR,903,.
2021,814,Entergy Arkansas LLC,TN,3,.
2021,817,Arkansas Valley Elec Coop Corp,AR,129,0
2021,817,Arkansas Valley Elec Coop Corp,OK,13,0
2021,944,City of Athens - (AL),AL,78,0
2021,947,Athens Utility Board,TN,24,11
2021,963,Atlantic City Electric Co,NJ,348,0
2021,994,City of Auburn - (IN),IN,20,3
2021,1009,City of Austin - (MN),MN,24,9
2021,1015,Austin Energy,TX,419,92
2021,1050,City of Azusa,CA,20,.
2021,1149,Baldwin County El Member Corp,AL,102,102
2021,1167,Baltimore Gas & Electric Co,MD,"1,535",858
2021,1169,Bailey County Elec Coop Assn,TX,88,88
2021,1175,"Bandera Electric Coop, Inc",TX,54,5
2021,1179,Versant Power,ME,240,240
2021,1196,Village of Baraga - (MI),MI,2,0
2021,1251,Barron Electric Coop,WI,37,.
2021,1273,"Bartlett Electric Coop, Inc",TX,30,0
2021,1283,Bartholomew County Rural E M C,IN,37,0
2021,1300,City of Bartow - (FL),FL,17,0
2021,1307,Basin Electric Power Coop,ND,1,1
2021,1325,City of Batavia - (IL),IL,22,.
2021,1366,City of Bay City - (MI),MI,33,.
2021,1456,Town of Bedford - (VA),VA,23,0
2021,1458,"Beauregard Electric Coop, Inc",LA,61,61
2021,1529,"Beltrami Electric Coop, Inc",MN,75,0
2021,1572,Badger Power Marketing Authority,WI,2,.
2021,1578,Benton County,TN,15,14
2021,1579,PUD No 1 of Benton County,WA,141,0
2021,1581,City of Benton - (AR),AR,15,15
2021,1582,City of Benton - (KY),KY,5,0
2021,1586,City of Bentonville - (AR),AR,49,.
2021,1591,"Big Country Electric Coop, Inc",TX,53,0
2021,1613,Berkeley Electric Coop Inc,SC,234,234
2021,1625,Benton Rural Electric Assn,WA,57,.
2021,1640,City of Bessemer Utilities,AL,39,0
2021,1708,Big Sandy Rural Elec Coop Corp,KY,36,.
2021,1723,"Big Bend Electric Coop, Inc",WA,56,0
2021,1763,"Black River Electric Coop, Inc - (SC)",SC,108,0
2021,1764,Black Diamond Power Co,WV,6,.
2021,1769,"Black Hills Electric Coop, Inc",SD,39,.
2021,1775,Black River Electric Coop - (MO),MO,62,0
2021,1776,City of Black River Falls,WI,14,0
2021,1780,Black Warrior Elec Member Corp,AL,93,0
2021,1857,Block Island Utility District,RI,6,0
2021,1884,BENCO Electric Cooperative,MN,115,97
2021,1886,Blue Grass Energy Coop Corp,KY,139,33
2021,1889,Blue Ridge Elec Member Corp - (NC),NC,104,64
2021,1890,Blue Ridge Electric Coop Inc - (SC),SC,148,.
2021,1891,Blue Ridge Mountain EMC - (GA),GA,28,28
2021,1891,Blue Ridge Mountain EMC - (GA),NC,11,10
2021,1892,"Bluebonnet Electric Coop, Inc",TX,226,175
2021,1896,City of Bluffton - (IN),IN,23,.
2021,1936,Bolivar Energy Authority,TN,22,22
2021,1997,City of Boscobel - (WI),WI,6,0
2021,2001,Boone Electric Coop,MO,64,61
2021,2008,City of Boulder City - (NV),NV,31,.
2021,2010,City of Bountiful,UT,18,0
2021,2049,"Bowie-Cass Electric Coop, Inc",TX,110,0
2021,2054,City of Bowling Green - (OH),OH,32,15
2021,2056,City of Bowling Green - (KY),KY,55,0
2021,2089,Bozrah Light & Power Company,CT,4,.
2021,2144,Town of Braintree - (MA),MA,23,23
2021,2194,City of Brenham - (TX),TX,11,11
2021,2212,"Broad River Electric Coop, Inc",NC,1,1
